author_id,trip_path_detail,trip_end_time,trip_path_city,trip_start_time
5006cebb76a2954457000004,"[['Amsterdam Canals', 'Anne Frank House', 'Oude Kerk', 'Church Of St Nicholas', 'Van Gogh Museum', 'Bloemenmarkt', 'Natura Artis Magistra'], ['Rijksmuseum', 'Sexmuseum', 'Concertgebouw', 'De Wallen', 'Vondelpark', 'Heineken Experience', 'Magere Brug'], ['The Brown Cafes', 'Waterlooplein Flea Market', 'Theo Thijssen Museum', 'Museum Amstelkring', 'Leidseplein', 'Amsterdamse Bos', 'Amsterdam Tulip Museum']]",18 Jan 2014,"Amsterdam,Amsterdam,Amsterdam",16 Jan 2014
550e59750c1d0ab424000120,"[['Anne Frank House', 'Rijksmuseum', 'Dam Square', 'Heineken Experience', 'Stedelijk Museum'], ['De Wallen', 'Albert Cuyp Market', 'Oude Kerk', 'Concertgebouw', 'Amsterdam Historisch Museum'], ['Van Gogh Museum', 'Bloemenmarkt', 'Royal Palace', 'Jordaan Museum', 'Amsterdam Canals'], ['Grand Palais', 'Towers Of Notre Dame Cathedral', 'Eiffel Tower'], ['Jardin Du Luxembourg', 'Galeries Lafayette', 'Ile De La Cite'], ['Parc Monceau', 'Pantheon', 'Arc De Triomphe'], ['Louvre Pyramid', 'La Defense', 'Place De La Concorde'], ['Musee D Orsay', 'Sacre Coeur Montmartrel'], ['Bear Park', 'Seilpark Interlaken', 'Lindenhof'], ['Gornergrat Bahn', 'Olympic Museum Lausanne', 'Trummelbach Falls']]",10 May 2015,"Amsterdam,Amsterdam,Amsterdam,Paris,Paris,Paris,Paris,Paris,Interlaken,Zermatt",01 May 2015
54f91950fbc2e55b0b000918,"[['Parc De Bruxelles- National Day Celebration', 'Moof Museum', 'Musical Instruments Museum', 'Grand Place'], ['Autoworld', 'Atomium And Mini Europe ', 'Historic Centre'], ['Gravensteen Castle', 'Graslei And Korenlei', 'Grote Markt'], ['Antwerp Central Station', 'Mas - Museum Aan De Stroom', 'Antwerp Zoo'], ['Anne Frank House', 'Rijksmuseum', 'Dam Square', 'Heineken Experience', 'Stedelijk Museum'], ['De Wallen', 'Albert Cuyp Market', 'Oude Kerk', 'Concertgebouw', 'Amsterdam Historisch Museum'], ['Van Gogh Museum', 'Bloemenmarkt', 'Royal Palace', 'Jordaan Museum', 'Amsterdam Canals'], ['Gedachtniskirche', 'Holocaust Memorial', 'Museum Island', 'Topography Of Terror', 'Brandenburg Gate'], ['Unter Den Linden', 'Museum Of Applied Art'], ['Old Town Hall', 'Bmw Headquarters And Museum', 'The Alte Pinakothek', 'Hofbrauhaus'], ['Cathedral Of Our Lady', 'Odeonsplatz', 'Munich Residenz', 'Dachau Concentration Camp'], ['New Town Hall', 'Viktualienmarkt', 'Englischer Garten', 'Asam Church'], ['The Jet D Eau', 'St Peters Cathedral', 'Museum Of Art And History', 'Lake Geneva'], ['Louvre Museum', 'Champs Elysees', 'Versailles Palace'], ['Jardin Du Luxembourg', 'Towers Of Notre Dame Cathedral', 'Eiffel Tower']]",22 Jun 2015,"Brussels,Brussels,Ghent,Antwerp,Amsterdam,Amsterdam,Amsterdam,Berlin,Berlin,Munich,Munich,Munich,Geneva,Paris,Paris",07 Jun 2015
,"[['The Palais Royal', 'Sainte Chapelle', 'Towers Of Notre Dame Cathedral', 'Grand Palais'], ['Moulin Rouge', 'Jardin Des Tuileries', 'Dome Des Invalides'], ['Jardin Du Luxembourg', 'Palais Bourbon', 'Bateaux Parisiens River Cruise'], ['Chateau De Vincennes', 'Arc De Triomphe', 'Pantheon'], ['Louvre Pyramid', 'Palais Garnier', 'Eiffel Tower'], ['Mount Titlis', 'Lake Lucerne', 'Seilpark Interlaken'], ['Gornergrat Bahn', 'Olympic Museum Lausanne', 'Trummelbach Falls'], ['Lindenhof', 'Bear Park', 'Ouchy Port'], ['The Matterhorn'], ['Lake Promenade', 'Altstadt', 'Golden Pass Line'], ['Schonbrunn Palace', 'Burgtheater', 'Historic Centre Of Vienna'], ['St Stephens Cathedral', 'Hofburg Palace', 'Butterfly House'], ['Palace Of Justice', 'Karlskirche', 'Rathaus'], ['Donauturm', 'Albertina Museum And Gallery'], ['Anne Frank House', 'Rijksmuseum', 'Heineken Experience', 'Amsterdam Canals'], ['De Wallen', 'Leidseplein', 'Vondelpark', 'Van Gogh Museum', 'Concertgebouw'], ['Royal Palace', 'Jordaan', 'Dam Square', 'Jordaan Museum', 'Magere Brug']]",04 Aug 2015,"Paris,Paris,Paris,Paris,Paris,Interlaken,Zermatt,Zurich,Zermatt,Zurich,Vienna,Vienna,Vienna,Vienna,Amsterdam,Amsterdam,Amsterdam",19 Jul 2015
,"[['Van Gogh Museum', 'Jordaan', 'Hortus Botanicus', 'Anne Frank House', 'Dampkring Coffee Shop'], ['Begijnhof', 'Concertgebouw', 'Oude Kerk', 'Rembrandtplein', 'Grey Area Coffeeshop'], ['Bloemenmarkt', 'Jordaan Museum', 'Magere Brug', 'Houseboat Museum', 'Mellow Yellow'], ['Procession Of Princes', 'Katholische Hofkirch Dresden', 'Glaserne Manufaktur', 'Frauenkirche', 'Gemaldegalerie Alte Meister'], ['Dresden Zoo', 'Pillnitz Castle And Park', 'Zwinger Palace'], ['Transport Museum Dresden', 'Kunsthofpassage', 'Military History Museum', 'Residenzschloss', 'Semperoper'], ['Schloss Und Grunes Gewolbe', 'Bruehl Terrace'], ['St Vitus Cathedral', 'Church Of Our Lady Victorious', 'The Powder Tower', 'Charles Bridge', 'Jindrisska Tower'], ['Prague Zoo', 'Lobkowicz Palace', 'The Dancing House'], ['Klementinum', 'Speculum Alchemiae', 'National Theatre', 'Wenceslas Square'], ['City Park', 'Buda Castle'], ['Museum Of Fine Arts', 'Szechenyi Medicinal Bath', 'Freedom Bridge'], ['Dohany Street Synagogue', 'Fishermans Bastion', 'Hungarian National Museum'], ['Schonbrunn Palace', 'Karntnerstrasse', 'Wiener Riesenrad', 'Butterfly House'], ['Zoom Kinder Museum', 'Karlskirche'], ['Palace Of Justice', 'Kunsthistorisches Museum', 'Secession']]",01 Jul 2015,"Amsterdam,Amsterdam,Amsterdam,Dresden,Dresden,Dresden,Dresden,Prague,Prague,Prague,Budapest,Budapest,Budapest,Vienna,Vienna,Vienna",16 Jun 2015
,"[['Strahov Monastery', 'Lesser Town', 'Lennon Wall', 'Petrin Hill'], ['Old New Synagogue', 'Czech National Museum', 'Lobkowicz Palace', 'Prague Castle'], ['Troja Chateau', 'Old Town Hall Tower And Astronomical Clock', 'The Mucha Museum'], ['Jindrisska Tower', 'Museum Of Decorative Arts', 'K G B Museum', 'Prague National Gallery'], ['Grand Palais', 'Arc De Triomphe', 'Pantheon'], ['Louvre Museum'], ['Jardin Du Luxembourg', 'Louvre Pyramid', 'Musee National Du Moyen Age-Thermes Et Hotel De Cluny'], ['Opera De Paris Garnier', 'Musee D Orsay', 'Towers Of Notre Dame Cathedral'], ['Stadhuis Town Hall', 'Historium Brugge', 'Burg', 'Luc Vanlaere Harp Concert'], ['Folklore Museum Or Museum Voor Volkskunde', 'Cathedrale St-michel Et Ste-gudule', 'The Markt', 'Grote Markt'], ['Parc De Bruxelles- National Day Celebration', 'Minnewater Lake', 'Tomorrowland', 'Friet Museum', 'Belfort Van Gent'], ['Atomium And Mini Europe ', 'Bruges Waterways', 'Het Design Museum', 'Church Of Our Lady'], ['Van Gogh Museum', 'Anne Frank House', 'Oude Kerk', 'Heineken Experience', 'Amsterdam Canals'], ['De Wallen', 'Waterlooplein Flea Market', 'Rijksmuseum', 'Albert Cuyp Market', 'Concertgebouw'], ['Royal Palace', 'Bloemenmarkt', 'Dam Square', 'Jordaan Museum', 'Church Of St Nicholas']]",25 Jul 2015,"Prague,Prague,Prague,Prague,Paris,Paris,Paris,Paris,Bruges,Antwerp,Boom,Ghent,Amsterdam,Amsterdam,Amsterdam",11 Jul 2015
,"[['Sexmuseum', 'Nieuwmarkt Square', 'Waterlooplein Flea Market', 'Heineken Experience', 'Church Of St Nicholas'], ['De Wallen', 'Natura Artis Magistra', 'Amsterdam Tulip Museum', 'Royal Palace', 'Oude Kerk'], ['Hortus Botanicus', 'Bloemenmarkt', 'Molen Van Sloten', 'Fluorescent Art Museum', 'Amsterdam Canals'], ['Dappermarkt', 'Vondelpark', 'Antiekcentrum Amsterdam', 'Het Nationaal Brilmuseum', 'Stedelijk Museum'], ['Basilica Of The Holy Blood', 'Cathedrale St-michel Et Ste-gudule', 'Frites Cafes', 'Grote Markt', 'Carolus Boromeus Church'], ['Parc De Bruxelles- National Day Celebration', 'Parc De Zoologique', 'Delirium Cafe', 'Tomorrowland', 'Belfort Van Gent'], ['Atomium And Mini Europe ', 'Belfry And Market Hall Or Belfort And Market Hallen', 'Galeries Royales Saint-hubert', 'Gravensteen Castle'], ['Vienna Museum Of Natural History', 'Kunsthistorisches Museum'], ['Mozarthaus', 'Leopold Museum', 'Albertinaplatz'], ['Kunsthalle Wien', 'Secession', 'Capuchin Church And Crypt'], ['Basel Zoo', 'Mount Titlis', 'Lindenhof'], ['Titlis Bridge', 'Jesuit Church', 'Lake Lucerne', 'Burgseeli', 'Trummelbach Falls'], ['Cathedral At Munsterplatz', 'Bear Park', 'Lake Promenade', 'The Cathedral Munster']]",02 Jun 2015,"Amsterdam,Amsterdam,Amsterdam,Amsterdam,Antwerp,Lille,Ghent,Vienna,Vienna,Brno,Zurich,Interlaken,Zurich",21 May 2015
558b7fedfac2e50b6b000b8a,"[['Hanover Museum', 'Negril Lighthouse', 'Kool Runnings Waterpark', 'Fort Charlotte', 'The Court House And Clock Towera'], ['Hope Botanical Gardens And Hope Zoo', 'Sunshine Amusement Complex', 'Boon Hall Oasis', 'Devon House', 'Blue Mountains'], ['National Galley Of Jamaica', 'Trench Town Culture Yard', 'Cuddyz Sports Bar', 'Devon House I-scream', 'The Little Theatre'], ['Emancipation Park', 'National Heroes Park', 'Patrices Restaurant', 'Quad', 'Bob Marley Museum'], ['Miami Seaquarium', 'Calle Ocho Plaza', 'Freedom Tower'], ['Everglades National Park', 'Miami Childrens Museum'], ['South Beach', 'Zoo Miami', 'Nikki Beach Club'], ['Key West', 'Coral Castle'], ['Marlins Park', 'Zoological Wildlife Foundation', 'Sea Isle Marina', 'Fort Lauderdale Antique Car Museum'], ['Ethel M Chocolate Factory', 'Hoover Dam', 'Stratosphere Casino, Hotel And Tower', 'The Cosmopolitan Of Las Vegas'], ['Red Rock Canyon National Conservation Area', 'Adventuredome', 'Fountains Of Bellagio'], ['Van Gogh Museum', 'Vondelpark', 'Bloemenmarkt', 'Anne Frank House', 'Sexmuseum'], ['Royal Palace', 'Jordaan', 'Begijnhof', 'Stedelijk Museum', 'Concertgebouw'], ['Djemaa El Fna', 'Jardin Majorelle', 'El Badi Palace', 'Ali Ben Youssef Medersa'], ['Saadian Tombs', 'Musee De Marrakech', 'Hammam El Basha', 'Maison De La Photographie', 'La Bahia Palace'], ['Dar Si Said', 'The Souks Laksour', 'Tin Mal Mosque', 'Mellah', 'Les Bains De Marrakech'], ['Hassan Ii Mosque', 'Phared\\el Hank', 'Parc De La Ligue Arabe', 'Museum Of Moroccan Judaism']]",05 Dec 2015,"Negril,Kingston,Kingston,Kingston,Miami,Miami,Miami,Miami,Fort Lauderdale,Las Vegas,Las Vegas,Amsterdam,Amsterdam,Marrakesh,Marrakesh,Marrakesh,Casablanca",19 Nov 2015
,"[['Golden Lane', 'Nerudova Street', 'Prague Castle'], ['Charles Bridge', 'Old Town Hall Tower And Astronomical Clock', 'Stefanik Observatory'], ['Petrin Hill', 'Czech National Museum', 'Castle District'], ['Van Gogh Museum', 'Jordaan', 'Hortus Botanicus', 'Anne Frank House', 'Dampkring Coffee Shop'], ['Begijnhof', 'Concertgebouw', 'Rembrandtplein', 'Oude Kerk', 'Grey Area Coffeeshop'], ['Bloemenmarkt', 'Jordaan Museum', 'Houseboat Museum', 'Magere Brug', 'Mellow Yellow'], ['Kunsthistorisches Museum', 'Vienna Museum Of Natural History'], ['Mozarthaus', 'Leopold Museum', 'Albertinaplatz'], ['Kunsthalle Wien', 'Secession', 'Capuchin Church And Crypt'], ['Church Of Our Lady', 'Minnewater Lake', 'Historium Brugge', 'Luc Vanlaere Harp Concert'], ['Memling In Sint-jan Hospitaal Museum', 'Begijnhof Or Beguinage', 'Graslei And Korenlei'], ['Friet Museum', 'Historic Centre', 'Holy Saviour Cathedral', 'Basilica Of The Holy Blood'], ['Buda Castle', 'Matthias Church', 'Trinity Square'], ['Parliament House', 'Fishermans Bastion', 'Dohany Street Synagogue'], ['St Stephens Basilica', 'Szechenyi Medicinal Bath', 'Chain Bridge']]",15 Jul 2015,"Prague,Prague,Prague,Amsterdam,Amsterdam,Amsterdam,Vienna,Vienna,Brno,Bruges,Ghent,Bruges,Budapest,Budapest,Budapest",01 Jul 2015
,"[['Belvedere Palace', 'Historic Centre Of Vienna', 'Karlskirche'], ['St Stephens Cathedral', 'Schonbrunn Palace', 'Burgtheater'], ['Tyn Church', 'Charles Bridge', 'Jindrisska Tower', 'Golden Lane', 'The Dancing House'], ['St Vitus Cathedral', 'Petrin Hill', 'Old Town Hall Tower And Astronomical Clock'], ['Gedachtniskirche', 'Topography Of Terror', 'Museum Island', 'Brandenburg Gate', 'Holocaust Memorial'], ['Unter Den Linden', 'Museum Of Applied Art'], ['Van Gogh Museum', 'Vondelpark', 'Anne Frank House', 'Bloemenmarkt', 'Heineken Experience'], ['De Wallen', 'Begijnhof', 'Stedelijk Museum', 'Royal Palace', 'Concertgebouw'], ['Koelner Zoo', 'Old Town, Altstadt', 'Konigsallee', 'Kolner Dom', 'Hetjens Museum'], ['Kolumba', 'Rautenstrauch-joest-museum', 'Rheinturm']]",19 May 2015,"Vienna,Vienna,Prague,Prague,Berlin,Berlin,Amsterdam,Amsterdam,Dusseldorf,Dusseldorf",10 May 2015
,"[['Gravensteen Castle', 'Historic Centre', 'Notre Dame De La Treille', 'Tomorrowland', 'Mas - Museum Aan De Stroom'], ['Belfry And Market Hall Or Belfort And Market Hallen', 'Middelheim Sculpture Museum', 'Musee Hospice Comtesse', 'Grand Place', 'St. Bavo\\s Cathedral'], ['Antwerp Central Station', 'Palace Of Fine Arts, Le Palais Des Beaux Arts De Lille', 'Begijnhof Or Beguinage'], ['Cathedrale St-michel Et Ste-gudule', 'Grote Markt', 'La Vielle Bourse And La Furet Du Nord', 'Grande Place'], ['Atomium And Mini Europe ', 'Het Design Museum', 'Graslei And Korenlei'], ['De Wallen', 'Bloemenmarkt', 'Begijnhof', 'Heineken Experience'], ['Royal Palace', 'Jordaan', 'Leidseplein', 'Oude Kerk', 'Rembrandtplein'], ['Albert Cuyp Market', 'Nieuwmarkt Square', 'Hortus Botanicus', 'Dam Square', 'Amsterdam Canals'], ['Van Gogh Museum', 'Vondelpark', 'Waterlooplein Flea Market', 'Natura Artis Magistra', 'Openbare Bibliotheek'], ['Amsterdam Tulip Museum', 'Houseboat Museum', 'Het Nationaal Brilmuseum', 'Fluorescent Art Museum', 'Magere Brug'], ['The Brown Cafes', 'Art Plein Spui', 'Stedelijk Museum', 'Church Of St Nicholas', 'Antiekcentrum Amsterdam']]",31 Aug 2015,"Lille,Lille,Lille,Lille,Ghent,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Amsterdam",21 Aug 2015
