trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
09 Oct 2014,520dafaae705451f75000000,"[[u'Antwerp Central Station', u'Cathedral Of Our Lady', u'Grote Markt', u'Mas - Museum Aan De Stroom', u'Rubens House'], [u'Basilica Of The Holy Blood', u'Minnewater Lake', u'Begijnhof Or Beguinage', u'Bruges Waterways'], [u'Belfry And Market Hall Or Belfort And Market Hallen', u'The Markt', u'Choco-story Museum', u'Historic Centre']]",11 Oct 2014,"Antwerp,Bruges,Bruges"
12 Apr 2014,520dafaae705451f75000000,"[[u'Carolus Boromeus Church', u'Antwerp Zoo', u'Plantin-moretus Museum', u'Rubens House', u'Cathedral Of Our Lady', u'Zurenborg'], [u'Mas - Museum Aan De Stroom', u'St Pauls Church', u'Middelheim Sculpture Museum', u'Museum Mayer Van Den Bergh', u'Grote Markt', u'Antwerp Central Station']]",13 Apr 2014,"Antwerp,Antwerp"
17 Jun 2014,,"[[u'Carolus Boromeus Church', u'Antwerp Zoo', u'Cathedral Of Our Lady', u'Antwerp Central Station', u'Rubens House', u'Middelheim Sculpture Museum', u'Bourla Theatre'], [u'Historic Centre', u'Belfry And Market Hall Or Belfort And Market Hallen', u'Basilica Of The Holy Blood', u'The Markt'], [u'Begijnhof Or Beguinage', u'Minnewater Lake', u'Memling In Sint-jan Hospitaal Museum', u'Luc Vanlaere Harp Concert']]",19 Jun 2014,"Antwerp,Bruges,Bruges"
22 Feb 2014,520dafaae705451f75000000,"[[u'Antwerp Zoo', u'Plantin-moretus Museum', u'Cathedral Of Our Lady', u'Carolus Boromeus Church', u'Rubens House', u'Antwerp Central Station', u'Grote Markt']]",22 Feb 2014,Antwerp
14 Jul 2015,520dafaae705451f75000000,"[[u'St Anna Tunnel', u'Museum Mayer Van Den Bergh', u'Wok A Way', u'Middelheim Sculpture Museum'], [u'Antwerp Zoo', u'Cathedral Of Our Lady', u'Plantin-moretus Museum', u'Grote Markt'], [u'Carolus Boromeus Church', u'Rubens House', u'Cafe Den Engel', u'Rockox House']]",16 Jul 2015,"Antwerp,Antwerp,Antwerp"
07 Jun 2015,54f91950fbc2e55b0b000918,"[[u'Parc De Bruxelles- National Day Celebration', u'Moof Museum', u'Musical Instruments Museum', u'Grand Place'], [u'Autoworld', u'Atomium And Mini Europe ', u'Historic Centre'], [u'Gravensteen Castle', u'Graslei And Korenlei', u'Grote Markt'], [u'Antwerp Central Station', u'Mas - Museum Aan De Stroom', u'Antwerp Zoo'], [u'Anne Frank House', u'Rijksmuseum', u'Dam Square', u'Heineken Experience', u'Stedelijk Museum'], [u'De Wallen', u'Albert Cuyp Market', u'Oude Kerk', u'Concertgebouw', u'Amsterdam Historisch Museum'], [u'Van Gogh Museum', u'Bloemenmarkt', u'Royal Palace', u'Jordaan Museum', u'Amsterdam Canals'], [u'Gedachtniskirche', u'Holocaust Memorial', u'Museum Island', u'Topography Of Terror', u'Brandenburg Gate'], [u'Unter Den Linden', u'Museum Of Applied Art'], [u'Old Town Hall', u'Bmw Headquarters And Museum', u'The Alte Pinakothek', u'Hofbrauhaus'], [u'Cathedral Of Our Lady', u'Odeonsplatz', u'Munich Residenz', u'Dachau Concentration Camp'], [u'New Town Hall', u'Viktualienmarkt', u'Englischer Garten', u'Asam Church'], [u'The Jet D Eau', u'St Peters Cathedral', u'Museum Of Art And History', u'Lake Geneva'], [u'Louvre Museum', u'Champs Elysees', u'Versailles Palace'], [u'Jardin Du Luxembourg', u'Towers Of Notre Dame Cathedral', u'Eiffel Tower']]",22 Jun 2015,"[u'Brussels', [u'Brussels', u'Bruges'], [u'Ghent', u'Antwerp'], u'Antwerp', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Berlin', u'Berlin', u'Munich', u'Munich', u'Munich', u'Geneva', u'Paris', u'Paris']"
08 Nov 2015,,"[[u'Angelina', u'Sainte Chapelle', u'Towers Of Notre Dame Cathedral', u'La Defense', u'Arc Du Carrousel'], [u'La Conciergerie', u'Army Museum', u'Champs Elysees'], [u'Musee Dorsay', u'Palais Garnier', u'Pont Neuf', u'Arc De Triomphe'], [u'Notre Dame Du Sablon', u'Cathedrale St-michel Et Ste-gudule', u'Moof Museum', u'Galeries Royales Saint-hubert', u'Grand Place'], [u'Antwerp Central Station', u'Tomorrowland', u'Mas - Museum Aan De Stroom', u'Middelheim Sculpture Museum', u'Grote Markt'], [u'Van Gogh Museum', u'Vondelpark', u'Bloemenmarkt', u'Anne Frank House', u'Westerstraat Market'], [u'De Wallen', u'Begijnhof', u'Stedelijk Museum', u'Jordaan Museum', u'Royal Palace'], [u'Zoological Garden', u'Museum Island', u'Alexanderplatz'], [u'Pergamon Museum', u'Olympia Stadium', u'Holocaust Memorial', u'Brandenburg Gate'], [u'Reichstag', u'Gedachtniskirche', u'Potsdamer Platz'], [u'Lindenhof', u'Knies Kinderzoo', u'Kunsthaus', u'Polish Museum', u'Schloss Rapperswil'], [u'Lake Promenade', u'Fraumunster', u'Wooden Bridge From Rapperswil To Hurden', u'Bier Factory Rapperswil', u'Liebfrauenkapelle'], [u'Zurich Zoological Garden', u'Bahnhofstrasse'], [u'Cathedral Of Our Lady', u'Karlsplatz', u'Tiroler Landesmuseum Ferdinandeum, Tyrolean Provincial Museum', u'Munich Residenz'], [u'Tiroler Volkskunst Museum, Tyrolean Folk Art Museum', u'Marienplatz', u'Triumphpforte, Triumphal Arch', u'Annasaule, St. Anna\\s Column', u'Dom St Jakob, Cathedral Of St James'], [u'Santa Maria Del Mar', u'Arc De Triomf', u'Picasso Museum', u'Museu Nacional Dart De Catalunya', u'Castell Dels Tres Dragons'], [u'Camp Nou', u'Casa Mila', u'Cascada Monumental', u'Placa De Catalunya', u'Barcelona Cathedral'], [u'The Prado Museum', u'Parque Del Retiro'], [u'Warsaw Old Town', u'Warsaw Uprising Museum', u'Lazienki Park'], [u'Praga', u'Palace Of Culture And Science', u'The Royal Way', u'Tomb Of The Unknown Soldier', u'Old Town Square Market']]",27 Nov 2015,"[u'Paris', u'Paris', u'Paris', u'Brussels', [u'Antwerp', u'Boom'], u'Amsterdam', u'Amsterdam', u'Berlin', u'Berlin', u'Berlin', [u'Rapperswil', u'Zurich'], [u'Rapperswil', u'Zurich'], u'Zurich', [u'Innsbruck', u'Munich'], [u'Innsbruck', u'Munich'], u'Barcelona', u'Barcelona', u'Madrid', u'Warsaw', u'Warsaw']"
06 Jan 2017,55913a7df9c2e55f190002d7,"[[u'Parc De Bruxelles- National Day Celebration', u'Moof Museum', u'Musical Instruments Museum', u'Grand Place'], [u'Autoworld', u'Atomium And Mini Europe ', u'Historic Centre'], [u'Gravensteen Castle', u'Graslei And Korenlei', u'Grote Markt'], [u'Antwerp Central Station', u'Mas - Museum Aan De Stroom', u'Antwerp Zoo'], [u'Anne Frank House', u'Rijksmuseum', u'Dam Square', u'Heineken Experience', u'Stedelijk Museum'], [u'De Wallen', u'Albert Cuyp Market', u'Oude Kerk', u'Concertgebouw', u'Amsterdam Historisch Museum'], [u'Van Gogh Museum', u'Bloemenmarkt', u'Royal Palace', u'Jordaan Museum', u'Amsterdam Canals'], [u'Gedachtniskirche', u'Holocaust Memorial', u'Museum Island', u'Topography Of Terror', u'Brandenburg Gate'], [u'Unter Den Linden', u'Museum Of Applied Art'], [u'Old Town Hall', u'Bmw Headquarters And Museum', u'The Alte Pinakothek', u'Hofbrauhaus'], [u'Cathedral Of Our Lady', u'Odeonsplatz', u'Munich Residenz', u'Dachau Concentration Camp'], [u'New Town Hall', u'Viktualienmarkt', u'Englischer Garten', u'Asam Church'], [u'The Jet D Eau', u'St Peters Cathedral', u'Museum Of Art And History', u'Lake Geneva'], [u'Louvre Museum', u'Champs Elysees', u'Versailles Palace'], [u'Jardin Du Luxembourg', u'Towers Of Notre Dame Cathedral', u'Eiffel Tower']]",20 Jan 2017,"[u'Brussels', [u'Brussels', u'Bruges'], [u'Ghent', u'Antwerp'], u'Antwerp', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Berlin', u'Berlin', u'Munich', u'Munich', u'Munich', u'Geneva', u'Paris', u'Paris']"
07 Jul 2015,,"[[u'Castell De Montjuic', u'Park Guell', u'Museu Nacional Dart De Catalunya', u'Casa Mila'], [u'Sagrada Familia', u'Picasso Museum', u'Barceloneta'], [u'Camp Nou', u'Casa Batllo', u'Barcelona Cathedral', u'Poble Espanyol'], [u'Santa Maria Del Mar', u'Palau De La Musica Catalana', u'Barcelona Aquarium'], [u'Placa Major', u'Passeig Des Born', u'Museu Dart Espanyol Contemporani', u'Royal Palace Of La Almudaina', u'Es Baluard Contemporary Art Museum'], [u'Serra De Tramuntana', u'Bellver Castle', u'Pilar And Joan Miro Foundation In Mallorca', u'Sa Llotja'], [u'Cala Tarida', u'Punta Arabi Wednesday Hippy Market', u'Cala Conta'], [u'Santa Gertrudis'], [u'Promenade Des Anglais', u'Le Chateau Or The Castle Of Nice', u'Place Massena'], [u'Musee D Orsay', u'Rodin Museum'], [u'Musee De Larmee', u'Eiffel Tower'], [u'Louvre Museum'], [u'Madame Tussauds Museum', u'Big Ben London', u'Covent Garden', u'Buckingham Palace London'], [u'Kensington Palace', u'Tower Of London', u'The London Eye'], [u'Tower Bridge', u'London Aquarium', u'Hyde Park', u'Palace Of Westminster'], [u'Guinness Storehouse', u'Temple Bar Company', u'National Gallery Of Ireland', u'Old Jameson Distillery'], [u'Antwerp Central Station', u'Mas - Museum Aan De Stroom', u'Grote Markt', u'Middelheim Sculpture Museum', u'Tomorrowland'], [u'De Wallen', u'Van Gogh Museum', u'Bloemenmarkt', u'Anne Frank House', u'Sexmuseum'], [u'Rijksmuseum', u'Dam Square', u'Oude Kerk', u'Concertgebouw', u'Amsterdam Canals'], [u'Tierpark Hagenbeck', u'Hamburger Kunsthalle', u'Speicherstadt']]",26 Jul 2015,"[u'Barcelona', u'Barcelona', u'Barcelona', u'Barcelona', u'Palma De Mallorca', u'Palma De Mallorca', u'Ibiza', u'Ibiza', u'Nice', u'Paris', u'Paris', u'Paris', u'London', u'London', u'London', u'Dublin', [u'Antwerp', u'Boom'], u'Amsterdam', u'Amsterdam', u'Hamburg']"
07 Aug 2015,,"[[u'Big Ben London', u'Buckingham Palace London', u'The London Eye', u'Piccadilly Circus', u'Palace Of Westminster', u'St Jamess Park', u'Hyde Park', u'Tate Museum'], [u'Van Gogh Museum', u'Anne Frank House', u'Leidseplein', u'Stedelijk Museum', u'Sexmuseum'], [u'Rijksmuseum', u'Waterlooplein Flea Market', u'Dam Square', u'Concertgebouw', u'Albert Cuyp Market'], [u'Royal Palace', u'Bloemenmarkt', u'Begijnhof', u'Jordaan Museum', u'Amsterdam Canals'], [u'Vondelpark', u'Museum Amstelkring', u'Oude Kerk', u'Amsterdamse Bos', u'Church Of St Nicholas'], [u'Antwerp Central Station', u'Tomorrowland', u'Grote Markt', u'Middelheim Sculpture Museum', u'Mas - Museum Aan De Stroom'], [u'Parc De Bruxelles- National Day Celebration', u'Atomium And Mini Europe ', u'Moof Museum', u'Musical Instruments Museum', u'Grand Place'], [u'Musee D Orsay', u'Rodin Museum'], [u'Musee De Larmee', u'Eiffel Tower'], [u'Louvre Museum']]",16 Aug 2015,"[u'London', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', [u'Antwerp', u'Boom'], u'Brussels', u'Paris', u'Paris', u'Paris']"
