trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
26 Dec 2015,51f8d8e0e70545d964000000,"[[u'Smith - Mc Dowell House Museum', u'Basilica Of Saint Lawrence', u'Asheville Civic Center', u'Asheville Hot Air Balloons', u'Haunted Asheville Ghost Tours']]",26 Dec 2015,Asheville
04 Jul 2016,56c597098e4719a17e0001ab,"[[u'Basilica Of Saint Lawrence', u'Craggy Gardens', u'Biltmore Estate', u'Folk Art Center'], [u'Asheville Hot Air Balloons', u'Asheville Civic Center', u'Carl Sandburg Home National Historic Site'], [u'Western North Carolina Nature Center', u'Haunted Asheville Ghost Tours', u'Grove Arcade', u'Woolworth Walk'], [u'Biltmore Village'], [u'The Omni Grove Park Inn Spa', u'The Montford Park Players', u'Pack Square Park', u'Isis Music Hall'], [u'Lake Powhatan Recreation Area And Campground', u'Jackson Building', u'Asheville Mall', u'Asheville Pinball Museum'], [u'Chatlos Memorial Chapel', u'Urban Trail', u'Botanical Gardens At Asheville', u'Jack Of The Wood', u'Colburn Earth Science Museum']]",10 Jul 2016,"Asheville,Asheville,Asheville,Asheville,Asheville,Asheville,Asheville"
22 Jan 2016,5624ea853216f5115e000661,"[[u'Basilica Of Saint Lawrence', u'Biltmore Estate', u'Folk Art Center', u'Smith - Mc Dowell House Museum'], [u'Craggy Gardens', u'Asheville Civic Center', u'Thomas Wolfe House'], [u'Carl Sandburg Home National Historic Site', u'Western North Carolina Nature Center', u'Woolworth Walk', u'Mc Cormick Field']]",24 Jan 2016,"Asheville,Asheville,Asheville"
23 Jan 2016,,"[[u'Basilica Of Saint Lawrence', u'Biltmore Estate', u'Folk Art Center', u'Smith - Mc Dowell House Museum'], [u'Carl Sandburg Home National Historic Site', u'Asheville Civic Center', u'Craggy Gardens'], [u'Pisgah National Forest', u'Chatlos Memorial Chapel', u'Woolworth Walk', u'Black Mountain College Museum And Arts Center', u'Mc Cormick Field'], [u'Western North Carolina Farmers Market', u'Thomas Wolfe House', u'Western North Carolina Nature Center', u'The Cathedral Of All Souls'], [u'Asheville Outdoor Center', u'Asheville Art Museum', u'Colburn Earth Science Museum', u'Asheville Museum', u'River Arts District']]",27 Jan 2016,"Asheville,Asheville,Asheville,Asheville,Asheville"
07 Apr 2016,,"[[u'Basilica Of Saint Lawrence', u'Biltmore Estate', u'Folk Art Center', u'Smith - Mc Dowell House Museum'], [u'Craggy Gardens', u'Asheville Civic Center', u'Thomas Wolfe House'], [u'Carl Sandburg Home National Historic Site', u'Colburn Earth Science Museum', u'Woolworth Walk', u'Black Mountain College Museum And Arts Center', u'Mc Cormick Field'], [u'Western North Carolina Farmers Market', u'Asheville Art Museum', u'Western North Carolina Nature Center', u'The Cathedral Of All Souls'], [u'Pisgah National Forest', u'Chatlos Memorial Chapel', u'Asheville Museum', u'River Arts District']]",11 Apr 2016,"Asheville,Asheville,Asheville,Asheville,Asheville"
19 Dec 2015,51f8d8e0e70545d964000000,"[[u'Biltmore Estate', u'Thomas Wolfe House', u'Asheville Civic Center', u'Basilica Of Saint Lawrence'], [u'Folk Art Center', u'Western North Carolina Nature Center', u'The Cathedral Of All Souls', u'Asheville Hot Air Balloons'], [u'Asheville Pinball Museum', u'Haunted Asheville Ghost Tours', u'The Omni Grove Park Inn Spa', u'Biltmore Village']]",21 Dec 2015,"Asheville,Asheville,Asheville"
28 Dec 2015,567796aea6d46dbc4c000315,"[[u'Biltmore Estate', u'Craggy Gardens'], [u'Western North Carolina Nature Center', u'Thomas Wolfe House', u'Colburn Earth Science Museum', u'Mc Cormick Field'], [u'Pisgah National Forest', u'Chatlos Memorial Chapel', u'Asheville Art Museum', u'The Cathedral Of All Souls'], [u'Asheville Outdoor Center', u'Carl Sandburg Home National Historic Site', u'River Arts District', u'Black Mountain College Museum And Arts Center']]",31 Dec 2015,"Asheville,Asheville,Asheville,Asheville"
26 Jun 2016,,"[[u'Basilica Of Saint Lawrence', u'Biltmore Estate', u'Folk Art Center', u'Smith - Mc Dowell House Museum']]",26 Jun 2016,Asheville
30 May 2016,574b702a4e823145470005db,"[[u'Asheville Visitor Center', u'Asheville Outdoor Center', u'Asheville Zip-line Canopy Adventures', u'Craggy Gardens'], [u'Pisgah National Forest'], [u'Western North Carolina Farmers Market', u'Woolworth Walk', u'Asheville Mall']]",01 Jun 2016,"Asheville,Asheville,Asheville"
24 Dec 2015,5672e3a98527a5ad7a000a18,"[[u'Basilica Of Saint Lawrence', u'Biltmore Estate', u'Folk Art Center', u'Smith - Mc Dowell House Museum'], [u'Craggy Gardens', u'Asheville Civic Center', u'Thomas Wolfe House'], [u'Carl Sandburg Home National Historic Site', u'Chatlos Memorial Chapel', u'Colburn Earth Science Museum', u'Woolworth Walk', u'Mc Cormick Field'], [u'Asheville Outdoor Center', u'Western North Carolina Nature Center', u'Asheville Art Museum', u'Asheville Museum', u'The Cathedral Of All Souls']]",27 Dec 2015,"Asheville,Asheville,Asheville,Asheville"
12 Mar 2016,56d5f88069d56dfc5f00009b,"[[u'Dallas City Center', u'Hot Springs City Center', u'This time has been blocked by you. You can remove/edit this time.', u'Extreme Fun Spot', u'Hot Springs Mountain', u'The Galaxy Connection', u'Hot Springs Mountain Tower'], [u'Hot Springs City Center', u'Memphis City Center', u'This time has been blocked by you. You can remove/edit this time.', u'Gibson Factory', u'The Peabody Ducks', u'Beale Street'], [u'Memphis City Center', u'Nashville City Center', u'The Johnny Cash Museum', u'Ryman Auditorium', u'Opryland Hotel Gardens'], [u'Nashville International Airport', u'Charleston International Airport', u'Charleston Water Taxi'], [u'Magnolia Plantation And Gardens', u'The Calhoun Mansion', u'Nathaniel Russell House', u'Old City Market', u'Sound Of Charleston'], [u'Charleston City Center', u'Asheville City Center', u'Chatlos Memorial Chapel', u'Folk Art Center', u'Blue Ridge Parkway'], [u'Biltmore Estate', u'Basilica Of Saint Lawrence', u'Carl Sandburg Home National Historic Site', u'Asheville Hot Air Balloons', u'Craggy Gardens'], [u'Mc Cormick Field', u'Asheville Civic Center', u'Woolworth Walk', u'Asheville Regional Airport', u'Dallas Love Field Airport']]",19 Mar 2016,"[u'Hot Springs', u'Memphis', u'Nashville', [u'Charleston', u'Nashville'], u'Charleston', u'Asheville', u'Asheville', [u'Asheville', u'Fletcher', u'Dallas']]"
13 Mar 2016,520dafaae705451f75000000,"[[u'Basilica Of Saint Lawrence', u'Biltmore Estate', u'Folk Art Center', u'Smith - Mc Dowell House Museum'], [u'Pisgah National Forest', u'Craggy Gardens'], [u'Country Music Hall Of Fame And Museum', u'Ryman Auditorium', u'The Johnny Cash Museum', u'Opryland Hotel Gardens'], [u'The Hermitage, Home Of President Andrew Jackson', u'The Escape Game', u'Ernest Tubb Record Shop', u'Gaylord Entertainment Centre'], [u'Music Row', u'Centennial Park', u'Belle Meade Plantation', u'Cumberland Park']]",17 Mar 2016,"Asheville,Asheville,Nashville,Nashville,Nashville"
06 May 2016,,"[[u'Cracker Barrel', u'Big Rock Dude Ranch At Ponderosa', u'Christmas Place'], [u'Dollywood'], [u'Alewine Pottery', u'Parrot Mountain And Gardens', u'Wild Bear Falls Indoor Waterpark'], [u'Basilica Of Saint Lawrence', u'Smith - Mc Dowell House Museum', u'Folk Art Center', u'Biltmore Estate'], [u'Craggy Gardens', u'Asheville Civic Center', u'Thomas Wolfe House'], [u'Carl Sandburg Home National Historic Site', u'Western North Carolina Nature Center', u'Woolworth Walk', u'Mc Cormick Field']]",11 May 2016,"[u'Pigeon Forge', u'Pigeon Forge', [u'Pigeon Forge', u'Gatlinburg'], u'Asheville', u'Asheville', u'Asheville']"
17 Mar 2016,5602ce06ec796faa66000427,"[[u'Basilica Of Saint Lawrence', u'Biltmore Estate', u'Folk Art Center', u'Smith - Mc Dowell House Museum'], [u'Craggy Gardens', u'Asheville Civic Center', u'Thomas Wolfe House'], [u'Carl Sandburg Home National Historic Site', u'Chatlos Memorial Chapel', u'Colburn Earth Science Museum', u'Woolworth Walk', u'Mc Cormick Field'], [u'Asheville Outdoor Center', u'Western North Carolina Nature Center', u'Asheville Art Museum', u'Asheville Museum', u'The Cathedral Of All Souls']]",20 Mar 2016,"Asheville,Asheville,Asheville,Asheville"
