trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
08 Feb 2014,520dafaae705451f75000000,"[[u'Filopappos Hill', u'Temple Of Athena Nike', u'Odeon Of Herodes Atticus', u'Acropolis', u'Erechtheion', u'Parthenon', u'Ancient Agora'], [u'Temple Of Apollo', u'Roman Agora', u'Kerameikos Cemetery', u'Temple Of Olympian Zeus', u'Theatre Of Dionysus', u'Grand Mitropolis Cathedral', u'Plaka']]",09 Feb 2014,"Athens,Athens"
07 Jul 2015,,"[[u'The Alcazar', u'Torre Del Oro Or Gold Tower', u'Museo De Bellas Artes'], [u'Basilica Macarena', u'Casa De Pilatos', u'The Cathedral Of Seville'], [u'Madrid Cable Car', u'Mercado San Miguel', u'Madrid Rio', u'Plaza Mayor'], [u'Royal Palace Of Madrid', u'Parque La Quinta De Los Molinos'], [u'Barcelona Cathedral', u'Picasso Museum', u'The Magic Fountain At Montjuic'], [u'Barceloneta', u'Casa Mila', u'La Boqueria'], [u'St. Marguerite', u'Rue D Antibes'], [u'Parfumerie Molinard', u'Saint Honorat'], [u'Genoa Cathedral', u'Palazzi Dei Rolli', u'Via Garibaldi', u'Passeggiata Anita Garibaldi A Nervi'], [u'Boccadasse', u'Old Port', u'Church Of Jesus And The Saints Ambrogio And Andrea', u'Royal Palace Museum'], [u'St Peters Basilica', u'Pantheon'], [u'Spanish Steps', u'Piazza Navona', u'Sistine Chapel', u'Vatican Museums', u'Trevi Fountain'], [u'Il Vallone Dei Mulini', u'Piazza Tasso', u'Centro Storico'], [u'Villa Comunale Park', u'Marina Grande'], [u'Basilica Di Santa Maria Del Fiore', u'Florence Baptistery', u'Giottos Campanile'], [u'Bargello Museum And Palace', u'The Oltrarno', u'Ponte Vecchio'], [u'St Marks Campanile ', u'St Marks Square'], [u'Doges Palace', u'Murano', u'Burano', u'Saint Marks Basilica'], [u'Acropolis', u'Temple Of Athena Nike', u'Athens International Airport'], [u'Parthenon', u'Temple Of Hephaestus']]",26 Jul 2015,"[u'Seville', u'Seville', u'Madrid', u'Madrid', u'Barcelona', u'Barcelona', u'Cannes', u'Cannes', u'Genoa', u'Genoa', u'Rome', [u'Rome', u'Vatican City'], u'Sorrento', u'Sorrento', u'Florence', u'Florence', u'Venice', u'Venice', u'Athens', u'Athens']"
30 Jun 2016,551c21b60c1d0ac77e0001c8,"[[u'Centro De Arte Reina Sofia', u'The Prado Museum', u'Plaza Mayor'], [u'El Rastro', u'Jardins Do Templo De Debod', u'Plaza De La Villa'], [u'The Magic Fountain At Montjuic', u'Sagrada Familia', u'Picasso Museum'], [u'Camp Nou', u'Poble Espanyol', u'La Rambla'], [u'Sainte Chapelle', u'Sacre Coeur Montmartrel', u'Pantheon'], [u'Catacombs Of Paris', u'Towers Of Notre Dame Cathedral', u'Eiffel Tower', u'Champs Elysees'], [u'Galleria Dell Accademia', u'St Marks Square', u'Peggy Guggenheim Collection'], [u'Doges Palace', u'Grand Canal', u'Gondola Ride', u'Torre Dell Orologio St Marks Clocktower'], [u'Parco Delle Cascade', u'San Zeno Maggiore Church', u'Casa Di Giulietta', u'Piazaa Del Erbe', u'Lamborghini Museum'], [u'Arena Di Verona', u'Museo Di Castle Vecchio', u'Villa Mosconi Bertani', u'Via Mazzini', u'Piazza Bra'], [u'St Peters Basilica', u'Roman Forum'], [u'Castle San Angelo', u'Vatican Museums'], [u'Duomo Cathedral Or Cathedral Of San Gennaro', u'Mt Vesuvius', u'Royal Palace Or Palazzo Reale', u'Il Cimitero Delle Fontanelle', u'Lungomare'], [u'Catacombe Di San Gennaro', u'The National Archaeological Museum Of Naples', u'Certosa Di San Martino Or Museum And Monastery Of San Martino ', u'Via Dei Tribunali', u'Museo Bottega Della Tarsia Lignea'], [u'Helbrunn Castle', u'Mirabelle Palace And Gardens', u'Petersfriedhof', u'Wasserspiele', u'Salzburg Old Town'], [u'Nonnberg Convent', u'Red Bull Hangar', u'Untersberg', u'Mozart Residence', u'Mozart Dinner Concerts'], [u'Van Gogh Museum', u'Bloemenmarkt', u'Vondelpark', u'Heineken Experience', u'Anne Frank House'], [u'De Wallen', u'Begijnhof', u'Concertgebouw', u'Royal Palace', u'Stedelijk Museum'], [u'Erechtheion', u'Acropolis', u'Odeon Of Herodes Atticus'], [u'Acropolis Museum', u'Temple Of Athena Nike', u'Ancient Agora', u'Parthenon']]",19 Jul 2016,"[u'Madrid', u'Madrid', u'Barcelona', u'Barcelona', u'Paris', u'Paris', u'Venice', u'Venice', [u'Bologna', u'Verona'], u'Verona', u'Rome', u'Rome', u'Naples', [u'Naples', u'Sorrento'], u'Salzburg', u'Salzburg', u'Amsterdam', u'Amsterdam', u'Athens', u'Athens']"
06 Jul 2016,,"[[u'Acropolis', u'Temple Of Athena Nike', u'Odeon Of Herodes Atticus'], [u'Erechtheion', u'Acropolis Museum', u'Parthenon'], [u'St Peters Basilica', u'Sistine Chapel'], [u'Museum Of The Holy Souls', u'Santa Maria Sopra Minerva', u'Colosseum', u'Domus Aurea', u'Castle San Angelo'], [u'Sainte Chapelle', u'Sacre Coeur Montmartrel', u'Towers Of Notre Dame Cathedral', u'Grand Palais'], [u'Louvre Museum'], [u'Butterfly House', u'Belvedere Palace', u'Historic Centre Of Vienna'], [u'St Stephens Cathedral', u'Schonbrunn Palace', u'Palace Of Justice', u'Karntnerstrasse'], [u'Koelner Zoo', u'Rheinturm', u'Kolner Dom'], [u'Altes Rathaus', u'Old Town, Altstadt', u'Kolumba', u'Goethe Museum', u'Heinrich Heine Institut'], [u'Warsaw Old Town', u'Warsaw Uprising Museum', u'Lazienki Park'], [u'Palace Of Culture And Science', u'Copernicus Science Centre', u'Fryderyk Chopin Museum', u'Warsaw National Museum'], [u'Botanical Garden', u'Copenhagen Zoo', u'The Round Tower'], [u'Christiania', u'The National Museum'], [u'Madame Tussauds Museum', u'Buckingham Palace London', u'Piccadilly Circus'], [u'Westminster Abbey', u'The London Eye', u'Harrods'], [u'Dublin Castle', u'National Gallery Of Ireland', u'Henry Street'], [u'St Stephens Greens', u'General Post Office', u'Guinness Storehouse', u'Dublin Zoo', u'Temple Bar Company'], [u'Sydney Opera House', u'Sydney Tower', u'Sydney Cricket Ground'], [u'Vaucluse House', u'Tuggerah Lake', u'Sydney Harbour Bridge']]",25 Jul 2016,"[u'Athens', u'Athens', [u'Rome', u'Vatican City'], u'Rome', u'Paris', u'Paris', u'Vienna', u'Vienna', [u'Cologne', u'Dusseldorf'], [u'Cologne', u'Dusseldorf'], u'Warsaw', u'Warsaw', u'Copenhagen', u'Copenhagen', u'London', u'London', u'Dublin', u'Dublin', u'Sydney', [u'Sydney', u'Newcastle']]"
08 Mar 2015,,"[[u'Buckingham Palace London', u'Big Ben London', u'Natural History Museum'], [u'Tower Of London', u'Tate Modern', u'The London Eye'], [u'Trafalgar Square', u'Canary Wharf', u'London Aquarium', u'Tower Bridge'], [u'Westminster Abbey', u'Madame Tussauds Museum', u'Piccadilly Circus'], [u'St Pauls Cathedral', u'Harrods', u'Palace Of Westminster'], [u'Guinness Storehouse', u'Phoenix Park'], [u'Dublin Zoo', u'Dublin Castle', u'O-connell Street'], [u'Trinity College Dublin', u'Kilmainham Gaol', u'National Museum Of Ireland Archaeology', u'Temple Bar Company'], [u'National Museum Of Ireland Decorative Arts And History', u'The Governor And Co Of Bank Of Ireland', u'Grafton Street', u'Georgian Dublin'], [u'St Patricks Cathedral', u'National Gallery Of Ireland', u'Nassau Street', u'Henry Street'], [u'Acropolis', u'Anafiotika', u'Goulandris Museum Of Cycladic Art'], [u'Omonoia Square', u'Acropolis Museum', u'Temple Of Hephaestus', u'Byzantine Museum'], [u'Kaisariani Monastery', u'Adventure Room', u'Athens War Museum', u'Odeon Of Herodes Atticus'], [u'Panathenaic Stadium', u'Parthenon', u'Estiatorio Milos Athens'], [u'Benaki Museum', u'Ancient Agora', u'Temple Of Olympian Zeus', u'Arch Of Hadrian'], [u'Louvre Pyramid', u'Champ De Mars', u'Saint Germain Des Pres', u'Boulevard Richard-lenoir'], [u'Grand Palais', u'La Madeleine Church', u'Bateaux Parisiens River Cruise', u'Pantheon'], [u'Galeries Lafayette', u'Arc De Triomphe', u'Marais Square Of Vosges'], [u'Parc Monceau', u'Champs Elysees', u'Cafe Cinema Merci'], [u'Tour St-jacques', u'La Defense', u'Eiffel Tower']]",27 Mar 2015,"London,London,London,London,London,Dublin,Dublin,Dublin,Dublin,Dublin,Athens,Athens,Athens,Athens,Athens,Paris,Paris,Paris,Paris,Paris"
08 Mar 2015,,"[[u'Louvre Pyramid', u'Champ De Mars', u'Saint Germain Des Pres', u'Boulevard Richard-lenoir'], [u'Grand Palais', u'La Madeleine Church', u'Bateaux Parisiens River Cruise', u'Pantheon'], [u'Galeries Lafayette', u'Arc De Triomphe', u'Marais Square Of Vosges'], [u'Parc Monceau', u'Champs Elysees', u'Cafe Cinema Merci'], [u'Tour St-jacques', u'La Defense', u'Eiffel Tower'], [u'Buckingham Palace London', u'Natural History Museum', u'Big Ben London'], [u'Tower Of London', u'Tate Modern', u'The London Eye'], [u'Trafalgar Square', u'Canary Wharf', u'London Aquarium', u'Tower Bridge'], [u'Westminster Abbey', u'Madame Tussauds Museum', u'Piccadilly Circus'], [u'St Pauls Cathedral', u'Harrods', u'Palace Of Westminster'], [u'Guinness Storehouse', u'Phoenix Park'], [u'Dublin Zoo', u'Dublin Castle', u'O-connell Street'], [u'Trinity College Dublin', u'Kilmainham Gaol', u'National Museum Of Ireland Archaeology', u'Temple Bar Company'], [u'National Museum Of Ireland Decorative Arts And History', u'The Governor And Co Of Bank Of Ireland', u'Grafton Street', u'Georgian Dublin'], [u'St Patricks Cathedral', u'National Gallery Of Ireland', u'Nassau Street', u'Henry Street'], [u'Acropolis', u'Anafiotika', u'Goulandris Museum Of Cycladic Art'], [u'Omonoia Square', u'Acropolis Museum', u'Temple Of Hephaestus', u'Byzantine Museum'], [u'Kaisariani Monastery', u'Adventure Room', u'Athens War Museum', u'Odeon Of Herodes Atticus'], [u'Panathenaic Stadium', u'Parthenon', u'Estiatorio Milos Athens'], [u'Benaki Museum', u'Ancient Agora', u'Temple Of Olympian Zeus', u'Arch Of Hadrian']]",27 Mar 2015,"Paris,Paris,Paris,Paris,Paris,London,London,London,London,London,Dublin,Dublin,Dublin,Dublin,Dublin,Athens,Athens,Athens,Athens,Athens"
22 Jul 2015,,"[[u'Botanical Garden', u'National Aquarium Copenhagen', u'Copenhagen Zoo', u'The Little Mermaid Statue'], [u'Kastellet', u'Nyhavn', u'The National Museum'], [u'The National Gallery Of Denmark', u'Tivoli Gardens', u'Stroget'], [u'Christiania', u'Ny Carlsberg Glyptotek'], [u'Nordic Museum', u'Stadshuset', u'Ostermalmshallen', u'Strandvagen', u'Royal Swedish Opera'], [u'Royal Palace', u'Vasa Museum', u'Dramaten', u'Stadsbiblioteket', u'Historiska Museet'], [u'Drottningholm Palace', u'Kings Garden', u'Tyska Kyrkan', u'Konserthuset', u'Globe Arena'], [u'St Vitus Cathedral', u'The Mucha Museum', u'National Theatre'], [u'Petrin Hill', u'Lesser Town'], [u'Jindrisska Tower', u'Lobkowicz Palace', u'Old Town Hall Tower And Astronomical Clock', u'The Dancing House'], [u'Parliament House', u'Buda Castle', u'Chain Bridge'], [u'Central Market Hall', u'Fishermans Bastion'], [u'Gellert Hill', u'St Stephens Basilica', u'Budapest Opera House Or State Opera House'], [u'Acropolis', u'Parthenon', u'Temple Of Athena Nike'], [u'Delos', u'Paradise Beach'], [u'The Windmills', u'Little Venice', u'Church Of Paraportiani', u'Mykonos Folklore Museum']]",06 Aug 2015,"Copenhagen,Copenhagen,Copenhagen,Copenhagen,Stockholm,Stockholm,Stockholm,Prague,Prague,Prague,Budapest,Budapest,Budapest,Athens,Mykonos,Mykonos"
29 Oct 2015,,"[[u'Acropolis', u'Temple Of Athena Nike', u'Odeon Of Herodes Atticus'], [u'Erechtheion', u'Acropolis Museum', u'Parthenon'], [u'Akrotiri Archaeological Site', u'Red Beach'], [u'Cultural Centre Megaro Gyzi', u'Ancient Thira', u'White Beach', u'Oia Village'], [u'Museum Of Prehistoric Thira', u'Kamari Village', u'Fira'], [u'Delos', u'Platis Gialos Beach'], [u'Elia Beach', u'Panormos Beach'], [u'Paradise Beach', u'Little Venice'], [u'Pamukkale Natural Park', u'The Travertine- Pamukkale Thermal Pools', u'Roman Amphitheatre Of Hierapolis'], [u'Ataturk Mausoleum Or AnitKabir', u'Ankara Castle Or Citadel', u'Atakule Tower'], [u'Museum Of Anatolian Civilizations', u'Ankamall Alisveris Merkezi', u'Hamamonu Restored Area'], [u'Galata Tower', u'Sultan Ahmed Mosque', u'Istiklal Avenue', u'Basilica Cistern', u'Hagia Sophia'], [u'Suleymaniye Mosque', u'Dolmabahce Palace', u'Topkapi Palace', u'Hodjapasha Cultural Center']]",10 Nov 2015,"Athens,Athens,Santorini,Santorini,Santorini,Mykonos,Mykonos,Mykonos,Pamukkale,Ankara,Ankara,Istanbul,Istanbul"
01 Jun 2015,,"[[u'St Georges Castle', u'Capuchos Convent', u'Central Mosque Of Lisbon'], [u'Castle Of Sao Jorge', u'Santa Marta Lighthouse Museum', u'Praca Do Comercio', u'Alfama District'], [u'Royal Palace Of Madrid', u'Royal Theatre', u'Plaza Mayor'], [u'Palacio De Santa Cruz', u'Las Ventas', u'Almudena Cathedral And Crypt', u'Museo Arqueologico Nacional'], [u'El Parque Del Buen Retiro', u'The Prado Museum', u'Faunia'], [u'Park Guell', u'Castell De Montjuic', u'Sagrada Familia'], [u'Santa Maria Del Mar', u'Picasso Museum', u'Barcelona Aquarium'], [u'Camp Nou', u'Casa Batllo', u'La Rambla', u'Barcelona Cathedral'], [u'Angelina', u'Disneyland', u'Towers Of Notre Dame Cathedral', u'Grand Palais', u'Sainte Chapelle'], [u'Jardin Du Luxembourg', u'Cafe Cinema Merci', u'L\\ange 20 Restaurant'], [u'The Palais Royal', u'Champ De Mars', u'La Madeleine Church', u'Pantheon'], [u'Lindenhof', u'St Peters Church', u'Bahnhofstrasse', u'Schanzengraben', u'Fraumunster'], [u'Lake Promenade', u'Zurich Zoological Garden', u'Urania Observatory'], [u'Fish Market', u'Doges Palace', u'St Marks Square', u'Carnevale'], [u'Rialto Market', u'Palace Of Law Or Palazzo Della Ragione', u'Grand Canal', u'Alice In Wonderland Fine Arts Gallery', u'Gondola Ride'], [u'Roman Forum', u'Colosseum', u'Santa Maria Sopra Minerva', u'Spanish Steps'], [u'Christian Catacombs Of San Callisto', u'Vatican Museums', u'Museum Of The Holy Souls', u'Trevi Fountain'], [u'Acropolis', u'Temple Of Hephaestus', u'Temple Of Athena Nike'], [u'National Archaeological Museum', u'Parthenon', u'Temple Of Olympian Zeus'], [u'Athens War Museum', u'Acropolis Museum', u'Odeon Of Herodes Atticus', u'Temple Of Poseidon']]",20 Jun 2015,"[[u'Lisbon', u'Sintra'], [u'Lisbon', u'Cascais'], u'Madrid', u'Madrid', u'Madrid', u'Barcelona', u'Barcelona', u'Barcelona', u'Paris', u'Paris', u'Paris', u'Zurich', u'Zurich', u'Venice', [u'Padua', u'Venice'], u'Rome', u'Rome', u'Athens', u'Athens', u'Athens']"
29 Oct 2015,,"[[u'Odeon Of Herodes Atticus', u'Temple Of Athena Nike', u'Lykavittos Hill'], [u'Erechtheion', u'Parthenon', u'Syntagma Square', u'Filopappos Hill'], [u'National Archaeological Museum', u'Plaka', u'Ancient Agora'], [u'Ancient Thira', u'Ammoudi Bay'], [u'Akrotiri Archaeological Site', u'Oia Village'], [u'Museum Of Prehistoric Thira', u'Kamari Village', u'White Beach', u'Red Beach'], [u'Delos', u'Platis Gialos Beach'], [u'Elia Beach', u'Panormos Beach'], [u'Paradise Beach', u'Little Venice'], [u'Suleymaniye Mosque', u'Galata Bridge', u'Grand Bazaar', u'Sultan Ahmed Mosque'], [u'Rumelihisari', u'Dolmabahce Palace', u'Taksim Square', u'Ortakoy', u'Spice Bazar'], [u'Aynalikavak Palace', u'Bagdat Street', u'Basilica Cistern', u'Hagia Sophia', u'Istanbul Archaeological Museum'], [u'The Travertine- Pamukkale Thermal Pools', u'Pamukkale Natural Park', u'Hierapolis Museum']]",11 Nov 2015,"Athens,Athens,Athens,Santorini,Santorini,Santorini,Mykonos,Mykonos,Mykonos,Istanbul,Istanbul,Istanbul,Pamukkale"
