trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
12 May 2017,5006cebb76a2954457000002,"[[u'Residence Inn Austin Downtown / Convention Center', u'The Driskill', u'State Capitol', u'Bob Bullock Texas State History Museum', u'6th Street', u'Residence Inn Austin Downtown / Convention Center'], [u'Residence Inn Austin Downtown / Convention Center', u'Austin Bats', u'Lady Bird Lake Hike And Bike Trail', u'Zilker Metropolitan Park', u'Residence Inn Austin Downtown / Convention Center']]",13 May 2017,"Austin,Austin"
03 Jan 2017,,"[[u'Residence Inn Austin Downtown / Convention Center', u'The Driskill', u'State Capitol', u'Bob Bullock Texas State History Museum', u'HOPE Outdoor Gallery', u'Lady Bird Lake Hike And Bike Trail', u'Residence Inn Austin Downtown / Convention Center'], [u'Residence Inn Austin Downtown / Convention Center', u'Austin Bats', u'6th Street', u'LBJ Presidential Library', u'Cathedral Of Junk', u'Residence Inn Austin Downtown / Convention Center'], [u'Residence Inn Austin Downtown / Convention Center', u'Mount Bonnell', u'Texas Military Forces Museum', u'Zilker Metropolitan Park', u'Residence Inn Austin Downtown / Convention Center'], [u'Residence Inn Austin Downtown / Convention Center', u'Lady Bird Johnson Wildflower Center', u'Umlauf Sculpture Garden And Museum', u'Austin Zoo', u'Residence Inn Austin Downtown / Convention Center']]",06 Jan 2017,"Austin,Austin,Austin,Austin"
29 Dec 2014,,"[[u'Lady Bird Lake Hike And Bike Trail', u'LBJ Presidential Library', u'Austin Bats'], [u'Bob Bullock Texas State History Museum', u'Lady Bird Johnson Wildflower Center', u'Mount Bonnell', u'6th Street'], [u'Natural Bridge Caverns', u'Natural Bridge Wildlife Ranch', u'Austin Zoo', u'McKinney Falls State Park'], [u'Westcave Preserve', u'Texas Military Forces Museum', u'Zilker Metropolitan Park', u'Cathedral Of Junk'], [u'Umlauf Sculpture Garden And Museum', u'HOPE Outdoor Gallery']]",02 Jan 2015,"[u'Austin', u'Austin', [u'San Antonio', u'Austin'], u'Austin', u'Austin']"
01 Sep 2015,558c85fbf9c2e58f1a000a2a,"[[u'State Capitol', u'Bob Bullock Texas State History Museum', u'Austin Bats'], [u'LBJ Presidential Library', u'Lady Bird Lake Hike And Bike Trail'], [u'Lady Bird Johnson Wildflower Center', u'HOPE Outdoor Gallery', u'The Driskill'], [u'Austin Zoo', u'Umlauf Sculpture Garden And Museum', u'Mount Bonnell'], [u'Texas Military Forces Museum', u'6th Street'], [u'Westcave Preserve', u'Zilker Metropolitan Park'], [u'McKinney Falls State Park'], [u'Cathedral Of Junk'], [u'The Dallas World Aquarium', u'Sixth Floor Museum, Dealey Plaza', u'Klyde Warren Park'], [u'Dallas Arboretum And Botanical Gardens', u'Reunion Tower', u'John F. Kennedy Memorial'], [u'Pioneer Plaza', u'Dallas Zoo', u'Dallas Heritage Village'], [u'American Airlines Cr Smith Museum', u'The Murder Mystery Company - Eddie Deen\\s Ranch'], [u'Meadows Museum Of Art', u'Dallas Museum Of Art', u'Swiss Avenue Historic District'], [u'Thanks-giving Square', u'George W. Bush Presidential Library And Museum', u'Dealey Plaza, Grassy Knoll, National Historic Landmark District'], [u'Morton H. Meyerson Symphony Center']]",15 Sep 2015,"[u'Austin', u'Austin', u'Austin', u'Austin', u'Austin', u'Austin', u'Austin', u'Austin', u'Dallas', u'Dallas', u'Dallas', [u'Fort Worth', u'Dallas'], u'Dallas', u'Dallas', u'Dallas']"
20 May 2016,,"[[u'St. Louis Cathedral', u'Mardi Gras World Or Festival', u'Jackson Square', u'City Park', u'Lake Pontchartrain'], [u'Audubon Aquarium Of The Americas', u'French Quarter', u'Mercedes Benz Superdome', u'Voodoo Spiritual Temple', u'Angelo Brocato Ice Cream'], [u'Woldenberg Riverfront Park', u'New Orleans Botanical Garden', u'Audubon Butterfly Garden And Insectarium', u'The Sydney And Waldabesthoff Sculpture Garden', u'1850 House'], [u'State Capitol', u'Bob Bullock Texas State History Museum', u'Austin Bats', u'Mount Bonnell'], [u'Westcave Preserve', u'Austin Zoo', u'McKinney Falls State Park', u'The Driskill'], [u'Texas Military Forces Museum', u'Natural Bridge Caverns', u'Umlauf Sculpture Garden And Museum'], [u'Petroglyph National Monument', u'Old Town Albuquerque'], [u'Albuquerque Bio Park', u'New Mexico Museum Of Natural History And Science', u'Sandia Peak Tramway'], [u'San Felipe De Neri Church', u'National Hispanic Cultural Center', u'Indian Pueblo Cultural Center', u'The National Museum Of Nuclear Science And History'], [u'South Mountain Park', u'Desert Bontanical Garden'], [u'Childrens Museum Of Phoenix', u'Phoenix Art Museum'], [u'Encanto Park', u'Arizona Science Center'], [u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Lombard Street', u'San Francisco Cable Car Museum', u'Exploratorium', u'House Of Air'], [u'California Academy Of Sciences', u'Union Square'], [u'Columbia River Gorge National Scenic Area', u'Portland Japanese Garden', u'International Rose Test Garden'], [u'Willamette Valley', u'Oneonta Gorge'], [u'Ye Olde Curiosity Shop', u'Emp Museum', u'Pacific Science Center', u'Seattle Center', u'918 E John St'], [u'Woodland Park Zoo', u'Bill And Melinda Gates Foundation Visitor Centre', u'Space Needle', u'Pioneer Square']]",08 Jun 2016,"[u'New Orleans', u'New Orleans', u'New Orleans', u'Austin', u'Austin', [u'San Antonio', u'Austin'], u'Albuquerque', u'Albuquerque', u'Albuquerque', u'Phoenix', u'Phoenix', u'Phoenix', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'San Francisco', u'San Francisco', u'Portland', u'Portland', u'Seattle', u'Seattle']"
29 May 2017,53609814f9c2e5e26100004d,"[[u'Residence Inn Austin Downtown / Convention Center', u'The Driskill', u'State Capitol', u'Bob Bullock Texas State History Museum', u'HOPE Outdoor Gallery', u'Lady Bird Lake Hike And Bike Trail', u'Residence Inn Austin Downtown / Convention Center'], [u'Residence Inn Austin Downtown / Convention Center', u'Austin Bats', u'6th Street', u'LBJ Presidential Library', u'Cathedral Of Junk', u'Residence Inn Austin Downtown / Convention Center'], [u'Residence Inn Austin Downtown / Convention Center', u'Mount Bonnell', u'Texas Military Forces Museum', u'Zilker Metropolitan Park', u'Residence Inn Austin Downtown / Convention Center'], [u'Residence Inn Austin Downtown / Convention Center', u'Lady Bird Johnson Wildflower Center', u'Umlauf Sculpture Garden And Museum', u'Austin Zoo', u'Residence Inn Austin Downtown / Convention Center'], [u'Residence Inn Austin Downtown / Convention Center', u'McKinney Falls State Park', u'Residence Inn Austin Downtown / Convention Center'], [u'Residence Inn Austin Downtown / Convention Center', u'Westcave Preserve', u'Residence Inn Austin Downtown / Convention Center']]",03 Jun 2017,"Austin,Austin,Austin,Austin,Austin,Austin"
31 Dec 2014,,"[[u'State Capitol', u'Lady Bird Lake Hike And Bike Trail', u'LBJ Presidential Library', u'Austin Bats', u'The Driskill'], [u'Bob Bullock Texas State History Museum', u'Lady Bird Johnson Wildflower Center', u'Mount Bonnell', u'6th Street'], [u'Natural Bridge Caverns', u'Natural Bridge Wildlife Ranch', u'Austin Zoo', u'McKinney Falls State Park', u'HOPE Outdoor Gallery'], [u'Texas Military Forces Museum', u'Umlauf Sculpture Garden And Museum', u'Westcave Preserve', u'Zilker Metropolitan Park', u'Cathedral Of Junk']]",03 Jan 2015,"[u'Austin', u'Austin', [u'San Antonio', u'Austin'], u'Austin']"
04 Oct 2015,,"[[u'State Capitol', u'Bob Bullock Texas State History Museum', u'Austin Bats'], [u'Natural Bridge Caverns', u'LBJ Presidential Library'], [u'Lady Bird Johnson Wildflower Center', u'Lady Bird Lake Hike And Bike Trail'], [u'Natural Bridge Wildlife Ranch', u'McKinney Falls State Park', u'The Driskill'], [u'Umlauf Sculpture Garden And Museum', u'Cathedral Of Junk', u'Mount Bonnell'], [u'Texas Military Forces Museum', u'6th Street'], [u'Westcave Preserve', u'Zilker Metropolitan Park'], [u'White House', u'National Aquarium', u'Washington Monument', u'Lincoln Memorial', u'Horseshoe Casino'], [u'Fords Theatre', u'Maryland Science Center', u'Fell\\s Point', u'Inner Harbor', u'United States Capitol'], [u'Oriole Park At Camden Yards', u'The Maryland Zoo', u'Little Italy', u'Iwo Jima Memorial', u'Baltimore And Ohio Railroad Museum'], [u'Edgar Allan Poe House And Museum', u'Thomas Jefferson Memorial', u'Baltimore Museum Of Art', u'M And T Bank Stadium', u'Fort Mchenry National Monument'], [u'Sherwood Gardens', u'Basilica Of The National Shrine Of The Assumption Of The Blessed Virgin Mary', u'The Walters Art Museum', u'Urban Pirates', u'Library Of Congress'], [u'Port Discovery Children Museum', u'National Gallery Of Art', u'Vietnam Veterans Memorial', u'Pride Of Baltimore I I'], [u'Pentagon', u'Historic Ships In Baltimore', u'National Mall', u'S.s. John W. Brown'], [u'Minneapolis Sculpture Garden', u'Target Field'], [u'Minnehaha Park', u'The Museum Of Russian Art'], [u'Lake Of The Isles', u'University Of Minnesota', u'American Swedish Institute'], [u'Basilica Of St. Mary', u'Minneapolis Skyway System', u'Minneapolis Institute Of Arts'], [u'Eloise Butler Wildflower Garden', u'TCF Bank Stadium'], [u'Nicollet Mall', u'Minneapolis Convention Center']]",23 Oct 2015,"[u'Austin', [u'San Antonio', u'Austin'], u'Austin', [u'San Antonio', u'Austin'], u'Austin', u'Austin', u'Austin', [u'Baltimore', u'Washington D. C.'], [u'Baltimore', u'Washington D. C.'], [u'Baltimore', u'Washington D. C.'], [u'Baltimore', u'Washington D. C.'], [u'Baltimore', u'Washington D. C.'], [u'Baltimore', u'Washington D. C.'], [u'Baltimore', u'Washington D. C.'], u'Minneapolis', u'Minneapolis', u'Minneapolis', u'Minneapolis', u'Minneapolis', u'Minneapolis']"
17 Jul 2015,,"[[u'State Capitol', u'Bob Bullock Texas State History Museum', u'Austin Bats'], [u'Natural Bridge Caverns', u'LBJ Presidential Library'], [u'Lady Bird Johnson Wildflower Center', u'Lady Bird Lake Hike And Bike Trail'], [u'Natural Bridge Wildlife Ranch', u'The Driskill', u'HOPE Outdoor Gallery'], [u'Austin Zoo', u'Umlauf Sculpture Garden And Museum', u'Mount Bonnell'], [u'Texas Military Forces Museum', u'6th Street'], [u'Westcave Preserve', u'Zilker Metropolitan Park'], [u'McKinney Falls State Park'], [u'Cathedral Of Junk']]",25 Jul 2015,"[u'Austin', [u'San Antonio', u'Austin'], u'Austin', [u'San Antonio', u'Austin'], u'Austin', u'Austin', u'Austin', u'Austin', u'Austin']"
28 Mar 2015,54a0bb2b0c1d0a5320000be3,"[[u'Lady Bird Lake Hike And Bike Trail', u'The Driskill', u'State Capitol', u'LBJ Presidential Library', u'Texas Military Forces Museum', u'Cathedral Of Junk', u'Austin Bats', u'6th Street'], [u'Bob Bullock Texas State History Museum', u'Lady Bird Johnson Wildflower Center', u'Mount Bonnell'], [u'McKinney Falls State Park', u'Natural Bridge Caverns', u'Umlauf Sculpture Garden And Museum', u'Zilker Metropolitan Park']]",30 Mar 2015,"[u'Austin', u'Austin', [u'San Antonio', u'Austin']]"
