trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
25 Oct 2016,520dafaae705451f75000000,"[[u'Hotel Larat', u'The Fernsehturm', u'Museum Island', u'Topography Of Terror', u'Tiergarten', u'Olympia Stadium', u'Unter Den Linden'], [u'Hotel Larat', u'Brandenburg Gate', u'Checkpoint Charlie', u'East Side Gallery', u'Gedachtniskirche', u'Grunewald', u'Holocaust Memorial'], [u'Hotel Larat', u'Potsdamer Platz', u'Charlottenburg Palace', u'Holocaust Memorial', u'Gendarmenmarkt', u'Museum Of Applied Art']]",27 Oct 2016,"Berlin,Berlin,Berlin"
19 May 2017,520dafaae705451f75000000,"[[u'Pune Airport', u'Berlin Tegel Airport', u'Novum Select Hotel Berlin Checkpoint Charlie', u'Olympia Stadium', u'Holocaust Memorial', u'Museum Island', u'Rotisserie Weingr\xfcn'], [u'Novum Select Hotel Berlin Checkpoint Charlie', u'Zoological Garden', u'Brandenburg Gate', u'Flamingo Fresh Food Bar', u'Museum Island', u'Reichstag', u'Holocaust Memorial'], [u'Novum Select Hotel Berlin Checkpoint Charlie', u'Reichstag', u'Gedachtniskirche', u'Pergamon Museum', u'Restaurant Jolly', u'Museum Of Applied Art', u'Brandenburg Gate'], [u'Novum Select Hotel Berlin Checkpoint Charlie', u'East Side Gallery', u'Unter Den Linden', u'Checkpoint Charlie', u'Tim Raue', u'Pergamon Museum', u'East Side Gallery', u'Berlin Cathedral'], [u'Novum Select Hotel Berlin Checkpoint Charlie', u'Tiergarten', u'Tim Raue', u'Topography Of Terror', u'Gendarmenmarkt', u'The Fernsehturm']]",23 May 2017,"Berlin,Berlin,Berlin,Berlin,Berlin"
01 Apr 2015,,"[[u'Sainte Chapelle', u'Towers Of Notre Dame Cathedral', u'Eiffel Tower'], [u'Jardin Du Luxembourg', u'Arc De Triomphe', u'Catacombs Of Paris'], [u'Lake Geneva', u'Modern And Contemporary Art Museum Or Mamco', u'Place Du Bourg De Four', u'Geneva Flower Clock Or Horloge Fleurie', u'Russian Church'], [u'Natural History Museum', u'St Peters Cathedral', u'Museum Of Art And History', u'Place De Neuve', u'Lausanne Cathedral'], [u'Parc De La Tete DOr', u'Musee Miniature Et Cinema'], [u'Institut Lumiere', u'Le Magasin', u'Basilique Notre Dame De Fourviere', u'Cathedral Saint Jean Baptiste', u'Museum Of Textiles And Decorative Arts Or Musee Des Tissus Et Des Arts D\xe9coratifs'], [u'Camp Nou', u'Barcelona Aquarium', u'Casa Mila', u'Barcelona Cathedral'], [u'The Magic Fountain At Montjuic', u'Sagrada Familia', u'Picasso Museum'], [u'Saint Nicholas Cathedral Or Cathedral De Monaco', u'The Museum Of Stamps And Coins', u'Le Metropole Shopping Center', u'Princes Palace Of Monaco', u'Casino Square'], [u'Museum Of Napoleon Souvenirs', u'Monte Carlo Casino', u'Monaco Grand Prix', u'Parfumerie Molinard'], [u'Bargello Museum And Palace', u'Galleria Dellaccademia', u'Basilica Di Santa Maria Del Fiore', u'Giottos Campanile'], [u'Florence Baptistery', u'San Marco Convent Church And Museum', u'Basilica Di San Lorenzo', u'Biblioteca Salaborsa Bologna'], [u'St Peters Basilica', u'Roman Forum'], [u'Castle San Angelo', u'Vatican Museums'], [u'Doges Palace', u'Scuola Grande Di San Rocco', u'Peggy Guggenheim Collection', u'Ca D Oro', u'Gondola Ride'], [u'Palazzo Grassi', u'Saint Marks Basilica', u'St Marks Campanile ', u'Venice Biennale Or Biennale Di Venezia', u'Torre Dell Orologio St Marks Clocktower'], [u'Lamborghini Museum', u'San Zeno Maggiore Church', u'Piazaa Del Erbe', u'Veronas Cathedral', u'Casa Di Giulietta'], [u'Gedachtniskirche', u'Holocaust Memorial', u'Museum Island', u'Topography Of Terror', u'Brandenburg Gate'], [u'Reichstag', u'Olympia Stadium', u'Museum Of Applied Art'], [u'Pergamon Museum', u'The Fernsehturm', u'East Side Gallery', u'Potsdamer Platz']]",20 Apr 2015,"[u'Paris', u'Paris', u'Geneva', [u'Lausanne', u'Geneva'], u'Lyon', [u'Lyon', u'Grenoble'], u'Barcelona', u'Barcelona', u'Monaco', [u'Cannes', u'Monaco'], u'Florence', [u'Bologna', u'Florence'], u'Rome', u'Rome', u'Venice', u'Venice', [u'Bologna', u'Verona'], u'Berlin', u'Berlin', u'Berlin']"
07 Jun 2015,54f91950fbc2e55b0b000918,"[[u'Parc De Bruxelles- National Day Celebration', u'Moof Museum', u'Musical Instruments Museum', u'Grand Place'], [u'Autoworld', u'Atomium And Mini Europe ', u'Historic Centre'], [u'Gravensteen Castle', u'Graslei And Korenlei', u'Grote Markt'], [u'Antwerp Central Station', u'Mas - Museum Aan De Stroom', u'Antwerp Zoo'], [u'Anne Frank House', u'Rijksmuseum', u'Dam Square', u'Heineken Experience', u'Stedelijk Museum'], [u'De Wallen', u'Albert Cuyp Market', u'Oude Kerk', u'Concertgebouw', u'Amsterdam Historisch Museum'], [u'Van Gogh Museum', u'Bloemenmarkt', u'Royal Palace', u'Jordaan Museum', u'Amsterdam Canals'], [u'Gedachtniskirche', u'Holocaust Memorial', u'Museum Island', u'Topography Of Terror', u'Brandenburg Gate'], [u'Unter Den Linden', u'Museum Of Applied Art'], [u'Old Town Hall', u'Bmw Headquarters And Museum', u'The Alte Pinakothek', u'Hofbrauhaus'], [u'Cathedral Of Our Lady', u'Odeonsplatz', u'Munich Residenz', u'Dachau Concentration Camp'], [u'New Town Hall', u'Viktualienmarkt', u'Englischer Garten', u'Asam Church'], [u'The Jet D Eau', u'St Peters Cathedral', u'Museum Of Art And History', u'Lake Geneva'], [u'Louvre Museum', u'Champs Elysees', u'Versailles Palace'], [u'Jardin Du Luxembourg', u'Towers Of Notre Dame Cathedral', u'Eiffel Tower']]",22 Jun 2015,"[u'Brussels', [u'Brussels', u'Bruges'], [u'Ghent', u'Antwerp'], u'Antwerp', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Berlin', u'Berlin', u'Munich', u'Munich', u'Munich', u'Geneva', u'Paris', u'Paris']"
27 May 2015,,"[[u'Sainte Chapelle', u'Towers Of Notre Dame Cathedral', u'Arc De Triomphe', u'Grand Palais'], [u'Louvre Museum'], [u'Promenade Des Anglais', u'Parc Phoenix', u'Museum And Archaeological Site Cimiez'], [u'Rue De France Pedestrian Zone', u'St Nichols Russian Orthodox Cathedral', u'Oceanographic Museum', u'Musee Matisse', u'Nice Port'], [u'Rue Meynadier And Marche Forville', u'Promenade De La Croisette'], [u'Palais Des Festivalset Des Congres', u'Rue D Antibes', u'Le Suquet'], [u'Spaccanapoli', u'Mt Vesuvius', u'Royal Palace Or Palazzo Reale', u'Catacombe Di San Gennaro', u'Duomo Cathedral Or Cathedral Of San Gennaro'], [u'Museo Bottega Della Tarsia Lignea', u'Certosa Di San Martino Or Museum And Monastery Of San Martino ', u'The National Archaeological Museum Of Naples', u'Sansevero Chapel Museum', u'Via San Gregorio Armeno'], [u'Ca D Oro', u'St Marks Square', u'Saint Marks Basilica', u'Peggy Guggenheim Collection', u'Venice Biennale Or Biennale Di Venezia'], [u'Doges Palace', u'Scuola Grande Di San Rocco', u'Torre Dell Orologio St Marks Clocktower', u'Ponte Dei Sospiri'], [u'San Marco Convent Church And Museum', u'Galleria Dellaccademia', u'Ponte Vecchio'], [u'Florence Baptistery', u'Bargello Museum And Palace', u'Piazza Della Repubblica'], [u'St Peters Basilica', u'Roman Forum'], [u'Castle San Angelo', u'Vatican Museums'], [u'Cathedral Of Our Lady', u'Englischer Garten', u'Marienplatz', u'Saint Peters Church', u'Old Town Hall'], [u'Karlsplatz', u'Deutsches Museum', u'The Neue Pinakothek'], [u'Gedachtniskirche', u'Holocaust Memorial', u'Museum Island', u'Topography Of Terror', u'Brandenburg Gate'], [u'Unter Den Linden', u'Museum Of Applied Art'], [u'Schloss Solitude', u'Kunstmuseum', u'Wurttemberg State Museum', u'Collegiate Church', u'Porsche Museum'], [u'Mercedes Benz Museum', u'State Gallery Of Stuttgart', u'Koenigstrasse', u'Lapidarium Stuttgart']]",15 Jun 2015,"[u'Paris', u'Paris', u'Nice', [u'Nice', u'Monaco'], u'Cannes', u'Cannes', u'Naples', [u'Naples', u'Sorrento'], u'Venice', u'Venice', u'Florence', u'Florence', u'Rome', u'Rome', u'Munich', u'Munich', u'Berlin', u'Berlin', u'Stuttgart', u'Stuttgart']"
11 Oct 2013,520dafaae705451f75000000,"[[u'The Fernsehturm', u'Museum Island', u'Brandenburg Gate', u'Checkpoint Charlie', u'Gendarmenmarkt', u'East Side Gallery', u'Reichstag']]",11 Oct 2013,Berlin
27 Jun 2015,,"[[u'Gare Du Nord', u'Grand Palais', u'Pantheon'], [u'Jardin Du Luxembourg', u'Sacre Coeur Montmartrel', u'La Defense'], [u'Towers Of Notre Dame Cathedral', u'Galeries Lafayette', u'Ile De La Cite'], [u'Parc Monceau', u'Moulin Rouge', u'Place De La Concorde'], [u'Sexmuseum', u'Rijksmuseum', u'Oude Kerk', u'Jordaan Museum', u'Amsterdam Canals'], [u'Anne Frank House', u'Begijnhof', u'The Brown Cafes', u'Dam Square', u'Natura Artis Magistra'], [u'Art Plein Spui', u'Openbare Bibliotheek', u'Theo Thijssen Museum', u'Concertgebouw', u'Magere Brug'], [u'De Wallen', u'Nieuwmarkt Square', u'Jordaan', u'Van Gogh Museum', u'Hortus Botanicus'], [u'Gedachtniskirche', u'Holocaust Memorial', u'Museum Island', u'Topography Of Terror', u'Brandenburg Gate'], [u'Reichstag', u'Olympia Stadium', u'Museum Of Applied Art'], [u'Pergamon Museum', u'The Fernsehturm', u'East Side Gallery', u'Potsdamer Platz'], [u'Warsaw Old Town', u'Warsaw Uprising Museum', u'Lazienki Park'], [u'Palace Of Culture And Science', u'Copernicus Science Centre', u'Fryderyk Chopin Museum', u'Warsaw National Museum'], [u'Warsaw Zoo', u'The Royal Way', u'Old Town Square Market', u'Tomb Of The Unknown Soldier', u'Praga'], [u'Parliament House', u'Buda Castle', u'Chain Bridge'], [u'Central Market Hall', u'Fishermans Bastion'], [u'Gellert Hill', u'St Stephens Basilica', u'Budapest Opera House Or State Opera House'], [u'St Vitus Cathedral', u'The Mucha Museum', u'National Theatre'], [u'Petrin Hill', u'Lesser Town'], [u'Jindrisska Tower', u'Lobkowicz Palace', u'Old Town Hall Tower And Astronomical Clock', u'The Dancing House']]",16 Jul 2015,"Paris,Paris,Paris,Paris,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Berlin,Berlin,Berlin,Warsaw,Warsaw,Warsaw,Budapest,Budapest,Budapest,Prague,Prague,Prague"
07 Jul 2015,,"[[u'Piazza Navona', u'Porta Portese Market', u'Castle San Angelo', u'Christian Catacombs Of San Callisto'], [u'St Peters Basilica', u'Trevi Fountain', u'Roman Protestant Cemetery', u'Colosseum'], [u'Sistine Chapel', u'Santa Maria Sopra Minerva', u'Ostia Antica', u'Tiber Island'], [u'Bargello Museum And Palace', u'Ponte Vecchio', u'Uffizi Gallery', u'Basilica Di Santa Maria Del Fiore', u'Mercato Nuovo'], [u'Basilica Di San Lorenzo', u'Palazzo Vecchio', u'Piazza Della Signoria'], [u'Boboli Garden', u'Piazzale Michelangelo', u'Palazzo Pitti'], [u'Promenade Des Anglais', u'Le Chateau Or The Castle Of Nice'], [u'Saint Nicholas Cathedral Or Cathedral De Monaco', u'Musee De La Castre', u'Le Metropole Shopping Center', u'Parfumerie Molinard'], [u'Sainte Chapelle', u'Towers Of Notre Dame Cathedral', u'Eiffel Tower'], [u'Jardin Du Luxembourg', u'Arc De Triomphe', u'Catacombs Of Paris'], [u'Sacre Coeur Montmartrel', u'Pantheon', u'Dome Des Invalides'], [u'Louvre Pyramid', u'Champs Elysees', u'Chateau De Vincennes'], [u'Reichstag', u'Charlottenburg Palace', u'Museum Island'], [u'Museum Of Applied Art', u'The Fernsehturm', u'Potsdamer Platz'], [u'Pergamon Museum', u'Brandenburg Gate', u'Grunewald'], [u'Procession Of Princes', u'Katholische Hofkirch Dresden', u'Glaserne Manufaktur', u'Frauenkirche', u'Semperoper'], [u'Zwinger Palace', u'Pillnitz Castle And Park', u'Gemaldegalerie Alte Meister'], [u'Old Town Hall', u'The Alte Pinakothek', u'Bmw Headquarters And Museum', u'Hofbrauhaus'], [u'Cathedral Of Our Lady', u'Saint Peters Church', u'Dachau Concentration Camp', u'Odeonsplatz', u'Munich Residenz'], [u'New Town Hall', u'Englischer Garten', u'Asam Church', u'Viktualienmarkt', u'Dom St Jakob, Cathedral Of St James']]",26 Jul 2015,"[u'Rome', u'Rome', [u'Rome', u'Vatican City'], u'Florence', u'Florence', u'Florence', u'Nice', [u'Cannes', u'Monaco'], u'Paris', u'Paris', u'Paris', u'Paris', u'Berlin', u'Berlin', u'Berlin', u'Dresden', u'Dresden', u'Munich', u'Munich', [u'Innsbruck', u'Munich']]"
22 Jul 2015,,"[[u'Cathedrale St-michel Et Ste-gudule', u'Bruges Waterways', u'The Markt', u'Grand Place'], [u'Historic Centre', u'Belfry And Market Hall Or Belfort And Market Hallen', u'Tomorrowland', u'Belfort Van Gent', u'Basilica Of The Holy Blood'], [u'Rijksmuseum', u'Anne Frank House', u'Heineken Experience', u'Amsterdam Canals'], [u'De Wallen', u'Dam Square', u'Vondelpark', u'Van Gogh Museum', u'Concertgebouw'], [u'Zoological Garden', u'Museum Island', u'Alexanderplatz'], [u'Charlottenburg Palace', u'Museum Of Applied Art', u'Brandenburg Gate'], [u'Reichstag', u'Dahlem Museum', u'Pergamon Museum'], [u'Procession Of Princes', u'Katholische Hofkirch Dresden', u'Zwinger Palace', u'Glaserne Manufaktur', u'Semperoper'], [u'Karlsplatz', u'Deutsches Museum', u'Bmw Headquarters And Museum'], [u'Marienplatz', u'Saint Peters Church', u'Old Town Hall', u'Nymphenburg Palace'], [u'Mirabelle Palace And Gardens', u'Wasserspiele', u'Petersfriedhof', u'Salzburg Old Town', u'Mozart Dinner Concerts'], [u'Nonnberg Convent', u'Helbrunn Castle', u'Untersberg', u'Mozart Residence', u'Red Bull Hangar'], [u'Butterfly House', u'Belvedere Palace', u'Historic Centre Of Vienna'], [u'St Stephens Cathedral', u'Schonbrunn Palace', u'Burgtheater'], [u'Lake Lucerne', u'Seilpark Interlaken'], [u'Swiss Museum Of Transport', u'Cheese Factory', u'Lindenhof', u'Kunst Museum'], [u'Plaka', u'Acropolis Museum', u'Temple Of Athena Nike']]",07 Aug 2015,"[[u'Brussels', u'Bruges'], [u'Ghent', u'Bruges', u'Boom'], u'Amsterdam', u'Amsterdam', u'Berlin', u'Berlin', u'Berlin', u'Dresden', u'Munich', u'Munich', u'Salzburg', u'Salzburg', u'Vienna', u'Vienna', [u'Lucerne', u'Interlaken'], [u'Lucerne', u'Basel', u'Engelberg', u'Zurich'], u'Athens']"
16 May 2016,,"[[u'St Pauls Cathedral', u'London Aquarium', u'The London Eye'], [u'Westminster Abbey', u'National Gallery'], [u'Buckingham Palace London', u'National Portrait Gallery', u'Tower Bridge'], [u'Louvre Museum'], [u'Jardin Du Luxembourg', u'Musee D Orsay', u'Towers Of Notre Dame Cathedral'], [u'Versailles Palace'], [u'Promenade Des Anglais', u'Le Chateau Or The Castle Of Nice'], [u'Saint Nicholas Cathedral Or Cathedral De Monaco', u'Musee De La Castre', u'Le Metropole Shopping Center', u'Parfumerie Molinard'], [u'Basilica Di San Miniato Al Monte', u'Palazzo Vecchio', u'Piazza Della Signoria'], [u'Bargello Museum And Palace', u'Palazzo Pitti', u'Ponte Vecchio'], [u'Spanish Steps', u'St Peters Basilica', u'Colosseum', u'Ruins Of The Palatine Hill'], [u'Sistine Chapel', u'Roman Forum'], [u'Christian Catacombs Of San Callisto', u'Vatican Museums'], [u'Ostia Antica', u'Vatican Necropolis And Saints Tomb', u'Roman Cat Sanctuary', u'Vatican Gardens', u'Roman Protestant Cemetery'], [u'Doges Palace', u'Scuola Grande Di San Rocco', u'St Marks Campanile ', u'Peggy Guggenheim Collection', u'Palazzo Grassi'], [u'Torre Dell Orologio St Marks Clocktower', u'St Marks Square', u'Saint Marks Basilica', u'Venice Biennale Or Biennale Di Venezia'], [u'Butterfly House', u'Belvedere Palace', u'Historic Centre Of Vienna'], [u'St Stephens Cathedral', u'Schonbrunn Palace', u'Burgtheater'], [u'Unter Den Linden', u'Topography Of Terror', u'Museum Island', u'Gedachtniskirche', u'Brandenburg Gate'], [u'Museum Of Applied Art', u'Holocaust Memorial']]",04 Jun 2016,"[u'London', u'London', u'London', u'Paris', u'Paris', u'Paris', u'Nice', [u'Cannes', u'Monaco'], u'Florence', u'Florence', u'Rome', [u'Rome', u'Vatican City'], u'Rome', [u'Rome', u'Vatican City'], u'Venice', u'Venice', u'Vienna', u'Vienna', u'Berlin', u'Berlin']"
