trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
01 Aug 2015,,"[[u'Martin Luther King Jr. National Historic Site', u'World Of Coca Cola'], [u'Zoo Atlanta', u'Georgia Aquarium'], [u'South Beach', u'Miami Childrens Museum', u'Jungle Island'], [u'Miami Seaquarium', u'Nikki Beach Club', u'Freedom Tower'], [u'Pompeii', u'Mt Vesuvius', u'Certosa Di San Martino Or Museum And Monastery Of San Martino ', u'Fifth Avenue South', u'Via Dei Tribunali'], [u'Sansevero Chapel Museum', u'Naples Gun Range And Emporium', u'Bay Of Naples Or Gulf Of Naples'], [u'SeaWorld', u'Walt Disney World'], [u'Gatorland', u'Universal Orlando'], [u'Alliance For The Arts', u'Edison And Ford Winter Estates', u'Mcgregor Boulevard'], [u'Legacy Trail', u'Sanibel And Captiva Chamber Of Commerce And Visitors Center', u'Port Sanibel Marina', u'31 Produce'], [u'Bonnet House Museum And Gardens', u'Aventura Mall', u'Hugh Taylor Birch State Park Recreation Area'], [u'Fort Lauderdale Beach', u'Fort Lauderdale Antique Car Museum', u'Museum Of Discovery And Science'], [u'Atlantic Beach', u'Catty Shack Ranch Wildlife Sanctuary'], [u'Jacksonville Zoo And Gardens', u'The Cummer Museum Of Art And Gardens'], [u'The Hermitage, Home Of President Andrew Jackson', u'Country Music Hall Of Fame And Museum', u'Belle Meade Plantation', u'Opryland Hotel Gardens'], [u'The Johnny Cash Museum', u'Ryman Auditorium', u'Fontanel Mansion', u'Rca Studio B'], [u'Detroit Institute Of Arts', u'Detroit International Riverfront', u'Caesars Windsor', u'Windsor Tunnel'], [u'Motown Historical Museum', u'Comerica Park'], [u'Magnificent Mile', u'Navy Pier'], [u'Cloud Gate', u'Millennium Park', u'Chicagos First Lady']]",20 Aug 2015,"[u'Atlanta', u'Atlanta', u'Miami', u'Miami', [u'Naples', u'Naples'], [u'Naples', u'Naples'], u'Orlando', u'Orlando', u'Fort Myers', [u'Fort Myers', u'Sarasota', u'Sanibel'], [u'Fort Lauderdale', u'Miami'], [u'Fort Lauderdale', u'Miami'], u'Jacksonville', u'Jacksonville', u'Nashville', u'Nashville', [u'Detroit', u'Windsor'], u'Detroit', u'Chicago', u'Chicago']"
24 Apr 2015,,"[[u'Cloud Gate', u'Lincoln Park Zoo'], [u'The Art Institute Of Chicago', u'Millennium Park'], [u'Field Museum Of Natural History', u'Buckingham Fountain'], [u'Museum Of Science And Industry', u'Navy Pier'], [u'Wrigley Field', u'John Hancock Center', u'Shedd Aquarium'], [u'Fenway Park', u'New England Aquarium', u'Freedom Trail'], [u'Public Botanical Garden', u'Quincy Market', u'Trinity Church', u'Copley Square'], [u'Prudential Center', u'The Museum Of Fine Arts', u'Back Bay', u'John Hancock Tower', u'Rowes Wharf'], [u'USS Constitution Museum', u'Samuel Adams Brewery', u'South End', u'The Marriott Boston Custom House', u'Charles River Esplanade'], [u'Massachusetts State House', u'Faneuil Hall', u'Massachusetts Institute Of Technology', u'The First Church Of Christ, Scientist', u'Boston Common'], [u'The Atlantic City Boardwalk', u'Boathouse Row', u'Liberty Bell', u'The Barnes Foundation', u'Steel Pier Amusement Park'], [u'Grand Central Terminal', u'Brooklyn Bridge', u'Fifth Avenue', u'The Metropolitan Museum Of Art', u'Ground Zero'], [u'Statue Of Liberty', u'National 9-11 Memorial Museum', u'Ellis Island', u'New-York Historical Society'], [u'Apollo Theater', u'Graffiti Hall Of Fame', u'Fanaberie', u'Bridge Gallery'], [u'Little Italy', u'Bronx Zoo', u'American Museum Of Natural History'], [u'Brooklyn Flea', u'Museum Of Modern Art', u'Times Square', u'Chinatown']]",09 May 2015,"[u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Boston', u'Boston', u'Boston', u'Boston', u'Boston', [u'Atlantic City', u'Philadelphia'], u'New York City', u'New York City', u'New York City', u'New York City', u'New York City']"
25 Jun 2015,,"[[u'Santa Monica Beach', u'Pacific Park'], [u'26 Mile Bike Path', u'Palisades Park', u'The Griffith Observatory', u'The Misfit Restaurant And Bar', u'Cleo'], [u'The Grammy Museum', u'Griffith Park'], [u'Santa Monica Pier', u'T C L Chinese Theatre', u'Flightdeck Flight Simulation Centre', u'Tacos Punta Cabras Restaurant'], [u'Bellagio Gallery Of Fine Art', u'Stratosphere Casino, Hotel And Tower'], [u'Battlefield Vegas', u'Eiffel Tower Experience', u'The Strip'], [u'The Crystals', u'Shark Reef At Mandalay Bay', u'Fountains Of Bellagio', u'Fremont Street'], [u'Sixth Floor Museum, Dealey Plaza', u'Modern Art Museum Of Fort Worth', u'Morton H. Meyerson Symphony Center', u'Dallas Zoo'], [u'Dallas Arboretum And Botanical Gardens', u'The Dallas World Aquarium', u'Dallas Museum Of Art', u'John F. Kennedy Memorial', u'Klyde Warren Park'], [u'Meadows Museum Of Art', u'St. Patricks Cathedral', u'Reunion Tower', u'George W. Bush Presidential Library And Museum'], [u'Marlins Park', u'Calle Ocho Plaza', u'Freedom Tower'], [u'South Beach', u'Miami-dade County Fair And Exposition', u'Zoo Miami'], [u'Jungle Island', u'Miami Childrens Museum'], [u'Lake Michigan', u'Million Dollar Quartet'], [u'Cloud Gate', u'Old Water Tower', u'Marina City'], [u'Chicago Theatre', u'Holy Name Cathedral'], [u'Statue Of Liberty', u'Union Square', u'The Metropolitan Museum Of Art', u'Fifth Avenue', u'Grand Central Terminal'], [u'National 9-11 Memorial Museum', u'Apollo Theater', u'Chinatown'], [u'Empire State Building', u'Cathedral Church Of Saint John The Divine', u'American Museum Of Natural History', u'Fanaberie']]",13 Jul 2015,"[u'Santa Monica', [u'Santa Monica', u'Los Angeles'], u'Los Angeles', [u'Los Angeles', u'Santa Monica', u'Anaheim'], u'Las Vegas', u'Las Vegas', u'Las Vegas', [u'Dallas', u'Fort Worth'], u'Dallas', [u'Dallas', u'Fort Worth'], u'Miami', u'Miami', u'Miami', u'Chicago', u'Chicago', u'Chicago', u'New York City', u'New York City', u'New York City']"
05 Jan 2017,,"[[u'Massachusetts State House', u'Prudential Center', u'Newbury Street', u'New England Aquarium'], [u'Faneuil Hall', u'Fenway Park', u'The First Church Of Christ, Scientist', u'Quincy Market'], [u'Boston Duck Tours', u'Public Botanical Garden', u'Samuel Adams Brewery', u'Freedom Trail'], [u'Grand Central Terminal', u'The Hotel At Times Square', u'Bronx Zoo', u'Madison Square Garden', u'Times Square'], [u'National 9-11 Memorial Museum', u'American Museum Of Natural History', u'Rockefeller Center'], [u'Central Park', u'Empire State Building', u'The Metropolitan Museum Of Art', u'Fanaberie'], [u'The Atlantic City Boardwalk', u'Caesars Atlantic City Casino', u'Borgata Hotel Casino and Spa', u'Tanger Outlets, The Walk', u'Boardwalk Hall'], [u'The Quarter At Tropicana', u'Atlantic City Aquarium', u'Atlantic City Convention Center'], [u'White House', u'United States Capitol', u'Washington National Cathedral', u'Washington Monument', u'Lincoln Memorial'], [u'Library Of Congress', u'Fords Theatre', u'National Gallery Of Art', u'International Spy Museum', u'Iwo Jima Memorial'], [u'Independence Hall', u'The Barnes Foundation', u'Mutter Museum', u'Liberty Bell', u'Boathouse Row'], [u'Philadelphia Zoo', u'Christ Church', u'Philadelphia Museum Of Art And Rocky Statue'], [u'Cloud Gate', u'Magnificent Mile'], [u'Wrigley Building', u'Navy Pier'], [u'Kennedy Space Center', u'Walt Disney World'], [u'SeaWorld', u'Orlando Science Center', u'Universal Orlando'], [u'Zoo Miami', u'Lowe Art Museum', u'Lock And Load Miami- Machine Gun Experience And Range', u'Stoneage Antiques'], [u'Miami Seaquarium', u'Bill Baggs Cape Florida State Park', u'Freedom Tower'], [u'Museum District', u'Downtown Aquarium', u'Contemporary Arts Museum', u'Childrens Museum Of Houston'], [u'Hermann Park', u'Montrose', u'Gerald Hines Water Wall Park', u'Museum Of Fine Arts Houston', u'Rothko Chapel']]",24 Jan 2017,"[u'Boston', u'Boston', u'Boston', [u'New York City', u'New York'], u'New York City', u'New York City', u'Atlantic City', u'Atlantic City', u'Washington D. C.', u'Washington D. C.', u'Philadelphia', u'Philadelphia', u'Chicago', u'Chicago', u'Orlando', u'Orlando', u'Miami', u'Miami', u'Houston', u'Houston']"
21 Dec 2014,,"[[u'Navy Pier', u'Magnificent Mile', u'Willis Tower'], [u'Shedd Aquarium', u'Lake Michigan'], [u'Millennium Park', u'Buckingham Fountain', u'Cloud Gate'], [u'Lincoln Park Zoo', u'John Hancock Center'], [u'Oak Street Beach', u'Field Museum Of Natural History', u'Grant Park'], [u'Wrigley Field', u'Museum Of Science And Industry'], [u'Old Water Tower', u'Marina City'], [u'Holy Name Cathedral', u'Union Station', u'Symphony Center'], [u'Chicago Theatre', u'Million Dollar Quartet'], [u'Tribune Tower', u'Merchandise Mart']]",30 Dec 2014,"Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago,Chicago"
04 Jul 2016,,"[[u'Central Park', u'American Museum Of Natural History'], [u'Empire State Building', u'Frick Collection', u'The Cloisters', u'The Metropolitan Museum Of Art'], [u'St. Patricks Cathedral', u'Rockefeller Center', u'St. Pauls Chapel', u'Madison Square Garden', u'Solomon R Guggenheim Museum'], [u'White House', u'United States Capitol', u'Washington National Cathedral', u'Washington Monument', u'Lincoln Memorial'], [u'Library Of Congress', u'Fords Theatre', u'International Spy Museum', u'National Gallery Of Art', u'Iwo Jima Memorial'], [u'Millennium Park', u'Chicago Cultural Center', u'Magnificent Mile'], [u'Wrigley Building', u'Buckingham Fountain', u'Portillos'], [u'The Barnes Foundation', u'Steel Pier Amusement Park', u'Boathouse Row', u'Independence Hall'], [u'University Of Pennsylvania', u'Liberty Bell'], [u'South Beach', u'Coral Castle', u'Lock And Load Miami- Machine Gun Experience And Range', u'American Airlines Arena'], [u'Jungle Island', u'Dolphin Mall'], [u'Dallas Arboretum And Botanical Gardens', u'The Dallas World Aquarium', u'Dallas Zoo', u'Sixth Floor Museum, Dealey Plaza', u'The Murder Mystery Company - Eddie Deen\\s Ranch'], [u'Meadows Museum Of Art', u'John F. Kennedy Memorial', u'George W. Bush Presidential Library And Museum', u'Swiss Avenue Historic District'], [u'American Airlines Cr Smith Museum', u'Dallas Museum Of Art', u'Klyde Warren Park'], [u'Battlefield Vegas', u'Ricks Restorations', u'Adventuredome', u'High Roller', u'Top Of The World Ave'], [u'Ethel M Chocolate Factory', u'Counts Kustoms', u'Madame Tussauds Las Vegas', u'Bellagio Gallery Of Fine Art', u'Neon Museum'], [u'Red Rock Canyon National Conservation Area', u'Las Vegas Premium Outlets North', u'The Linq Hotel and Casino'], [u'Santa Monica Beach', u'Bergamot Station', u'Cleo'], [u'26 Mile Bike Path', u'The J Paul Getty Centre', u'The Grammy Museum', u'Hollywood Bowl']]",22 Jul 2016,"[u'New York City', u'New York City', u'New York City', u'Washington D. C.', u'Washington D. C.', u'Chicago', u'Chicago', [u'Atlantic City', u'Philadelphia'], u'Philadelphia', u'Miami', u'Miami', u'Dallas', u'Dallas', [u'Fort Worth', u'Dallas'], u'Las Vegas', u'Las Vegas', u'Las Vegas', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles']]"
01 May 2015,5465fc83e70545f344000253,"[[u'Grand Central Terminal', u'Times Square', u'American Museum Of Natural History', u'Ground Zero'], [u'National 9-11 Memorial Museum', u'Hudson River Greenway', u'South Street Seaport'], [u'Central Park', u'Chinatown', u'Fanaberie', u'The Metropolitan Museum Of Art'], [u'Ellis Island', u'Empire State Building', u'Staten Island Ferry', u'Museum Of Modern Art', u'Union Square'], [u'Niagara Falls', u'Rock Legends Wax Museum', u'Bird Kingdom'], [u'Shedd Aquarium', u'Magnificent Mile', u'Buckingham Fountain'], [u'The Art Institute Of Chicago', u'Lake Michigan'], [u'Oak Street Beach', u'Lincoln Park Zoo'], [u'Field Museum Of Natural History', u'Millennium Park'], [u'Zoo Atlanta', u'Georgia Aquarium'], [u'Atlanta Botanical Garden', u'The Fox Theatre', u'Atlanta History Center'], [u'South Beach', u'Miami Seaquarium', u'Jungle Island'], [u'Calle Ocho Plaza', u'Zoo Miami', u'Freedom Tower'], [u'Ethel M Chocolate Factory', u'Red Rock Canyon National Conservation Area', u'Eiffel Tower Experience'], [u'Chapel Of The Flowers', u'Hoover Dam', u'Adventuredome'], [u'Lombard Street', u'Fishermans Wharf', u'Coit Tower'], [u'Golden Gate Bridge', u'Sausalito - San Francisco Ferry Bldg', u'Golden Gate Park', u'San Francisco Cable Car Museum'], [u'Ferry Building', u'Alcatraz Island', u'Palace Of Fine Arts'], [u'White House', u'Lincoln Memorial', u'United States Capitol', u'Washington National Cathedral', u'Washington Monument'], [u'Library Of Congress', u'Fords Theatre', u'Iwo Jima Memorial', u'National Gallery Of Art', u'International Spy Museum']]",20 May 2015,"New York City,New York City,New York City,New York City,Niagara Falls,Chicago,Chicago,Chicago,Chicago,Atlanta,Atlanta,Miami,Miami,Las Vegas,Las Vegas,San Francisco,San Francisco,San Francisco,Washington D. C.,Washington D. C."
31 Jul 2016,,"[[u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Hollywood Bowl', u'Griffith Park'], [u'Aqua Surf School', u'Santa Monica Museum Of Art', u'The Griffith Observatory'], [u'Eagle Falls Hike', u'The Gondola At Heavenly', u'Magic Carpet Golf'], [u'Lake Tahoe Historical Society Museum', u'Van Sickle Bi-state Park'], [u'SeaWorld', u'Walt Disney World'], [u'Gatorland', u'Universal Orlando'], [u'Kennedy Space Center', u'Orlando Science Center', u'Castillo De San Marcos'], [u'Mary Queen Of The Universe', u'Wet N Wild'], [u'Ethel M Chocolate Factory', u'Hoover Dam', u'Shark Reef At Mandalay Bay', u'Fountains Of Bellagio', u'Sugar Factory American Brasserie'], [u'Red Rock Canyon National Conservation Area', u'Battlefield Vegas', u'Fremont Street', u'Hash House A Go Go'], [u'Bellagio Gallery Of Fine Art', u'Stratosphere Casino, Hotel And Tower'], [u'Grand Central Terminal', u'The Hotel At Times Square', u'Bronx Zoo', u'Madison Square Garden', u'Times Square'], [u'National 9-11 Memorial Museum', u'American Museum Of Natural History', u'Rockefeller Center'], [u'Central Park', u'Empire State Building', u'The Metropolitan Museum Of Art', u'Fanaberie'], [u'Cloud Gate', u'Willis Tower', u'Crown Fountain'], [u'Wrigley Field', u'John Hancock Center', u'Millennium Park', u'Giordanos'], [u'Buckingham Fountain', u'Chicago Cultural Center', u'Navy Pier']]",18 Aug 2016,"[[u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'Los Angeles', [u'Santa Monica', u'Los Angeles'], u'South Lake Tahoe', u'South Lake Tahoe', u'Orlando', u'Orlando', u'Orlando', u'Orlando', u'Las Vegas', u'Las Vegas', u'Las Vegas', [u'New York City', u'New York'], u'New York City', u'New York City', u'Chicago', u'Chicago', u'Chicago']"
09 Apr 2017,,"[[u'Santa Monica Beach', u'Viper Room', u'Santa Monica Mountains', u'The J Paul Getty Centre', u'Cleo'], [u'26 Mile Bike Path', u'Angel Stadium Of Anaheim', u'California Science Center', u'The Grammy Museum', u'Honda Centre'], [u'Mission Beach', u'San Diego Zoo', u'Seaworld San Diego', u'Balboa Park'], [u'Birch Aquarium At Scripps', u'Maritime Museum Of San Diego', u'Old Point Loma Lighthouse And Cabrillo National Monument', u'Gaslamp Quarter'], [u'Legoland', u'Disneyland Park'], [u'Fort Rosecrans Cemetery', u'Uss Midway Museum', u'Museum Of Contemporary Art San Diego', u'Coronado Island'], [u'The New Childrens Museum', u'Torrey Pines State Natural Reserve', u'Heritage Park Victorian Village', u'Reuben H Fleet Science Center'], [u'Mission Basilica San Diego De Alcala', u'Torrey Pines Golf Course', u'Old Towns Fashion Valley Shopping Center', u'Old Globe Theatre', u'Hotel Del Coronado'], [u'Golden Gate Bridge', u'Cathedral Basilica Of St. Joseph', u'The Tech Museum Of Innovation'], [u'San Francisco Cable Car Museum', u'San Jose Museum Of Art', u'Muir Woods National Monument', u'Alcatraz Island'], [u'Lombard Street', u'Raging Waters', u'Coit Tower'], [u'Transamerica Pyramid', u'Ferry Building', u'Golden Gate Park'], [u'Ethel M Chocolate Factory', u'Eiffel Tower Experience', u'Red Rock Canyon National Conservation Area'], [u'Chapel Of The Flowers', u'Hoover Dam', u'Adventuredome'], [u'Lincoln Park Zoo', u'Millennium Park'], [u'Cloud Gate', u'The Art Institute Of Chicago'], [u'Field Museum Of Natural History', u'Buckingham Fountain'], [u'Museum Of Science And Industry', u'Navy Pier'], [u'Wrigley Field', u'John Hancock Center', u'Shedd Aquarium'], [u'Holy Name Cathedral', u'Marina City']]",28 Apr 2017,"[[u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles', u'Anaheim'], u'San Diego', u'San Diego', u'San Diego', u'San Diego', u'San Diego', u'San Diego', [u'San Jose', u'San Francisco'], [u'San Jose', u'San Francisco'], [u'San Jose', u'San Francisco'], u'San Francisco', u'Las Vegas', u'Las Vegas', u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Chicago']"
19 Jul 2014,,"[[u'Millennium Park', u'Magnificent Mile', u'Navy Pier', u'Buckingham Fountain'], [u'Cloud Gate'], [u'Willis Tower', u'Wrigley Field']]",21 Jul 2014,"Chicago,Chicago,Chicago"
