trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
08 Dec 2016,5006cebb76a2954457000002,"[[u'Holiday Inn Express Denver Downtown', u'United States Mint', u'Denver Zoo', u'16th Street Mall', u'Holiday Inn Express Denver Downtown'], [u'Holiday Inn Express Denver Downtown', u'Denver Botanic Gardens', u'Downtown Aquarium Denver', u'Holiday Inn Express Denver Downtown'], [u'Holiday Inn Express Denver Downtown', u'Denver Museum Of Nature And Science', u'Molly Brown House Museum', u'Washington Park', u'Holiday Inn Express Denver Downtown'], [u'Holiday Inn Express Denver Downtown', u'Denver Art Museum', u'Cherry Creek State Park', u'Holiday Inn Express Denver Downtown'], [u'Holiday Inn Express Denver Downtown', u'Mount Evans', u'Colorado State Capitol', u'Holiday Inn Express Denver Downtown']]",12 Dec 2016,"Denver,Denver,Denver,Denver,Denver"
02 Apr 2017,53609814f9c2e5e26100004d,"[[u'Holiday Inn Express Denver Downtown', u'United States Mint', u'Denver Zoo', u'16th Street Mall', u'Holiday Inn Express Denver Downtown'], [u'Holiday Inn Express Denver Downtown', u'Denver Botanic Gardens', u'Downtown Aquarium Denver', u'Holiday Inn Express Denver Downtown'], [u'Holiday Inn Express Denver Downtown', u'Denver Museum Of Nature And Science', u'Molly Brown House Museum', u'Colorado State Capitol', u'Mount Evans', u'Holiday Inn Express Denver Downtown'], [u'Holiday Inn Express Denver Downtown', u'Denver Art Museum', u'Children\\s Museum Of Denver', u'Holiday Inn Express Denver Downtown']]",05 Apr 2017,"Denver,Denver,Denver,Denver"
10 May 2015,,"[[u'Golden Gate Bridge', u'Union Square'], [u'Santa Monica Beach', u'Viper Room', u'Santa Monica Mountains', u'The J Paul Getty Centre', u'Cleo'], [u'Angel Stadium Of Anaheim', u'Santa Monica Pier', u'The Grammy Museum', u'Muzeo'], [u'26 Mile Bike Path', u'Woodlawn Cemetery, Mortuary And Mausoleum', u'The Los Angeles Music Center', u'Tacos Punta Cabras Restaurant', u'Honda Centre'], [u'Bergamot Station', u'The Misfit Restaurant And Bar', u'Santa Monica Looff Hippodrome'], [u'Petersen Automotive Museum', u'The Griffith Observatory', u'Hollywood Bowl'], [u'Aqua Surf School', u'The Grove'], [u'Palisades Park', u'T C L Chinese Theatre', u'Santa Monica Museum Of Art'], [u'Venice Beach Boardwalk', u'Queen Mary', u'Flightdeck Flight Simulation Centre'], [u'La Brea Tar Pits'], [u'The Ciel Spa At Sls Hotel', u'Griffith Park'], [u'The Ritz-Carlton Spa', u'Universal City Walk'], [u'Ethel M Chocolate Factory', u'Eiffel Tower Experience', u'Red Rock Canyon National Conservation Area'], [u'Chapel Of The Flowers', u'Hoover Dam', u'Adventuredome'], [u'Denver Zoo', u'Chamberlin Observatory And Observatory Park'], [u'Denver Botanic Gardens'], [u'Denver Museum Of Nature And Science', u'Denver Art Museum'], [u'Red Fort', u'Rashtrapati Bhavan', u'India Gate And Rajpath']]",28 May 2015,"[u'San Francisco', [u'Santa Monica', u'Los Angeles'], [u'Anaheim', u'Los Angeles'], [u'Anaheim', u'Santa Monica', u'Los Angeles'], u'Santa Monica', u'Los Angeles', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], [u'Los Angeles', u'Anaheim'], u'Los Angeles', u'Los Angeles', u'Los Angeles', u'Las Vegas', u'Las Vegas', u'Denver', u'Denver', u'Denver', u'Delhi']"
26 Dec 2016,51306d29408698aa76000000,"[[u'Holiday Inn Express Denver Downtown', u'Denver Zoo', u'16th Street Mall', u'Holiday Inn Express Denver Downtown'], [u'Holiday Inn Express Denver Downtown', u'Denver Botanic Gardens', u'Downtown Aquarium Denver', u'Holiday Inn Express Denver Downtown'], [u'Holiday Inn Express Denver Downtown', u'Denver Museum Of Nature And Science', u'Molly Brown House Museum', u'Mount Evans', u'Holiday Inn Express Denver Downtown']]",28 Dec 2016,"Denver,Denver,Denver"
09 Jun 2016,,"[[u'Towers Of Notre Dame Cathedral', u'Arc De Triomphe', u'Eiffel Tower'], [u'Buckingham Palace London', u'Big Ben London', u'The London Eye', u'Gatwick Express', u'Victoria And Albert Museum'], [u'Denver Zoo', u'Forney Transportation Museum'], [u'Children\\s Museum Of Denver', u'Grant-frontier Park', u'Chamberlin Observatory And Observatory Park'], [u'Denver Botanic Gardens'], [u'Denver Museum Of Nature And Science', u'Tiny Town And Railroad'], [u'Colorado State Capitol', u'Dinosaur Ridge'], [u'Clyfford Still Museum', u'Denver Art Museum'], [u'Paramount Theatre', u'Kirkland Museum Of Fine And Decorative Art'], [u'United States Mint', u'Downtown Aquarium Denver', u'Molly Brown House Museum'], [u'The Cathedral Basilica Of The Immaculate Conception', u'Denver Firefighters Museum', u'Wings Over The Rockies Air And Space Museum'], [u'Barr Lake State Park', u'Denver Museum Of Miniatures, Dolls And Toys'], [u'Downtown Disney', u'Hobby City Doll And Toy Museum', u'Angel Stadium Of Anaheim', u'Hollywood Sign'], [u'The Grove', u'The Griffith Observatory', u'Honda Centre'], [u'Calaway Park', u'Prince\\s Island Park'], [u'Fort Calgary Historic Park', u'Telus Spark', u'Edworthy Park'], [u'Exige Medi Spa', u'The Military Museums', u'Glenbow Museum'], [u'Aero Space Museum Of Calgary', u'Calgarys Farmers Market', u'The Calgary Zoo', u'Calgary Tower'], [u'Fish Creek Provincial Park', u'Calgary Stampede Park', u'Heritage Park Historical Village'], [u'Raj Ghat', u'Rashtrapati Bhavan', u'Qutub Minar', u'New Delhi Railway Station']]",28 Jun 2016,"[u'Paris', u'London', u'Denver', u'Denver', u'Denver', u'Denver', u'Denver', u'Denver', u'Denver', u'Denver', u'Denver', u'Denver', [u'Anaheim', u'Los Angeles'], [u'Los Angeles', u'Anaheim'], u'Calgary', u'Calgary', u'Calgary', u'Calgary', u'Calgary', u'Delhi']"
18 Jul 2015,5578820afbc2e54211000402,"[[u'White House', u'United States Capitol', u'Washington National Cathedral', u'Washington Monument', u'Lincoln Memorial'], [u'Pentagon', u'National Gallery Of Art', u'International Spy Museum', u'Fords Theatre', u'Iwo Jima Memorial'], [u'Black History Museum And Cultural Center Of Virginia', u'St. Johns Episcopal Church', u'Maymont Park', u'Lewis Ginter Botanical Gardens', u'Monument Avenue'], [u'Richmond National Battlefield Park', u'Busch Gardens', u'Childrens Museum Of Richmond'], [u'The Museum And White House Of The Confederacy', u'Richmond Slave Trail', u'Valentine Richmond History Center'], [u'Zoo Atlanta', u'Georgia Aquarium'], [u'World Of Coca Cola', u'Atlanta History Center'], [u'The Fox Theatre', u'Fernbank Museum Of Natural History', u'Atlanta Botanical Garden'], [u'Martin Luther King Jr. National Historic Site', u'Jimmy Carter Library And Museum', u'Oakland Cemetery'], [u'Michael C. Carlos Museum', u'Inside CNN Studio Tour', u'Atlanta Cyclorama And Civil War Museum'], [u'Denver Zoo', u'Chamberlin Observatory And Observatory Park'], [u'United States Mint', u'Barr Lake State Park', u'Molly Brown House Museum'], [u'Colorado State Capitol', u'Denver Museum Of Nature And Science'], [u'Salt Lake Temple', u'Capitol Building', u'Temple Square', u'Natural History Museum Of Utah'], [u'Utahs Hogle Zoo', u'Liberty Park', u'Mormon Tabernacle Choir'], [u'Lds Conference Centre', u'The Tracy Aviary', u'Salt Lake City Public Library'], [u'This Is The Place Heritage Park', u'Joseph Smith Memorial Building', u'Family History Library', u'Red Butte Garden'], [u'Seattle Ferry', u'Pike Place Market', u'Woodland Park Zoo', u'Space Needle'], [u'Seattle Waterfall Garden', u'The Museum Of Flight', u'Wing Luke Museum', u'Seattle Art Museum', u'Seattle Great Wheel'], [u'Pacific Science Center', u'Seattle Aquarium', u'Argosy Cruises', u'Benaroya Hall', u'The Seattle Waterfront Or Central Waterfront']]",06 Aug 2015,"[u'Washington D. C.', u'Washington D. C.', [u'Richmond', u'Virginia Beach'], [u'Richmond', u'Virginia Beach'], u'Richmond', u'Atlanta', u'Atlanta', u'Atlanta', u'Atlanta', u'Atlanta', u'Denver', u'Denver', u'Denver', u'Salt Lake City', u'Salt Lake City', u'Salt Lake City', u'Salt Lake City', u'Seattle', u'Seattle', u'Seattle']"
06 Jan 2017,553cf4a8f9c2e5284c000b04,"[[u'Kelvingrove Art Gallery And Museum', u'Glasgow Cathedral', u'Buchanan Street', u'George Square', u'Glasgow West End', u'Glasgow City Chambers', u'The Lighthouse', u'The Horseshoe Bar', u'Edinburgh Castle', u'The Scott Monument', u'Glasgow Necropolis'], [u'Eiffel Tower', u'Towers Of Notre Dame Cathedral', u'Louvre Museum', u'Arc De Triomphe', u'Pantheon', u'Catacombs Of Paris'], [u'Grand Palais', u'Opera De Paris Garnier', u'Moulin Rouge', u'Place De La Bastille', u'Opera Bastille - Opera National De Paris'], [u'Memphis Zoo', u'Beale Street', u'Orpheum Theater'], [u'Denver Art Museum', u'Denver Botanic Gardens', u'The Cathedral Basilica Of The Immaculate Conception', u'Mount Evans'], [u'Eiffel Tower Experience', u'Stratosphere Casino, Hotel And Tower', u'The Strip', u'Bellagio Gallery Of Fine Art', u'Caesars Palace', u'The Venetian', u'The Mirage'], [u'United States Capitol', u'Washington Monument', u'Lincoln Memorial', u'National Air And Space Museum', u'Pentagon', u'White House', u'World War I I Memorial'], [u'National Gallery Of Art', u'Library Of Congress', u'Georgetown', u'Smithsonian Castle', u'Arlington National Cemetery', u'Washington National Cathedral', u'Fords Theatre', u'George Washingtons Estate Mount Vernon'], [u'Space Needle', u'Seattle Aquarium', u'Chihuly Garden And Glass', u'Seattle Art Museum', u'Washington Park Arboretum', u'Saint James Cathedral'], [u'Chichen Itza', u'El Rey Ruins'], [u'Cristo Redentor On Corcovado', u'Copacabana Beach', u'Jardim Botanico', u'Old Cathedral', u'Rio De Janeiro Cathedral', u'Museu Nacional De Belas Artes'], [u'Kolner Dom', u'Chocolate Museum', u'Basilica Of St. Ursula']]",17 Jan 2017,"[[u'Edinburgh', u'Glasgow'], u'Paris', u'Paris', u'Memphis', u'Denver', u'Las Vegas', u'Washington D. C.', u'Washington D. C.', u'Seattle', u'Cancun', u'Rio De Janeiro', u'Cologne']"
19 Mar 2015,,"[[u'Denver Zoo', u'Chamberlin Observatory And Observatory Park'], [u'Denver Botanic Gardens'], [u'Denver Museum Of Nature And Science', u'Forney Transportation Museum', u'Wings Over The Rockies Air And Space Museum', u'Molly Brown House Museum'], [u'Dinosaur Ridge', u'Denver Art Museum'], [u'Children\\s Museum Of Denver', u'Colorado State Capitol'], [u'United States Mint', u'Clyfford Still Museum', u'Kirkland Museum Of Fine And Decorative Art']]",24 Mar 2015,"Denver,Denver,Denver,Denver,Denver,Denver"
15 Mar 2015,,"[[u'Denver Zoo', u'Chamberlin Observatory And Observatory Park'], [u'Denver Botanic Gardens'], [u'Children\\s Museum Of Denver', u'Wings Over The Rockies Air And Space Museum', u'Denver Museum Of Nature And Science'], [u'Dinosaur Ridge', u'Denver Art Museum'], [u'Clyfford Still Museum', u'Molly Brown House Museum', u'Kirkland Museum Of Fine And Decorative Art'], [u'Colorado State Capitol', u'Denver Firefighters Museum', u'Forney Transportation Museum'], [u'Paramount Theatre', u'United States Mint', u'Tiny Town And Railroad']]",21 Mar 2015,"Denver,Denver,Denver,Denver,Denver,Denver,Denver"
02 May 2015,55380896fbc2e52637000b4e,"[[u'Denver Zoo', u'Chamberlin Observatory And Observatory Park'], [u'Denver Botanic Gardens'], [u'United States Mint', u'Denver Museum Of Nature And Science', u'Forney Transportation Museum', u'Wings Over The Rockies Air And Space Museum'], [u'Colorado State Capitol', u'Clyfford Still Museum'], [u'Tiny Town And Railroad', u'Denver Art Museum'], [u'Denver Firefighters Museum', u'Dinosaur Ridge'], [u'Paramount Theatre', u'Grant-frontier Park', u'Molly Brown House Museum', u'Denver Museum Of Miniatures, Dolls And Toys'], [u'Children\\s Museum Of Denver', u'Kirkland Museum Of Fine And Decorative Art']]",09 May 2015,"Denver,Denver,Denver,Denver,Denver,Denver,Denver,Denver"
