trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
30 Jan 2014,520dafaae705451f75000000,"[[u'Colosseum', u'Roman Forum', u'Pantheon', u'Piazza Navona', u'Spanish Steps', u'Trevi Fountain'], [u'Palazzo Vecchio', u'Uffizi Gallery', u'Ponte Vecchio', u'Boboli Garden', u'Palazzo Pitti'], [u'St Peters Cathedral', u'The Jet D Eau', u'Place Du Bourg De Four', u'Place De Neuve', u'Geneva Flower Clock Or Horloge Fleurie', u'Lake Geneva'], [u'Cosmocaixa Barcelona', u'La Boqueria', u'Torre Agbar', u'Santa Maria Del Mar'], [u'The Prado Museum', u'Gateway Of The Sun', u'Royal Palace Of Madrid', u'Plaza Mayor', u'Gran Via', u'El Parque Del Buen Retiro']]",03 Feb 2014,"Rome,Florence,Geneva,Barcelona,Madrid"
07 Jun 2015,54f91950fbc2e55b0b000918,"[[u'Parc De Bruxelles- National Day Celebration', u'Moof Museum', u'Musical Instruments Museum', u'Grand Place'], [u'Autoworld', u'Atomium And Mini Europe ', u'Historic Centre'], [u'Gravensteen Castle', u'Graslei And Korenlei', u'Grote Markt'], [u'Antwerp Central Station', u'Mas - Museum Aan De Stroom', u'Antwerp Zoo'], [u'Anne Frank House', u'Rijksmuseum', u'Dam Square', u'Heineken Experience', u'Stedelijk Museum'], [u'De Wallen', u'Albert Cuyp Market', u'Oude Kerk', u'Concertgebouw', u'Amsterdam Historisch Museum'], [u'Van Gogh Museum', u'Bloemenmarkt', u'Royal Palace', u'Jordaan Museum', u'Amsterdam Canals'], [u'Gedachtniskirche', u'Holocaust Memorial', u'Museum Island', u'Topography Of Terror', u'Brandenburg Gate'], [u'Unter Den Linden', u'Museum Of Applied Art'], [u'Old Town Hall', u'Bmw Headquarters And Museum', u'The Alte Pinakothek', u'Hofbrauhaus'], [u'Cathedral Of Our Lady', u'Odeonsplatz', u'Munich Residenz', u'Dachau Concentration Camp'], [u'New Town Hall', u'Viktualienmarkt', u'Englischer Garten', u'Asam Church'], [u'The Jet D Eau', u'St Peters Cathedral', u'Museum Of Art And History', u'Lake Geneva'], [u'Louvre Museum', u'Champs Elysees', u'Versailles Palace'], [u'Jardin Du Luxembourg', u'Towers Of Notre Dame Cathedral', u'Eiffel Tower']]",22 Jun 2015,"[u'Brussels', [u'Brussels', u'Bruges'], [u'Ghent', u'Antwerp'], u'Antwerp', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Berlin', u'Berlin', u'Munich', u'Munich', u'Munich', u'Geneva', u'Paris', u'Paris']"
17 Jun 2015,52d05d52e705455916000000,"[[u'Vienna Museum Of Natural History', u'Kunsthistorisches Museum', u'Palace Of Justice', u'Belvedere Palace'], [u'Butterfly House', u'Albertinaplatz', u'Karntnerstrasse', u'Hofburg Palace', u'Kunsthalle Wien', u'Wiener Riesenrad'], [u'Karlskirche', u'St Stephens Cathedral', u'Donauturm', u'Ringstrasse'], [u'The Mucha Museum', u'National Theatre', u'Petrin Hill', u'St Vitus Cathedral', u'Lesser Town'], [u'Charles Bridge', u'Old Town Hall Tower And Astronomical Clock', u'Tyn Church', u'Jindrisska Tower', u'The Dancing House'], [u'Golden Lane', u'Lobkowicz Palace', u'Prague Castle', u'Old New Synagogue', u'Czech National Museum'], [u'Speicherstadt', u'Hamburger Kunsthalle', u'Planten Un Blomen'], [u'Ballinstadt', u'Hamburger Kunsthalle', u'Speicherstadt', u'Planten Un Blomen'], [u'Romerberg', u'The Main Tower', u'Zeil Shopping Street', u'The Goethe House', u'St Pauls Church'], [u'The Palm Garden', u'Fressgass', u'Frankfurt Zoo', u'Church Of Nicolai', u'The Senckenberg Museum Of Natural History', u'Sachsenhausen', u'The Museum Of Modern Art', u'Alte Oper', u'St Bartholomews Cathedral', u'Eiserner Steg', u'Museum Sufer'], [u'Jetee Des Paquis', u'St Peters Cathedral', u'Natural History Museum', u'Palais Wilson'], [u'Quartier Les Grottes', u'Voltaire Museum', u'Rue Du Mont-blanc', u'Brunswick Monument'], [u'St Peters Church', u'Lake Promenade', u'Fraumunster', u'Kunsthaus', u'Landesmuseum', u'Mount Pilatus'], [u'Staubbach Fall', u'Basel Zoo', u'Grossmunster']]",30 Jun 2015,"[u'Vienna', u'Vienna', u'Vienna', u'Prague', u'Prague', u'Prague', u'Hamburg', u'Hamburg', u'Frankfurt', u'Frankfurt', u'Geneva', u'Geneva', [u'Lucerne', u'Zurich'], [u'Zurich', u'Lauterbrunnen', u'Basel']]"
20 Sep 2015,,"[[u'Saeed Al Maktoum House', u'Jumeirah Mosque', u'Wild Wadi Water Park', u'Chinawhite'], [u'Dubai Museum', u'Ras Al Khor Wildlife Sanctuary', u'Dhow Cruise'], [u'The Main Tower', u'Mathildenhoehe Und Jugendstil Kolonie', u'St Pauls Church', u'Sachsenhausen'], [u'The Goethe House', u'Zoo Vivarium Darmstadt', u'Romerberg'], [u'Gedachtniskirche', u'Checkpoint Charlie', u'Topography Of Terror', u'Museum Island', u'Trebbiner Stra\xdfe 9'], [u'Pergamon Museum', u'Olympia Stadium', u'Mehringdamm 36', u'Friedrichstra\xdfe 50', u'Friedrichstra\xdfe 67'], [u'Munich Residenz', u'Marienplatz'], [u'Saint Peters Church', u'Karlsplatz', u'Allianz Arena', u'The Neue Pinakothek', u'Viktualienmarkt'], [u'Buckingham Palace London', u'Churchill War Rooms', u'Palace Of Westminster'], [u'Trafalgar Square', u'Tower Of London', u'London Aquarium'], [u'Musee D Orsay', u'Luxembourg Gardens'], [u'Towers Of Notre Dame Cathedral', u'Musee De L Orangerie', u'Eiffel Tower'], [u'Madrid Planetarium', u'Royal Palace Of Madrid', u'Palacio De Comunicaciones'], [u'The Prado Museum', u'Gateway Of The Sun'], [u'Zurich Zoological Garden', u'Lindenhof', u'Kunsthaus'], [u'Lake Promenade', u'Bahnhofstrasse', u'Schanzengraben', u'Urania Observatory', u'Grossmunster'], [u'Lake Geneva', u'Place Des Nations', u'Russian Church', u'Jetee Des Paquis', u'St Peters Cathedral'], [u'Natural History Museum', u'Modern And Contemporary Art Museum Or Mamco', u'Rue Du Mont-blanc', u'Quartier Les Grottes', u'Palais Wilson'], [u'Grand Central Terminal', u'Times Square', u'Bronx Zoo', u'New York Public Library', u'Fordham University'], [u'Central Park', u'Statue Of Liberty', u'National 9-11 Memorial Museum', u'Bronx']]",09 Oct 2015,"[u'Dubai', u'Dubai', [u'Frankfurt', u'Darmstadt'], [u'Frankfurt', u'Darmstadt'], u'Berlin', u'Berlin', u'Munich', u'Munich', u'London', u'London', u'Paris', u'Paris', u'Madrid', u'Madrid', u'Zurich', u'Zurich', u'Geneva', u'Geneva', u'New York City', [u'New York City', u'New York']]"
04 Nov 2015,,"[[u'Lindenhof', u'Landesmuseum', u'Fraumunster', u'Kunsthaus'], [u'Lake Promenade', u'Zurich Zoological Garden', u'Rietberg Museum'], [u'Limmat River', u'Bahnhofstrasse', u'Grossmunster'], [u'Strandbad Mythenquai', u'Urania Observatory', u'Schanzengraben', u'St Peters Church'], [u'Mount Rigi', u'Engelberg Abbey', u'Lake Lucerne', u'Swiss Museum Of Transport'], [u'Bourbaki Panorama', u'Chapel Bridge', u'Prime Ski School'], [u'Kornmarkt', u'Seilpark Engelberg', u'Richard Wagner Museum'], [u'Lake Geneva', u'Reformation Wall', u'Russian Church', u'St Peters Cathedral', u'Museum Of Art And History'], [u'Geneva Flower Clock Or Horloge Fleurie', u'Place Du Bourg De Four', u'Modern And Contemporary Art Museum Or Mamco', u'Place De Neuve', u'Temple De La Fusterie'], [u'Natural History Museum', u'Jetee Des Paquis', u'Patek Philippe Museum', u'The Jet D Eau', u'Palais Wilson'], [u'Louvre Museum'], [u'Jardin Du Luxembourg', u'Louvre Pyramid', u'Towers Of Notre Dame Cathedral', u'Pantheon'], [u'Opera De Paris Garnier', u'Musee D Orsay', u'Espace Dali'], [u'Hampton Court Palace', u'Tower Of London', u'Heathrow Airport'], [u'Westminster Abbey', u'Natural History Museum', u'Portobello Road Market', u'Canary Wharf'], [u'Big Ben London', u'Tower Bridge', u'Windsor Castle'], [u'Madame Tussauds Museum', u'Greenwich Park', u'The London Eye', u'Buckingham Palace London'], [u'St Pauls Cathedral', u'Harrods', u'Piccadilly Circus'], [u'Trafalgar Square', u'National Portrait Gallery', u'The London Dungeon', u'British Museum', u'National Gallery'], [u'Wellington Arch', u'Kensington Palace', u'Hyde Park', u'Palace Of Westminster', u'Mount Pilatus']]",23 Nov 2015,"[u'Zurich', u'Zurich', u'Zurich', u'Zurich', [u'Lucerne', u'Engelberg'], [u'Lucerne', u'Engelberg'], [u'Lucerne', u'Engelberg'], u'Geneva', u'Geneva', u'Geneva', u'Paris', u'Paris', u'Paris', u'London', u'London', u'London', u'London', u'London', u'London', [u'London', u'Lucerne']]"
24 Jul 2014,520dafaae705451f75000000,"[[u'Geneva Flower Clock Or Horloge Fleurie', u'Place Du Bourg De Four', u'Place De Neuve', u'St Peters Cathedral', u'The Jet D Eau', u'Lake Geneva'], [u'Modern And Contemporary Art Museum Or Mamco', u'Reformation Wall', u'Museum Of Art And History', u'Natural History Museum', u'Patek Philippe Museum']]",25 Jul 2014,"Geneva,Geneva"
20 May 2015,5514e0e3fbc2e50707000d05,"[[u'Almudena Cathedral And Crypt', u'Royal Palace Of Madrid', u'Parque Del Retiro'], [u'Las Ventas', u'Royal Theatre', u'Monasterio De Las Descalzas Reales', u'Faunia', u'Corral De La Moreria'], [u'Royal Botanic Garden', u'The Prado Museum', u'The Valley Of The Fallen', u'Madrid Rio'], [u'Sinagoga', u'Jardin Botanico De Cordoba', u'Great Cathedral And Mosque', u'Alcazar De Los Reyes Cristianos', u'Palacio Museo De Viana'], [u'Malaga Cathedral', u'Marbella Old Quarter', u'Sohail Castle'], [u'Djemaa El Fna', u'Jardin Majorelle', u'El Badi Palace', u'Ali Ben Youssef Medersa'], [u'Generalife', u'Science Park', u'Puerto De Malaga', u'Plaza Nueva', u'Granada Cathedral'], [u'Sagrada Familia', u'La Rambla'], [u'Louvre Museum'], [u'Reichstag', u'Gedachtniskirche', u'Topography Of Terror', u'Museum Island', u'Checkpoint Charlie'], [u'Lake Geneva', u'Jetee Des Paquis', u'Russian Church', u'St Peters Cathedral', u'Museum Of Art And History'], [u'Natural History Museum', u'Modern And Contemporary Art Museum Or Mamco', u'Lausanne Cathedral', u'Palais Wilson', u'Quartier Les Grottes'], [u'Roman Forum', u'Colosseum', u'Trevi Fountain']]",02 Jun 2015,"[u'Madrid', u'Madrid', u'Madrid', u'Cordoba', [u'Marbella', u'Malaga'], u'Marrakesh', [u'Malaga', u'Granada'], u'Barcelona', u'Paris', u'Berlin', u'Geneva', [u'Lausanne', u'Geneva'], u'Rome']"
06 Oct 2015,,"[[u'St. Fernando Royal Academy Of Fine Arts', u'Mirador De La Pradera De San Marcos', u'Almudena Cathedral And Crypt', u'Plaza Colon'], [u'Atocha Station', u'Plaza Mayor', u'The Lion King Musical', u'National Museum Of Romanticism', u'El Rastro'], [u'Bullfighting Museum', u'Puerta De Alfonso V I', u'Gateway Of The Sun', u'Sorolla Museum'], [u'Picasso Museum', u'Jardi Botanic', u'Barceloneta'], [u'Barcelona Cathedral', u'Montjuic Communications Tower', u'Camp Nou', u'Barcelona Aquarium'], [u'Musee D Orsay', u'Sacre Coeur Montmartrel'], [u'Louvre Pyramid', u'Arc De Triomphe', u'Champs Elysees'], [u'Eiffel Tower', u'Petit Palais', u'Medici Fountain'], [u'Saint Nicholas Cathedral Or Cathedral De Monaco', u'The Museum Of Stamps And Coins', u'Le Metropole Shopping Center', u'Monaco Grand Prix', u'Fort Antoine'], [u'Promenade Des Anglais', u'Le Chateau Or The Castle Of Nice', u'Oceanographic Museum', u'Museum Of Napoleon Souvenirs'], [u'Lake Geneva', u'Modern And Contemporary Art Museum Or Mamco', u'Russian Church', u'The Jet D Eau', u'Voltaire Museum'], [u'Place Des Nations', u'Place De Neuve', u'Patek Philippe Museum', u'Museum Of Art And History', u'Musee De Montreux'], [u'Landesmuseum', u'Lindenhof', u'Kunsthaus', u'Fraumunster'], [u'Lake Promenade', u'Zurich Zoological Garden', u'Rietberg Museum'], [u'Limmat River', u'Schanzengraben', u'Bahnhofstrasse', u'Grossmunster'], [u'Piazza Navona', u'St Peters Basilica', u'Colosseum', u'Pantheon'], [u'Sistine Chapel', u'Spanish Steps', u'Castle San Angelo'], [u'San Marco Convent Church And Museum', u'Basilica Di Santa Maria Del Fiore', u'Ponte Vecchio'], [u'Doges Palace', u'Grand Canal', u'Scuola Grande Di San Rocco', u'Saint Marks Basilica', u'Torre Dell Orologio St Marks Clocktower'], [u'Rialto Bridge', u'Galleria Dell Accademia', u'Ca Rezzonico', u'Venice Biennale Or Biennale Di Venezia', u'Ca D Oro']]",25 Oct 2015,"[[u'Segovia', u'Madrid'], u'Madrid', [u'Toledo', u'Madrid'], u'Barcelona', u'Barcelona', u'Paris', u'Paris', u'Paris', u'Monaco', [u'Nice', u'Monaco'], u'Geneva', [u'Geneva', u'Montreux'], u'Zurich', u'Zurich', u'Zurich', u'Rome', [u'Rome', u'Vatican City'], u'Florence', u'Venice', u'Venice']"
01 Jul 2016,,"[[u'Bargello Museum And Palace', u'Basilica Di Santa Maria Del Fiore', u'Florence Baptistery', u'Giottos Campanile', u'Via Dei Servi, 66'], [u'Basilica Di San Lorenzo', u'Galleria Dellaccademia', u'Ponte Vecchio'], [u'Doges Palace', u'Grand Canal', u'Saint Marks Basilica', u'Peggy Guggenheim Collection', u'St Mary Of The Friars'], [u'Sforza Castle', u'Milan Cathedral Or The Duomo'], [u'Lake Geneva', u'Place Des Nations', u'Russian Church', u'St Peters Cathedral', u'The Jet D Eau'], [u'Rathaus', u'Fishermans Quarter', u'Ulm Cathedral', u'Ulmer Museum', u'Wiblingen Abbey'], [u'Crooked House', u'Albert Einstein Denkmal', u'Stadthaus Ulm', u'Museum Of Bread Culture', u'Kunsthalle Weishaupt'], [u'Danube', u'Hohle Fels', u'Tiergarten Ulm'], [u'Musee Dorsay', u'Eiffel Tower', u'Adagio Aparthotel Paris Buttes Chaumont'], [u'Musee De L Orangerie', u'Arc De Triomphe', u'Luxembourg Gardens', u'How To Become Parisian In One Hour', u'Les Deux Magots'], [u'Montmartre'], [u'Ile Saint-louis', u'Sacre Coeur Montmartrel', u'River Seine'], [u'Holburne Museum', u'Bute Park', u'Cardiff Bay Barrage'], [u'Mermaid Quay', u'National Museum And Art Gallery'], [u'Stirling Castle', u'Edinburgh Castle', u'Arniston House', u'Dunnottar Castle '], [u'Oxford Street', u'Tower Of London', u'Big Ben London'], [u'Buckingham Palace London', u'Greenwich Park', u'Knightsbridge', u'Hyde Park'], [u'Zsl London Zoo', u'Soho'], [u'Royal Festival Hall', u'Westminster Abbey', u'Oxo Tower Restaurant, Bar And Brasserie', u'Millennium Bridge'], [u'The London Dungeon', u'The London Eye', u'The View From The Shard']]",20 Jul 2016,"[u'Florence', u'Florence', u'Venice', u'Milan', u'Geneva', u'Ulm', u'Ulm', u'Ulm', u'Paris', u'Paris', u'Paris', u'Paris', [u'Bath', u'Cardiff'], u'Cardiff', [u'Stonehaven', u'Edinburgh'], u'London', u'London', u'London', u'London', u'London']"
20 May 2015,,"[[u'The Jet D Eau', u'Olympic Museum Lausanne', u'St Peters Cathedral', u'Lausanne Cathedral', u'Freddie Mercury Memorial Statue'], [u'Chateau De Chillon', u'Accro Park', u'Musee De Montreux'], [u'Aiguille Du Midi', u'Geneva Flower Clock Or Horloge Fleurie', u'Mont Saleve', u'Quai De Mont Blanc', u'Golden Pass Line'], [u'Lake Geneva', u'Place Du Bourg De Four', u'Natural History Museum', u'Temple De La Fusterie', u'Tour Du Molard'], [u'Vallee Blanche'], [u'Place De Neuve', u'Rousseau Island', u'Rue Du Mont-blanc', u'Brunswick Monument', u'Palais Wilson'], [u'Sauvabelin Tower', u'Quartier Les Grottes', u'Voltaire Museum', u'Mer De Glace'], [u'Brevent', u'Tramway Du Mont Blanc', u'Reformation Wall', u'Brut Art Collection'], [u'Lac Blanc'], [u'Place Des Nations', u'Palais De Rumine', u'Musee De L\\elysee', u'Musee Des Cristaux'], [u'Merlet Animal Park', u'Lake Gaillands', u'Parc De Loisirs', u'Musee Historique De Lausanne'], [u'Jetee Des Paquis', u'Museum Of Art And History', u'Ouchy Port'], [u'Patek Philippe Museum', u'Modern And Contemporary Art Museum Or Mamco', u'Espace Tairraz', u'Rue Du Rhone', u'The Alpine Museum']]",01 Jun 2015,"[[u'Lausanne', u'Geneva', u'Montreux'], [u'Montreux', u'Chamonix'], [u'Geneva', u'Montreux', u'Chamonix'], u'Geneva', u'Chamonix', u'Geneva', [u'Lausanne', u'Geneva', u'Chamonix'], [u'Lausanne', u'Geneva', u'Chamonix'], u'Chamonix', [u'Lausanne', u'Geneva', u'Chamonix'], [u'Lausanne', u'Chamonix'], [u'Lausanne', u'Geneva'], [u'Geneva', u'Chamonix']]"
