trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
04 Apr 2014,52b6f8b0e705450119000000,"[[u'Avenue Of Stars', u'Star Ferry', u'Peak Tram', u'Peak Tower', u'Victoria Peak'], [u'Ngong Ping Cable Car', u'Ocean Park', u'Hong Kong Disneyland'], [u'Mong Kok', u'Stanley']]",06 Apr 2014,"Hong Kong,Hong Kong,Hong Kong"
16 Jul 2015,,"[[u'Kowloon Walled City Park', u'Sik Sik Yuen Wong Tai Sin Temple', u'Jade Street', u'Flower Market'], [u'Singapore Zoo', u'Images Of Singapore', u'Chinatown'], [u'Dubai Museum', u'Ras Al Khor Wildlife Sanctuary', u'Dubai Moving Image Museum', u'The Dubai Fountain'], [u'The Bird Park', u'KLCC Park', u'Aquaria Klcc', u'Kuala Lumpur Tours'], [u'The Stadthuys', u'Butterfly And Reptile Sanctuary', u'Cheng Hoon Teng', u'Baba Nyonya Heritage Museum', u'Kampong Hulu Mosque'], [u'Mount Santubong', u'Kuching Esplanade And Waterfront', u'Sarawak Cultural Village', u'Bako National Park', u'Sarawak Orchid Garden'], [u'Genting Skyway Cable Car', u'Genting Strawberry Leisure Farm', u'Taman Tasik Titiwangsa', u'Royal Selangor Visitor Centre', u'Zoo Negara'], [u'Mardi Langkawi Agro Tech Park', u'Langkawi Cable Car', u'Telaga Tujuh Waterfalls', u'Atma Alam Batik Village', u'Underwater World'], [u'Khoo Kongsi', u'Kek Lok Si', u'Fort Cornwallis', u'Penang Botanic Gardens']]",24 Jul 2015,"[u'Hong Kong', [u'Singapore', u'Sentosa'], u'Dubai', u'Kuala Lumpur', u'Melaka', u'Kuching', [u'Genting Highlands', u'Kuala Lumpur'], u'Langkawi Island', u'Penang Hill']"
13 Apr 2015,,"[[u'Legian Beach', u'Elephant Cave', u'Tanah Lot Temple'], [u'Bali Jet Set Dive And Marine Sports', u'Gunung Lebah Temple', u'Kecak Fire And Trance Dance'], [u'Puri Saren Palace', u'Bali Bird Park', u'Kuta Square'], [u'Jurong Reptile Park', u'Sentosa Luge And Skyride', u'Singapore Crocodilarium', u'Sentosa Merlion', u'Asian Civilization Museum'], [u'Merlion', u'Images Of Singapore', u'Snow City', u'Science Center'], [u'Mandai Orchid Garden', u'St Johns Island', u'St Andrews Cathedral'], [u'Singapore Zoo', u'Esplanade Theatres On The Bay', u'City Gallery'], [u'Flower Market', u'Peak Tram', u'Ngong Ping Cable Car', u'Jade Street', u'Bird Garden'], [u'Tin Hau Temple', u'Ruins Of St Paul', u'Victoria Peak'], [u'Ten Thousand Buddhas Monastery', u'St Lawrence Church', u'Avenue Of Stars'], [u'Macau Fishermans Wharf', u'Tsim Sha Tsui Waterfront'], [u'British Museum', u'Tower Bridge', u'Big Ben London'], [u'The Royal Botanic Kew Garden', u'Tower Of London', u'Palace Of Westminster'], [u'St Pauls Cathedral', u'The Monument', u'Apsley House', u'The London Eye'], [u'Trafalgar Square', u'Madame Tussauds Museum', u'Queens House', u'Buckingham Palace London'], [u'Westminster Abbey', u'Tate Museum', u'Harrods'], [u'Old Royal Naval College', u'Hyde Park'], [u'Royal Observatory Greenwich', u'Cutty Sark', u'St James Palace'], [u'Kings College Chapel', u'National Maritime Museum', u'The London Dungeon', u'Royal Albert Hall'], [u'The Fitzwilliam Museum', u'Wellington Arch', u'Zsl London Zoo', u'Millennium Bridge']]",02 May 2015,"[u'Bali', u'Bali', u'Bali', [u'Singapore', u'Sentosa'], [u'Singapore', u'Sentosa'], u'Singapore', u'Singapore', u'Hong Kong', [u'Hong Kong', u'Macau'], [u'Hong Kong', u'Macau'], [u'Hong Kong', u'Macau'], u'London', u'London', u'London', u'London', u'London', u'London', u'London', [u'London', u'Cambridge'], [u'London', u'Cambridge']]"
26 Nov 2015,55d09962cd2e0715200000d6,"[[u'Dafen Oil Painting Village', u'Hong Kong Disneyland', u'Ngong Ping Cable Car'], [u'Sik Sik Yuen Wong Tai Sin Temple', u'Shenzhen Mangrove Nature Reserve', u'Hutong Restaurant', u'Madame Tussauds Hong Kong'], [u'Ten Thousand Buddhas Monastery', u'Victoria Harbour', u'Kingkey 100'], [u'Shenzhen Museum', u'Victoria Peak'], [u'Wine Museum', u'St Lawrence Church', u'Ruins Of St Paul', u'Senado Square'], [u'Guia Fortress', u'The Venetian Macao', u'Macau Fishermans Wharf'], [u'A Ma Temple Or Ma Kok Miu', u'Grand Prix Museum', u'Macau Tower', u'Dom Pedro V Theatre'], [u'Macau Museum', u'Kun Iam Statue', u'Greyhound Racing'], [u'Singapore Zoo', u'Sea Aquarium', u'Chinatown'], [u'Merlion', u'Thian Hock Keng Temple', u'Sentosa Luge And Skyride', u'Images Of Singapore', u'Esplanade Theatres On The Bay'], [u'Botanic Gardens', u'Science Center', u'Butterfly Park And Insect Kingdom'], [u'Petrosains Discovery Centre', u'Aquaria Klcc', u'Batu Caves'], [u'Perdana Botanical Gardens', u'Petronas Twin Towers', u'The Bird Park', u'Betel Leaf', u'China Town'], [u'Islamic Arts Museum', u'KLCC Park', u'Taman Tasik Perdana', u'The Golden Triangle', u'KLCC-Bukit Bintang Walkway'], [u'Wat Pho Reclining Buddha', u'Tha Tien Pier', u'Memorial Bridge'], [u'Wat Phra Kaew', u'China Town', u'Benjasiri Park'], [u'Pak Khlong Flower Market', u'Mandarin Oriental', u'Patpong', u'Grand Palace', u'Patpong Night Market'], [u'Big Buddha', u'Rang Hill Or Khao Rang Hill', u'Kamala Beach'], [u'Koh Panyee', u'Football Crazy Golf', u'Banyan Tree', u'Phuket Fantasea'], [u'Red Mountain Golf Club', u'Old Phuket Town']]",15 Dec 2015,"[[u'Shenzhen', u'Hong Kong'], [u'Hong Kong', u'Shenzhen'], [u'Hong Kong', u'Shenzhen'], [u'Shenzhen', u'Hong Kong'], u'Macau', u'Macau', u'Macau', u'Macau', [u'Singapore', u'Sentosa'], [u'Singapore', u'Sentosa'], [u'Singapore', u'Sentosa'], u'Kuala Lumpur', u'Kuala Lumpur', u'Kuala Lumpur', u'Bangkok', u'Bangkok', u'Bangkok', u'Phuket', u'Phuket', u'Phuket']"
09 May 2015,,"[[u'Tin Hau Temple', u'Ruins Of St Paul', u'Bird Garden', u'Avenue Of Stars'], [u'Sik Sik Yuen Wong Tai Sin Temple', u'Peak Tower', u'Wine Museum'], [u'A Ma Temple Or Ma Kok Miu', u'Expo Promenade', u'Macau Museum', u'Kat Hing Wai', u'Senado Square'], [u'Macau Fishermans Wharf', u'Ma Wan Park Noahs Ark', u'Victoria Peak'], [u'Ten Thousand Buddhas Monastery', u'Hong Kong Museum Of History', u'The Venetian Macao', u'Lamma Island'], [u'Kun Iam Statue', u'Macau Tower', u'Statue Square', u'Victoria Harbour'], [u'Grand Prix Museum', u'Hong Kong Disneyland', u'Hollywood Road'], [u'Dom Pedro V Theatre', u'Ladies Market', u'Sky 100', u'Causeway Bay'], [u'Ngong Ping Cable Car', u'Tsim Sha Tsui Waterfront']]",17 May 2015,"[[u'Hong Kong', u'Macau'], [u'Hong Kong', u'Macau'], [u'Hong Kong', u'Macau'], [u'Hong Kong', u'Macau'], [u'Hong Kong', u'Macau'], [u'Hong Kong', u'Macau'], [u'Hong Kong', u'Macau'], [u'Hong Kong', u'Macau'], u'Hong Kong']"
18 Jan 2014,52d0dcc8e70545347a000000,"[[u'Peak Tram', u'Sky 100', u'Star Ferry'], [u'Ruins Of St Paul', u'Senado Square', u'The Venetian Macao', u'Macau Tower', u'Kun Iam Statue', u'St Lawrence Church', u'Guia Fortress'], [u'Ngong Ping Cable Car', u'Tian Tan Buddha', u'Avenue Of Stars', u'Victoria Harbour'], [u'Hong Kong Disneyland']]",22 Jan 2014,"Hong Kong,Macau,Hong Kong,Hong Kong"
17 Sep 2015,5588fb89fbc2e5f251000d7f,"[[u'Art Gallery Of New South Wales', u'Sydney Harbour Bridge'], [u'Saint Marys Cathedral', u'Sydney Opera House', u'Kings Cross'], [u'Blue Mountains', u'Discovery Museum'], [u'Manly Ferry', u'Museum Of Sydney', u'Vaucluse House'], [u'Gallery Of Modern Art', u'Queensland Performing Arts Centre', u'The Brisbane River Cruise'], [u'Lone Pine Koala Sanctuary', u'Maroochydore Beach', u'Swan Boat Hire', u'Roma Street Parkland'], [u'Moreton Bay', u'Queensland Museum', u'Maroochydore Sunshine Plaza'], [u'Cairns Regional Gallery', u'Tank Arts Centre', u'The Esplanade', u'Undara Volcanic National Park'], [u'Flagstaff Hill Lookout', u'Daintree Rainforest National Park', u'Cairns Tropical Zoo', u'Great Barrier Reef'], [u'Tjapukai Aboriginal Cultural Park', u'Wildlife Habitat Port Douglas'], [u'Larapinta Trail', u'Alice Springs Reptile Centre'], [u'Alice Springs Telegraph Station Historical Reserve', u'Central Australia Aviation Museum', u'Old Ghan Heritage Railway And Museum', u'Adelaide House'], [u'Anzac Hill', u'Road Transport Hall Of Fame', u'Alice Springs School Of The Air Visitor Centre', u'National Pioneer Womens Hall Of Fame', u'The Royal Flying Doctor Service'], [u'Flower Market', u'Avenue Of Stars', u'Jade Street', u'Ngong Ping Cable Car'], [u'Ten Thousand Buddhas Monastery', u'Mong Kok'], [u'Star Ferry', u'Sik Sik Yuen Wong Tai Sin Temple', u'Victoria Harbour', u'Causeway Bay', u'Temple St']]",02 Oct 2015,"[u'Sydney', u'Sydney', u'Sydney', u'Sydney', u'Brisbane', [u'Brisbane', u'Maroochydore'], [u'Brisbane', u'Maroochydore'], u'Cairns', [u'Port Douglas', u'Cairns'], [u'Port Douglas', u'Cairns'], u'Alice Springs', u'Alice Springs', u'Alice Springs', u'Hong Kong', u'Hong Kong', u'Hong Kong']"
04 Apr 2014,52c05a4ee705455778000000,"[[u'Avenue Of Stars', u'Star Ferry', u'Peak Tram', u'Peak Tower', u'Victoria Peak'], [u'Ngong Ping Cable Car', u'Ocean Park', u'Hong Kong Disneyland'], [u'Mong Kok', u'Stanley']]",06 Apr 2014,"Hong Kong,Hong Kong,Hong Kong"
24 Dec 2015,,"[[u'Sea World', u'Avenue Of Stars'], [u'Dafen Oil Painting Village', u'Peak Tower', u'Lamma Island'], [u'Tian Tan Buddha', u'Shenzhen Window Of The World'], [u'Victoria Peak', u'Hollywood Road'], [u'Shenzhen Mangrove Nature Reserve', u'Happy Valley Of Shenzhen', u'Tin Hau Temple'], [u'Ocean Park', u'Bird Garden', u'Statue Square'], [u'Chinese Folk Culture Village', u'Sky 100', u'Causeway Bay', u'Victoria Harbour'], [u'Sik Sik Yuen Wong Tai Sin Temple', u'Dong Men Pedestrian Street'], [u'Wutong Mountain National Park', u'Ladies Market', u'Kingkey 100'], [u'Shenzhen Convention And Exhibition Centre', u'Jade Street', u'Jumbo Floating Restaurant', u'Hong Kong Disneyland'], [u'Xianhu Botanical Garden', u'Splendid China Park', u'Ngong Ping Cable Car', u'Nathan Road'], [u'Shenzhen Wild-life Zoo', u'Shenzhen Museum', u'Ten Thousand Buddhas Monastery'], [u'Dameisha Beach', u'Expo Promenade', u'Lychee Park', u'Hutong Restaurant'], [u'Tsim Sha Tsui Waterfront', u'Aberdeen Floating Village']]",06 Jan 2016,"[[u'Shenzhen', u'Hong Kong'], [u'Shenzhen', u'Hong Kong'], [u'Hong Kong', u'Shenzhen'], u'Hong Kong', [u'Shenzhen', u'Hong Kong'], u'Hong Kong', [u'Shenzhen', u'Hong Kong'], [u'Hong Kong', u'Shenzhen'], [u'Shenzhen', u'Hong Kong'], [u'Shenzhen', u'Hong Kong'], [u'Shenzhen', u'Hong Kong'], [u'Shenzhen', u'Hong Kong'], [u'Shenzhen', u'Hong Kong'], u'Hong Kong']"
05 Sep 2015,55dc90c5a6e4d06b5500039b,"[[u'Wine Museum', u'Ruins Of St Paul', u'Peak Tower'], [u'Sik Sik Yuen Wong Tai Sin Temple', u'Bird Garden', u'Lamma Island', u'Avenue Of Stars'], [u'A Ma Temple Or Ma Kok Miu', u'Shenzhen Garden Show Park', u'Victoria Harbour'], [u'Minsk World', u'Ten Thousand Buddhas Monastery', u'Hong Kong Disneyland'], [u'Macau Tower', u'The Venetian Macao', u'Macau Fishermans Wharf', u'Senado Square'], [u'Grand Prix Museum', u'Tsim Sha Tsui Waterfront'], [u'Ngong Ping Cable Car', u'Sky 100', u'Victoria Peak'], [u'Qingping Market', u'Lotus Hill', u'Shangxiajiu Pedestrian Street', u'Ancestral Temple'], [u'Guangzhou Ocean World', u'Mt. Foshan Liang Park', u'Zumiao Temple', u'Sun Yat-sen Memorial Hall'], [u'Baiyun Mountain'], [u'Shiwans Nanfeng Ancient Furnace', u'Temple Of The Six Banyan Trees'], [u'Guangxiao Temple', u'Renshou Temple', u'Western Han Nanyue Kings Tomb Museum', u'South China Sea Temple'], [u'Xiangjiang Safari Park', u'Guangdong Provincial Museum'], [u'Sacred Heart Cathedral', u'Whampoa Military Academy', u'Chimelong Paradise'], [u'White Cloud Mountain National Forest Park', u'Chinese Ceramic City']]",19 Sep 2015,"[[u'Hong Kong', u'Macau'], u'Hong Kong', [u'Shenzhen', u'Hong Kong', u'Macau'], [u'Shenzhen', u'Hong Kong'], u'Macau', [u'Hong Kong', u'Macau'], u'Hong Kong', u'Guangzhou', [u'Guangzhou', u'Foshan'], u'Guangzhou', [u'Guangzhou', u'Foshan'], [u'Guangzhou', u'Foshan'], u'Guangzhou', u'Guangzhou', [u'Luoyang', u'Foshan']]"
