trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
28 Nov 2013,5294d05be70545ca1a000000,"[[u'Edinburgh Dungeon', u'The Scott Monument', u'National Museum Of Scotland', u'Edinburgh Castle'], [u'Queens House', u'The Monument', u'Tower Of London', u'Big Ben London', u'Buckingham Palace London', u'The London Eye']]",29 Nov 2013,"Edinburgh,London"
28 Nov 2013,5294d05be70545ca1a000000,"[[u'Edinburgh Dungeon', u'The Scott Monument', u'National Museum Of Scotland', u'Edinburgh Castle'], [u'Queens House', u'The Monument', u'Tower Of London', u'Big Ben London', u'Buckingham Palace London', u'The London Eye']]",29 Nov 2013,"Edinburgh,London"
18 Feb 2016,56c5b254dd853aff0900085c,"[[u'Green Park', u'Bond Street Station', u'Oxford Street']]",08 Mar 2016,London
22 Apr 2015,,"[[u'Big Ben London', u'The London Eye'], [u'Madame Tussauds Museum', u'Tower Of London']]",08 May 2015,"London,London"
20 Jun 2015,,"[[u'Big Ben London', u'Tower Bridge', u'Hampton Court Palace'], [u'Stegastein Viewpoint', u'The Flam Railway', u'Njord - Seakayak And Wilderness Adventure Day Tours', u'Fjord Safari']]",21 Jun 2015,"London,Flam"
01 Mar 2014,,"[[u'Big Ben London', u'The London Eye', u'London Aquarium', u'Tower Bridge'], [u'Natural History Museum', u'Madame Tussauds Museum', u'Tate Modern']]",10 Mar 2014,"London,London"
06 Jul 2015,,"[[u'Library Of Birmingham', u'Symphony Hall', u'Cadbury World'], [u'Birmingham Museum And Art Gallery', u'Birmingham Hippodrome'], [u'National Motorcycle Museum', u'Thinktank Science Museum', u'National Sea Life Centre'], [u'National Exhibition Centre Nec', u'Baddesley Clinton', u'Birmingham Back To Backs', u'Town Hall Birmingham'], [u'Natural History Museum', u'Westminster Abbey', u'The London Eye', u'Science Museum - Corporate and Private Hire'], [u'National Gallery'], [u'British Museum', u'Madame Tussauds Museum'], [u'National Portrait Gallery', u'Harrods']]",13 Jul 2015,"Birmingham,Birmingham,Birmingham,Birmingham,London,London,London,London"
23 Aug 2014,,"[[u'Buckingham Palace London', u'Big Ben London', u'The London Eye'], [u'Tower Of London', u'National Gallery'], [u'Natural History Museum', u'British Museum'], [u'Westminster Abbey', u'Tate Modern', u'Trafalgar Square'], [u'The London Dungeon', u'Palace Of Westminster', u'Tower Bridge'], [u'London Aquarium', u'London Transport Museum', u'Greenwich Park', u'Tate Museum']]",28 Aug 2014,"London,London,London,London,London,London"
30 May 2016,,"[[u'Trafalgar Square', u'Westminster Abbey', u'National Gallery'], [u'Palace Of Westminster', u'Big Ben London', u'London Transport Museum', u'Churchill War Rooms'], [u'Doges Palace', u'Grand Canal', u'Saint Marks Basilica', u'Peggy Guggenheim Collection', u'Church Of San Giorgio Maggiore'], [u'Rialto Bridge', u'Cannaregio', u'Interpreti Veneziani', u'The Phoenix Theatre', u'St. Marks Clocktower'], [u'The Palais Royal', u'Grand Palais', u'Towers Of Notre Dame Cathedral', u'Champ De Mars'], [u'Disneyland', u'Palais De Chaillot', u'Musee Du Quai Branly', u'National Library'], [u'Roman Forum', u'Basilica Santa Maria Degli Angeli E Dei Martiri', u'Colosseum', u'Monte Palatino'], [u'Lindenhof', u'Old Town'], [u'Notre Dame Du Sablon', u'Autoworld', u'Cathedrale St-michel Et Ste-gudule', u'Grand Place', u'Galeries Royales Saint-hubert'], [u'Stephansplatz', u'Karlskirche', u'Wiener Riesenrad', u'Vienna State Opera'], [u'Sachsenhausen', u'The Main Tower', u'St Pauls Church', u'The Goethe House'], [u'Guinness Storehouse', u'Temple Bar Company', u'National Gallery Of Ireland', u'Wynns Hotel Dublin']]",10 Jun 2016,"London,London,Venice,Venice,Paris,Paris,Rome,Zurich,Brussels,Vienna,Frankfurt,Dublin"
13 Oct 2015,5524cfc0fbc2e55c42001333,"[[u'Covent Garden', u'British Museum'], [u'National Gallery'], [u'Harrods', u'Natural History Museum', u'The Monument']]",15 Oct 2015,"London,London,London"
