trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
01 Oct 2015,55b19ed14715a79f2f00119d,"[[u'Exploratorium', u'Alamo Square', u'Aquarium Of The Bay', u'At And T Park', u'The Walt Disney Family Museum'], [u'Lombard Street', u'Cable Car Museum', u'Union Square', u'3800 Washington St'], [u'26 Mile Bike Path', u'Santa Monica Pier', u'The J Paul Getty Centre'], [u'Santa Monica Beach', u'Griffith Park', u'The Griffith Observatory'], [u'Chapel Of The Flowers', u'Las Vegas Premium Outlets North', u'Madame Tussauds Las Vegas', u'Fountains Of Bellagio'], [u'Las Vegas South Premium Outlets', u'Eiffel Tower Experience'], [u'South Mountain Park', u'Wrigley Mansion'], [u'Burton Barr Central Library', u'Phoenix Zoo'], [u'Explora Science Center And Children\\s Museum Of Albuquerque', u'Old Town Albuquerque', u'Sandia Peak Tramway'], [u'Indian Pueblo Cultural Center', u'Rattle Snake Museum', u'Albuquerque Bio Park'], [u'Dallas Arboretum And Botanical Gardens', u'Dallas Zoo', u'Dallas Museum Of Art', u'Sixth Floor Museum, Dealey Plaza', u'George W. Bush Presidential Library And Museum'], [u'Pioneer Plaza', u'The Dallas World Aquarium', u'Reunion Tower', u'Klyde Warren Park', u'Dealey Plaza, Grassy Knoll, National Historic Landmark District'], [u'French Quarter', u'Voodoo Spiritual Temple', u'Willie Maes Scotch House', u'Lafittes Blacksmith Shop Bar', u'Sucr\xe9'], [u'St. Louis Cathedral', u'Mercedes Benz Superdome', u'Jackson Square', u'Croissant Dor Patisserie', u'Frenchmen Art Market'], [u'Piedmont Park', u'Martin Luther King Jr. National Historic Site'], [u'Atlanta History Center', u'Georgia Aquarium'], [u'White House', u'Lincoln Memorial', u'National Air And Space Museum', u'Washington Monument'], [u'United States Capitol', u'National Museum Of Natural History', u'Washington National Cathedral'], [u'Fifth Avenue', u'Serendipity 3', u'Dylans Candy Bar', u'Rockefeller Center', u'Broadway Street'], [u'Central Park', u'New York Hilton Midtown', u'Bloomingdales', u'Bloomingdales']]",20 Oct 2015,"[u'San Francisco', u'San Francisco', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'Las Vegas', u'Las Vegas', u'Phoenix', u'Phoenix', u'Albuquerque', u'Albuquerque', u'Dallas', u'Dallas', u'New Orleans', u'New Orleans', u'Atlanta', u'Atlanta', u'Washington D. C.', u'Washington D. C.', u'New York City', [u'New York City', u'New York']]"
07 Feb 2014,56e1b3bd6ad56d153b000461,"[[u'Red Rock Canyon National Conservation Area', u'Ethel M Chocolate Factory', u'Eiffel Tower Experience', u'Bellagio Gallery Of Fine Art', u'Town Square', u'Fountains Of Bellagio'], [u'Hoover Dam', u'Lake Mead National Recreation Area', u'Chapel Of The Flowers', u'Stratosphere Casino, Hotel And Tower', u'Adventuredome', u'Fremont Street'], [u'Old Point Loma Lighthouse And Cabrillo National Monument', u'Seaworld San Diego', u'Mission Beach', u'San Diego Zoo', u'Balboa Park', u'Gaslamp Quarter'], [u'Los Angeles Zoo', u'Hollywood Walk Of Fame', u'Hollywood And Highland Center', u'Universal Studios', u'Beverly Hills', u'Sunset Boulevard'], [u'Disneyland', u'Hollywood Wax Museum', u'Santa Monica Pier'], [u'Golden Gate Bridge', u'Lombard Street', u'Pier 39', u'Saint Marys Cathedral', u'Alamo Square', u'Japanese Tea Garden', u'Bay Bridge'], [u'Transamerica Pyramid', u'Alcatraz Island', u'Coit Tower', u'San Francisco Cable Car Museum', u'Japan Town', u'Chinatown']]",13 Feb 2014,"Las Vegas,Las Vegas,San Diego,Los Angeles,Los Angeles,San Francisco,San Francisco"
01 Aug 2015,,"[[u'Jackson Square', u'Mercedes Benz Superdome', u'Voodoo Spiritual Temple', u'Angelo Brocato Ice Cream', u'Willie Maes Scotch House'], [u'French Quarter', u'Mardi Gras World Or Festival', u'Lafittes Blacksmith Shop Bar', u'Sucr\xe9', u'Lake Pontchartrain'], [u'Hermann Park', u'Ferry Terminal To Port Bolivar', u'Space Center Houston', u'Bishop\\s Palace', u'Museum Of Fine Arts Houston'], [u'The Strand Historic District', u'Museum District'], [u'The Seawall Boulevard', u'Museum Of Natural Science', u'Lone Star Flight Museum', u'Ocean Star Offshore Drilling Rig And Museum', u'Moody Mansion Museum'], [u'Galveston Island Railroad Museum And Terminal', u'Houston Zoo', u'Pleasure Pier'], [u'State Capitol', u'Umlauf Sculpture Garden And Museum', u'Bob Bullock Texas State History Museum', u'Austin Bats'], [u'Natural Bridge Caverns', u'LBJ Presidential Library'], [u'Lady Bird Johnson Wildflower Center', u'Lady Bird Lake Hike And Bike Trail'], [u'Westcave Preserve', u'The Driskill', u'Natural Bridge Wildlife Ranch'], [u'Santa Monica Beach', u'Viper Room', u'Santa Monica Mountains', u'The J Paul Getty Centre', u'Cleo'], [u'Angel Stadium Of Anaheim', u'Griffith Park', u'The Grammy Museum'], [u'26 Mile Bike Path', u'Honda Centre', u'The Ciel Spa At Sls Hotel', u'The Misfit Restaurant And Bar', u'Tacos Punta Cabras Restaurant'], [u'Bergamot Station', u'The Griffith Observatory', u'Santa Monica Looff Hippodrome'], [u'University Of California', u'Hollywood Bowl'], [u'Aqua Surf School', u'The Ritz-Carlton Spa', u'Petersen Automotive Museum'], [u'Disneyland Park', u'Santa Monica Museum Of Art'], [u'The Los Angeles Music Center', u'County Museum Of Art'], [u'Santa Monica Pier', u'Queen Mary'], [u'La Brea Tar Pits']]",20 Aug 2015,"[u'New Orleans', u'New Orleans', [u'Galveston', u'Houston'], [u'Galveston', u'Houston'], [u'Galveston', u'Houston'], [u'Galveston', u'Houston'], u'Austin', [u'San Antonio', u'Austin'], u'Austin', [u'San Antonio', u'Austin'], [u'Santa Monica', u'Los Angeles'], [u'Anaheim', u'Los Angeles'], [u'Santa Monica', u'Los Angeles', u'Anaheim'], [u'Santa Monica', u'Los Angeles'], u'Los Angeles', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'San Diego'], u'Los Angeles', u'Los Angeles', u'Los Angeles']"
27 Mar 2015,,"[[u'Pacific Park'], [u'26 Mile Bike Path', u'Santa Monica Beach', u'Disneyland Park', u'Santa Monica Looff Hippodrome', u'Cleo'], [u'County Museum Of Art', u'The Grammy Museum', u'The Griffith Observatory'], [u'University Of California', u'Flightdeck Flight Simulation Centre', u'The Misfit Restaurant And Bar', u'Tacos Punta Cabras Restaurant'], [u'Golden Gate Bridge', u'Cathedral Basilica Of St. Joseph', u'Greek Amphitheatre'], [u'Uss Pampanito', u'Muir Woods National Monument', u'Embarcadero Center', u'Coit Tower'], [u'San Francisco Cable Car Museum', u'Ferry Building', u'Alcatraz Island'], [u'Lombard Street', u'At And T Park', u'The Walt Disney Family Museum'], [u'Pier 39', u'Lands End', u'Crissy Field'], [u'California Palace Of The Legion Of Honor', u'Golden Gate Park', u'Fishermans Wharf'], [u'Twin Peaks', u'Baker Beach', u'Marin Headlands', u'De Young Museum'], [u'Grace Cathedral', u'Union Square', u'Musee Mecanique', u'Guadalupe River Park And Gardens'], [u'Central Park', u'Grand Central Terminal', u'American Museum Of Natural History'], [u'National 9-11 Memorial Museum', u'Empire State Building', u'Rockefeller Center', u'The Metropolitan Museum Of Art'], [u'Eataly', u'Fanaberie', u'Brooklyn Museum'], [u'Ellis Island', u'Brooklyn Bridge', u'New-York Historical Society', u'Times Square']]",11 Apr 2015,"[u'Santa Monica', [u'Santa Monica', u'San Diego', u'Los Angeles'], u'Los Angeles', [u'Los Angeles', u'Santa Monica', u'Anaheim'], [u'San Jose', u'San Francisco', u'Side'], u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', [u'San Jose', u'San Francisco'], u'New York City', u'New York City', u'New York City', u'New York City']"
09 Apr 2017,,"[[u'Santa Monica Beach', u'Viper Room', u'Santa Monica Mountains', u'The J Paul Getty Centre', u'Cleo'], [u'26 Mile Bike Path', u'Angel Stadium Of Anaheim', u'California Science Center', u'The Grammy Museum', u'Honda Centre'], [u'Mission Beach', u'San Diego Zoo', u'Seaworld San Diego', u'Balboa Park'], [u'Birch Aquarium At Scripps', u'Maritime Museum Of San Diego', u'Old Point Loma Lighthouse And Cabrillo National Monument', u'Gaslamp Quarter'], [u'Legoland', u'Disneyland Park'], [u'Fort Rosecrans Cemetery', u'Uss Midway Museum', u'Museum Of Contemporary Art San Diego', u'Coronado Island'], [u'The New Childrens Museum', u'Torrey Pines State Natural Reserve', u'Heritage Park Victorian Village', u'Reuben H Fleet Science Center'], [u'Mission Basilica San Diego De Alcala', u'Torrey Pines Golf Course', u'Old Towns Fashion Valley Shopping Center', u'Old Globe Theatre', u'Hotel Del Coronado'], [u'Golden Gate Bridge', u'Cathedral Basilica Of St. Joseph', u'The Tech Museum Of Innovation'], [u'San Francisco Cable Car Museum', u'San Jose Museum Of Art', u'Muir Woods National Monument', u'Alcatraz Island'], [u'Lombard Street', u'Raging Waters', u'Coit Tower'], [u'Transamerica Pyramid', u'Ferry Building', u'Golden Gate Park'], [u'Ethel M Chocolate Factory', u'Eiffel Tower Experience', u'Red Rock Canyon National Conservation Area'], [u'Chapel Of The Flowers', u'Hoover Dam', u'Adventuredome'], [u'Lincoln Park Zoo', u'Millennium Park'], [u'Cloud Gate', u'The Art Institute Of Chicago'], [u'Field Museum Of Natural History', u'Buckingham Fountain'], [u'Museum Of Science And Industry', u'Navy Pier'], [u'Wrigley Field', u'John Hancock Center', u'Shedd Aquarium'], [u'Holy Name Cathedral', u'Marina City']]",28 Apr 2017,"[[u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles', u'Anaheim'], u'San Diego', u'San Diego', u'San Diego', u'San Diego', u'San Diego', u'San Diego', [u'San Jose', u'San Francisco'], [u'San Jose', u'San Francisco'], [u'San Jose', u'San Francisco'], u'San Francisco', u'Las Vegas', u'Las Vegas', u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Chicago']"
26 Jul 2015,,"[[u'Santa Monica Beach', u'Pacific Park'], [u'Griffith Park', u'Cleo'], [u'26 Mile Bike Path', u'Brents Delicatessen And Restaurant', u'In-n-out Burger', u'Walt Disney Concert Hall', u'The Grammy Museum'], [u'Santa Monica Pier', u'Tacos Punta Cabras Restaurant', u'Venice Beach'], [u'Yorba Regional Park', u'Santa Monica Looff Hippodrome', u'The Misfit Restaurant And Bar', u'Santa Monica Public Library', u'Camelot Golfland'], [u'Disneyland Park', u'The Griffith Observatory', u'Hollywood Sign'], [u'The Grove', u'Carlitos Gardel'], [u'Tongva Park', u'Palisades Park', u'Sunset Boulevard', u'Madame Tussauds Hollywood'], [u'Cafe Gratitude', u'Anaheim Packing District', u'Flightdeck Flight Simulation Centre', u'Craft Los Angeles'], [u'T C L Chinese Theatre', u'Baja Fresh Mexican Grill', u'Angelini Osteria', u'Diddy Riese Cookies', u'Winstons'], [u'Astor Classics Event Centre', u'Hollywood Walk Of Fame', u'Universal City Walk', u'Foxtail'], [u'Universal Studios', u'Venice Beach Boardwalk'], [u'K1 Speed', u'Hollywood Wax Museum', u'Hollywood And Highland Center', u'Cathedral Of Our Lady Of The Angels'], [u'Anti Nuke Sculpture', u'Santa Monica Bay', u'Staples Center']]",08 Aug 2015,"[u'Santa Monica', u'Los Angeles', [u'Santa Monica', u'Los Angeles'], [u'Los Angeles', u'Santa Monica'], [u'Anaheim', u'Santa Monica'], [u'Los Angeles', u'San Diego'], u'Los Angeles', [u'Santa Monica', u'Los Angeles'], [u'Los Angeles', u'Anaheim'], u'Los Angeles', [u'Anaheim', u'Los Angeles'], u'Los Angeles', [u'Anaheim', u'Los Angeles'], [u'Santa Monica', u'Los Angeles']]"
18 Apr 2016,,"[[u'Ethel M Chocolate Factory', u'Town Square', u'Hoover Dam'], [u'Red Rock Canyon National Conservation Area', u'Adventuredome', u'The Roller Coaster'], [u'Santa Monica Beach', u'Bergamot Station', u'Cleo'], [u'Santa Monica Pier', u'Hollywood Bowl'], [u'San Francisco Cable Car Museum', u'Alcatraz Island', u'Muir Woods National Monument'], [u'Golden Gate Bridge', u'Fishermans Wharf', u'Ferry Building'], [u'St. Louis Cathedral', u'The Sydney And Waldabesthoff Sculpture Garden', u'Jackson Square', u'Voodoo Spiritual Temple', u'Lake Pontchartrain'], [u'Woldenberg Riverfront Park', u'Mercedes Benz Superdome', u'Mardi Gras World Or Festival', u'New Orleans Museum Of Art', u'Audubon Aquarium Of The Americas'], [u'Glacier Point', u'Tunnel View', u'Ansel Adams Gallery', u'Bridalveil Fall', u'Yosemite Falls'], [u'Mariposa Grove Of Giant Sequoias', u'Sentinel Dome', u'Half Dome'], [u'Hanauma Bay Nature Preserve', u'Manoa Falls', u'Iolani Palace'], [u'Dole Plantation', u'Ala Moana Beach Park', u'Hale Koa Luau', u'Spitting Cave'], [u'Dallas Zoo', u'The Dallas World Aquarium', u'Sixth Floor Museum, Dealey Plaza', u'Klyde Warren Park', u'George W. Bush Presidential Library And Museum'], [u'Meadows Museum Of Art', u'Dallas Arboretum And Botanical Gardens', u'Dallas Museum Of Art', u'John F. Kennedy Memorial', u'N Park Center'], [u'Graceland', u'The Fire Museum Of Memphis', u'Orpheum Theater'], [u'Elmwood Cemetery', u'Beale Street'], [u'Statue Of Liberty', u'Fifth Avenue', u'Grand Central Terminal', u'New York Hilton Midtown', u'LaGuardia Airport'], [u'National 9-11 Memorial Museum', u'Times Square', u'Ground Zero', u'Redeemer Presbyterian Church', u'Circle Line Cruise'], [u'White House', u'United States Capitol', u'Washington National Cathedral', u'Washington Monument', u'Lincoln Memorial'], [u'Library Of Congress', u'Fords Theatre', u'National Gallery Of Art', u'International Spy Museum', u'Iwo Jima Memorial']]",07 May 2016,"[u'Las Vegas', u'Las Vegas', [u'Santa Monica', u'Los Angeles'], u'Los Angeles', u'San Francisco', u'San Francisco', u'New Orleans', u'New Orleans', u'Yosemite National Park', u'Yosemite National Park', u'Honolulu', u'Honolulu', u'Dallas', u'Dallas', u'Memphis', u'Memphis', [u'New York City', u'New York'], [u'New York City', u'New York'], u'Washington D. C.', u'Washington D. C.']"
14 Jun 2015,,"[[u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Hollywood Bowl', u'Griffith Park'], [u'Balboa Park', u'Uss Midway Museum', u'Gaslamp Quarter'], [u'Old Towns Fashion Valley Shopping Center', u'Maritime Museum Of San Diego', u'Legoland'], [u'The National Archaeological Museum Of Naples', u'Royal Palace Or Palazzo Reale', u'Divine Spa', u'Piazza Del Plebiscito'], [u'Monterey Bay Aquarium', u'17-mile Drive'], [u'Lands End', u'Baker Beach', u'San Francisco International Airport', u'1034 45th St'], [u'San Francisco Cable Car Museum', u'Golden Gate Park', u'Castro Theatre', u'Sutro Baths Ruins'], [u'Golden Gate Bridge', u'Alamo Square', u'Ferry Building'], [u'Eagle Falls Hike', u'The Gondola At Heavenly', u'Magic Carpet Golf'], [u'Lake Tahoe Historical Society Museum', u'Van Sickle Bi-state Park'], [u'Bellagio Gallery Of Fine Art', u'The Strip'], [u'Battlefield Vegas', u'Town Square', u'Fremont Street', u'Fountains Of Bellagio'], [u'Chapel Of The Flowers', u'Shark Reef At Mandalay Bay', u'Eiffel Tower Experience', u'300 Stewart Ave']]",28 Jun 2015,"[[u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'Los Angeles', u'San Diego', u'San Diego', [u'Naples', u'Naples'], u'Monterey', [u'San Francisco', u'Emeryville'], u'San Francisco', u'San Francisco', u'South Lake Tahoe', u'South Lake Tahoe', u'Las Vegas', u'Las Vegas', u'Las Vegas']"
14 Oct 2015,,"[[u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Santa Monica Pier', u'Hollywood Bowl'], [u'White House', u'United States Capitol', u'Washington National Cathedral', u'Washington Monument', u'Lincoln Memorial'], [u'Library Of Congress', u'Fords Theatre', u'International Spy Museum', u'National Gallery Of Art', u'Iwo Jima Memorial'], [u'Ethel M Chocolate Factory', u'Ricks Restorations', u'Bellagio Gallery Of Fine Art', u'Mon Ami Gabi', u'Pho Thanh Huong'], [u'Battlefield Vegas', u'Counts Kustoms', u'Treasure Island Hotel And Casino', u'Vons', u'Cirque Du Soleil'], [u'The Crystals', u'Mac King Comedy Magic Show', u'Shark Reef At Mandalay Bay', u'Circus Circus'], [u'St. Patricks Cathedral', u'Rockefeller Center', u'Grand Central Terminal', u'Fao Schwartz', u'Fifth Avenue'], [u'Chrysler Building', u'National 9-11 Memorial Museum', u'Circle Line Cruise', u'125 Spring St', u'Top Of The Rock'], [u'Central Park', u'Empire State Building', u'Frick Collection', u'Fanaberie', u'Bar Americain'], [u'Radio City Music Hall', u'Macys Herald Square', u'American Museum Of Natural History', u'Madame Tussauds Wax Museum', u'Battery Park'], [u'Little Italy', u'Carlos Bakery Gift Shop', u'The Metropolitan Museum Of Art', u'Times Square'], [u'Country Music Hall Of Fame And Museum', u'Ryman Auditorium', u'The Johnny Cash Museum', u'Opryland Hotel Gardens'], [u'The Hermitage, Home Of President Andrew Jackson', u'The Escape Game', u'Ernest Tubb Record Shop', u'Gaylord Entertainment Centre'], [u'St. Louis Cathedral', u'Mardi Gras World Or Festival', u'Jackson Square', u'World War 2 Museum', u'Angelo Brocato Ice Cream'], [u'Ogden Museum Of Southern Art', u'New Orleans Museum Of Art', u'Jean Lafitte National Park And Preserve', u'City Park'], [u'Backstreet Cultural Museum', u'Audubon Aquarium Of The Americas', u'The Sydney And Waldabesthoff Sculpture Garden', u'Audubon Butterfly Garden And Insectarium', u'Louis Armstrong Park'], [u'Mercedes Benz Superdome', u'Audubon Zoo', u'Voodoo Spiritual Temple', u'Lake Pontchartrain']]",01 Nov 2015,"[[u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'Los Angeles', u'Washington D. C.', u'Washington D. C.', u'Las Vegas', u'Las Vegas', u'Las Vegas', u'New York City', [u'New York City', u'New York'], [u'New York City', u'New York'], [u'New York City', u'New York'], [u'New York City', u'Hoboken'], u'Nashville', u'Nashville', u'New Orleans', u'New Orleans', u'New Orleans', u'New Orleans']"
07 Sep 2015,,"[[u'Dubai Miracle Garden', u'Wild Wadi Water Park', u'Dubai Museum'], [u'Dolphin Bay', u'Saeed Al Maktoum House', u'The Dubai Mall'], [u'Dubai Moving Image Museum', u'The Dubai Mall Aquarium', u'The Dubai Fountain', u'Dhow Cruise'], [u'Angelina', u'Sainte Chapelle', u'Towers Of Notre Dame Cathedral', u'La Defense', u'Arc Du Carrousel'], [u'Catacombs Of Paris', u'La Conciergerie', u'Champs Elysees'], [u'Pont Neuf', u'Army Museum', u'Arc De Triomphe'], [u'Brooklyn Bridge', u'American Ballet Theater', u'Grand Central Terminal', u'United Nations Headquarters', u'Chrysler Building'], [u'Statue Of Liberty', u'National 9-11 Memorial Museum', u'Frick Collection', u'Flatiron Building', u'Brooklyn Bridge Park'], [u'American Museum Of Natural History', u'Fanaberie', u'Intrepid Sea, Air And Space Museum'], [u'Santa Monica Beach', u'Bergamot Station', u'Cleo'], [u'26 Mile Bike Path', u'The J Paul Getty Centre', u'The Grammy Museum', u'Hollywood Bowl'], [u'Aqua Surf School', u'Santa Monica Pier'], [u'Meiji Jingu Shrine', u'Sensoji Temple', u'Tokyo Skytree', u'Tokyo Tower', u'Tsukiji Fish Market'], [u'Ueno Park', u'Hamarikyu Gardens', u'Tokyo Disneyland', u'Donguri Kyowakoku', u'Shinjuku'], [u'Tokyo National Museum', u'Ghibli Museum', u'Harajuku', u'Chiba Marine Stadium'], [u'Universal Studios Singapore', u'Adventure Cove Waterpark', u'S.e.a. Aquarium and Adventure Cove Waterpark'], [u'Thian Hock Keng Temple', u'Sea Aquarium', u'Images Of Singapore', u'Vivocity'], [u'Merlion', u'Fort Siloso', u'Underwater World And Dolphin Lagoon']]",24 Sep 2015,"[u'Dubai', u'Dubai', u'Dubai', u'Paris', u'Paris', u'Paris', [u'New York City', u'New York'], u'New York City', u'New York City', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'Tokyo', [u'Koto', u'Tokyo'], [u'Chiba', u'Tokyo'], [u'Singapore', u'Sentosa'], [u'Singapore', u'Sentosa'], [u'Singapore', u'Sentosa']]"
