trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
15 Jul 2014,5304fd38e705454602000000,"[[u'Royal Palace Of Madrid', u'Gateway Of The Sun', u'The Prado Museum'], [u'Plaza Mayor', u'Jardins Do Templo De Debod', u'Almudena Cathedral And Crypt'], [u'Plaza De La Villa', u'Alcala Gate'], [u'Gran Via', u'Plaza De Cibeles'], [u'El Parque Del Buen Retiro', u'Atocha Station', u'Plaza Colon'], [u'Centro De Arte Reina Sofia', u'Thyssen - Bornemisza Museum'], [u'Madrid Planetarium', u'El Rastro', u'Picasso Tower'], [u'Las Ventas', u'Plaza De Espana'], [u'Bullfighting Museum', u'Metropolis Building', u'Natural Sciences Museum'], [u'Sorolla Museum', u'Museo Arqueologico Nacional']]",24 Jul 2014,"Madrid,Madrid,Madrid,Madrid,Madrid,Madrid,Madrid,Madrid,Madrid,Madrid"
07 Jul 2015,,"[[u'The Alcazar', u'Torre Del Oro Or Gold Tower', u'Museo De Bellas Artes'], [u'Basilica Macarena', u'Casa De Pilatos', u'The Cathedral Of Seville'], [u'Madrid Cable Car', u'Mercado San Miguel', u'Madrid Rio', u'Plaza Mayor'], [u'Royal Palace Of Madrid', u'Parque La Quinta De Los Molinos'], [u'Barcelona Cathedral', u'Picasso Museum', u'The Magic Fountain At Montjuic'], [u'Barceloneta', u'Casa Mila', u'La Boqueria'], [u'St. Marguerite', u'Rue D Antibes'], [u'Parfumerie Molinard', u'Saint Honorat'], [u'Genoa Cathedral', u'Palazzi Dei Rolli', u'Via Garibaldi', u'Passeggiata Anita Garibaldi A Nervi'], [u'Boccadasse', u'Old Port', u'Church Of Jesus And The Saints Ambrogio And Andrea', u'Royal Palace Museum'], [u'St Peters Basilica', u'Pantheon'], [u'Spanish Steps', u'Piazza Navona', u'Sistine Chapel', u'Vatican Museums', u'Trevi Fountain'], [u'Il Vallone Dei Mulini', u'Piazza Tasso', u'Centro Storico'], [u'Villa Comunale Park', u'Marina Grande'], [u'Basilica Di Santa Maria Del Fiore', u'Florence Baptistery', u'Giottos Campanile'], [u'Bargello Museum And Palace', u'The Oltrarno', u'Ponte Vecchio'], [u'St Marks Campanile ', u'St Marks Square'], [u'Doges Palace', u'Murano', u'Burano', u'Saint Marks Basilica'], [u'Acropolis', u'Temple Of Athena Nike', u'Athens International Airport'], [u'Parthenon', u'Temple Of Hephaestus']]",26 Jul 2015,"[u'Seville', u'Seville', u'Madrid', u'Madrid', u'Barcelona', u'Barcelona', u'Cannes', u'Cannes', u'Genoa', u'Genoa', u'Rome', [u'Rome', u'Vatican City'], u'Sorrento', u'Sorrento', u'Florence', u'Florence', u'Venice', u'Venice', u'Athens', u'Athens']"
30 Apr 2015,,"[[u'Royal Palace Of Madrid', u'Plaza Mayor', u'Palacio De Comunicaciones'], [u'Las Ventas', u'Madrid Planetarium', u'Almudena Cathedral And Crypt', u'Monasterio De Las Descalzas Reales'], [u'Monasterio De La Encarnacion', u'Faunia', u'Royal Botanic Garden', u'Jardins Do Templo De Debod', u'Alcala Gate'], [u'The Valley Of The Fallen', u'Royal Theatre', u'Salamanca'], [u'Sagrada Familia', u'Casa Mila', u'Casa Batllo'], [u'The Magic Fountain At Montjuic', u'Santa Maria Del Mar', u'Cosmocaixa Barcelona', u'Museu Nacional Dart De Catalunya'], [u'Temple Of The Sacred Heart Of Jesus', u'Jardi Botanic', u'Arc De Triomf', u'Gaudi House Museum', u'Barcelona Cathedral'], [u'Basilica De Santa Maria Del Pi', u'Barcelona Aquarium', u'Poble Espanyol'], [u'Grand Palais', u'Towers Of Notre Dame Cathedral', u'Eiffel Tower'], [u'Pantheon', u'Galeries Lafayette', u'Champs Elysees'], [u'Parc Monceau', u'Jardin Des Tuileries', u'Jardin Du Luxembourg'], [u'Musee D Orsay', u'Place De La Concorde'], [u'The Palais Royal', u'Medici Fountain', u'Louvre Pyramid'], [u'Montmartre'], [u'Sacre Coeur Montmartrel', u'Bateaux Parisiens River Cruise', u'Arc De Triomphe'], [u'Pont Alexandre Iii', u'Disneyland', u'Place Vendome', u'Ile De La Cite', u'Place De La Bastille'], [u'Jardin Des Plantes', u'Saint Sulpice', u'Centre Pompidou', u'Rodin Museum']]",16 May 2015,"Madrid,Madrid,Madrid,Madrid,Barcelona,Barcelona,Barcelona,Barcelona,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris,Paris"
15 Apr 2014,5304fd38e705454602000000,"[[u'Royal Palace Of Madrid', u'Gateway Of The Sun', u'The Prado Museum'], [u'Plaza Mayor', u'Jardins Do Templo De Debod', u'Almudena Cathedral And Crypt'], [u'Plaza De La Villa', u'Alcala Gate'], [u'Gran Via', u'Plaza De Cibeles'], [u'El Parque Del Buen Retiro', u'Atocha Station', u'Plaza Colon'], [u'Centro De Arte Reina Sofia', u'Thyssen - Bornemisza Museum']]",20 Apr 2014,"Madrid,Madrid,Madrid,Madrid,Madrid,Madrid"
28 May 2015,,"[[u'Charles Bridge', u'Prague Castle', u'The Dancing House'], [u'Czech National Museum', u'The Powder Tower', u'Old Town Hall Tower And Astronomical Clock', u'National Theatre'], [u'Hofkirche, Court Church Of Innsbruck', u'Marienplatz', u'Swarovski Kristallwelten'], [u'Mirabelle Palace And Gardens', u'Untersberg', u'Fortress Hohensalzburg', u'Red Bull Hangar', u'Salzburg Old Town'], [u'St Peters Basilica', u'Pantheon', u'Roman Cat Sanctuary', u'Spanish Steps'], [u'Platja Des Cavallet', u'Es Vedra', u'Platja De Ses Figueretes', u'Punta Arabi Wednesday Hippy Market'], [u'Las Salinas Beach', u'Cala Conta'], [u'Palacio Del Marques De Dos Aguas', u'Mercado Central', u'Plaza Ayuntamiento', u'Bioparc', u'Toy Soldier Museum'], [u'Basilica De La Virgen De Los Desamparados', u'La Lonja De La Seda', u'Valencia Museum Of Fine Arts', u'Oceanografic', u'City Of The Arts And Sciences'], [u'The Prado Museum', u'Royal Palace Of Madrid'], [u'Almudena Cathedral And Crypt', u'Faunia', u'Monasterio De Las Descalzas Reales', u'Las Ventas', u'The Valley Of The Fallen'], [u'Sainte Chapelle', u'Towers Of Notre Dame Cathedral', u'Eiffel Tower'], [u'Jardin Du Luxembourg', u'Arc De Triomphe', u'Catacombs Of Paris'], [u'Van Gogh Museum', u'Vondelpark', u'Anne Frank House', u'Bloemenmarkt', u'Heineken Experience'], [u'De Wallen', u'Begijnhof', u'Stedelijk Museum', u'Royal Palace', u'Concertgebouw'], [u'Red Fort', u'Jama Masjid', u'Rashtrapati Bhavan']]",12 Jun 2015,"[u'Prague', u'Prague', [u'Innsbruck', u'Munich'], u'Salzburg', u'Rome', u'Ibiza', u'Ibiza', u'Valencia', u'Valencia', u'Madrid', u'Madrid', u'Paris', u'Paris', u'Amsterdam', u'Amsterdam', u'Delhi']"
22 May 2016,,"[[u'Guinness Storehouse', u'Nassau Street', u'National Gallery Of Ireland', u'Dublin Castle'], [u'St Patricks Cathedral', u'St Stephens Greens', u'Kilmainham Gaol', u'Dublin Zoo', u'Temple Bar Company'], [u'Oxford Street', u'Tower Of London', u'Kensington Palace', u'Clive Steps'], [u'Madame Tussauds Museum', u'Covent Garden', u'Zsl London Zoo', u'41 Great Russell St'], [u'Trafalgar Square', u'Harrods', u'Buckingham Palace London'], [u'The Palais Royal', u'Grand Palais', u'Towers Of Notre Dame Cathedral', u'Champ De Mars'], [u'Palais De Chaillot', u'Galeries Lafayette'], [u'Promenade Des Anglais', u'Parc Phoenix', u'Museum And Archaeological Site Cimiez'], [u'Rue De France Pedestrian Zone', u'St Nichols Russian Orthodox Cathedral', u'Oceanographic Museum', u'Musee Matisse', u'Nice Port'], [u'The Magic Fountain At Montjuic', u'Sagrada Familia', u'Picasso Museum'], [u'Camp Nou', u'Santa Maria Del Mar', u'Jardi Botanic', u'Montjuic Communications Tower', u'Barcelona Cathedral'], [u'Poble Espanyol', u'La Boqueria', u'Castell De Montjuic', u'Casa Mila'], [u'Almudena Cathedral And Crypt', u'Royal Palace Of Madrid', u'Mercado San Miguel', u'Madrid Cable Car'], [u'Las Ventas', u'Madrid Rio', u'Parque De Atracciones'], [u'Piazza Navona', u'St Peters Basilica', u'Colosseum', u'Pantheon'], [u'Santa Maria Della Concezione', u'Santa Maria Sopra Minerva', u'Sistine Chapel', u'Spanish Steps', u'Trevi Fountain'], [u'Doges Palace', u'Scuola Grande Di San Rocco', u'Grand Canal', u'Saint Marks Basilica', u'Peggy Guggenheim Collection'], [u'San Marco Convent Church And Museum', u'Piazza Della Signoria', u'Basilica Di Santa Maria Del Fiore'], [u'Piazza Dei Miracoli', u'Basilica Di San Lorenzo', u'Ponte Vecchio', u'Piazza Del Duomo', u'Leaning Tower Of Pisa'], [u'Mercato Centrale', u'Boboli Garden', u'Piazzale Michelangelo']]",10 Jun 2016,"[u'Dublin', u'Dublin', u'London', u'London', u'London', u'Paris', u'Paris', u'Nice', [u'Nice', u'Monaco'], u'Barcelona', u'Barcelona', u'Barcelona', u'Madrid', u'Madrid', u'Rome', [u'Rome', u'Vatican City'], u'Venice', u'Florence', [u'Pisa', u'Florence'], u'Florence']"
30 Jun 2016,551c21b60c1d0ac77e0001c8,"[[u'Centro De Arte Reina Sofia', u'The Prado Museum', u'Plaza Mayor'], [u'El Rastro', u'Jardins Do Templo De Debod', u'Plaza De La Villa'], [u'The Magic Fountain At Montjuic', u'Sagrada Familia', u'Picasso Museum'], [u'Camp Nou', u'Poble Espanyol', u'La Rambla'], [u'Sainte Chapelle', u'Sacre Coeur Montmartrel', u'Pantheon'], [u'Catacombs Of Paris', u'Towers Of Notre Dame Cathedral', u'Eiffel Tower', u'Champs Elysees'], [u'Galleria Dell Accademia', u'St Marks Square', u'Peggy Guggenheim Collection'], [u'Doges Palace', u'Grand Canal', u'Gondola Ride', u'Torre Dell Orologio St Marks Clocktower'], [u'Parco Delle Cascade', u'San Zeno Maggiore Church', u'Casa Di Giulietta', u'Piazaa Del Erbe', u'Lamborghini Museum'], [u'Arena Di Verona', u'Museo Di Castle Vecchio', u'Villa Mosconi Bertani', u'Via Mazzini', u'Piazza Bra'], [u'St Peters Basilica', u'Roman Forum'], [u'Castle San Angelo', u'Vatican Museums'], [u'Duomo Cathedral Or Cathedral Of San Gennaro', u'Mt Vesuvius', u'Royal Palace Or Palazzo Reale', u'Il Cimitero Delle Fontanelle', u'Lungomare'], [u'Catacombe Di San Gennaro', u'The National Archaeological Museum Of Naples', u'Certosa Di San Martino Or Museum And Monastery Of San Martino ', u'Via Dei Tribunali', u'Museo Bottega Della Tarsia Lignea'], [u'Helbrunn Castle', u'Mirabelle Palace And Gardens', u'Petersfriedhof', u'Wasserspiele', u'Salzburg Old Town'], [u'Nonnberg Convent', u'Red Bull Hangar', u'Untersberg', u'Mozart Residence', u'Mozart Dinner Concerts'], [u'Van Gogh Museum', u'Bloemenmarkt', u'Vondelpark', u'Heineken Experience', u'Anne Frank House'], [u'De Wallen', u'Begijnhof', u'Concertgebouw', u'Royal Palace', u'Stedelijk Museum'], [u'Erechtheion', u'Acropolis', u'Odeon Of Herodes Atticus'], [u'Acropolis Museum', u'Temple Of Athena Nike', u'Ancient Agora', u'Parthenon']]",19 Jul 2016,"[u'Madrid', u'Madrid', u'Barcelona', u'Barcelona', u'Paris', u'Paris', u'Venice', u'Venice', [u'Bologna', u'Verona'], u'Verona', u'Rome', u'Rome', u'Naples', [u'Naples', u'Sorrento'], u'Salzburg', u'Salzburg', u'Amsterdam', u'Amsterdam', u'Athens', u'Athens']"
20 Sep 2015,,"[[u'Saeed Al Maktoum House', u'Jumeirah Mosque', u'Wild Wadi Water Park', u'Chinawhite'], [u'Dubai Museum', u'Ras Al Khor Wildlife Sanctuary', u'Dhow Cruise'], [u'The Main Tower', u'Mathildenhoehe Und Jugendstil Kolonie', u'St Pauls Church', u'Sachsenhausen'], [u'The Goethe House', u'Zoo Vivarium Darmstadt', u'Romerberg'], [u'Gedachtniskirche', u'Checkpoint Charlie', u'Topography Of Terror', u'Museum Island', u'Trebbiner Stra\xdfe 9'], [u'Pergamon Museum', u'Olympia Stadium', u'Mehringdamm 36', u'Friedrichstra\xdfe 50', u'Friedrichstra\xdfe 67'], [u'Munich Residenz', u'Marienplatz'], [u'Saint Peters Church', u'Karlsplatz', u'Allianz Arena', u'The Neue Pinakothek', u'Viktualienmarkt'], [u'Buckingham Palace London', u'Churchill War Rooms', u'Palace Of Westminster'], [u'Trafalgar Square', u'Tower Of London', u'London Aquarium'], [u'Musee D Orsay', u'Luxembourg Gardens'], [u'Towers Of Notre Dame Cathedral', u'Musee De L Orangerie', u'Eiffel Tower'], [u'Madrid Planetarium', u'Royal Palace Of Madrid', u'Palacio De Comunicaciones'], [u'The Prado Museum', u'Gateway Of The Sun'], [u'Zurich Zoological Garden', u'Lindenhof', u'Kunsthaus'], [u'Lake Promenade', u'Bahnhofstrasse', u'Schanzengraben', u'Urania Observatory', u'Grossmunster'], [u'Lake Geneva', u'Place Des Nations', u'Russian Church', u'Jetee Des Paquis', u'St Peters Cathedral'], [u'Natural History Museum', u'Modern And Contemporary Art Museum Or Mamco', u'Rue Du Mont-blanc', u'Quartier Les Grottes', u'Palais Wilson'], [u'Grand Central Terminal', u'Times Square', u'Bronx Zoo', u'New York Public Library', u'Fordham University'], [u'Central Park', u'Statue Of Liberty', u'National 9-11 Memorial Museum', u'Bronx']]",09 Oct 2015,"[u'Dubai', u'Dubai', [u'Frankfurt', u'Darmstadt'], [u'Frankfurt', u'Darmstadt'], u'Berlin', u'Berlin', u'Munich', u'Munich', u'London', u'London', u'Paris', u'Paris', u'Madrid', u'Madrid', u'Zurich', u'Zurich', u'Geneva', u'Geneva', u'New York City', [u'New York City', u'New York']]"
13 Jun 2015,,"[[u'Centro De Arte Reina Sofia', u'The Prado Museum', u'Plaza Mayor'], [u'Jardins Do Templo De Debod', u'El Rastro', u'Plaza De La Villa'], [u'Camp Nou', u'Barcelona Aquarium', u'Casa Mila', u'Barcelona Cathedral'], [u'The Magic Fountain At Montjuic', u'Sagrada Familia', u'Picasso Museum'], [u'Galleria Dell Accademia', u'St Marks Square', u'Peggy Guggenheim Collection'], [u'Doges Palace', u'Grand Canal', u'Gondola Ride', u'Torre Dell Orologio St Marks Clocktower'], [u'St Peters Basilica', u'Roman Forum'], [u'Castle San Angelo', u'Vatican Museums'], [u'Akrotiri Archaeological Site', u'Red Beach'], [u'Ancient Thira', u'Kamari Village', u'White Beach', u'Oia Village'], [u'Basilica Cistern', u'Hagia Sophia', u'Spice Bazar', u'Istiklal Avenue'], [u'Sultan Ahmed Mosque', u'Galata Bridge', u'Hodjapasha Cultural Center', u'Istanbul Modern', u'Galata Tower'], [u'Lokrum Island'], [u'Cavtat Old Town', u'Stari Grad'], [u'Buda Castle', u'Cave Church', u'Heroes Square'], [u'Museum Of Fine Arts', u'Fishermans Bastion'], [u'Tyn Church', u'Charles Bridge', u'Jindrisska Tower', u'Golden Lane', u'The Dancing House'], [u'St Vitus Cathedral', u'Old Town Hall Tower And Astronomical Clock', u'Petrin Hill'], [u'Englischer Garten', u'Dachau Concentration Camp', u'Bmw Headquarters And Museum'], [u'Karlsplatz', u'Old Town Hall', u'Munich Residenz', u'Nymphenburg Palace']]",02 Jul 2015,"[u'Madrid', u'Madrid', u'Barcelona', u'Barcelona', u'Venice', u'Venice', u'Rome', u'Rome', u'Santorini', u'Santorini', u'Istanbul', u'Istanbul', u'Dubrovnik', [u'Budva', u'Cavtat'], u'Budapest', u'Budapest', u'Prague', u'Prague', u'Munich', u'Munich']"
06 Oct 2015,,"[[u'St. Fernando Royal Academy Of Fine Arts', u'Mirador De La Pradera De San Marcos', u'Almudena Cathedral And Crypt', u'Plaza Colon'], [u'Atocha Station', u'Plaza Mayor', u'The Lion King Musical', u'National Museum Of Romanticism', u'El Rastro'], [u'Bullfighting Museum', u'Puerta De Alfonso V I', u'Gateway Of The Sun', u'Sorolla Museum'], [u'Picasso Museum', u'Jardi Botanic', u'Barceloneta'], [u'Barcelona Cathedral', u'Montjuic Communications Tower', u'Camp Nou', u'Barcelona Aquarium'], [u'Musee D Orsay', u'Sacre Coeur Montmartrel'], [u'Louvre Pyramid', u'Arc De Triomphe', u'Champs Elysees'], [u'Eiffel Tower', u'Petit Palais', u'Medici Fountain'], [u'Saint Nicholas Cathedral Or Cathedral De Monaco', u'The Museum Of Stamps And Coins', u'Le Metropole Shopping Center', u'Monaco Grand Prix', u'Fort Antoine'], [u'Promenade Des Anglais', u'Le Chateau Or The Castle Of Nice', u'Oceanographic Museum', u'Museum Of Napoleon Souvenirs'], [u'Lake Geneva', u'Modern And Contemporary Art Museum Or Mamco', u'Russian Church', u'The Jet D Eau', u'Voltaire Museum'], [u'Place Des Nations', u'Place De Neuve', u'Patek Philippe Museum', u'Museum Of Art And History', u'Musee De Montreux'], [u'Landesmuseum', u'Lindenhof', u'Kunsthaus', u'Fraumunster'], [u'Lake Promenade', u'Zurich Zoological Garden', u'Rietberg Museum'], [u'Limmat River', u'Schanzengraben', u'Bahnhofstrasse', u'Grossmunster'], [u'Piazza Navona', u'St Peters Basilica', u'Colosseum', u'Pantheon'], [u'Sistine Chapel', u'Spanish Steps', u'Castle San Angelo'], [u'San Marco Convent Church And Museum', u'Basilica Di Santa Maria Del Fiore', u'Ponte Vecchio'], [u'Doges Palace', u'Grand Canal', u'Scuola Grande Di San Rocco', u'Saint Marks Basilica', u'Torre Dell Orologio St Marks Clocktower'], [u'Rialto Bridge', u'Galleria Dell Accademia', u'Ca Rezzonico', u'Venice Biennale Or Biennale Di Venezia', u'Ca D Oro']]",25 Oct 2015,"[[u'Segovia', u'Madrid'], u'Madrid', [u'Toledo', u'Madrid'], u'Barcelona', u'Barcelona', u'Paris', u'Paris', u'Paris', u'Monaco', [u'Nice', u'Monaco'], u'Geneva', [u'Geneva', u'Montreux'], u'Zurich', u'Zurich', u'Zurich', u'Rome', [u'Rome', u'Vatican City'], u'Florence', u'Venice', u'Venice']"
