trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
02 Aug 2015,,"[[u'Buckingham Palace London', u'The London Eye', u'Harrods'], [u'Westminster Abbey', u'Madame Tussauds Museum', u'Tower Bridge', u'Big Ben London'], [u'Old Trafford', u'Manchester Cathedral', u'The Lowry', u'Museum Of Science And Industry', u'The Village'], [u'Manchester Museum', u'Castlefield', u'City Of Manchester Stadium Or Etihad Stadium', u'Manchester Townhall', u'The John Rylands Library'], [u'Glasgow Botanical Gardens', u'Glasgow Science Centre', u'The Horseshoe Bar', u'Glasgow Necropolis'], [u'Glasgow Cathedral', u'Riverside Museum', u'Kelvingrove Art Gallery And Museum', u'The Wee Curry Shop'], [u'Stanley Park', u'The Piers Of Blackpool', u'Ripleys Believe It Or Not', u'Comedy Carpet'], [u'Blackpool Zoo', u'Blackpool Tower', u'Blackpool Illuminations'], [u'Statue Of Liberty', u'The Metropolitan Museum Of Art', u'Grand Central Terminal', u'The High Line', u'JFK Terminal 5'], [u'Central Park', u'280 E 2nd St', u'American Museum Of Natural History', u'Ground Zero'], [u'White House', u'Lincoln Memorial', u'National Gallery Of Art', u'Washington Monument', u'National Air And Space Museum'], [u'United States Capitol', u'National Museum Of Natural History', u'Fords Theatre', u'Iwo Jima Memorial'], [u'Power Plant Live', u'Oriole Park At Camden Yards', u'American Visionary Art Museum', u'Inner Harbor', u'Fell\\s Point'], [u'Baltimore Water Taxi', u'Horseshoe Casino', u'Historic Ships In Baltimore'], [u'Back Bay National Wildlife Refuge', u'Mount Trashmore Park', u'Busch Gardens', u'Cape Henry Lighthouse', u'Chesapeake Bay Bridge Tunnel'], [u'Sandbridge Beach', u'Virginia Beach Oceanfront', u'Lewis Ginter Botanical Gardens', u'Virginia Aquarium And Marine Science Centre', u'Atlantic Park'], [u'Faneuil Hall', u'Newbury Street', u'Boston Common', u'100 Northern Ave'], [u'The Atlantic City Boardwalk', u'Caesars Atlantic City Casino', u'Borgata Hotel Casino and Spa', u'Tanger Outlets, The Walk', u'Boardwalk Hall'], [u'The Quarter At Tropicana', u'Atlantic City Aquarium', u'Atlantic City Convention Center']]",20 Aug 2015,"London,London,Manchester,Manchester,Glasgow,Glasgow,Blackpool,Blackpool,New York City,New York City,Washington D. C.,Washington D. C.,Baltimore,Baltimore,Virginia Beach,Virginia Beach,Boston,Atlantic City,Atlantic City"
17 Mar 2015,,"[[u'Tropical Butterfly House', u'Pleasure Beach', u'The Village', u'National Railway Museum'], [u'The Lowry', u'Museum Of Science And Industry', u'Blackpool Tower'], [u'The Botanical Gardens', u'York Castle Museum', u'York Minster', u'Blackpool Zoo'], [u'Jorvik Viking Centre', u'Sheffield Winter Garden', u'Manchester Museum', u'Manchester Townhall', u'The Blackpool Tower Dungeon'], [u'Graves Park', u'Sandcastle Water Park', u'The John Rylands Library', u'Lyceum Theatre'], [u'Anne Frank House', u'Rijksmuseum', u'Amsterdam Canals', u'Stedelijk Museum', u'Heineken Experience'], [u'Van Gogh Museum', u'Vondelpark', u'Bloemenmarkt', u'Jordaan Museum', u'Joods Historisch Museum'], [u'De Wallen', u'Concertgebouw', u'Oude Kerk', u'Royal Palace', u'The Amsterdam Dungeon'], [u'Albert Cuyp Market', u'Jordaan', u'Amsterdam Tulip Museum', u'Tropenmuseum', u'Theo Thijssen Museum'], [u'Science Centre Nemo', u'Natura Artis Magistra', u'Amsterdam Historisch Museum', u'Magere Brug', u'Reypenaer Cheese Tasting Room'], [u'Dappermarkt', u'Begijnhof', u'The Brown Cafes', u'Hollandsche Schouwburg', u'Fluorescent Art Museum'], [u'Waterlooplein Flea Market', u'Nieuwmarkt Square', u'Houseboat Museum', u'Amsterdamse Bos', u'Pianola Museum'], [u'Molen Van Sloten', u'Leidseplein', u'Hortus Botanicus', u'Museum Amstelkring', u'Tassenmuseum Hendrikje'], [u'Boerenmarkt Op De Noordermarkt', u'The National Maritime Museum', u'Civic Guards Gallery', u'Openbare Bibliotheek', u'Art Plein Spui'], [u'Dam Square', u'Rembrandtplein', u'Antiekcentrum Amsterdam', u'Het Nationaal Brilmuseum', u'Church Of St Nicholas']]",31 Mar 2015,"[[u'Manchester', u'Blackpool', u'Sheffield', u'York'], [u'Blackpool', u'Manchester'], [u'York', u'Blackpool', u'Sheffield'], [u'Sheffield', u'Blackpool', u'York', u'Manchester'], [u'Manchester', u'Blackpool', u'Sheffield'], u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam']"
21 Jul 2015,524509eae705459f45000000,"[[u'Five Guys', u'Natural History Museum', u'British Museum', u'National Gallery', u'St Pauls Cathedral'], [u'Big Ben London', u'Buckingham Palace London', u'The London Eye', u'Burger and Lobster'], [u'The Royal Mile', u'Edinburgh Castle', u'The Scott Monument', u'Palace Of Holyroodhouse'], [u'Greyfriars Kirkyard', u'Our Dynamic Earth', u'Calton Hill', u'Scottish National Gallery'], [u'Manchester Museum', u'Manchester Townhall', u'Manchester Cathedral', u'The Lowry', u'Old Trafford'], [u'Stockport Air Raid Shelters', u'National Football Museum', u'The John Rylands Library', u'City Of Manchester Stadium Or Etihad Stadium', u'Castlefield'], [u'Bath Abbey', u'Sally Lunns Historic Museum And Eating House', u'The Circus And The Royal Crescent', u'Thermae Bath Spa'], [u'Prior Park', u'Roman Baths Museum', u'Pulteney Bridge', u'The Jane Austen Centre'], [u'Great Orme Copper Mine', u'The Great Orme', u'Great Orme Tramway', u'Mostyn Street', u'Llandudno Ski Slope'], [u'Llandudno Museum', u'Great Orme Cable Cars', u'Happy Valley'], [u'Anglesey Abbey', u'The Backs', u'University Of Cambridge', u'The Orchard Tea Garden', u'Botanic Garden- Cambridge University'], [u'The Piers Of Blackpool', u'Ripleys Believe It Or Not', u'Madame Tussauds Blackpool', u'Blackpool Zoo', u'The Blackpool Tower Dungeon'], [u'Cadbury World', u'Birmingham Botanical Gardens And Glasshouses', u'Library Of Birmingham', u'Pen Museum', u'National Sea Life Centre'], [u'Birmingham Hippodrome', u'Town Hall Birmingham', u'National Exhibition Centre Nec', u'Winterbourne House And Garden', u'Barber Institute Of Fine Arts'], [u'National Motorcycle Museum', u'Birmingham Wildlife Conservation Park', u'Baddesley Clinton'], [u'The Botanical Gardens', u'Tropical Butterfly House', u'Sheffield Winter Garden', u'Lyceum Theatre'], [u'Peveril Castle', u'Rother Valley Country Park', u'Sheffield Motorpoint Arena', u'Ecclesall Woods'], [u'National Emergency Services Museum', u'Sheffield And Tinsley Canal Trail', u'Christ Church Meadow', u'Bodleian Library'], [u'Oxford Covered Market', u'Oxford Castle', u'Ashmolean Museum Of Art And Archaeology', u'University Of Oxford Botanic Garden'], [u'Oxford University Museum Of Natural History', u'Oxford University Parks', u'University Church Of St. Mary The Virgin', u'Magdalen College', u'Uffington White Horse']]",09 Aug 2015,"[u'London', u'London', u'Edinburgh', u'Edinburgh', u'Manchester', u'Manchester', u'Bath', u'Bath', u'Llandudno', u'Llandudno', u'Cambridge', u'Blackpool', u'Birmingham', u'Birmingham', u'Birmingham', u'Sheffield', u'Sheffield', [u'Sheffield', u'Oxford'], u'Oxford', u'Oxford']"
10 Apr 2015,,"[[u'Tropical Butterfly House', u'Pleasure Beach', u'Ripleys Believe It Or Not', u'National Railway Museum'], [u'Blackpool Tower', u'York Minster'], [u'The Botanical Gardens', u'Stanley Park', u'The Lowry', u'Yorks Chocolate Story'], [u'Peveril Castle', u'Theatre Royal', u'Sheffield Winter Garden', u'City Of Manchester Stadium Or Etihad Stadium', u'Blackpool Zoo'], [u'Museum Of Science And Industry', u'York City Walls', u'Lyceum Theatre', u'Manchester Museum', u'Haunted, 35 Stonegate'], [u'Manchester Townhall', u'The Shambles', u'Old Trafford', u'The Blackpool Tower Dungeon'], [u'Rother Valley Country Park', u'Sandcastle Water Park'], [u'Graves Park', u'The Piers Of Blackpool', u'Sea Life Blackpool'], [u'The Fitzwilliam Museum', u'The London Eye', u'Victoria And Albert Museum', u'Portobello Market'], [u'Buckingham Palace London', u'Natural History Museum', u'Big Ben London'], [u'Churchill War Rooms', u'Tower Of London', u'The View From The Shard'], [u'Kings College Chapel', u'National Gallery'], [u'British Museum', u'Zsl London Zoo'], [u'Westminster Abbey', u'Anglesey Abbey', u'Cambridge American Cemetery And Memorial', u'Madame Tussauds Museum'], [u'Harrods', u'The London Dungeon', u'Botanic Garden- Cambridge University']]",24 Apr 2015,"[[u'York', u'Blackpool', u'Sheffield'], [u'Blackpool', u'York'], [u'Manchester', u'Blackpool', u'Sheffield', u'York'], [u'York', u'Blackpool', u'Sheffield', u'Manchester'], [u'York', u'Sheffield', u'Manchester'], [u'York', u'Blackpool', u'Manchester'], [u'Blackpool', u'Sheffield'], [u'Blackpool', u'Sheffield'], [u'London', u'Cambridge'], u'London', u'London', [u'London', u'Cambridge'], u'London', [u'London', u'Cambridge'], [u'London', u'Cambridge']]"
10 Dec 2014,,"[[u'York Castle Museum', u'York City Walls', u'Manchester Cathedral', u'The Lowry', u'Theatre Royal', u'National Emergency Services Museum'], [u'Cliffords Tower', u'Manchester Museum', u'The Shambles', u'York Maze', u'Sheffield Winter Garden', u'Manchester United Museum'], [u'The Botanical Gardens', u'Fairfax House', u'The Village', u'Yorks Chocolate Story', u'Museum Of Science And Industry', u'Museum Gardens'], [u'Sheffield And Tinsley Canal Trail', u'Manchester Art Gallery', u'Castlefield', u'National Railway Museum', u'Lyceum Theatre', u'The John Rylands Library'], [u'Manchester Townhall', u'Sheffield Motorpoint Arena', u'Haunted, 35 Stonegate', u'Rother Valley Country Park', u'National Football Museum', u'Sheffield City Hall'], [u'Rivelin Valley Nature Trail', u'Old Trafford', u'The Peace Gardens', u'York Cold War Bunker', u'City Of Manchester Stadium Or Etihad Stadium', u'Peveril Castle']]",15 Dec 2014,"[[u'Manchester', u'Sheffield', u'York'], [u'Manchester', u'Sheffield', u'York'], [u'York', u'Sheffield', u'Manchester'], [u'Manchester', u'Sheffield', u'York'], [u'Sheffield', u'Manchester', u'York'], [u'Manchester', u'Sheffield', u'York']]"
05 Jul 2015,,"[[u'Checkpoint Charlie', u'Charlottenburg Palace', u'Museum Island'], [u'Dahlem Museum'], [u'Warsaw Uprising Museum', u'Lazienki Park', u'Warsaw Old Town'], [u'Praga', u'The Royal Way', u'Palace Of Culture And Science', u'Tomb Of The Unknown Soldier', u'Old Town Square Market'], [u'Botanical Garden', u'Copenhagen Zoo', u'Louisiana Museum Of Modern Art'], [u'Kastellet', u'Nyhavn', u'The National Gallery Of Denmark'], [u'Museum Of Science And Industry', u'The Lowry', u'Manchester Cathedral', u'Old Trafford', u'The Village'], [u'Manchester Townhall', u'Castlefield', u'Manchester Museum', u'City Of Manchester Stadium Or Etihad Stadium', u'The John Rylands Library'], [u'Buckingham Palace London', u'The London Eye', u'Harrods'], [u'Westminster Abbey', u'Madame Tussauds Museum', u'Tower Bridge', u'Big Ben London'], [u'Sainte Chapelle', u'Sacre Coeur Montmartrel', u'Towers Of Notre Dame Cathedral', u'Grand Palais'], [u'Louvre Museum'], [u'Royal Palace Of Madrid', u'Palacio De Comunicaciones', u'Madrid Planetarium'], [u'The Prado Museum', u'Gateway Of The Sun'], [u'Camp Nou', u'Park Guell', u'Sagrada Familia'], [u'Barcelona Cathedral', u'Castell De Montjuic', u'La Rambla', u'Barceloneta'], [u'Odeon Of Herodes Atticus', u'Temple Of Athena Nike', u'Roman Agora', u'Filopappos Hill'], [u'Erechtheion', u'Parthenon', u'Plaka'], [u'Doges Palace', u'Cannaregio', u'St Marks Square', u'Scuola Grande Di San Rocco', u'Peggy Guggenheim Collection'], [u'Rialto Bridge', u'The Phoenix Theatre', u'Ca D Oro', u'St Mary Of The Friars', u'Torre Dell Orologio St Marks Clocktower']]",24 Jul 2015,"Berlin,Berlin,Warsaw,Warsaw,Copenhagen,Copenhagen,Manchester,Manchester,London,London,Paris,Paris,Madrid,Madrid,Barcelona,Barcelona,Athens,Athens,Venice,Venice"
02 Sep 2015,,"[[u'Sacre Coeur Montmartrel', u'Pont Neuf', u'Galeries Lafayette'], [u'Musee Dorsay', u'La Defense', u'Arc De Triomphe'], [u'St Peters Basilica', u'Colosseum', u'Pantheon', u'Trevi Fountain'], [u'St Peters Basilica', u'Santa Maria Della Concezione', u'Sistine Chapel', u'St Peters Square'], [u'Westminster Abbey', u'Churchill War Rooms', u'Palace Of Westminster'], [u'Trafalgar Square', u'Buckingham Palace London', u'London Aquarium'], [u'Mersey Ferry', u'Chester City Walls', u'The Cavern Club', u'Anfield'], [u'River Dee ', u'Albert Dock', u'Museum Of Liverpool ', u'Winter Wonderland'], [u'Old Trafford', u'Manchester Cathedral', u'The Lowry', u'Museum Of Science And Industry', u'The Village'], [u'Manchester Museum', u'Castlefield', u'City Of Manchester Stadium Or Etihad Stadium', u'Manchester Townhall', u'Manchester United Museum'], [u'Dublin Zoo', u'National Gallery Of Ireland', u'Temple Bar Company'], [u'St Stephens Greens', u'Phoenix Park', u'National Museum Of Ireland Archaeology'], [u'Mamore Gap', u'Slieve League', u'Donegal Castle', u'Doagh Famine Village'], [u'Glenevin Waterfall', u'The Looking Glass Spa Therapy', u'Magee Tweeds'], [u'Smithwick\\s Experience', u'Dunmore Cave'], [u'Jerpoint Abbey', u'Kilkenny Castle', u'Butler Gallery', u'St. Canice Cathedral', u'Rothe House'], [u'Connemara National Park'], [u'Eyre Square', u'Salthill Promenade', u'Trad On The Prom'], [u'Palace Of Holyroodhouse', u'Arniston House', u'National Museum Of Scotland'], [u'Edinburgh Castle', u'Edinburgh Zoo']]",21 Sep 2015,"[u'Paris', u'Paris', u'Rome', [u'Rome', u'Vatican City', u'Vatican City'], u'London', u'London', [u'Chester', u'Liverpool'], [u'Chester', u'Liverpool'], u'Manchester', u'Manchester', u'Dublin', u'Dublin', u'Donegal', u'Donegal', u'Kilkenny', u'Kilkenny', u'Galway', u'Galway', u'Edinburgh', u'Edinburgh']"
17 Apr 2014,520dafaae705451f75000000,"[[u'The Lowry', u'Manchester Townhall', u'Castlefield', u'Manchester United Museum', u'Old Trafford', u'The Village']]",17 Apr 2014,Manchester
16 Mar 2015,,"[[u'National Railway Museum', u'Pleasure Beach', u'Ripleys Believe It Or Not', u'Tropical Butterfly House'], [u'The Lowry', u'Museum Of Science And Industry', u'Blackpool Tower'], [u'The Botanical Gardens', u'The Piers Of Blackpool', u'York Minster', u'Old Trafford', u'Blackpool Zoo'], [u'York Castle Museum', u'Sheffield Winter Garden', u'The Blackpool Tower Dungeon', u'Manchester Museum', u'Theatre Royal'], [u'Graves Park', u'Sandcastle Water Park', u'Lyceum Theatre', u'Manchester Townhall'], [u'Anne Frank House', u'Rijksmuseum', u'Amsterdam Canals', u'Stedelijk Museum', u'Heineken Experience'], [u'Van Gogh Museum', u'Vondelpark', u'Bloemenmarkt', u'Jordaan Museum', u'The Amsterdam Dungeon'], [u'De Wallen', u'Concertgebouw', u'Tropenmuseum', u'Royal Palace', u'Oude Kerk'], [u'Albert Cuyp Market', u'Jordaan', u'Amsterdam Tulip Museum', u'Theo Thijssen Museum'], [u'Science Centre Nemo', u'Natura Artis Magistra', u'Amsterdam Historisch Museum', u'Magere Brug', u'Reypenaer Cheese Tasting Room'], [u'Dappermarkt', u'Begijnhof', u'The Brown Cafes', u'Hollandsche Schouwburg', u'Fluorescent Art Museum'], [u'Waterlooplein Flea Market', u'Nieuwmarkt Square', u'Houseboat Museum', u'Amsterdamse Bos', u'Pianola Museum'], [u'Molen Van Sloten', u'Leidseplein', u'Hortus Botanicus', u'Museum Amstelkring', u'Tassenmuseum Hendrikje'], [u'Boerenmarkt Op De Noordermarkt', u'The National Maritime Museum', u'Civic Guards Gallery', u'Openbare Bibliotheek', u'Art Plein Spui'], [u'Westerstraat Market', u'Dam Square', u'Boekenmarkt Op Het Spui', u'Antiekcentrum Amsterdam', u'Church Of St Nicholas'], [u'Sexmuseum', u'Rembrandtplein', u'Joods Historisch Museum', u'Het Nationaal Brilmuseum']]",31 Mar 2015,"[[u'Sheffield', u'Blackpool', u'York'], [u'Blackpool', u'Manchester'], [u'York', u'Blackpool', u'Sheffield', u'Manchester'], [u'Sheffield', u'Blackpool', u'York', u'Manchester'], [u'Manchester', u'Blackpool', u'Sheffield'], u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Amsterdam']"
30 Dec 2015,,"[[u'Grand Central Terminal', u'The Hotel At Times Square', u'Bronx Zoo', u'Madison Square Garden', u'Times Square'], [u'National 9-11 Memorial Museum', u'Frick Collection', u'Ground Zero', u'Rockefeller Center'], [u'Statue Of Liberty', u'Empire State Building', u'American Museum Of Natural History', u'Fanaberie'], [u'Chapel Of The Flowers', u'Vegas Indoor Skydiving', u'The Mob Museum', u'Hoover Dam'], [u'Red Rock Canyon National Conservation Area', u'Shark Reef At Mandalay Bay', u'The Mirage', u'Beatleshow Orchestra'], [u'Battlefield Vegas', u'Las Vegas Premium Outlets North', u'Ricks Restorations', u'Caesars Palace', u'Fountains Of Bellagio'], [u'Everglades National Park', u'Miami Childrens Museum'], [u'South Beach', u'Mango\\s Tropical Cafe, Restaurant And Nightclub', u'Zoo Miami'], [u'Saddle Road', u'Kua Bay Or Maniniowali Beach', u'Mauna Kea Summit'], [u'Saint Benedict Roman Catholic Church', u'Kiholo Bay', u'Magic Sands', u'Kona Brewing Company'], [u'Museo Maya De Cancun', u'Xel - Ha Park', u'Delphinus Dreams Cancun', u'Interactive Aquarium', u'Cancun Underwater Museum'], [u'Riviera Cancun Golf Club', u'Playa Delfines', u'El Rey Ruins', u'Avenida Kukulkan', u'La Isla Shopping Village'], [u'Ipanema Beach', u'Tijuca Forest'], [u'Copacabana Beach', u'Old Cathedral', u'Bonde De Santa Teresa', u'Arcos Da Lapa'], [u'Charles Bridge', u'Prague Castle', u'Golden Lane'], [u'Castle District', u'Old Town Hall Tower And Astronomical Clock', u'The Dancing House'], [u'St Johns Co Cathedral', u'Upper Barrakka Gardens', u'Valletta Waterfront'], [u'Casa Rocca Piccola', u'Hastings Garden', u'Lower Barrakka Gardens', u'The Malta Experience'], [u'Museum Of Science And Industry', u'The Lowry', u'Manchester Cathedral', u'Old Trafford', u'The Village'], [u'Manchester Museum', u'Castlefield', u'City Of Manchester Stadium Or Etihad Stadium', u'Manchester Townhall', u'Manchester United Museum']]",18 Jan 2016,"[[u'New York City', u'New York'], u'New York City', u'New York City', u'Las Vegas', u'Las Vegas', u'Las Vegas', u'Miami', u'Miami', u'Kailua-kona', u'Kailua-kona', u'Cancun', u'Cancun', u'Rio De Janeiro', u'Rio De Janeiro', u'Prague', u'Prague', u'Valletta', u'Valletta', u'Manchester', u'Manchester']"
