trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
23 Sep 2014,53760dd1e705451508000005,"[[u'Notre-dame Basilica', u'Old Montreal', u'Musee Pointe-a-calliere', u'Chateau Ramezay Museum'], [u'Montreals Underground City'], [u'Mount Royal', u'Montreal Biodome', u'Mont Royal Cemetery', u'St Josephs Oratory Of Mount Royal', u'The Olympic Park']]",25 Sep 2014,"Montreal,Montreal,Montreal"
30 Nov 2013,,"[[u'Old Montreal', u'Notre-dame Basilica', u'Musee Des Beaux-arts De Montreal', u'Mount Royal', u'Belgo Building', u'La Citadelle']]",30 Nov 2013,Montreal
09 Mar 2015,,"[[u'Memorial Museum Of Leningrad Blockade', u'Peter And Paul Fortress', u'St. Isaacs Cathedral', u'Church Of The Savior On Blood'], [u'Mission Beach', u'Old Point Loma Lighthouse And Cabrillo National Monument', u'Seaworld San Diego', u'Balboa Park'], [u'Pushkin Fine Arts Museum', u'Kremlin', u'Red Square', u'St Basils Cathedral'], [u'Meiji Jingu Shrine', u'Roppongi', u'Sensoji Temple', u'Tokyo National Museum', u'Sony Building'], [u'Royal Ontario Museum', u'C N Tower', u'Bird Kingdom'], [u'Three Monkeys', u'Old Montreal', u'Notre-dame Basilica'], [u'Butchart Gardens', u'Queen Elizabeth Park', u'Inner Harbour', u'Stanley Park'], [u'Rialto Bridge', u'Doges Palace', u'Scuola Grande Di San Rocco', u'Palazzo Grassi', u'Peggy Guggenheim Collection'], [u'Copacabana Beach', u'Cristo Redentor On Corcovado', u'Old Cathedral', u'Jardim Botanico', u'Confeitaria Colombo'], [u'Peak Tram', u'Ocean Park', u'Ngong Ping Cable Car']]",18 Mar 2015,"[u'Saint Petersburg', u'San Diego', u'Moscow', u'Tokyo', [u'Toronto', u'Niagara Falls'], u'Montreal', [u'Vancouver', u'Victoria'], u'Venice', u'Rio De Janeiro', u'Hong Kong']"
14 Jul 2015,,"[[u'Old Montreal', u'Notre-dame Basilica'], [u'Musee Pointe-a-calliere', u'The Olympic Park'], [u'Montreal Biodome', u'Botanical Garden'], [u'Basilique Cathedrale - Notre-dame-de-quebec', u'Place Royale', u'La Citadelle'], [u'Museum Of French America Or Musee De L\\ameriquefrancaise', u'Musee Du Fort', u'Cathedral Of The Holy Trinity'], [u'Musee De La Civilisation', u'Observatoire De La Capitale', u'Fortifications Of Qu\xe9bec National Historic Site'], [u'Grand Central Terminal', u'Rockefeller Center', u'American Museum Of Natural History', u'Ground Zero', u'Fifth Avenue'], [u'Statue Of Liberty', u'National 9-11 Memorial Museum', u'The Metropolitan Museum Of Art', u'Times Square'], [u'The Museum Of Fine Arts', u'New England Aquarium', u'Charles River Esplanade'], [u'Boston Duck Tours', u'Public Botanical Garden', u'Prudential Center', u'Faneuil Hall', u'Massachusetts State House'], [u'USS Constitution Museum', u'The First Church Of Christ, Scientist', u'Fenway Park', u'Trinity Church', u'Massachusetts Institute Of Technology']]",24 Jul 2015,"Montreal,Montreal,Montreal,Quebec,Quebec,Quebec,New York City,New York City,Boston,Boston,Boston"
23 Aug 2014,,"[[u'Mosaicultures Internationales'], [u'Botanical Garden'], [u'Notre-dame Basilica', u'Musee Des Beaux-arts De Montreal', u'Old Montreal'], [u'Lorchestre Symphonique De Montreal', u'Three Monkeys'], [u'Mount Royal']]",28 Aug 2014,"Montreal,Montreal,Montreal,Montreal,Montreal"
15 Apr 2015,520dafaae705451f75000000,"[[u'Mosaicultures Internationales', u'Lorchestre Symphonique De Montreal', u'Musee Des Beaux-arts De Montreal'], [u'Botanical Garden', u'The Olympic Park', u'Three Monkeys'], [u'Montreal Biodome', u'St Josephs Oratory Of Mount Royal', u'Canadian Railway Museum'], [u'Place Des Arts', u'Montreals Underground City', u'Mount Royal']]",18 Apr 2015,"Montreal,Montreal,Montreal,Montreal"
07 Jul 2015,,"[[u'Old Montreal', u'La Citadelle'], [u'Montreal Biodome', u'Botanical Garden'], [u'Place Royale', u'La Citadelle', u'Musee National Des Beaux Arts Or Du Quebec'], [u'Musee De La Civilisation', u'Observatoire De La Capitale', u'Musee Du Fort'], [u'Basilique Cathedrale - Notre-dame-de-quebec', u'Museum Of French America Or Musee De L\\ameriquefrancaise', u'Fortifications Of Qu\xe9bec National Historic Site'], [u'Halifax Citadel National Historic Site Of Canada', u'The Lower Deck', u'Maritime Museum Of The Atlantic'], [u'Halifax Harbor Ferry', u'Halifax Public Gardens', u'Fairview Lawn Cemetery', u'Point Pleasant Park', u'Art Gallery Of Nova Scotia'], [u'Halifax Waterfront Boardwalk', u'The Split Crow', u'Neptune Theatre'], [u'Casa Loma', u'Toronto Eaton Centre'], [u'Ontario Science Centre', u'C N Tower', u'Kensington Market']]",16 Jul 2015,"Montreal,Montreal,Quebec,Quebec,Quebec,Halifax,Halifax,Halifax,Toronto,Toronto"
21 Jul 2015,520dafaae705451f75000000,"[[u'Canadian Railway Museum', u'Circuit Gilles Villeneuve', u'Mount Royal'], [u'Mosaicultures Internationales', u'Notre-dame Basilica', u'Lorchestre Symphonique De Montreal'], [u'St Josephs Oratory Of Mount Royal', u'The Olympic Park', u'Place Des Arts', u'Les Bobards'], [u'Montreal Biodome', u'Chateau Ramezay Museum', u'Old Montreal'], [u'Musee Des Beaux-arts De Montreal', u'Botanical Garden', u'Three Monkeys']]",25 Jul 2015,"Montreal,Montreal,Montreal,Montreal,Montreal"
10 Apr 2015,,"[[u'Mosaicultures Internationales', u'Notre-dame Basilica'], [u'Musee Des Beaux-arts De Montreal', u'Botanical Garden'], [u'Mont Royal Cemetery', u'Old Montreal'], [u'Belgo Building', u'Lorchestre Symphonique De Montreal', u'Le Village'], [u'Place Des Arts', u'La Citadelle', u'Les Bobards'], [u'Canadian Railway Museum', u'The Olympic Park', u'Three Monkeys'], [u'Mount Royal', u'Montreal Biodome', u'Circuit Gilles Villeneuve'], [u'Musee Pointe-a-calliere', u'Montreals Underground City']]",20 Apr 2015,"Montreal,Montreal,Montreal,Montreal,Montreal,Montreal,Montreal,Montreal"
29 Sep 2015,,"[[u'Sagrada Familia', u'Casa Mila', u'Casa Batllo'], [u'The Magic Fountain At Montjuic', u'Santa Maria Del Mar', u'Jardi Botanic', u'Museu Nacional Dart De Catalunya'], [u'Temple Of The Sacred Heart Of Jesus', u'Arc De Triomf', u'Cosmocaixa Barcelona', u'Gaudi House Museum', u'Barcelona Cathedral'], [u'Basilica De Santa Maria Del Pi', u'Barcelona Aquarium', u'Poble Espanyol'], [u'Basilica Cistern', u'Chora Church', u'Istanbul Aquarium', u'Suleymaniye Hamami', u'Sultan Ahmed Mosque'], [u'Solar Beach', u'Istanbul Archaeological Museum', u'Istanbul Dolphinarium', u'Grand Bazaar'], [u'Suleymaniye Mosque', u'Miniaturk', u'Rumelihisari', u'Hagia Sophia'], [u'Aynalikavak Palace', u'Taksim Square', u'Topkapi Palace'], [u'Damnoen Saduak Floating Market', u'Wat Pho Reclining Buddha', u'Tha Tien Pier', u'Bangkok Wat Arun'], [u'Chao Phor Seua', u'Mini Siam', u'Benjasiri Park', u'The National Museum'], [u'Dusit Palace Park', u'The Sanctuary Of Truth', u'Royal Barges Museum', u'Samphran Elephant Park'], [u'Dusit Zoo', u'Wat Phra Kaew', u'Jim Thompson House', u'Bangkok Doll Factory And Museum'], [u'Old Montreal', u'Three Monkeys', u'Chateau Ramezay Museum', u'Musee Des Beaux-arts De Montreal']]",11 Oct 2015,"[u'Barcelona', u'Barcelona', u'Barcelona', u'Barcelona', u'Istanbul', u'Istanbul', u'Istanbul', u'Istanbul', u'Bangkok', [u'Pattaya', u'Bangkok'], [u'Pattaya', u'Bangkok'], u'Bangkok', u'Montreal']"
