trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
07 Sep 2015,520dafaae705451f75000000,"[[u'Tennessee State Capitol', u'Musicians Hall Of Fame And Museum', u'Tennessee State Museum', u'Frist Centre For Visual Arts', u'Adventure Science Centre'], [u'Music Row', u'Gaylord Entertainment Centre', u'The Johnny Cash Museum', u'The District', u'Antique Archaeology'], [u'Tennessee Central Railway Museum', u'Country Music Hall Of Fame And Museum', u'The Hermitage, Home Of President Andrew Jackson', u'Bicentennial Capitol Mall State Park', u'Riverfront Park']]",09 Sep 2015,"Nashville,Nashville,Nashville"
17 Jul 2016,,"[[u'Desert Bontanical Garden', u'Phoenix Zoo'], [u'The Rosson House Museum', u'Musical Instrument Museum'], [u'Albuquerque Bio Park', u'Old Town Albuquerque'], [u'Petroglyph National Monument', u'New Mexico Museum Of Natural History And Science', u'Sandia Peak Tramway', u'Indian Pueblo Cultural Center'], [u'Graceland', u'The Fire Museum Of Memphis', u'Orpheum Theater'], [u'Elmwood Cemetery', u'Beale Street'], [u'Country Music Hall Of Fame And Museum', u'Ryman Auditorium', u'The Johnny Cash Museum', u'Opryland Hotel Gardens'], [u'The Hermitage, Home Of President Andrew Jackson', u'The Escape Game', u'Ernest Tubb Record Shop', u'Gaylord Entertainment Centre'], [u'Power Plant Live', u'Oriole Park At Camden Yards', u'American Visionary Art Museum', u'Inner Harbor', u'Fell\\s Point'], [u'Baltimore Water Taxi', u'Horseshoe Casino', u'Historic Ships In Baltimore'], [u'Grand Central Terminal', u'Ippudo Westside', u'Broadway Street', u'Ground Zero', u'Fifth Avenue'], [u'Statue Of Liberty', u'National 9-11 Memorial Museum', u'The Eugene Oneill Theater', u'Times Square', u'Circle Line Cruise'], [u'Carnegie Science Center', u'Heinz Hall'], [u'The Andy Warhol Museum', u'Carnegie Museum Of Natural History'], [u'Field Museum Of Natural History', u'Millennium Park', u'Adler Planetarium'], [u'Shedd Aquarium', u'John Hancock Center', u'Buckingham Fountain', u'Chicago History Museum'], [u'Minneapolis Sculpture Garden', u'Target Field'], [u'Minnehaha Park', u'Mill City Museum'], [u'Sky View Observatory', u'Woodland Park Zoo', u'Seattle Aquarium', u'Seattle Great Wheel'], [u'Paramount Theatre', u'Seattle Waterfall Garden', u'Space Needle', u'Pacific Place', u'Benaroya Hall', u'Empire State Building']]",05 Aug 2016,"[u'Phoenix', u'Phoenix', u'Albuquerque', u'Albuquerque', u'Memphis', u'Memphis', u'Nashville', u'Nashville', u'Baltimore', u'Baltimore', [u'New York City', u'New York'], [u'New York City', u'New York'], u'Pittsburgh', u'Pittsburgh', u'Chicago', u'Chicago', u'Minneapolis', u'Minneapolis', u'Seattle', [u'New York City', u'Seattle']]"
25 May 2015,,"[[u'Woldenberg Riverfront Park', u'Jackson Square', u'World War 2 Museum', u'Mardi Gras World Or Festival', u'Angelo Brocato Ice Cream'], [u'St. Louis Cathedral', u'The Sydney And Waldabesthoff Sculpture Garden', u'Carousel Gardens Amusement Park', u'Jean Lafitte National Park And Preserve'], [u'Backstreet Cultural Museum', u'Audubon Zoo', u'Voodoo Spiritual Temple', u'Louis Armstrong Park', u'New Orleans African- American Museum'], [u'New Orleans Museum Of Art', u'Lake Pontchartrain', u'City Park'], [u'1850 House', u'Audubon Aquarium Of The Americas', u'The Presbytere', u'Lalaurie House'], [u'Country Music Hall Of Fame And Museum', u'Ryman Auditorium', u'The Johnny Cash Museum', u'Opryland Hotel Gardens'], [u'The Hermitage, Home Of President Andrew Jackson', u'The Escape Game', u'Ernest Tubb Record Shop', u'Gaylord Entertainment Centre'], [u'Music Row', u'Centennial Park', u'Belle Meade Plantation', u'Cumberland Park'], [u'Fontanel Mansion', u'Opry Mills', u'The District'], [u'Riverfront Park', u'Bluebird Cafe', u'Rca Studio B', u'Lane Motor Museum'], [u'Nashville Convention And Visitor\\s Bureau', u'Radnor Lake State Park', u'Fort Negley Park', u'The Parthenon'], [u'Mt. Olivet Cemetery', u'Bicentennial Capitol Mall State Park', u'Bridgestone Arena', u'Wave Country'], [u'Upper Room', u'Cheekwood Botanical Gardens And Museum Of Art', u'Nashville Public Library', u'Tennessee Agricultural Museum'], [u'Edwin And Percy Warner Parks', u'The Peanut Shop', u'Tootsies Orchid Lounge', u'Tennessee State Museum'], [u'Nashville Zoo', u'Adventure Science Centre', u'The Big Bang Dueling Pianos'], [u'Antique Archaeology', u'The Mall At Green Hills', u'Frist Centre For Visual Arts', u'Musicians Hall Of Fame And Museum'], [u'Cooter\\s Garage', u'Tennessee State Capitol', u'Hatch Show Print', u'Vanderbilt University'], [u'Nashville Armory', u'Travellers Rest Plantation And Museum', u'Prichard\\s Distillery At Fontanel'], [u'Nashville Flea Market', u'Shelby Park'], [u'Tennessee Central Railway Museum', u'Fannie Mae Dees Park']]",13 Jun 2015,"New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville,Nashville"
28 Aug 2015,,"[[u'Country Music Hall Of Fame And Museum', u'Ryman Auditorium', u'The Johnny Cash Museum', u'Opryland Hotel Gardens'], [u'The Hermitage, Home Of President Andrew Jackson', u'The Escape Game', u'Ernest Tubb Record Shop', u'Gaylord Entertainment Centre'], [u'Music Row', u'Centennial Park', u'Cumberland Park', u'Belle Meade Plantation'], [u'Fontanel Mansion', u'Opry Mills', u'The District'], [u'Graceland', u'Sun Studio'], [u'Gibson Factory', u'National Civil Rights Museum- Lorraine Motel'], [u'Memphis Botanical Gardens', u'Memphis Zoo'], [u'The Fire Museum Of Memphis', u'Stax Museum Of American Soul Music', u'The Peabody Ducks'], [u'Centennial Olympic Park', u'World Of Coca Cola'], [u'Oakland Cemetery', u'Jimmy Carter Library And Museum', u'Chastain Park Amphitheater'], [u'Piedmont Park', u'Martin Luther King Jr. National Historic Site'], [u'Georgia Aquarium', u'Fernbank Museum Of Natural History']]",08 Sep 2015,"Nashville,Nashville,Nashville,Nashville,Memphis,Memphis,Memphis,Memphis,Atlanta,Atlanta,Atlanta,Atlanta"
14 Oct 2015,,"[[u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Santa Monica Pier', u'Hollywood Bowl'], [u'White House', u'United States Capitol', u'Washington National Cathedral', u'Washington Monument', u'Lincoln Memorial'], [u'Library Of Congress', u'Fords Theatre', u'International Spy Museum', u'National Gallery Of Art', u'Iwo Jima Memorial'], [u'Ethel M Chocolate Factory', u'Ricks Restorations', u'Bellagio Gallery Of Fine Art', u'Mon Ami Gabi', u'Pho Thanh Huong'], [u'Battlefield Vegas', u'Counts Kustoms', u'Treasure Island Hotel And Casino', u'Vons', u'Cirque Du Soleil'], [u'The Crystals', u'Mac King Comedy Magic Show', u'Shark Reef At Mandalay Bay', u'Circus Circus'], [u'St. Patricks Cathedral', u'Rockefeller Center', u'Grand Central Terminal', u'Fao Schwartz', u'Fifth Avenue'], [u'Chrysler Building', u'National 9-11 Memorial Museum', u'Circle Line Cruise', u'125 Spring St', u'Top Of The Rock'], [u'Central Park', u'Empire State Building', u'Frick Collection', u'Fanaberie', u'Bar Americain'], [u'Radio City Music Hall', u'Macys Herald Square', u'American Museum Of Natural History', u'Madame Tussauds Wax Museum', u'Battery Park'], [u'Little Italy', u'Carlos Bakery Gift Shop', u'The Metropolitan Museum Of Art', u'Times Square'], [u'Country Music Hall Of Fame And Museum', u'Ryman Auditorium', u'The Johnny Cash Museum', u'Opryland Hotel Gardens'], [u'The Hermitage, Home Of President Andrew Jackson', u'The Escape Game', u'Ernest Tubb Record Shop', u'Gaylord Entertainment Centre'], [u'St. Louis Cathedral', u'Mardi Gras World Or Festival', u'Jackson Square', u'World War 2 Museum', u'Angelo Brocato Ice Cream'], [u'Ogden Museum Of Southern Art', u'New Orleans Museum Of Art', u'Jean Lafitte National Park And Preserve', u'City Park'], [u'Backstreet Cultural Museum', u'Audubon Aquarium Of The Americas', u'The Sydney And Waldabesthoff Sculpture Garden', u'Audubon Butterfly Garden And Insectarium', u'Louis Armstrong Park'], [u'Mercedes Benz Superdome', u'Audubon Zoo', u'Voodoo Spiritual Temple', u'Lake Pontchartrain']]",01 Nov 2015,"[[u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'Los Angeles', u'Washington D. C.', u'Washington D. C.', u'Las Vegas', u'Las Vegas', u'Las Vegas', u'New York City', [u'New York City', u'New York'], [u'New York City', u'New York'], [u'New York City', u'New York'], [u'New York City', u'Hoboken'], u'Nashville', u'Nashville', u'New Orleans', u'New Orleans', u'New Orleans', u'New Orleans']"
18 Apr 2016,,"[[u'Fifth Avenue', u'Serendipity 3', u'Dylans Candy Bar', u'Rockefeller Center', u'Broadway Street'], [u'Central Park', u'Bloomingdales', u'Bloomingdales', u'New York Hilton Midtown'], [u'Central Canal', u'Mind Tripping Show'], [u'Lucas Oil Stadium', u'Victory Field', u'Indiana Museum Of Art'], [u'Slippery Noodle Inn', u'Childrens Museum Of Indianapolis'], [u'Cathedral Basilica Of Saint Louis', u'Gateway Arch', u'Saint Louis Art Museum', u'Old Courthouse'], [u'Missouri Botanical Garden', u'Saint Louis Zoo', u'Jefferson National Expansion Memorial Park'], [u'The Hermitage, Home Of President Andrew Jackson', u'Country Music Hall Of Fame And Museum', u'Belle Meade Plantation'], [u'The Johnny Cash Museum', u'Ryman Auditorium', u'Fontanel Mansion', u'Rca Studio B'], [u'The Parthenon', u'Nashville Zoo', u'The Escape Game', u'Tootsies Orchid Lounge', u'Opryland Hotel Gardens'], [u'Log Cabin Pancake House', u'The Old Mill Restaurant', u'The Track', u'Jack In The Box', u'Dixie Stampede Dinner And Show'], [u'Ripley\\s Aquarium Of The Smokies', u'Parrot Mountain And Gardens', u'Titanic Museum Attraction', u'Gatlinburg Space Needle', u'Old Mill Square', u'Christmas Place', u'Smoky Mountain Alpine Coaster', u'Big Rock Dude Ranch At Ponderosa'], [u'World Of Coca Cola', u'High Museum Of Art', u'Surin Of Thailand Atlanta Ga : Thai Food Atlanta, Ga', u'Little Five Points'], [u'Atlanta Botanical Garden', u'Pho Dai Loi', u'Frosty Caboose', u'Farmers Market', u'Murphey Candler Pool', u'Old Town', u'Coral Castle'], [u'Lake Eola Park', u'Walt Disney World', u'Prime 112', u'Cocowalk', u'Tongue And Cheek', u'Eataly'], [u'Kennedy Space Center'], [u'SeaWorld'], [u'Universal Orlando', u'Discovery Cove'], [u'South Beach', u'Everglades National Park', u'Mango\\s Tropical Cafe, Restaurant And Nightclub'], [u'Jungle Island', u'Freedom Tower', u'Miami Childrens Museum']]",07 May 2016,"[u'New York City', [u'New York City', u'New York'], u'Indianapolis', u'Indianapolis', u'Indianapolis', u'Saint Louis', u'Saint Louis', u'Nashville', u'Nashville', u'Nashville', [u'Spartanburg', u'Pigeon Forge'], [u'Pigeon Forge', u'Gatlinburg'], u'Atlanta', [u'Kissimmee', u'Miami', u'Doraville', u'Atlanta', u'Chamblee'], [u'New York City', u'Orlando', u'Miami'], u'Orlando', u'Orlando', u'Orlando', u'Miami', u'Miami']"
14 Dec 2015,559b1a5af9c2e57e4e0009e4,"[[u'SeaWorld', u'Walt Disney World'], [u'Gatorland', u'Universal Orlando'], [u'Castillo De San Marcos', u'Wet N Wild'], [u'Kennedy Space Center', u'Discovery Cove'], [u'Lake Eola Park', u'Museum Of Military History', u'Orlando Science Center', u'La Nouba - Cirque Du Soleil'], [u'Mary Queen Of The Universe', u'Ripleys Believe It Or Not - Orlando'], [u'Shingle Creek Regional Park', u'IFLY Orlando', u'Osceola County Historical Society Pioneer Village', u'Maingate Flea Market'], [u'Country Music Hall Of Fame And Museum', u'Ryman Auditorium', u'The Johnny Cash Museum', u'Opryland Hotel Gardens']]",21 Dec 2015,"[u'Orlando', u'Orlando', u'Orlando', u'Orlando', [u'Kissimmee', u'Orlando'], u'Orlando', [u'Kissimmee', u'Orlando'], u'Nashville']"
18 Jul 2015,520dafaae705451f75000000,"[[u'Country Music Hall Of Fame And Museum', u'Ryman Auditorium', u'The Hermitage, Home Of President Andrew Jackson', u'Tennessee State Capitol', u'Bicentennial Capitol Mall State Park', u'Riverfront Park']]",18 Jul 2015,Nashville
24 Oct 2015,,"[[u'Magnificent Mile', u'Navy Pier', u'Chicagos First Lady'], [u'Lake Michigan', u'Wrigley Building'], [u'Country Music Hall Of Fame And Museum', u'Ryman Auditorium', u'The Johnny Cash Museum', u'Opryland Hotel Gardens'], [u'The Hermitage, Home Of President Andrew Jackson', u'The Escape Game', u'Ernest Tubb Record Shop', u'Gaylord Entertainment Centre'], [u'Graceland', u'The Fire Museum Of Memphis', u'Orpheum Theater'], [u'Elmwood Cemetery', u'Beale Street'], [u'World War 2 Museum', u'Jackson Square', u'Mardi Gras World Or Festival', u'Angelo Brocato Ice Cream', u'New Orleans Jazz National Historical Park'], [u'New Orleans Museum Of Art', u'Louisiana Childrens Museum', u'Jean Lafitte National Park And Preserve', u'City Park'], [u'Audubon Butterfly Garden And Insectarium', u'The Sydney And Waldabesthoff Sculpture Garden', u'Backstreet Cultural Museum', u'Louis Armstrong Park', u'New Orleans Botanical Garden'], [u'1850 House', u'Audubon Aquarium Of The Americas', u'Voodoo Spiritual Temple', u'Lake Pontchartrain', u'Gallier House'], [u'St. Louis Cathedral', u'Lalaurie House', u'Ogden Museum Of Southern Art', u'New Orleans African- American Museum', u'Cabildo'], [u'Woldenberg Riverfront Park', u'Chalmette Battlefield', u'French Quarter', u'Audubon Zoo'], [u'Hermann- Grima House', u'Carousel Gardens Amusement Park'], [u'Mercedes Benz Superdome', u'The Presbytere']]",06 Nov 2015,"Chicago,Chicago,Nashville,Nashville,Memphis,Memphis,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans"
01 Aug 2015,,"[[u'Martin Luther King Jr. National Historic Site', u'World Of Coca Cola'], [u'Zoo Atlanta', u'Georgia Aquarium'], [u'South Beach', u'Miami Childrens Museum', u'Jungle Island'], [u'Miami Seaquarium', u'Nikki Beach Club', u'Freedom Tower'], [u'Pompeii', u'Mt Vesuvius', u'Certosa Di San Martino Or Museum And Monastery Of San Martino ', u'Fifth Avenue South', u'Via Dei Tribunali'], [u'Sansevero Chapel Museum', u'Naples Gun Range And Emporium', u'Bay Of Naples Or Gulf Of Naples'], [u'SeaWorld', u'Walt Disney World'], [u'Gatorland', u'Universal Orlando'], [u'Alliance For The Arts', u'Edison And Ford Winter Estates', u'Mcgregor Boulevard'], [u'Legacy Trail', u'Sanibel And Captiva Chamber Of Commerce And Visitors Center', u'Port Sanibel Marina', u'31 Produce'], [u'Bonnet House Museum And Gardens', u'Aventura Mall', u'Hugh Taylor Birch State Park Recreation Area'], [u'Fort Lauderdale Beach', u'Fort Lauderdale Antique Car Museum', u'Museum Of Discovery And Science'], [u'Atlantic Beach', u'Catty Shack Ranch Wildlife Sanctuary'], [u'Jacksonville Zoo And Gardens', u'The Cummer Museum Of Art And Gardens'], [u'The Hermitage, Home Of President Andrew Jackson', u'Country Music Hall Of Fame And Museum', u'Belle Meade Plantation', u'Opryland Hotel Gardens'], [u'The Johnny Cash Museum', u'Ryman Auditorium', u'Fontanel Mansion', u'Rca Studio B'], [u'Detroit Institute Of Arts', u'Detroit International Riverfront', u'Caesars Windsor', u'Windsor Tunnel'], [u'Motown Historical Museum', u'Comerica Park'], [u'Magnificent Mile', u'Navy Pier'], [u'Cloud Gate', u'Millennium Park', u'Chicagos First Lady']]",20 Aug 2015,"[u'Atlanta', u'Atlanta', u'Miami', u'Miami', [u'Naples', u'Naples'], [u'Naples', u'Naples'], u'Orlando', u'Orlando', u'Fort Myers', [u'Fort Myers', u'Sarasota', u'Sanibel'], [u'Fort Lauderdale', u'Miami'], [u'Fort Lauderdale', u'Miami'], u'Jacksonville', u'Jacksonville', u'Nashville', u'Nashville', [u'Detroit', u'Windsor'], u'Detroit', u'Chicago', u'Chicago']"
