trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
14 Apr 2017,520dafaae705451f75000000,"[[u'Nola Grand Canal Hotel and Spa', u'MOPHO', u'New Orleans Museum Of Art', u'City Park', u'Parkway Bakery and Tavern', u'St. Louis Cathedral', u'Angelo Brocato Ice Cream', u'The Sydney And Waldabesthoff Sculpture Garden'], [u'Nola Grand Canal Hotel and Spa', u'Ruby Slipper', u'Audubon Butterfly Garden And Insectarium', u'Audubon Aquarium Of The Americas', u'Chophouse New Orleans', u'St. Louis Cathedral', u'Cabildo'], [u'Nola Grand Canal Hotel and Spa', u'Parkway Bakery and Tavern', u'Audubon Zoo', u'Vincents', u'Mardi Gras World Or Festival', u'Ogden Museum Of Southern Art', u'Lalaurie House', u'Irenes Cuisine'], [u'Nola Grand Canal Hotel and Spa', u'Liuzzas by the Track', u'World War 2 Museum', u'Peche Seafood Grill', u'New Orleans Botanical Garden', u'Woldenberg Riverfront Park', u'Louis Armstrong Park'], [u'Nola Grand Canal Hotel and Spa', u'Lebanons Cafe', u'Lake Pontchartrain', u'Hermann- Grima House', u'Oceana Grill', u'Backstreet Cultural Museum', u'Voodoo Spiritual Temple'], [u'Nola Grand Canal Hotel and Spa', u'Boucherie', u'Carousel Gardens Amusement Park', u'Langlois Culinary Crossroads', u'French Quarter', u'Jean Lafitte National Park And Preserve'], [u'Nola Grand Canal Hotel and Spa', u'Dreamy Weenies', u'Barataria Preserve']]",20 Apr 2017,"New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans"
22 Mar 2015,,"[[u'Willie Maes Scotch House', u'Mercedes Benz Superdome', u'Sucr\xe9', u'Voodoo Spiritual Temple', u'French Quarter', u'Lafittes Blacksmith Shop Bar', u'Frenchmen Art Market'], [u'Croissant Dor Patisserie', u'St. Louis Cathedral', u'Jackson Square', u'Angelo Brocato Ice Cream', u'French Market Inn', u'Coops Place', u'Katies', u'Voodoo Bone Lady Ghost Tours', u'Arnauds', u'Cafe Du Monde', u'Hansens Sno-bliz'], [u'Woldenberg Riverfront Park', u'The Sydney And Waldabesthoff Sculpture Garden', u'City Park'], [u'Lake Pontchartrain', u'Mardi Gras World Or Festival', u'1850 House'], [u'Audubon Aquarium Of The Americas', u'New Orleans Museum Of Art', u'Louis Armstrong Park'], [u'Carousel Gardens Amusement Park', u'Audubon Butterfly Garden And Insectarium', u'Cabildo'], [u'Jean Lafitte National Park And Preserve', u'Ogden Museum Of Southern Art', u'New Orleans African- American Museum'], [u'Lalaurie House', u'Hermann- Grima House', u'Gallier House'], [u'Backstreet Cultural Museum', u'World War 2 Museum', u'New Orleans Botanical Garden'], [u'Audubon Zoo'], [u'New Orleans Jazz National Historical Park'], [u'Louisiana Childrens Museum'], [u'Barataria Preserve'], [u'The Presbytere'], [u'Chalmette Battlefield']]",05 Apr 2015,"New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans"
07 Apr 2017,520dafaae705451f75000000,"[[u'International House Hotel', u'Bon Ton Caf\xe9', u'Woldenberg Riverfront Park', u'Audubon Aquarium Of The Americas', u'Muriels Jackson Square', u'Mardi Gras World Or Festival', u'Audubon Butterfly Garden And Insectarium', u'Louis Armstrong Park'], [u'International House Hotel', u'August', u'World War 2 Museum', u'The Presbytere', u'NOLA', u'Mercedes Benz Superdome', u'Lalaurie House', u'Voodoo Spiritual Temple'], [u'International House Hotel', u'Chophouse New Orleans', u'Carousel Gardens Amusement Park', u'Liuzzas by the Track', u'New Orleans Museum Of Art'], [u'International House Hotel', u'Jimmy Js Cafe', u'The Sydney And Waldabesthoff Sculpture Garden', u'Barataria Preserve']]",10 Apr 2017,"New Orleans,New Orleans,New Orleans,New Orleans"
26 Jun 2015,,"[[u'River Walk'], [u'SeaWorld San Antonio'], [u'Natural Bridge Caverns', u'The Alamo'], [u'Six Flags Fiesta Texas', u'San Antonio Museum Of Art'], [u'Angelo Brocato Ice Cream', u'World War 2 Museum', u'Jackson Square', u'Mardi Gras World Or Festival'], [u'St. Louis Cathedral', u'Jean Lafitte National Park And Preserve', u'New Orleans Museum Of Art', u'Backstreet Cultural Museum'], [u'1850 House', u'The Sydney And Waldabesthoff Sculpture Garden', u'Louis Armstrong Park', u'City Park'], [u'Audubon Zoo', u'Voodoo Spiritual Temple', u'Cabildo', u'Lalaurie House'], [u'Audubon Aquarium Of The Americas', u'Chalmette Battlefield', u'Louisiana Childrens Museum', u'Lake Pontchartrain'], [u'Woldenberg Riverfront Park', u'New Orleans Jazz National Historical Park', u'Audubon Butterfly Garden And Insectarium', u'Hermann- Grima House'], [u'Gallier House', u'Ogden Museum Of Southern Art', u'New Orleans Botanical Garden', u'Carousel Gardens Amusement Park'], [u'Mercedes Benz Superdome', u'French Quarter', u'New Orleans African- American Museum'], [u'The Presbytere']]",13 Jul 2015,"San Antonio,San Antonio,San Antonio,San Antonio,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans"
27 Jun 2015,,"[[u'Audubon Aquarium Of The Americas', u'Audubon Butterfly Garden And Insectarium', u'New Orleans Botanical Garden', u'City Park'], [u'Ogden Museum Of Southern Art', u'Mercedes Benz Superdome', u'1850 House', u'Gallier House', u'Lake Pontchartrain'], [u'Woldenberg Riverfront Park', u'St. Louis Cathedral', u'Jackson Square', u'Voodoo Spiritual Temple'], [u'Angelo Brocato Ice Cream', u'French Quarter', u'The Presbytere', u'Mardi Gras World Or Festival'], [u'Backstreet Cultural Museum', u'The Sydney And Waldabesthoff Sculpture Garden', u'World War 2 Museum', u'Louis Armstrong Park'], [u'Lalaurie House', u'Cabildo', u'New Orleans Museum Of Art', u'New Orleans African- American Museum'], [u'Hermann- Grima House', u'New Orleans Jazz National Historical Park', u'Jean Lafitte National Park And Preserve', u'Barataria Preserve'], [u'Carousel Gardens Amusement Park', u'Louisiana Childrens Museum', u'Audubon Zoo'], [u'Chalmette Battlefield']]",05 Jul 2015,"New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans,New Orleans"
01 Oct 2015,,"[[u'The J Paul Getty Centre', u'Santa Monica Beach', u'Cleo', u'Santa Monica Pier Aquarium'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Santa Monica Pier', u'Hollywood Bowl'], [u'Aqua Surf School', u'Griffith Park'], [u'Golden Gate Bridge', u'Silicon Valley', u'The Walt Disney Family Museum', u'The Tech Museum Of Innovation'], [u'Union Square', u'Transamerica Pyramid', u'Muir Woods National Monument'], [u'California Academy Of Sciences', u'Crissy Field'], [u'Golden Gate Park', u'Exploratorium', u'Baker Beach'], [u'Denver Zoo', u'Chamberlin Observatory And Observatory Park'], [u'Denver Botanic Gardens'], [u'Denver Art Museum', u'Dinosaur Ridge'], [u'Children\\s Museum Of Denver', u'Denver Museum Of Nature And Science'], [u'Battlefield Vegas', u'Ricks Restorations', u'Adventuredome', u'Eiffel Tower Experience'], [u'Ethel M Chocolate Factory', u'Counts Kustoms', u'Bellagio Gallery Of Fine Art', u'Fountains Of Bellagio'], [u'Red Rock Canyon National Conservation Area', u'Madame Tussauds Las Vegas', u'Shark Reef At Mandalay Bay', u'The Venetian'], [u'Atomic Testing Museum', u'The Neon Museum', u'The Mirage', u'The Strip'], [u'Meadows Museum Of Art', u'The Dallas World Aquarium', u'Dallas Museum Of Art', u'Sixth Floor Museum, Dealey Plaza', u'Dealey Plaza, Grassy Knoll, National Historic Landmark District'], [u'Dallas Arboretum And Botanical Gardens', u'Dallas Zoo', u'John F. Kennedy Memorial', u'Klyde Warren Park'], [u'Dallas Heritage Village', u'American Airlines Cr Smith Museum', u'Swiss Avenue Historic District'], [u'Pioneer Plaza', u'Thanks-giving Square', u'Reunion Tower', u'George W. Bush Presidential Library And Museum', u'Morton H. Meyerson Symphony Center'], [u'Jackson Square', u'The Sydney And Waldabesthoff Sculpture Garden', u'Mercedes Benz Superdome', u'Lake Pontchartrain', u'City Park'], [u'Woldenberg Riverfront Park', u'French Quarter', u'Mardi Gras World Or Festival', u'1850 House', u'Audubon Aquarium Of The Americas'], [u'St. Louis Cathedral', u'New Orleans Museum Of Art', u'Audubon Butterfly Garden And Insectarium', u'Angelo Brocato Ice Cream'], [u'Jacksonville Zoo And Gardens', u'Museum Of Science And History'], [u'Kathryn Abbey Hanna Park', u'The Cummer Museum Of Art And Gardens'], [u'St. John\\s Town Center', u'Ritz Theatre And Lavilla Museum'], [u'White House', u'United States Capitol', u'Washington National Cathedral', u'Washington Monument', u'Lincoln Memorial'], [u'Pentagon', u'National Gallery Of Art', u'International Spy Museum', u'Library Of Congress', u'Iwo Jima Memorial'], [u'Fords Theatre', u'Thomas Jefferson Memorial', u'National Archives', u'John F. Kennedy Center', u'National Zoological Park'], [u'Grand Central Terminal', u'The Hotel At Times Square', u'Bronx Zoo', u'Madison Square Garden', u'Times Square'], [u'National 9-11 Memorial Museum', u'Frick Collection', u'Ground Zero', u'Rockefeller Center'], [u'Statue Of Liberty', u'Empire State Building', u'American Museum Of Natural History', u'Fanaberie'], [u'Washington Park Arboretum', u'Seattle Waterfall Garden', u'Discovery Park', u'Pike Place Market', u'Sky View Observatory'], [u'Woodland Park Zoo', u'Seattle Public Library', u'Seattle Aquarium', u'Pioneer Square', u'The Seattle Waterfront Or Central Waterfront'], [u'Klondike Gold Rush National Historical Park', u'Bruce Lee Grave Site', u'Benaroya Hall', u'Emp Museum', u'Space Needle']]",04 Nov 2015,"[[u'Los Angeles', u'Santa Monica'], [u'Santa Monica', u'Los Angeles'], u'Los Angeles', [u'Santa Monica', u'Los Angeles'], [u'San Jose', u'San Francisco'], u'San Francisco', u'San Francisco', u'San Francisco', u'Denver', u'Denver', u'Denver', u'Denver', u'Las Vegas', u'Las Vegas', u'Las Vegas', u'Las Vegas', u'Dallas', u'Dallas', [u'Dallas', u'Fort Worth'], u'Dallas', u'New Orleans', u'New Orleans', u'New Orleans', u'Jacksonville', u'Jacksonville', u'Jacksonville', u'Washington D. C.', u'Washington D. C.', u'Washington D. C.', [u'New York City', u'New York'], u'New York City', u'New York City', u'Seattle', u'Seattle', u'Seattle']"
14 Oct 2015,,"[[u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Santa Monica Pier', u'Hollywood Bowl'], [u'White House', u'United States Capitol', u'Washington National Cathedral', u'Washington Monument', u'Lincoln Memorial'], [u'Library Of Congress', u'Fords Theatre', u'International Spy Museum', u'National Gallery Of Art', u'Iwo Jima Memorial'], [u'Ethel M Chocolate Factory', u'Ricks Restorations', u'Bellagio Gallery Of Fine Art', u'Mon Ami Gabi', u'Pho Thanh Huong'], [u'Battlefield Vegas', u'Counts Kustoms', u'Treasure Island Hotel And Casino', u'Vons', u'Cirque Du Soleil'], [u'The Crystals', u'Mac King Comedy Magic Show', u'Shark Reef At Mandalay Bay', u'Circus Circus'], [u'St. Patricks Cathedral', u'Rockefeller Center', u'Grand Central Terminal', u'Fao Schwartz', u'Fifth Avenue'], [u'Chrysler Building', u'National 9-11 Memorial Museum', u'Circle Line Cruise', u'125 Spring St', u'Top Of The Rock'], [u'Central Park', u'Empire State Building', u'Frick Collection', u'Fanaberie', u'Bar Americain'], [u'Radio City Music Hall', u'Macys Herald Square', u'American Museum Of Natural History', u'Madame Tussauds Wax Museum', u'Battery Park'], [u'Little Italy', u'Carlos Bakery Gift Shop', u'The Metropolitan Museum Of Art', u'Times Square'], [u'Country Music Hall Of Fame And Museum', u'Ryman Auditorium', u'The Johnny Cash Museum', u'Opryland Hotel Gardens'], [u'The Hermitage, Home Of President Andrew Jackson', u'The Escape Game', u'Ernest Tubb Record Shop', u'Gaylord Entertainment Centre'], [u'St. Louis Cathedral', u'Mardi Gras World Or Festival', u'Jackson Square', u'World War 2 Museum', u'Angelo Brocato Ice Cream'], [u'Ogden Museum Of Southern Art', u'New Orleans Museum Of Art', u'Jean Lafitte National Park And Preserve', u'City Park'], [u'Backstreet Cultural Museum', u'Audubon Aquarium Of The Americas', u'The Sydney And Waldabesthoff Sculpture Garden', u'Audubon Butterfly Garden And Insectarium', u'Louis Armstrong Park'], [u'Mercedes Benz Superdome', u'Audubon Zoo', u'Voodoo Spiritual Temple', u'Lake Pontchartrain']]",01 Nov 2015,"[[u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'Los Angeles', u'Washington D. C.', u'Washington D. C.', u'Las Vegas', u'Las Vegas', u'Las Vegas', u'New York City', [u'New York City', u'New York'], [u'New York City', u'New York'], [u'New York City', u'New York'], [u'New York City', u'Hoboken'], u'Nashville', u'Nashville', u'New Orleans', u'New Orleans', u'New Orleans', u'New Orleans']"
18 Apr 2016,,"[[u'Ethel M Chocolate Factory', u'Town Square', u'Hoover Dam'], [u'Red Rock Canyon National Conservation Area', u'Adventuredome', u'The Roller Coaster'], [u'Santa Monica Beach', u'Bergamot Station', u'Cleo'], [u'Santa Monica Pier', u'Hollywood Bowl'], [u'San Francisco Cable Car Museum', u'Alcatraz Island', u'Muir Woods National Monument'], [u'Golden Gate Bridge', u'Fishermans Wharf', u'Ferry Building'], [u'St. Louis Cathedral', u'The Sydney And Waldabesthoff Sculpture Garden', u'Jackson Square', u'Voodoo Spiritual Temple', u'Lake Pontchartrain'], [u'Woldenberg Riverfront Park', u'Mercedes Benz Superdome', u'Mardi Gras World Or Festival', u'New Orleans Museum Of Art', u'Audubon Aquarium Of The Americas'], [u'Glacier Point', u'Tunnel View', u'Ansel Adams Gallery', u'Bridalveil Fall', u'Yosemite Falls'], [u'Mariposa Grove Of Giant Sequoias', u'Sentinel Dome', u'Half Dome'], [u'Hanauma Bay Nature Preserve', u'Manoa Falls', u'Iolani Palace'], [u'Dole Plantation', u'Ala Moana Beach Park', u'Hale Koa Luau', u'Spitting Cave'], [u'Dallas Zoo', u'The Dallas World Aquarium', u'Sixth Floor Museum, Dealey Plaza', u'Klyde Warren Park', u'George W. Bush Presidential Library And Museum'], [u'Meadows Museum Of Art', u'Dallas Arboretum And Botanical Gardens', u'Dallas Museum Of Art', u'John F. Kennedy Memorial', u'N Park Center'], [u'Graceland', u'The Fire Museum Of Memphis', u'Orpheum Theater'], [u'Elmwood Cemetery', u'Beale Street'], [u'Statue Of Liberty', u'Fifth Avenue', u'Grand Central Terminal', u'New York Hilton Midtown', u'LaGuardia Airport'], [u'National 9-11 Memorial Museum', u'Times Square', u'Ground Zero', u'Redeemer Presbyterian Church', u'Circle Line Cruise'], [u'White House', u'United States Capitol', u'Washington National Cathedral', u'Washington Monument', u'Lincoln Memorial'], [u'Library Of Congress', u'Fords Theatre', u'National Gallery Of Art', u'International Spy Museum', u'Iwo Jima Memorial']]",07 May 2016,"[u'Las Vegas', u'Las Vegas', [u'Santa Monica', u'Los Angeles'], u'Los Angeles', u'San Francisco', u'San Francisco', u'New Orleans', u'New Orleans', u'Yosemite National Park', u'Yosemite National Park', u'Honolulu', u'Honolulu', u'Dallas', u'Dallas', u'Memphis', u'Memphis', [u'New York City', u'New York'], [u'New York City', u'New York'], u'Washington D. C.', u'Washington D. C.']"
02 Oct 2015,,"[[u'Santa Monica Pier', u'The J Paul Getty Centre'], [u'Santa Monica Beach', u'Griffith Park', u'The Griffith Observatory'], [u'26 Mile Bike Path', u'The Grove', u'The Misfit Restaurant And Bar'], [u'Chapel Of The Flowers', u'Las Vegas Premium Outlets North', u'Madame Tussauds Las Vegas', u'The Cosmopolitan Of Las Vegas', u'Fountains Of Bellagio'], [u'Las Vegas South Premium Outlets', u'Stratosphere Casino, Hotel And Tower'], [u'South Mountain Park', u'Wrigley Mansion'], [u'Burton Barr Central Library', u'Phoenix Zoo'], [u'Albuquerque Bio Park', u'Old Town Albuquerque', u'Indian Pueblo Cultural Center'], [u'Dallas Arboretum And Botanical Gardens', u'The Dallas World Aquarium', u'Dallas Zoo', u'Dallas Museum Of Art', u'Sixth Floor Museum, Dealey Plaza'], [u'St. Louis Cathedral', u'World War 2 Museum', u'Jackson Square', u'Voodoo Spiritual Temple', u'City Park'], [u'Audubon Aquarium Of The Americas', u'Audubon Zoo', u'Mardi Gras World Or Festival', u'Bsg Financial'], [u'World Of Coca Cola', u'Atlanta Botanical Garden', u'Inside CNN Studio Tour'], [u'Centennial Olympic Park', u'Georgia Aquarium'], [u'White House', u'Lincoln Memorial', u'National Air And Space Museum', u'Washington Monument'], [u'United States Capitol', u'National Museum Of Natural History', u'Washington National Cathedral'], [u'Central Park', u'Empire State Building', u'Madison Square Garden', u'Grand Central Terminal', u'The Hotel At Times Square'], [u'Bronx Zoo', u'Times Square', u'Chinatown'], [u'Statue Of Liberty', u'Union Square', u'Ground Zero', u'Rockefeller Center', u'Staten Island Ferry']]",19 Oct 2015,"[u'Los Angeles', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'Las Vegas', u'Las Vegas', u'Phoenix', u'Phoenix', u'Albuquerque', u'Dallas', u'New Orleans', u'New Orleans', u'Atlanta', u'Atlanta', u'Washington D. C.', u'Washington D. C.', [u'New York City', u'New York'], u'New York City', u'New York City']"
20 May 2016,,"[[u'St. Louis Cathedral', u'Mardi Gras World Or Festival', u'Jackson Square', u'City Park', u'Lake Pontchartrain'], [u'Audubon Aquarium Of The Americas', u'French Quarter', u'Mercedes Benz Superdome', u'Voodoo Spiritual Temple', u'Angelo Brocato Ice Cream'], [u'Woldenberg Riverfront Park', u'New Orleans Botanical Garden', u'Audubon Butterfly Garden And Insectarium', u'The Sydney And Waldabesthoff Sculpture Garden', u'1850 House'], [u'State Capitol', u'Bob Bullock Texas State History Museum', u'Austin Bats', u'Mount Bonnell'], [u'Westcave Preserve', u'Austin Zoo', u'McKinney Falls State Park', u'The Driskill'], [u'Texas Military Forces Museum', u'Natural Bridge Caverns', u'Umlauf Sculpture Garden And Museum'], [u'Petroglyph National Monument', u'Old Town Albuquerque'], [u'Albuquerque Bio Park', u'New Mexico Museum Of Natural History And Science', u'Sandia Peak Tramway'], [u'San Felipe De Neri Church', u'National Hispanic Cultural Center', u'Indian Pueblo Cultural Center', u'The National Museum Of Nuclear Science And History'], [u'South Mountain Park', u'Desert Bontanical Garden'], [u'Childrens Museum Of Phoenix', u'Phoenix Art Museum'], [u'Encanto Park', u'Arizona Science Center'], [u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Lombard Street', u'San Francisco Cable Car Museum', u'Exploratorium', u'House Of Air'], [u'California Academy Of Sciences', u'Union Square'], [u'Columbia River Gorge National Scenic Area', u'Portland Japanese Garden', u'International Rose Test Garden'], [u'Willamette Valley', u'Oneonta Gorge'], [u'Ye Olde Curiosity Shop', u'Emp Museum', u'Pacific Science Center', u'Seattle Center', u'918 E John St'], [u'Woodland Park Zoo', u'Bill And Melinda Gates Foundation Visitor Centre', u'Space Needle', u'Pioneer Square']]",08 Jun 2016,"[u'New Orleans', u'New Orleans', u'New Orleans', u'Austin', u'Austin', [u'San Antonio', u'Austin'], u'Albuquerque', u'Albuquerque', u'Albuquerque', u'Phoenix', u'Phoenix', u'Phoenix', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'San Francisco', u'San Francisco', u'Portland', u'Portland', u'Seattle', u'Seattle']"
