trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
22 Dec 2015,5672addc8527a53c4a00010e,"[[u'Central Park', u'Times Square', u'Rockefeller Center']]",31 Dec 2015,New York City
06 Dec 2013,506bcfcc3f86982b28000000,"[[u'Museum Of Modern Art', u'American Museum Of Natural History', u'Times Square', u'Empire State Building', u'Macys Herald Square', u'Central Park', u'Grand Central Terminal'], [u'Ellis Island', u'Statue Of Liberty', u'Ground Zero', u'Brooklyn Bridge', u'Brooklyn Museum', u'Flushing Meadows Corona Park']]",07 Dec 2013,"New York City,New York City"
01 Dec 2015,564c0f538a46cb773f000117,"[[u'Muckross House', u'Ballyseedy Memorial', u'Kirbys Brogue Inn', u'Gap Of Dunloe', u'Killarney Methodist Church'], [u'Torc Mountain', u'Lakes Of Killarney', u'Wild Kerry Day Tours', u'Aghadoe Cathedral', u'St. Marys Cathedral'], [u'Ross Castle', u'The Kerry Way', u'Bin Ban Gallery', u'Killarney Grand Pub'], [u'Kilkenny Castle', u'Kells Augustinian Priory', u'Rothe House', u'Kilkenny Design Centre'], [u'Smithwick\\s Experience', u'St. John The Evangelist', u'St. Canice Cathedral'], [u'Dominican Black Abbey', u'Dunmore Cave', u'Moth To A Flame, Candle Studio', u'St Marys Cathedral', u'Jerpoint Glass Studio'], [u'Dublin Castle', u'National Gallery Of Ireland', u'Henry Street'], [u'St Stephens Greens', u'General Post Office', u'Guinness Storehouse', u'Dublin Zoo', u'Temple Bar Company'], [u'Galway Cathedral', u'Rathbaun Farm', u'St. Nicholas\\ Collegiate Church', u'Quay Street', u'Dunguaire Castle'], [u'Circle Of Life Commemorative Garden', u'Salthill Promenade', u'Galway City Museum', u'Thomas Dillon\\s Claddagh Gold', u'Eyre Square'], [u'Mamore Gap', u'Glenevin Waterfall', u'Donegal Castle', u'An Clachan Art And Craft Gallery'], [u'Slieve League', u'Malin Head', u'The Looking Glass Spa Therapy', u'The Daniel O\\donnell Visitor Centre Dungloe'], [u'Statue Of Liberty', u'Fifth Avenue', u'Grand Central Terminal', u'Chelsea Market', u'Yankee Stadium'], [u'National 9-11 Memorial Museum', u'Housing Works', u'Ground Zero', u'Times Square', u'Circle Line Cruise']]",14 Dec 2015,"[[u'Tralee', u'Killarney'], [u'Tralee', u'Killarney'], [u'Tralee', u'Killarney'], u'Kilkenny', u'Kilkenny', u'Kilkenny', u'Dublin', u'Dublin', u'Galway', u'Galway', u'Donegal', u'Donegal', u'New York City', [u'New York City', u'New York']]"
05 Mar 2015,54cf6d87fbc2e56b170003f4,"[[u'Red Fort', u'Jama Masjid', u'Rashtrapati Bhavan'], [u'Central Park', u'Statue Of Liberty', u'American Museum Of Natural History'], [u'Wat Pho Reclining Buddha', u'Pattaya Floating Market', u'The Sanctuary Of Truth']]",07 Mar 2015,"[u'Delhi', u'New York City', [u'Pattaya', u'Bangkok']]"
24 Aug 2014,53385e4ae70545dd67000000,"[[u'Statue Of Liberty', u'Brooklyn Botanical Garden', u'Rockefeller Center', u'Ellis Island', u'5 Pointz Aerosol Art Center'], [u'The High Line', u'Brooklyn Heights Promenade', u'Ground Zero', u'Macys Herald Square'], [u'Chinatown']]",26 Aug 2014,"New York City,New York City,New York City"
15 Dec 2015,,"[[u'Central Park', u'Brooklyn Brewery', u'Bronx Zoo'], [u'Six Mile Cypress Slough Preserve', u'Edison And Ford Winter Estates', u'Sanibel Island Lighthouse'], [u'Sanibel And Captiva Chamber Of Commerce And Visitors Center', u'Castle Golf', u'Manatee Park'], [u'Port Sanibel Marina', u'Gulf Coast Town Center'], [u'Florida Repertory Theatre', u'31 Produce', u'Point Ybel Brewing Company']]",22 Dec 2015,"[[u'New York City', u'New York'], [u'Fort Myers', u'Sanibel'], [u'Fort Myers', u'Sanibel'], u'Fort Myers', u'Fort Myers']"
29 Dec 2013,51e12726e705453528000000,"[[u'Central Park', u'American Museum Of Natural History', u'Grand Central Terminal', u'Staten Island Ferry', u'Ellis Island'], [u'Empire State Building', u'Fifth Avenue', u'Solomon R Guggenheim Museum', u'Yankee Stadium', u'Brooklyn Bridge']]",30 Dec 2013,"New York City,New York City"
04 Apr 2015,,"[[u'Statue Of Liberty', u'Grand Central Terminal', u'Brooklyn Bridge', u'Fifth Avenue'], [u'The Metropolitan Museum Of Art', u'Ground Zero', u'Times Square']]",11 Apr 2015,"New York City,New York City"
25 Feb 2016,,"[[u'Statue Of Liberty', u'The Metropolitan Museum Of Art', u'The High Line', u'Broadway and W 44th St'], [u'Brooklyn Industries', u'American Museum Of Natural History', u'154 Columbus Ave', u'Intrepid Sea, Air And Space Museum'], [u'Ellis Island', u'Coney Island Cyclone', u'Radio City Music Hall'], [u'United Nations Headquarters', u'National 9-11 Memorial Museum', u'Empire State Building', u'Charging Bull', u'Times Square']]",28 Feb 2016,"[[u'New York City', u'New York'], [u'New York City', u'New York'], u'New York City', u'New York City']"
28 Jun 2015,,"[[u'Desert Bontanical Garden', u'Phoenix Zoo'], [u'Heard Museum', u'Musical Instrument Museum'], [u'South Mountain Park', u'Arizona Science Center'], [u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Lands End', u'Baker Beach', u'San Francisco International Airport', u'1034 45th St'], [u'San Francisco Cable Car Museum', u'Golden Gate Park', u'Castro Theatre', u'Sutro Baths Ruins'], [u'Golden Gate Bridge', u'Alamo Square', u'Ferry Building'], [u'Little Italy', u'Statue Of Liberty', u'Fifth Avenue', u'Grand Central Terminal', u'Dominique Ansel Bakery']]",06 Jul 2015,"[u'Phoenix', u'Phoenix', u'Phoenix', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], [u'San Francisco', u'Emeryville'], u'San Francisco', u'San Francisco', [u'New York City', u'New York']]"
15 Apr 2015,,"[[u'Denver Zoo', u'Chamberlin Observatory And Observatory Park'], [u'Denver Botanic Gardens'], [u'Children\\s Museum Of Denver', u'Dinosaur Ridge'], [u'Denver Museum Of Nature And Science', u'Denver Art Museum'], [u'Graceland', u'Sun Studio'], [u'Elmwood Cemetery', u'The Peanut Shoppe', u'National Civil Rights Museum- Lorraine Motel'], [u'Memphis Zoo', u'Saint Blues Guitar Workshop', u'Levitt Shell'], [u'Statue Of Liberty', u'Ellis Island', u'American Museum Of Natural History'], [u'Empire State Building', u'The Metropolitan Museum Of Art', u'Bridge Gallery', u'Ground Zero']]",23 Apr 2015,"Denver,Denver,Denver,Denver,Memphis,Memphis,Memphis,New York City,New York City"
25 Dec 2013,52175b07e70545a76c000000,"[[u'Museum Of Modern Art', u'American Museum Of Natural History', u'Times Square', u'Empire State Building', u'Macys Herald Square', u'Central Park', u'Grand Central Terminal'], [u'Ellis Island', u'Statue Of Liberty', u'Ground Zero', u'Brooklyn Bridge', u'Brooklyn Museum', u'Flushing Meadows Corona Park']]",26 Dec 2013,"New York City,New York City"
01 Dec 2015,558f62a5fbc2e52b10000717,"[[u'Muckross House', u'Ballyseedy Memorial', u'Kirbys Brogue Inn', u'Gap Of Dunloe', u'Killarney Methodist Church'], [u'Torc Mountain', u'Lakes Of Killarney', u'Wild Kerry Day Tours', u'Aghadoe Cathedral', u'St. Marys Cathedral'], [u'Ross Castle', u'The Kerry Way', u'Bin Ban Gallery', u'Killarney Grand Pub'], [u'Kilkenny Castle', u'Kells Augustinian Priory', u'Rothe House', u'Kilkenny Design Centre'], [u'Smithwick\\s Experience', u'St. John The Evangelist', u'St. Canice Cathedral'], [u'Dominican Black Abbey', u'Dunmore Cave', u'Moth To A Flame, Candle Studio', u'St Marys Cathedral', u'Jerpoint Glass Studio'], [u'Dublin Castle', u'National Gallery Of Ireland', u'Henry Street'], [u'St Stephens Greens', u'General Post Office', u'Guinness Storehouse', u'Dublin Zoo', u'Temple Bar Company'], [u'Galway Cathedral', u'Rathbaun Farm', u'St. Nicholas\\ Collegiate Church', u'Quay Street', u'Dunguaire Castle'], [u'Circle Of Life Commemorative Garden', u'Salthill Promenade', u'Galway City Museum', u'Thomas Dillon\\s Claddagh Gold', u'Eyre Square'], [u'Mamore Gap', u'Glenevin Waterfall', u'Donegal Castle', u'An Clachan Art And Craft Gallery'], [u'Slieve League', u'Malin Head', u'The Looking Glass Spa Therapy', u'The Daniel O\\donnell Visitor Centre Dungloe'], [u'Statue Of Liberty', u'Fifth Avenue', u'Grand Central Terminal', u'Chelsea Market', u'Yankee Stadium'], [u'National 9-11 Memorial Museum', u'Housing Works', u'Ground Zero', u'Times Square', u'Circle Line Cruise']]",14 Dec 2015,"[[u'Tralee', u'Killarney'], [u'Tralee', u'Killarney'], [u'Tralee', u'Killarney'], u'Kilkenny', u'Kilkenny', u'Kilkenny', u'Dublin', u'Dublin', u'Galway', u'Galway', u'Donegal', u'Donegal', u'New York City', [u'New York City', u'New York']]"
01 Dec 2015,564d1755a6d46dfe59000981,"[[u'Muckross House', u'Ballyseedy Memorial', u'Kirbys Brogue Inn', u'Gap Of Dunloe', u'Killarney Methodist Church'], [u'Torc Mountain', u'Lakes Of Killarney', u'Wild Kerry Day Tours', u'Aghadoe Cathedral', u'St. Marys Cathedral'], [u'Ross Castle', u'The Kerry Way', u'Bin Ban Gallery', u'Killarney Grand Pub'], [u'Kilkenny Castle', u'Kells Augustinian Priory', u'Rothe House', u'Kilkenny Design Centre'], [u'Smithwick\\s Experience', u'St. John The Evangelist', u'St. Canice Cathedral'], [u'Dominican Black Abbey', u'Dunmore Cave', u'Moth To A Flame, Candle Studio', u'St Marys Cathedral', u'Jerpoint Glass Studio'], [u'Dublin Castle', u'National Gallery Of Ireland', u'Henry Street'], [u'St Stephens Greens', u'General Post Office', u'Guinness Storehouse', u'Dublin Zoo', u'Temple Bar Company'], [u'Galway Cathedral', u'Rathbaun Farm', u'St. Nicholas\\ Collegiate Church', u'Quay Street', u'Dunguaire Castle'], [u'Circle Of Life Commemorative Garden', u'Salthill Promenade', u'Galway City Museum', u'Thomas Dillon\\s Claddagh Gold', u'Eyre Square'], [u'Mamore Gap', u'Glenevin Waterfall', u'Donegal Castle', u'An Clachan Art And Craft Gallery'], [u'Slieve League', u'Malin Head', u'The Looking Glass Spa Therapy', u'The Daniel O\\donnell Visitor Centre Dungloe'], [u'Statue Of Liberty', u'Fifth Avenue', u'Grand Central Terminal', u'Chelsea Market', u'Yankee Stadium'], [u'National 9-11 Memorial Museum', u'Housing Works', u'Ground Zero', u'Times Square', u'Circle Line Cruise']]",14 Dec 2015,"[[u'Tralee', u'Killarney'], [u'Tralee', u'Killarney'], [u'Tralee', u'Killarney'], u'Kilkenny', u'Kilkenny', u'Kilkenny', u'Dublin', u'Dublin', u'Galway', u'Galway', u'Donegal', u'Donegal', u'New York City', [u'New York City', u'New York']]"
