trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
15 Feb 2016,,"[[u'Havasupai Falls', u'East Rim Drive'], [u'Golden Gate Bridge', u'Baker Beach', u'Coit Tower', u'Oakland Museum Of California']]",16 Feb 2016,"[u'Grand Canyon National Park', [u'Oakland', u'San Francisco']]"
20 Oct 2015,,"[[u'Golden Gate Bridge', u'African American Museum And Library', u'Alcatraz Island'], [u'Golden Gate Park', u'Union Square', u'Temple Sinai', u'Childrens Fairyland']]",21 Oct 2015,"[[u'Oakland', u'San Francisco'], [u'Oakland', u'San Francisco']]"
23 Nov 2015,,"[[u'Golden Gate Bridge', u'Alcatraz Island', u'African American Museum And Library'], [u'Golden Gate Park', u'Union Square', u'Temple Sinai', u'Childrens Fairyland']]",24 Nov 2015,"[[u'Oakland', u'San Francisco'], [u'Oakland', u'San Francisco']]"
14 Aug 2015,,"[[u'Arizona Snowbowl', u'Grand Canyon Imax Theater', u'Havasu Falls', u'Lookout Studio'], [u'Mooney Falls', u'San Francisco Peaks And Humphreys Peak', u'Tuba City Trading Post', u'Old Cliff Dwellers Lodge ', u'Toroweap Point'], [u'Battlefield Vegas', u'The Mob Museum', u'Ricks Restorations', u'Adventuredome', u'Fountains Of Bellagio'], [u'Counts Kustoms', u'Bellagio Gallery Of Fine Art', u'Eiffel Tower Experience'], [u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Glacier Point', u'Tunnel View', u'Ansel Adams Gallery', u'Bridalveil Fall', u'Yosemite Falls'], [u'Mariposa Grove Of Giant Sequoias', u'Half Dome', u'Sentinel Dome'], [u'The Ruth Bancroft Garden', u'Dunes Beach', u'Winters Tavern', u'Sunol Regional Wilderness', u'Bass Pro Shop'], [u'NewPark Mall', u'Belmont Iceland', u'Hodo Soy Beanery', u'Heinbockel Inn Bar and Grill.', u'Alamere Falls']]",23 Aug 2015,"[[u'Supai', u'Grand Canyon Village', u'Flagstaff'], [u'Tuba City', u'Supai', u'Grand Canyon National Park', u'Flagstaff', u'Marble Canyon'], u'Las Vegas', u'Las Vegas', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'Yosemite National Park', u'Yosemite National Park', [u'Manteca', u'Pacifica', u'Half Moon Bay', u'Sunol', u'Walnut Creek'], [u'Bolinas', u'Newark', u'Oakland', u'Belmont', u'Tracy']]"
30 Oct 2015,56099c028527a53d06000308,"[[u'Santa Monica Mountains', u'The J Paul Getty Centre', u'Santa Monica Beach', u'Cleo', u'Viper Room'], [u'Honda Centre', u'The Grammy Museum', u'Griffith Park'], [u'Golden Gate Bridge', u'Alcatraz Island', u'African American Museum And Library'], [u'Golden Gate Park', u'Union Square', u'Temple Sinai', u'Childrens Fairyland', u'Manhattan Beach Pier', u'Santa Monica Pier', u'Hollywood Walk Of Fame']]",02 Nov 2015,"[[u'Santa Monica', u'Los Angeles'], [u'Anaheim', u'Los Angeles'], [u'Oakland', u'San Francisco'], [u'Oakland', u'Manhattan Beach', u'San Francisco', u'Los Angeles']]"
06 Jan 2017,,[[u'McAfee Coliseum']],06 Jan 2017,Oakland
12 Dec 2015,,[[u'Grand Lake Theater']],18 Dec 2015,Oakland
06 Jan 2017,,"[[u'Pier 39', u'Fishermans Wharf', u'Bay Bridge', u'Alcatraz Island', u'McAfee Coliseum', u'Golden Gate Bridge']]",06 Jan 2017,"[[u'Oakland', u'San Francisco']]"
07 Apr 2016,,"[[u'Golden Gate Bridge', u'Baker Beach', u'Coit Tower', u'Oakland Museum Of California'], [u'Adventuredome', u'Stratosphere Casino, Hotel And Tower', u'Criss Angel Mindfreak'], [u'Ethel M Chocolate Factory', u'Fremont Street', u'The Roller Coaster'], [u'Gregory Popovichs Comedy Pet Theater', u'High Roller', u'Mount Charleston']]",10 Apr 2016,"[[u'Oakland', u'San Francisco'], u'Las Vegas', u'Las Vegas', u'Las Vegas']"
17 Jun 2016,,"[[u'Oakland', u'Salinas', u'Bixby Creek Bridge', u'Carmel Mission Basilica', u'17-mile Drive', u'Cannery Row'], [u'Julia Pfeiffer Burns State Park', u'The Esalen Institute', u'Pfeiffer Big Sur State Park', u'Carmel River State Beach', u'Monterey State Historic Park', u'Monterey Bay Aquarium'], [u'Coast Guard Pier And Old Fisherman\\s Wharf', u'Salinas', u'Oakland']]",19 Jun 2016,"[[u'Monterey', u'Big Sur'], [u'Monterey', u'Big Sur'], u'Monterey']"
28 Aug 2015,,"[[u'Fishermans Wharf', u'San Francisco Cable Car Museum', u'Golden Gate Bridge'], [u'Lombard Street', u'California Palace Of The Legion Of Honor', u'Golden Gate Park'], [u'Ferry Building', u'Alcatraz Island', u'Muir Woods National Monument'], [u'The Walt Disney Family Museum', u'Musee Mecanique', u'Palace Of Fine Arts'], [u'Coit Tower', u'Lands End', u'Baker Beach'], [u'De Young Museum', u'Union Square', u'Pier 39', u'Crissy Field'], [u'Adventuredome', u'The Neon Museum', u'Eiffel Tower Experience'], [u'Shark Reef At Mandalay Bay', u'The Strip'], [u'Battlefield Vegas', u'Town Square', u'Madame Tussauds Las Vegas', u'Fountains Of Bellagio', u'Caesars Palace'], [u'Bellagio Gallery Of Fine Art', u'Stratosphere Casino, Hotel And Tower'], [u'Hillcrest Winery And Distillery', u'Henry Estate Winery', u'Hilltop', u'Sutherlin High School', u'Town Tavern'], [u'Shady Kates Boutique', u'Hucrest Elementary School', u'Diamond Woods Golf Course', u'Chambers Railroad Bridge', u'Salt Creek Falls'], [u'MarshAnne Landing', u'Bugsys', u'Tight Lines Fishing And Rafting', u'Wolf Creek Inn State Heritage Site']]",09 Sep 2015,"[u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'Las Vegas', u'Las Vegas', u'Las Vegas', u'Las Vegas', [u'Myrtle Creek', u'Roseburg', u'Sutherlin', u'Umpqua'], [u'Oakridge', u'Monroe', u'Shady Cove', u'Roseburg', u'Cottage Grove'], [u'Vida', u'Oakland', u'Wolf Creek', u'Junction City']]"
13 Jun 2016,,"[[u'Alcatraz Island', u'Muir Woods National Monument'], [u'Golden Gate Bridge', u'Japan Town', u'555 California Street', u'Musee Mecanique'], [u'City Hall', u'Nob Hill', u'At And T Park'], [u'Yerba Buena Gardens', u'Castro Theatre', u'Pier 39', u'Boudin At The Wharf'], [u'Golden Gate Park', u'Chinatown', u'Coit Tower', u'Yerba Buena Center For The Arts (YBCA)'], [u'Twin Peaks', u'Uss Pampanito', u'California Academy Of Sciences'], [u'Exploratorium', u'Lands End', u'Fishermans Wharf'], [u'Lombard Street', u'San Francisco Maritime National Historical Park', u'Fort Point National Historic Site'], [u'Transamerica Pyramid', u'Marin Headlands', u'Asian Art Museum Of San Francisco'], [u'North Beach', u'Mission Dolores', u'Crissy Field'], [u'Saint Marys Cathedral', u'Hyde Street Pier', u'Conservatory Of Flowers', u'Ghirardelli Square'], [u'Childrens Creativity Museum', u'Aquarium Of The Bay', u'Cliff House'], [u'San Francisco Cable Car Museum', u'De Young Museum', u'The Walt Disney Family Museum', u'Washington Square'], [u'Grace Cathedral', u'Bay Bridge', u'Embarcadero Center'], [u'Ferry Building', u'Japanese Tea Garden', u'Ocean Beach'], [u'California Palace Of The Legion Of Honor', u'Hollywood Cafe', u'Baker Beach', u'Forbes Island'], [u'Mission District', u'Hodo Soy Beanery', u'Grand Lake Theater', u'USS Potomac'], [u'Palace Of Fine Arts', u'Oakland Floats', u'Geoffreys Inner Circle', u'McAfee Coliseum'], [u'Gondola Servizio', u'New Parkway Cinema', u'African American Museum And Library', u'Haight Ashbury'], [u'Oakland History Room', u'Woodminster Amphitheater', u'Dunsmuir House', u'Sutro Baths Ruins'], [u'Mountain View Cemetery', u'Ripleys Believe It Or Not', u'Temple Sinai', u'Camron-Stanford House'], [u'The Cathedral Of Christ The Light', u'Oakland Museum Of California', u'Fox Theater', u'Alamo Square'], [u'Redwood Regional Park', u'Union Square', u'Childrens Fairyland', u'Paramount Theatre'], [u'Chabot Space and Science Center', u'Jack London Square', u'Oracle Arena', u'Restaurant Gary Danko'], [u'Oakland Aviation Museum', u'Afterguard Sailing Academy', u'Preservation Park', u'Elbo Room'], [u'Middle Harbor Shoreline Park', u'Lake Merritt', u'Lake Chabot Golf Course', u'Butter']]",08 Jul 2016,"[u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', [u'Oakland', u'San Francisco'], [u'Oakland', u'San Francisco'], [u'San Francisco', u'Oakland'], [u'San Francisco', u'Oakland'], [u'San Francisco', u'Oakland'], [u'San Francisco', u'Oakland'], [u'San Francisco', u'Oakland'], [u'San Francisco', u'Oakland'], [u'San Francisco', u'Oakland'], [u'San Francisco', u'Oakland']]"
12 Sep 2016,,"[[u'Orlando International Airport', u'San Francisco International Airport', u'Westwind Lodge', u'Geoffreys Inner Circle', u'Gondola Servizio', u'Grand Lake Theater', u'Oakland Floats', u'African American Museum And Library', u'Westwind Lodge'], [u'Westwind Lodge', u'Hodo Soy Beanery', u'McAfee Coliseum', u'Woodminster Amphitheater', u'Westwind Lodge'], [u'Westwind Lodge', u'Mountain View Cemetery', u'Temple Sinai', u'San Francisco International Airport', u'Orlando International Airport']]",14 Sep 2016,"[[u'Oakland', u'San Francisco', u'Orlando'], u'Oakland', [u'San Francisco', u'Oakland', u'Orlando']]"
14 Jun 2016,,"[[u'San Francisco International Airport', u'Orlando International Airport'], [u'Walt Disney World', u'Mary Queen Of The Universe', u'IFLY Orlando', u'Ripleys Believe It Or Not - Orlando'], [u'Universal Orlando', u'SeaWorld', u'La Nouba - Cirque Du Soleil', u'Lake Eola Park'], [u'Oakland Nature Preserve', u'Orlando International Airport', u'San Francisco International Airport']]",17 Jun 2016,"[[u'San Francisco', u'Orlando'], u'Orlando', u'Orlando', [u'Oakland', u'San Francisco', u'Orlando']]"
11 Nov 2017,511e2791408698aa51000000,"[[u'Grand Lake Theater', u'African American Museum And Library', u'Oakland Floats', u'Geoffreys Inner Circle', u'McAfee Coliseum']]",11 Nov 2017,Oakland
30 Nov 2016,5835c4674e8231897e00015b,"[[u'Helena Regional Airport', u'San Francisco International Airport', u'Axiom Hotel', u'Union Square'], [u'Axiom Hotel', u'Alcatraz Island', u'Pier 39', u'Aquarium Of The Bay', u'Mission District', u'Axiom Hotel'], [u'Axiom Hotel', u'Fishermans Wharf', u'Ghirardelli Square', u'Lombard Street', u'Little Italy', u'Axiom Hotel'], [u'Axiom Hotel', u'Exploratorium', u'Embarcadero Center', u'Chinatown', u'Axiom Hotel'], [u'San Francisco City Center', u'Oakland City Center', u'Executive Inn and Suites', u'Chabot Space and Science Center', u'Executive Inn and Suites', u'Oracle Arena', u'Executive Inn and Suites'], [u'Executive Inn and Suites', u'Oakland Zoo', u'Jack London Square', u'Executive Inn and Suites', u'Oracle Arena', u'Executive Inn and Suites'], [u'Broadway:14th St', u'Market St:south Van Ness Av', u'Best Western Plus El Rancho Inn', u'Best Western Plus El Rancho Inn'], [u'Best Western Plus El Rancho Inn', u'San Francisco Int|l Airport Station', u'Helena Regional Airport']]",07 Dec 2016,"[u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'Oakland', u'Oakland', [u'Millbrae', u'San Francisco', u'Oakland'], [u'Millbrae', u'San Francisco']]"
08 Sep 2016,,"[[u'Washington Square Park', u'Alcatraz Island', u'Boudin At The Wharf', u'Ripleys Believe It Or Not', u'The San Francisco Dungeon'], [u'Country Club Lanes', u'American River Bicycle Trail', u'Comedy Sportz', u'River Park', u'California State Fair', u'Raging Waters', u'Arden Fair'], [u'Los Gatos Creek Trail', u'Winchester Mystery House', u'Cathedral Basilica Of St. Joseph', u'San Jose Museum Of Art', u'The Tech Museum Of Innovation', u'Childrens Discovery Museum Of San Jose', u'San Jose Heritage Rose Garden'], [u'Grand Lake Theater', u'Childrens Fairyland', u'African American Museum And Library', u'Haight Ashbury', u'Japan Town'], [u'Million Dollar Quartet', u'Planet Hollywood Resort And Casino', u'The Crystals', u'Fountains Of Bellagio'], [u'Ricks Restorations', u'Hypnosis Unleashed Starring Kevin Lepine', u'Golden Nugget', u'The Mob Museum', u'Fremont Street'], [u'Balboa Park', u'Reuben H Fleet Science Center', u'San Diego Zoo', u'Old Globe Theatre'], [u'Yavapai Observation Station', u'Grand Canyon', u'Cape Final Trail'], [u'Glacier Point', u'Sentinel Dome', u'Yosemite Falls', u'Vernal Fall', u'Nevada Fall']]",16 Sep 2016,"[u'San Francisco', u'Sacramento', u'San Jose', [u'San Francisco', u'Oakland'], u'Las Vegas', u'Las Vegas', u'San Diego', u'Grand Canyon National Park', u'Yosemite National Park']"
23 May 2016,,"[[u'Eugene Airport', u'Oakland International Airport', u'Best Western Plus Bayside Hotel', u'Hodo Soy Beanery', u'Grand Lake Theater'], [u'Best Western Plus Bayside Hotel', u'McAfee Coliseum', u'Golden Gate Bridge', u'Temple Sinai', u'Camron-Stanford House'], [u'Best Western Plus Bayside Hotel', u'Oakland Floats', u'Geoffreys Inner Circle'], [u'Oracle Arena', u'Best Western Plus Bayside Hotel', u'San Francisco International Airport', u'Bruges City Center'], [u'Bruges City Center', u'Bruges City Center', u'Anselmus Hotel', u'Church Of Our Lady', u'Minnewater Lake', u'Luc Vanlaere Harp Concert', u'Bruges Waterways', u'Historic Centre'], [u'Anselmus Hotel', u'Belfry And Market Hall Or Belfort And Market Hallen', u'Choco-story Museum', u'Folklore Museum Or Museum Voor Volkskunde', u'Historium Brugge', u'Burg', u'The Markt'], [u'Anselmus Hotel', u'Basilica Of The Holy Blood', u'Memling In Sint-jan Hospitaal Museum', u'Friet Museum'], [u'Stadhuis Town Hall', u'Begijnhof Or Beguinage', u'Anselmus Hotel', u'Bruges City Center', u'Ghent City Center', u'Best Western Residence Cour St Georges', u'St. Bavo\\s Cathedral', u'Patershol', u'Graslei And Korenlei'], [u'Best Western Residence Cour St Georges', u'Gravensteen Castle', u'Stedelijk Museum Vooractuelekunst', u'Museum Over Industrie, Arbeid En Textiel', u'Museum Of Fine Arts', u'Huis Van Alijn', u'St. Nicholas Church', u'Belfort Van Gent'], [u'Best Western Residence Cour St Georges', u'Het Design Museum', u'Museum Dr Guislain', u'Stam Gent City Museum'], [u'Best Western Residence Cour St Georges', u'Gent St Pieters', u'Bruxelles-central', u'Atlas Hotel Brussels', u'Atomium And Mini Europe ', u'Royal Museums Of Fine Arts Of Belgium', u'Jardin Du Petit Sablon', u'Bois De La Cambre And Foret De Soignes'], [u'Atlas Hotel Brussels', u'Royal Museum Of The Armed Forces And Military History', u'Cathedrale St-michel Et Ste-gudule', u'Musical Instruments Museum', u'Autoworld', u'Musee Rene Magritte', u'Moof Museum', u'Grand Place', u'Youth Hostel Van Gogh', u'Le Coq Dor', u'Parc De Bruxelles- National Day Celebration'], [u'Atlas Hotel Brussels', u'Delirium Cafe', u'Hard Rock Cafe', u'Galeries Royales Saint-hubert', u'Poechenellekelder Cafe', u'2GO4 Hostel'], [u'Notre Dame Du Sablon', u'Atlas Hotel Brussels', u'Brussels-north', u'Luxembourg', u'Hotel Carlton', u'Musee National De La Resistance', u'Rockhal', u'Palais Grand Ducal', u'Universit\xe9 Du Luxembourg'], [u'Hotel Carlton', u'Casino 2000', u'Luxembourg Airport', u'Philharmonie Luxembourg', u'Parc Merveilleux', u'Notre Dame Cathedral ', u'Fromages Et Vins', u'Parc-ed-j-klein', u'Parc Merveilleux', u'Place Guillaume II', u'Viaduc ', u'Beaufort Castle'], [u'Hotel Carlton', u'Roman Temple District, Tawern', u'Ch\xe2teau De Malbrouck', u'Arch\xe4ologiepark R\xf6mische Villa Borg', u'Mus\xe9e National Dhistoire Et Dart Luxembourg (mnha)', u'Conservatoire National De Vehicules Historiques', u'Caves Bernard Massard', u'Krounebierg', u'Greifvogelpark', u'Domaine Thermal'], [u'Hotel Carlton', u'General Patton Memorial Museum', u'Centre National De LAudiovisuel '], [u'Hotel Carlton', u'Mudam'], [u'Hotel Carlton', u'Luxembourg', u'Trier S\xfcd', u'Hotel Deutscher Hof', u'Porta Nigra', u'The Palace Garden', u'Roemerbruecke', u'Roman Temple District, Tawern'], [u'Hotel Deutscher Hof', u'Eltz Castle', u'Hauptmarkt', u'Feller Bach', u'Jerusalem Tower', u'Trier Wine Culture Trail', u'Jews Alley', u'Mosel River'], [u'Hotel Deutscher Hof', u'Cathedral Of Trier', u' Roman Imperial Baths', u'Simeonstift', u'Hochbunker', u'Trampoline Trier', u'Aula Palatina', u'St. Paulinus\\ Church', u'Archaeological Museum', u'Zurlaubener Ufer', u'House Of The Three Magi', u'Rhineland Museum Or Rheinisches Landesmuseum', u' Kornmarkt Square'], [u'Church Of Our Lady', u'Karl Marx House', u'Church Of St. Gangolf', u'St. Marys Column', u' Amphitheatre', u'Hotel Deutscher Hof', u'Trier City Center', u'Nuremberg City Center', u'Hotel Agneshof N\xfcrnberg'], [u'Hotel Agneshof N\xfcrnberg', u'Nuremberg Castle', u'Kunsthalle Nurnberg', u'Fleisch Bridge', u'Frankestadion', u'St. Rochus Cemetery', u'Neues Museum', u'Ehekarussell Brunnen', u'Handwerkerhof', u'Schoner Brunnen', u'Hauptmarkt'], [u'Hotel Agneshof N\xfcrnberg', u'Dokumentationszentrum Reichsparteitagsgelaende', u'Christkindlesmarkt', u'Staatstheater Nuremberg', u'Woehrder See', u'Zeppelinfeld', u'Museum Industriekultur Or Memorium Nuremberg Trails Or Justizpalast', u'Ehekarussell', u'Johannisfriedhof Nurnberg', u'Nuremburg Trial Courthouse', u'Nuremberg Palace Of Justice Or Justizpalast'], [u'Nazi Party Rally Grounds Or Reichsparteigelande', u'Deutsche Bahn Museum', u'Museum Fur Kommunikation Nurnberg Or Museum Of Communication', u'St. Sebaldus Church', u'Schulmusem', u'Memorium Nurnberger Prozesse', u'St. Lorenz Church', u'Hotel Agneshof N\xfcrnberg', u'N\xfcrnberg Hbf', u'M\xfcnchen Hbf', u'Hotel Adria M\xfcnchen', u'Cathedral Of Our Lady', u'Odeonsplatz'], [u'Hotel Adria M\xfcnchen', u'Marienplatz', u'Theatine Church', u'Bmw Headquarters And Museum', u'Saint Peters Church', u'New Town Hall', u'Old Town Hall', u'Allianz Arena', u'Karlsplatz', u'Hofbrauhaus', u'Englischer Garten'], [u'Hotel Adria M\xfcnchen', u'The Neue Pinakothek', u'Olympic Stadium', u'Asam Church'], [u'Hotel Adria M\xfcnchen', u'The Alte Pinakothek', u'Dachau Concentration Camp'], [u'Visitors Terrace', u'Hotel Adria M\xfcnchen', u'Rest Der Start- Landebahn Flughafen Riem', u'Budapest Airport', u'Burg Hotel', u'Danube Promenade'], [u'Burg Hotel', u'Buda Castle', u'Cave Church', u'Freedom Bridge', u'Trinity Square', u'Gellert Hill'], [u'Burg Hotel', u'Hungarian National Gallery', u'Dohany Street Synagogue', u'City Park', u'Chain Bridge'], [u'Andrassy Avenue', u'Margaret Island', u'Calvinist Church', u'Hungarian National Museum', u'Burg Hotel', u'Budapest Airport', u'Sarajevo International Airport', u'Hotel R'], [u'Hotel R', u'Yellow Fortress', u'Historical Museum Of Bosnia And Herzegovina', u'Jewish Museum Of Bosnia And Herzegovina', u'Sacred Heart Cathedral', u'Vrelo Bosne'], [u'Hotel R', u'Sarajevo War Tunnel', u'Svrzo\\s House', u'Gallery 11-07-95', u'Bascarsija', u'Latin Bridge'], [u'Hotel R', u'Sarajevo International Airport', u'Eugene Airport']]",26 Jun 2016,"[[u'Oakland', u'Eugene'], [u'San Francisco', u'Oakland'], u'Oakland', [u'San Francisco', u'Oakland'], u'Bruges', u'Bruges', u'Bruges', [u'Ghent', u'Bruges'], u'Ghent', u'Ghent', u'Brussels', u'Brussels', u'Brussels', [u'Brussels', u'Esch-sur-alzette'], [u'Echternach', u'Bettembourg', u'Esch-sur-alzette', u'Luxemburg City'], [u'Mondorf-les-bains', u'Trier', u'Mersch', u'Manderen', u'Saarburg', u'Diekirch', u'Grevenmacher'], [u'Ettelbruck', u'Dudelange'], ' ', u'Trier', u'Trier', u'Trier', u'Trier', u'Nuremberg', u'Nuremberg', [u'Nuremberg', u'Munich'], u'Munich', u'Munich', u'Munich', [u'Budapest', u'Munich'], u'Budapest', u'Budapest', [u'Budapest', u'Siofok', u'Sarajevo'], u'Sarajevo', u'Sarajevo', [u'Sarajevo', u'Eugene']]"
26 Jun 2017,5208a83ce705459a59000000,"[[u'Bull Shoals Lake Boat Dock', u'Bull Shoals Theater Of The Arts', u'Bull Shoals Caverns', u'Bull Shoals Lake', u'Bull Shoals Dam'], [u'Price Church', u'Bible Study Chapel', u'Hilltop Mission', u'Bidwell Point', u'Gassville City Park', u'Pickers Flea Market', u'First Baptist Church']]",27 Jun 2017,"[[u'Lakeview', u'Bull Shoals'], [u'Oakland', u'Gassville']]"
