trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
02 Mar 2015,,"[[u'Sainte Chapelle', u'Arc De Triomphe', u'Towers Of Notre Dame Cathedral', u'Grand Palais'], [u'Bargello Museum And Palace', u'Piazzale Michelangelo', u'Basilica Di Santa Maria Del Fiore', u'Galleria Dellaccademia', u'Widows Palace'], [u'Ankamall Alisveris Merkezi', u'Kocatepe Mosque', u'Ankara Castle Or Citadel', u'Hamamonu Restored Area', u'Atakule Tower'], [u'Vattakottai Fort', u'Kumari Amman Temple', u'Vizhinjam Lighthouse And Beach', u'Vizhinjam Marine Aquarium', u'Kanyakumari Beach'], [u'Toitu Otago Settlers Museum', u'Larnach Castle And Gardens', u'Baldwin Street', u'Dunedin Railway Station', u'Otago Museum'], [u'Sarasota Classic Car Museum', u'Tampa Bay History Center', u'Lettuce Lake Park'], [u'MTR', u'Vidyarthi Bhavan', u'Lalbagh Botanical Garden', u'Bannergatta National Park', u'Wonderla Amusement Park']]",08 Mar 2015,"[u'Paris', [u'Pisa', u'Florence'], u'Ankara', [u'Kanyakumari', u'Kovalam'], u'Dunedin', [u'Tampa', u'Sarasota'], u'Bangalore']"
15 Aug 2015,55c80cb21aa23c04710001ed,"[[u'Catacombs Of Paris', u'Towers Of Notre Dame Cathedral', u'Eiffel Tower'], [u'Musee D Orsay', u'Arc De Triomphe'], [u'Musee De L Orangerie', u'Champs Elysees', u'River Seine'], [u'Palais Des Rois De Majorque', u'Les Massages D\\alice', u'Chateau De Salses', u'Cathedrale St-jean And Campo Santo Funeral Cloister', u'Vinochope'], [u'Jardin Exotique De La Digue Dorry', u'Fort Del Serrat D\\en Vaquer', u'Musee Des Poupees Bella', u'Eglise Saint-jacques De Perpignan', u'Le Castillet And Musee Casa Pairal'], [u'The Burghers Of Calais', u'Rue Royale', u'Casino Le Touquets', u'Cite Europe', u'Eglise Notre-dame'], [u'Calais Lighthouse', u'Calais Beach', u'Parc Richelieu', u'Musee Des Beaux Arts De Calais', u'La Crypte']]",21 Aug 2015,"Paris,Paris,Paris,Perpignan,Perpignan,Calais,Calais"
28 Feb 2015,54ea825cfbc2e57679000914,"[[u'Louvre Pyramid', u'Sacre Coeur Montmartrel', u'Sainte Chapelle'], [u'Chinnar Wildlife Sanctuary', u'Thoovanam Falls', u'Kodaikanal Lake'], [u'Pirates Cave', u'Seven Mile Beach', u'Queen Elizabeth Ii Botanic Park']]",02 Mar 2015,"[u'Paris', [u'Munnar', u'Kodaikanal'], u'George Town']"
10 Aug 2015,,"[[u'The Palais Royal', u'Disneyland', u'Towers Of Notre Dame Cathedral', u'Eiffel Tower'], [u'Grand Palais', u'Champ De Mars', u'Palais De Chaillot'], [u'Zoostation', u'Rue Nationale', u'Hotel De Ville De Tours', u'Cathedrale St-gatien', u'Musee Du Compagnonnage'], [u'Basilique Saint Martin', u'Office De Tourisme De Tours', u'Jardin Botanique De Tours'], [u'Le Petit Train Jaune', u'Chateau De Salses']]",14 Aug 2015,"Paris,Paris,Tours,Tours,Perpignan"
07 Jun 2015,54f91950fbc2e55b0b000918,"[[u'Parc De Bruxelles- National Day Celebration', u'Moof Museum', u'Musical Instruments Museum', u'Grand Place'], [u'Autoworld', u'Atomium And Mini Europe ', u'Historic Centre'], [u'Gravensteen Castle', u'Graslei And Korenlei', u'Grote Markt'], [u'Antwerp Central Station', u'Mas - Museum Aan De Stroom', u'Antwerp Zoo'], [u'Anne Frank House', u'Rijksmuseum', u'Dam Square', u'Heineken Experience', u'Stedelijk Museum'], [u'De Wallen', u'Albert Cuyp Market', u'Oude Kerk', u'Concertgebouw', u'Amsterdam Historisch Museum'], [u'Van Gogh Museum', u'Bloemenmarkt', u'Royal Palace', u'Jordaan Museum', u'Amsterdam Canals'], [u'Gedachtniskirche', u'Holocaust Memorial', u'Museum Island', u'Topography Of Terror', u'Brandenburg Gate'], [u'Unter Den Linden', u'Museum Of Applied Art'], [u'Old Town Hall', u'Bmw Headquarters And Museum', u'The Alte Pinakothek', u'Hofbrauhaus'], [u'Cathedral Of Our Lady', u'Odeonsplatz', u'Munich Residenz', u'Dachau Concentration Camp'], [u'New Town Hall', u'Viktualienmarkt', u'Englischer Garten', u'Asam Church'], [u'The Jet D Eau', u'St Peters Cathedral', u'Museum Of Art And History', u'Lake Geneva'], [u'Louvre Museum', u'Champs Elysees', u'Versailles Palace'], [u'Jardin Du Luxembourg', u'Towers Of Notre Dame Cathedral', u'Eiffel Tower']]",22 Jun 2015,"[u'Brussels', [u'Brussels', u'Bruges'], [u'Ghent', u'Antwerp'], u'Antwerp', u'Amsterdam', u'Amsterdam', u'Amsterdam', u'Berlin', u'Berlin', u'Munich', u'Munich', u'Munich', u'Geneva', u'Paris', u'Paris']"
17 Aug 2015,,"[[u'Lake Promenade', u'Lindenhof', u'St Peters Church', u'Bahnhofstrasse', u'Fraumunster'], [u'Mount Rigi', u'Engelberg Abbey', u'Lake Lucerne', u'Swiss Museum Of Transport'], [u'Staubbach Fall', u'St. Beatus Caves'], [u'Lake Geneva', u'Modern And Contemporary Art Museum Or Mamco', u'Jetee Des Paquis', u'Russian Church', u'St Peters Cathedral'], [u'Sainte Chapelle', u'Grand Palais', u'Towers Of Notre Dame Cathedral', u'Montmartre', u'Palace Of Versailles']]",21 Aug 2015,"[u'Zurich', [u'Lucerne', u'Engelberg'], [u'Interlaken', u'Lauterbrunnen'], u'Geneva', [u'Versailles', u'Paris']]"
17 Aug 2015,,"[[u'Montmartre'], [u'Cathedrale St-maurice', u'Jardin Des Plantes D Angers', u'The Plessis-bourre Castle'], [u'Zoostation', u'Jardins Des Prebendes Doe', u'Hotel De Ville De Tours', u'Cathedrale St-gatien', u'Cloister Of La Psalette']]",19 Aug 2015,"Paris,Angers,Tours"
25 Apr 2015,520dafaae705451f75000000,"[[u'Bateaux Parisiens River Cruise', u'Towers Of Notre Dame Cathedral', u'Jardin Des Tuileries', u'Eiffel Tower', u'Disneyland']]",25 Apr 2015,Paris
26 Sep 2015,,"[[u'Eiffel Tower', u'Towers Of Notre Dame Cathedral'], [u'Louvre Museum'], [u'Musee Fragonard', u'Rue Meynadier And Marche Forville', u'Le Suquet', u'Promenade De La Croisette']]",28 Sep 2015,"Paris,Paris,Cannes"
17 Feb 2016,56bd979a8f4719153c000f4f,"[[u'River Seine', u'Musee D Orsay']]",18 Feb 2016,Paris
