trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
03 Mar 2017,520dafaae705451f75000000,"[[u'Cosmopolitan Hotel', u'Sushi Tadokoro', u'Old Towns Fashion Valley Shopping Center', u'Buon Appetito', u'Maritime Museum Of San Diego', u'Disneyland Park'], [u'Cosmopolitan Hotel', u'Devine Pastabilities, Torpasta', u'Uss Midway Museum', u'Seasons 52', u'Balboa Park', u'Mission Beach', u'The Baked Bear'], [u'Cosmopolitan Hotel', u'Phils BBQ', u'The New Childrens Museum', u'Richard Walkers Pancake House', u'San Diego Zoo', u'Heritage Park Victorian Village']]",05 Mar 2017,"San Diego,San Diego,San Diego"
22 Mar 2015,,"[[u'San Diego Zoo'], [u'Mission Beach'], [u'Torrey Pines State Natural Reserve'], [u'Balboa Park'], [u'Maritime Museum Of San Diego']]",26 Mar 2015,"San Diego,San Diego,San Diego,San Diego,San Diego"
12 May 2017,520dafaae705451f75000000,"[[u'Cosmopolitan Hotel', u'Devine Pastabilities, Torpasta', u'Old Town San Diego', u'Heritage Park Victorian Village', u'Old Towns Fashion Valley Shopping Center', u'Plumeria Vegetarian Restaurant', u'Uss Midway Museum'], [u'Cosmopolitan Hotel', u'Sushi Tadokoro', u'San Diego Zoo', u'The New Childrens Museum', u'Seasons 52', u'Gaslamp Quarter', u'Balboa Park', u'Mission Beach'], [u'Cosmopolitan Hotel', u'Phils BBQ', u'Seaworld San Diego', u'Uss Midway Museum', u'Buon Appetito', u'Gaslamp Quarter', u'Old Globe Theatre'], [u'Cosmopolitan Hotel', u'Venissimo Cheese - Mission Hills', u'Coronado Island', u'Seaport Village', u'Flemings Prime Steakhouse and Wine Bar', u'Disneyland Park'], [u'Cosmopolitan Hotel', u'Tender Greens', u'Mt. Soledad Cross', u'Birch Aquarium At Scripps', u'Burger Lounge', u'Mission Basilica San Diego De Alcala', u'Reuben H Fleet Science Center', u'Hotel Del Coronado'], [u'Cosmopolitan Hotel', u'Snooze, an A.M. Eatery', u'Torrey Pines Golf Course', u'Fort Rosecrans Cemetery', u'The 3rd Corner', u'Sunset Cliffs Natural Park'], [u'Cosmopolitan Hotel', u'Hash House a Go Go', u'Old Point Loma Lighthouse And Cabrillo National Monument', u'Maritime Museum Of San Diego', u'Richard Walkers Pancake House', u'Torrey Pines State Natural Reserve']]",18 May 2017,"San Diego,San Diego,San Diego,San Diego,San Diego,San Diego,San Diego"
17 Feb 2017,520dafaae705451f75000000,"[[u'Bertrand at Mister As', u'Balboa Park', u'Maritime Museum Of San Diego', u'Buon Appetito', u'Gaslamp Quarter', u'Disneyland Park'], [u'Mission Beach', u'Maritime Museum Of San Diego', u'Cafe Zucchero', u'Coronado Island', u'Old Towns Fashion Valley Shopping Center'], [u'Bankers Hill Bar and Restaurant', u'Seaworld San Diego', u'Old Globe Theatre', u'PARMA - Cucina Italiana', u'Heritage Park Victorian Village'], [u'Bencotto', u'Torrey Pines Golf Course', u'Mt. Soledad Cross', u'Enoteca Adriano', u'Seaport Village', u'San Diego Zoo']]",20 Feb 2017,"San Diego,San Diego,San Diego,San Diego"
07 Feb 2014,56e1b3bd6ad56d153b000461,"[[u'Red Rock Canyon National Conservation Area', u'Ethel M Chocolate Factory', u'Eiffel Tower Experience', u'Bellagio Gallery Of Fine Art', u'Town Square', u'Fountains Of Bellagio'], [u'Hoover Dam', u'Lake Mead National Recreation Area', u'Chapel Of The Flowers', u'Stratosphere Casino, Hotel And Tower', u'Adventuredome', u'Fremont Street'], [u'Old Point Loma Lighthouse And Cabrillo National Monument', u'Seaworld San Diego', u'Mission Beach', u'San Diego Zoo', u'Balboa Park', u'Gaslamp Quarter'], [u'Los Angeles Zoo', u'Hollywood Walk Of Fame', u'Hollywood And Highland Center', u'Universal Studios', u'Beverly Hills', u'Sunset Boulevard'], [u'Disneyland', u'Hollywood Wax Museum', u'Santa Monica Pier'], [u'Golden Gate Bridge', u'Lombard Street', u'Pier 39', u'Saint Marys Cathedral', u'Alamo Square', u'Japanese Tea Garden', u'Bay Bridge'], [u'Transamerica Pyramid', u'Alcatraz Island', u'Coit Tower', u'San Francisco Cable Car Museum', u'Japan Town', u'Chinatown']]",13 Feb 2014,"Las Vegas,Las Vegas,San Diego,Los Angeles,Los Angeles,San Francisco,San Francisco"
09 Apr 2017,,"[[u'Santa Monica Beach', u'Viper Room', u'Santa Monica Mountains', u'The J Paul Getty Centre', u'Cleo'], [u'26 Mile Bike Path', u'Angel Stadium Of Anaheim', u'California Science Center', u'The Grammy Museum', u'Honda Centre'], [u'Mission Beach', u'San Diego Zoo', u'Seaworld San Diego', u'Balboa Park'], [u'Birch Aquarium At Scripps', u'Maritime Museum Of San Diego', u'Old Point Loma Lighthouse And Cabrillo National Monument', u'Gaslamp Quarter'], [u'Legoland', u'Disneyland Park'], [u'Fort Rosecrans Cemetery', u'Uss Midway Museum', u'Museum Of Contemporary Art San Diego', u'Coronado Island'], [u'The New Childrens Museum', u'Torrey Pines State Natural Reserve', u'Heritage Park Victorian Village', u'Reuben H Fleet Science Center'], [u'Mission Basilica San Diego De Alcala', u'Torrey Pines Golf Course', u'Old Towns Fashion Valley Shopping Center', u'Old Globe Theatre', u'Hotel Del Coronado'], [u'Golden Gate Bridge', u'Cathedral Basilica Of St. Joseph', u'The Tech Museum Of Innovation'], [u'San Francisco Cable Car Museum', u'San Jose Museum Of Art', u'Muir Woods National Monument', u'Alcatraz Island'], [u'Lombard Street', u'Raging Waters', u'Coit Tower'], [u'Transamerica Pyramid', u'Ferry Building', u'Golden Gate Park'], [u'Ethel M Chocolate Factory', u'Eiffel Tower Experience', u'Red Rock Canyon National Conservation Area'], [u'Chapel Of The Flowers', u'Hoover Dam', u'Adventuredome'], [u'Lincoln Park Zoo', u'Millennium Park'], [u'Cloud Gate', u'The Art Institute Of Chicago'], [u'Field Museum Of Natural History', u'Buckingham Fountain'], [u'Museum Of Science And Industry', u'Navy Pier'], [u'Wrigley Field', u'John Hancock Center', u'Shedd Aquarium'], [u'Holy Name Cathedral', u'Marina City']]",28 Apr 2017,"[[u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles', u'Anaheim'], u'San Diego', u'San Diego', u'San Diego', u'San Diego', u'San Diego', u'San Diego', [u'San Jose', u'San Francisco'], [u'San Jose', u'San Francisco'], [u'San Jose', u'San Francisco'], u'San Francisco', u'Las Vegas', u'Las Vegas', u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Chicago']"
10 Apr 2015,,"[[u'The Grove', u'Santa Monica Pier', u'3rd Street Promenade'], [u'Disneyland', u'Universal Studios'], [u'Beverly Hills', u'Rodeo Drive', u'The Last Bookstore', u'Gaslamp Quarter'], [u'San Diego Zoo', u'Balboa Park', u'Coronado Island', u'Hotel Del Coronado'], [u'Legoland', u'Mission Beach'], [u'Mission Basilica San Diego De Alcala', u'Reuben H Fleet Science Center', u'Torrey Pines State Natural Reserve']]",18 Apr 2015,"[u'Los Angeles', u'Los Angeles', [u'Los Angeles', u'San Diego'], u'San Diego', u'San Diego', u'San Diego']"
01 May 2015,,"[[u'Santa Monica Beach', u'Viper Room', u'Santa Monica Mountains', u'The J Paul Getty Centre', u'Cleo'], [u'Angel Stadium Of Anaheim', u'Griffith Park', u'The Grammy Museum'], [u'26 Mile Bike Path', u'Aqua Surf School', u'Honda Centre', u'Hollywood Bowl', u'Tacos Punta Cabras Restaurant'], [u'Bergamot Station', u'The Misfit Restaurant And Bar', u'Santa Monica Looff Hippodrome'], [u'Ethel M Chocolate Factory', u'Battlefield Vegas', u'Hoover Dam', u'Fountains Of Bellagio', u'Beatleshow Orchestra'], [u'Adventuredome', u'The Strip'], [u'Chapel Of The Flowers', u'Stratosphere Casino, Hotel And Tower', u'Fremont Street'], [u'Eiffel Tower Experience', u'Grand Canyon National Park'], [u'SeaWorld', u'Walt Disney World'], [u'Gatorland', u'Universal Orlando'], [u'Castillo De San Marcos', u'Orlando Science Center', u'Wet N Wild'], [u'Mary Queen Of The Universe', u'Kennedy Space Center'], [u'Lombard Street', u'California Palace Of The Legion Of Honor', u'Nob Hill'], [u'Coit Tower', u'Golden Gate Park', u'Alamo Square'], [u'Ferry Building', u'Japan Town', u'Alcatraz Island'], [u'Golden Gate Bridge', u'Chinatown', u'San Francisco Cable Car Museum'], [u'Mission Beach', u'Disneyland Park', u'Seaworld San Diego'], [u'Balboa Park', u'Gaslamp Quarter', u'Sunset Cliffs Natural Park'], [u'Maritime Museum Of San Diego', u'Seaport Village', u'Old Town San Diego'], [u'San Diego Zoo', u'Old Towns Fashion Valley Shopping Center', u'Old Globe Theatre', u'Hotel Del Coronado', u'Mt. Soledad Cross']]",20 May 2015,"[[u'Santa Monica', u'Los Angeles'], [u'Anaheim', u'Los Angeles'], [u'Santa Monica', u'Los Angeles', u'Anaheim'], u'Santa Monica', u'Las Vegas', u'Las Vegas', u'Las Vegas', u'Las Vegas', u'Orlando', u'Orlando', u'Orlando', u'Orlando', u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'San Diego', u'San Diego', u'San Diego', u'San Diego']"
22 Sep 2015,,"[[u'Salt Lake Temple', u'Temple Square', u'City Creek Center', u'Tabernacle Organ Recitals'], [u'Liberty Park', u'Joseph Smith Memorial Building', u'Clark Planetarium', u'The Gateway'], [u'Cathedral Of Madeleine', u'Antelope Island State Park', u'Salt Lake City Public Library', u'Red Butte Garden'], [u'Bellagio Gallery Of Fine Art', u'Eiffel Tower Experience'], [u'Battlefield Vegas', u'Shark Reef At Mandalay Bay', u'The Neon Museum', u'Fremont Street', u'Fountains Of Bellagio'], [u'Vegas Indoor Skydiving', u'Chapel Of The Flowers', u'The Strip'], [u'Santa Monica Beach', u'Pacific Park'], [u'26 Mile Bike Path', u'Santa Monica Pier', u'The Misfit Restaurant And Bar', u'Cleo'], [u'The Grammy Museum', u'Griffith Park'], [u'San Diego Zoo', u'Seaworld San Diego', u'Balboa Park', u'Gaslamp Quarter'], [u'Old Towns Fashion Valley Shopping Center', u'Torrey Pines State Natural Reserve', u'Disneyland Park'], [u'Mission Beach', u'Sunset Cliffs Natural Park', u'Museum Of Contemporary Art San Diego', u'Maritime Museum Of San Diego', u'Mt. Soledad Cross'], [u'Denver Zoo', u'Chamberlin Observatory And Observatory Park'], [u'Denver Botanic Gardens'], [u'Denver Museum Of Nature And Science', u'Denver Art Museum']]",06 Oct 2015,"[u'Salt Lake City', u'Salt Lake City', u'Salt Lake City', u'Las Vegas', u'Las Vegas', u'Las Vegas', u'Santa Monica', [u'Santa Monica', u'Los Angeles'], u'Los Angeles', u'San Diego', u'San Diego', u'San Diego', u'Denver', u'Denver', u'Denver']"
15 Mar 2016,,"[[u'Stanley Park', u'Queen Elizabeth Park', u'Vancouver Aquarium', u'Granville Island', u'Robson Street'], [u'Science World', u'Capilano Suspension Bridge', u'Vancouver Lookout', u'Orpheum Theatre', u'Spanish Banks'], [u'Grouse Mountain', u'Museum Of Anthropology', u'Jericho Beach', u'Gastown Vancouver'], [u'Seattle Ferry', u'The Seattle Waterfront Or Central Waterfront', u'Seattle Waterfall Garden', u'Pike Place Market', u'Sky View Observatory'], [u'Seattle Aquarium', u'Seattle Public Library', u'Pacific Science Center', u'Ye Olde Curiosity Shop', u'Myrtle Edwards Park'], [u'Saint James Cathedral', u'Seattle Art Museum', u'Chihuly Garden And Glass', u'Pacific Place', u'Argosy Cruises'], [u'Columbia River Gorge National Scenic Area', u'Portland Japanese Garden', u'International Rose Test Garden'], [u'Willamette Valley', u'Oneonta Gorge'], [u'Forest Park', u'Pearl District'], [u'Golden Gate Bridge', u'Alcatraz Island', u'San Francisco Cable Car Museum'], [u'Ferry Building', u'555 California Street', u'Baker Beach'], [u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Balboa Park', u'Uss Midway Museum', u'Gaslamp Quarter'], [u'Old Towns Fashion Valley Shopping Center', u'Maritime Museum Of San Diego', u'Legoland']]",29 Mar 2016,"[u'Vancouver', u'Vancouver', u'Vancouver', u'Seattle', u'Seattle', u'Seattle', u'Portland', u'Portland', u'Portland', u'San Francisco', u'San Francisco', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'San Diego', u'San Diego']"
