trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
06 Sep 2015,,"[[u'Statue Of Liberty', u'National 9-11 Memorial Museum', u'The Metropolitan Museum Of Art', u'The High Line', u'Broadway and W 44th St'], [u'Grand Central Terminal', u'154 Columbus Ave', u'Brooklyn Industries', u'American Museum Of Natural History', u'Ground Zero'], [u'Ellis Island', u'Museum Of Modern Art', u'Fanaberie', u'Bridge Gallery'], [u'Empire State Building', u'Solomon R Guggenheim Museum', u'Bronx Zoo'], [u'Magnificent Mile', u'Buckingham Fountain'], [u'Wrigley Building', u'Navy Pier'], [u'Oak Street Beach', u'Wrigley Field', u'Millennium Park'], [u'Cloud Gate', u'Chinatown'], [u'Seattle Ferry', u'Woodland Park Zoo', u'Seattle Aquarium', u'Space Needle'], [u'Pike Place Market', u'Discovery Park', u'Seattle Great Wheel', u'Seattle Waterfall Garden', u'Green Lake Park'], [u'Alki Beach And Alki Beach Park', u'The Seattle Waterfront Or Central Waterfront', u'Saint James Cathedral', u'Argosy Cruises', u'Cowgirls'], [u'Lake Union', u'Golden Gardens Park', u'Benaroya Hall', u'Century Link Field', u'Myrtle Edwards Park'], [u'Tahoe Trout Farm', u'Pope Beach', u'Vikingsholm'], [u'Thomas F Regan Memorial Park', u'Van Sickle Bi-state Park'], [u'Tallac Historic Site'], [u'Hollywood Cafe', u'Winchester Mystery House', u'Marin Headlands', u'The Walt Disney Family Museum'], [u'Cathedral Basilica Of St. Joseph', u'The Tech Museum Of Innovation', u'North Beach'], [u'San Francisco Cable Car Museum', u'555 California Street', u'California Academy Of Sciences']]",23 Sep 2015,"[[u'New York City', u'New York'], [u'New York City', u'New York'], u'New York City', u'New York City', u'Chicago', u'Chicago', u'Chicago', u'Chicago', u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'South Lake Tahoe', u'South Lake Tahoe', u'South Lake Tahoe', [u'San Jose', u'San Francisco'], [u'San Jose', u'San Francisco'], u'San Francisco']"
24 Mar 2015,,"[[u'Seattle Ferry', u'Pioneer Square', u'Ye Olde Curiosity Shop', u'Seattle Art Museum', u'Seattle Great Wheel'], [u'Washington Park Arboretum', u'Woodland Park Zoo', u'Chihuly Garden And Glass', u'Seattle Aquarium'], [u'Seattle Waterfall Garden', u'Olympic Sculpture Park', u'Pike Place Market', u'Emp Museum', u'Pacific Science Center'], [u'Fenway Park', u'New England Aquarium', u'Freedom Trail'], [u'Public Botanical Garden', u'Quincy Market', u'Copley Square', u'John Hancock Tower'], [u'Prudential Center', u'The Museum Of Fine Arts', u'Back Bay', u'Rowes Wharf'], [u'Samuel Adams Brewery', u'South End', u'The Marriott Boston Custom House', u'Charles River Esplanade'], [u'Massachusetts State House', u'Faneuil Hall', u'Massachusetts Institute Of Technology', u'Boston Common'], [u'Boston Duck Tours', u'USS Constitution Museum', u'The First Church Of Christ, Scientist', u'Trinity Church'], [u'Sixth Floor Museum, Dealey Plaza', u'The Dallas World Aquarium'], [u'Dallas Arboretum And Botanical Gardens', u'John F. Kennedy Memorial'], [u'Dallas Zoo', u'Klyde Warren Park'], [u'Reunion Tower', u'Dallas Museum Of Art'], [u'Pioneer Plaza', u'George W. Bush Presidential Library And Museum'], [u'Dallas Heritage Village', u'Dealey Plaza, Grassy Knoll, National Historic Landmark District'], [u'Meadows Museum Of Art', u'Morton H. Meyerson Symphony Center']]",10 Apr 2015,"Seattle,Seattle,Seattle,Boston,Boston,Boston,Boston,Boston,Boston,Dallas,Dallas,Dallas,Dallas,Dallas,Dallas,Dallas"
20 May 2016,,"[[u'St. Louis Cathedral', u'Mardi Gras World Or Festival', u'Jackson Square', u'City Park', u'Lake Pontchartrain'], [u'Audubon Aquarium Of The Americas', u'French Quarter', u'Mercedes Benz Superdome', u'Voodoo Spiritual Temple', u'Angelo Brocato Ice Cream'], [u'Woldenberg Riverfront Park', u'New Orleans Botanical Garden', u'Audubon Butterfly Garden And Insectarium', u'The Sydney And Waldabesthoff Sculpture Garden', u'1850 House'], [u'State Capitol', u'Bob Bullock Texas State History Museum', u'Austin Bats', u'Mount Bonnell'], [u'Westcave Preserve', u'Austin Zoo', u'McKinney Falls State Park', u'The Driskill'], [u'Texas Military Forces Museum', u'Natural Bridge Caverns', u'Umlauf Sculpture Garden And Museum'], [u'Petroglyph National Monument', u'Old Town Albuquerque'], [u'Albuquerque Bio Park', u'New Mexico Museum Of Natural History And Science', u'Sandia Peak Tramway'], [u'San Felipe De Neri Church', u'National Hispanic Cultural Center', u'Indian Pueblo Cultural Center', u'The National Museum Of Nuclear Science And History'], [u'South Mountain Park', u'Desert Bontanical Garden'], [u'Childrens Museum Of Phoenix', u'Phoenix Art Museum'], [u'Encanto Park', u'Arizona Science Center'], [u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Lombard Street', u'San Francisco Cable Car Museum', u'Exploratorium', u'House Of Air'], [u'California Academy Of Sciences', u'Union Square'], [u'Columbia River Gorge National Scenic Area', u'Portland Japanese Garden', u'International Rose Test Garden'], [u'Willamette Valley', u'Oneonta Gorge'], [u'Ye Olde Curiosity Shop', u'Emp Museum', u'Pacific Science Center', u'Seattle Center', u'918 E John St'], [u'Woodland Park Zoo', u'Bill And Melinda Gates Foundation Visitor Centre', u'Space Needle', u'Pioneer Square']]",08 Jun 2016,"[u'New Orleans', u'New Orleans', u'New Orleans', u'Austin', u'Austin', [u'San Antonio', u'Austin'], u'Albuquerque', u'Albuquerque', u'Albuquerque', u'Phoenix', u'Phoenix', u'Phoenix', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'San Francisco', u'San Francisco', u'Portland', u'Portland', u'Seattle', u'Seattle']"
01 May 2016,,"[[u'South Beach', u'Coral Castle', u'Freedom Tower'], [u'Vizcaya Musuem And Gardens', u'Dolphin Mall'], [u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Ethel M Chocolate Factory', u'Battlefield Vegas', u'Hoover Dam', u'Fountains Of Bellagio', u'Beatleshow Orchestra'], [u'Red Rock Canyon National Conservation Area', u'Eiffel Tower Experience'], [u'Japanese Tea Garden', u'California Palace Of The Legion Of Honor', u'Golden Gate Park'], [u'Golden Gate Bridge', u'Lombard Street', u'San Francisco Cable Car Museum', u'Sutro Baths Ruins'], [u'Sky View Observatory', u'Woodland Park Zoo', u'Seattle Aquarium', u'Seattle Great Wheel'], [u'Paramount Theatre', u'Seattle Waterfall Garden', u'Benaroya Hall', u'Space Needle', u'Pacific Place'], [u'Almaden Quicksilver County Park', u'Alum Rock Park', u'San Jose Heritage Rose Garden', u'California Theatre', u'Guadalupe River Park And Gardens'], [u'Los Gatos Creek Trail', u'Cinnabar Hills Golf Club', u'San Jose Museum Of Art', u'Cathedral Basilica Of St. Joseph'], [u'Gateway Arch', u'Saint Louis Art Museum', u'Jefferson National Expansion Memorial Park'], [u'Saint Louis Science Center', u'Saint Louis Zoo', u'Museum Of Westward Expansion', u'Gateway Arch Riverboats'], [u'White House', u'Lincoln Memorial', u'National Gallery Of Art', u'Washington Monument', u'National Air And Space Museum'], [u'United States Capitol', u'National Museum Of Natural History', u'Fords Theatre', u'Iwo Jima Memorial'], [u'Flagler College', u'Old City', u'St Augustine Lighthouse And Museum', u'Dow Museum Of Historic Houses', u'Whetstone Chocolate Factory'], [u'Castillo De San Marcos', u'Fort Mose', u'Castillo De San Marcos', u'St. Augustine Amphitheatre', u'Oldest Wooden Schoolhouse'], [u'Fort Harrison State Park', u'Childrens Museum Of Indianapolis', u'Indiana Museum Of Art'], [u'Lucas Oil Stadium', u'Monument Circle']]",20 May 2016,"[u'Miami', u'Miami', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'Las Vegas', u'Las Vegas', u'San Francisco', u'San Francisco', u'Seattle', u'Seattle', u'San Jose', u'San Jose', u'Saint Louis', u'Saint Louis', u'Washington D. C.', u'Washington D. C.', u'St Augustine', [u'St Augustine', u'Orlando'], u'Indianapolis', u'Indianapolis']"
02 Apr 2015,,"[[u'Woodland Park Zoo', u'Pike Place Market', u'Hiram M. Chittenden Locks', u'Seattle Public Library'], [u'Chihuly Garden And Glass', u'Sky View Observatory', u'Seattle Aquarium', u'Benaroya Hall', u'Space Needle'], [u'Bruce Lee Grave Site', u'Klondike Gold Rush National Historical Park', u'Seattle Waterfall Garden', u'Seattle Great Wheel', u'Kerry Park'], [u'Golden Gardens Park', u'The Gum Wall', u'Key Arena', u'Centre For Wooden Boats', u'Seattle Art Museum'], [u'Century Link Field', u'Fremont Troll', u'Ye Olde Curiosity Shop', u'Pacific Place', u'Green Lake Park'], [u'Saint James Cathedral', u'Discovery Park', u'The Seattle Waterfront Or Central Waterfront', u'Argosy Cruises', u'Seattle Pinball Museum'], [u'Alki Beach And Alki Beach Park', u'Lake Union', u'Queen Anne Hill', u'Museum Of History And Industry'], [u'Magnuson Park', u'Myrtle Edwards Park', u'Cowgirls', u'Wing Luke Museum', u'74th Street Ale House'], [u'Edmonds Underwater Park', u'Gas Works Park', u'Pacific Science Center', u'Mccaw Hall'], [u'Woodland Park', u'Lake Union Park', u'Olympic Sculpture Park', u'Smith Tower', u'Full Tilt'], [u'Kubota Garden', u'Volunteer Park', u'Emp Museum', u'Bill And Melinda Gates Foundation Visitor Centre', u'The Museum Of Flight']]",12 Apr 2015,"Seattle,Seattle,Seattle,Seattle,Seattle,Seattle,Seattle,Seattle,Seattle,Seattle,Seattle"
29 Jun 2015,,"[[u'Lake Minnewanka', u'The Calgary Zoo'], [u'Calgary Stampede Park', u'Calgary Tower'], [u'Heritage Park Historical Village', u'Prince\\s Island Park'], [u'Stanley Park', u'Inner Harbour', u'Butchart Gardens', u'Queen Elizabeth Park'], [u'Orpheum Theatre', u'Lower Johnson Street', u'Royal British Columbia Museum', u'Vancouver Lookout', u'Vancouver Aquarium'], [u'Beacon Hill Park', u'Grouse Mountain', u'Fort Rodd Hill And Fisgard Lighthouse', u'Victoria Bug Zoo', u'Capilano Suspension Bridge'], [u'Government Street', u'Museum Of Anthropology', u'Granville Island', u'Bastion Square Public Market'], [u'Science World', u'British Columbia Legislature Building', u'Chinatown', u'Victoria Butterfly Gardens', u'Spanish Banks'], [u'Seattle Ferry', u'Pioneer Square', u'Seattle Aquarium', u'Benaroya Hall', u'Seattle Great Wheel'], [u'Washington Park Arboretum', u'Green Lake Park', u'Pike Place Market', u'Woodland Park Zoo'], [u'Seattle Waterfall Garden', u'Olympic Sculpture Park', u'Myrtle Edwards Park', u'Space Needle', u'Seattle Art Museum'], [u'Saint James Cathedral', u'The Seattle Waterfront Or Central Waterfront', u'Kerry Park', u'Chihuly Garden And Glass', u'The Museum Of Flight'], [u'Gas Works Park', u'The Gum Wall', u'Discovery Park', u'Wing Luke Museum', u'Key Arena']]",13 Jul 2015,"[[u'Calgary', u'Banff'], u'Calgary', u'Calgary', [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria'], u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'Seattle']"
18 Jul 2015,5578820afbc2e54211000402,"[[u'White House', u'United States Capitol', u'Washington National Cathedral', u'Washington Monument', u'Lincoln Memorial'], [u'Pentagon', u'National Gallery Of Art', u'International Spy Museum', u'Fords Theatre', u'Iwo Jima Memorial'], [u'Black History Museum And Cultural Center Of Virginia', u'St. Johns Episcopal Church', u'Maymont Park', u'Lewis Ginter Botanical Gardens', u'Monument Avenue'], [u'Richmond National Battlefield Park', u'Busch Gardens', u'Childrens Museum Of Richmond'], [u'The Museum And White House Of The Confederacy', u'Richmond Slave Trail', u'Valentine Richmond History Center'], [u'Zoo Atlanta', u'Georgia Aquarium'], [u'World Of Coca Cola', u'Atlanta History Center'], [u'The Fox Theatre', u'Fernbank Museum Of Natural History', u'Atlanta Botanical Garden'], [u'Martin Luther King Jr. National Historic Site', u'Jimmy Carter Library And Museum', u'Oakland Cemetery'], [u'Michael C. Carlos Museum', u'Inside CNN Studio Tour', u'Atlanta Cyclorama And Civil War Museum'], [u'Denver Zoo', u'Chamberlin Observatory And Observatory Park'], [u'United States Mint', u'Barr Lake State Park', u'Molly Brown House Museum'], [u'Colorado State Capitol', u'Denver Museum Of Nature And Science'], [u'Salt Lake Temple', u'Capitol Building', u'Temple Square', u'Natural History Museum Of Utah'], [u'Utahs Hogle Zoo', u'Liberty Park', u'Mormon Tabernacle Choir'], [u'Lds Conference Centre', u'The Tracy Aviary', u'Salt Lake City Public Library'], [u'This Is The Place Heritage Park', u'Joseph Smith Memorial Building', u'Family History Library', u'Red Butte Garden'], [u'Seattle Ferry', u'Pike Place Market', u'Woodland Park Zoo', u'Space Needle'], [u'Seattle Waterfall Garden', u'The Museum Of Flight', u'Wing Luke Museum', u'Seattle Art Museum', u'Seattle Great Wheel'], [u'Pacific Science Center', u'Seattle Aquarium', u'Argosy Cruises', u'Benaroya Hall', u'The Seattle Waterfront Or Central Waterfront']]",06 Aug 2015,"[u'Washington D. C.', u'Washington D. C.', [u'Richmond', u'Virginia Beach'], [u'Richmond', u'Virginia Beach'], u'Richmond', u'Atlanta', u'Atlanta', u'Atlanta', u'Atlanta', u'Atlanta', u'Denver', u'Denver', u'Denver', u'Salt Lake City', u'Salt Lake City', u'Salt Lake City', u'Salt Lake City', u'Seattle', u'Seattle', u'Seattle']"
08 May 2015,,"[[u'Woodland Park Zoo', u'Pike Place Market', u'Hiram M. Chittenden Locks', u'Seattle Public Library'], [u'Seattle Aquarium', u'Sky View Observatory', u'Space Needle', u'Benaroya Hall', u'Green Lake Park'], [u'Seattle Waterfall Garden', u'Bruce Lee Grave Site', u'Klondike Gold Rush National Historical Park', u'Seattle Great Wheel', u'Seattle Pinball Museum'], [u'Lake Union', u'The Gum Wall', u'Century Link Field', u'Centre For Wooden Boats', u'Key Arena'], [u'Fremont Troll', u'Discovery Park', u'Pacific Place', u'Argosy Cruises', u'Ye Olde Curiosity Shop'], [u'Saint James Cathedral', u'The Seattle Waterfront Or Central Waterfront', u'Queen Anne Hill', u'Museum Of History And Industry', u'74th Street Ale House'], [u'Alki Beach And Alki Beach Park', u'Magnuson Park', u'Mccaw Hall', u'Wing Luke Museum', u'Cowgirls'], [u'Woodland Park', u'Edmonds Underwater Park', u'Pacific Science Center', u'Myrtle Edwards Park'], [u'Gas Works Park', u'Volunteer Park', u'Lake Union Park', u'Smith Tower', u'Full Tilt'], [u'Living Computer Museum', u'Henry Art Gallery', u'Seattle Art Museum', u'The Museum Of Flight', u'Olympic Sculpture Park'], [u'Kubota Garden', u'Washington Park Arboretum', u'Seattle Childrens Museum'], [u'Pioneer Square', u'Chihuly Garden And Glass', u'Emp Museum', u'Bill And Melinda Gates Foundation Visitor Centre', u'Frye Art Museum'], [u'Seattle Ferry', u'Kerry Park', u'Paramount Theatre'], [u'Burke Museum Of Natural History And Culture', u'Golden Gardens Park'], [u'Hollywood Cafe', u'Winchester Mystery House', u'Marin Headlands', u'The Walt Disney Family Museum'], [u'Cathedral Basilica Of St. Joseph', u'The Tech Museum Of Innovation', u'North Beach'], [u'San Francisco Cable Car Museum', u'555 California Street', u'California Academy Of Sciences']]",24 May 2015,"[u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'Seattle', [u'San Jose', u'San Francisco'], [u'San Jose', u'San Francisco'], u'San Francisco']"
25 Jun 2015,,"[[u'Desert Bontanical Garden', u'Musical Instrument Museum'], [u'Phoenix Art Museum', u'Phoenix Zoo'], [u'Papago Park', u'Heard Museum'], [u'Childrens Museum Of Phoenix', u'South Mountain Park'], [u'Mystery Castle', u'Arizona Science Center'], [u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Hollywood Bowl', u'Griffith Park'], [u'Aqua Surf School', u'Runyon Canyon Park', u'The Griffith Observatory'], [u'Palisades Park', u'The Los Angeles Music Center', u'Santa Monica Museum Of Art', u'The Misfit Restaurant And Bar'], [u'Haight Ashbury', u'The Walt Disney Family Museum', u'Alamo Square'], [u'Saint Marys Cathedral', u'Union Square', u'San Francisco Cable Car Museum'], [u'Pier 39', u'Ferry Building', u'Aquarium Of The Bay'], [u'Japanese Tea Garden', u'California Palace Of The Legion Of Honor', u'Fishermans Wharf'], [u'Seattle Ferry', u'Woodland Park Zoo', u'Seattle Aquarium', u'Space Needle'], [u'Pike Place Market', u'Discovery Park', u'Seattle Great Wheel', u'Seattle Waterfall Garden', u'Green Lake Park'], [u'Alki Beach And Alki Beach Park', u'The Seattle Waterfront Or Central Waterfront', u'Saint James Cathedral', u'Argosy Cruises', u'Cowgirls'], [u'Lake Union', u'Golden Gardens Park', u'Smith Tower', u'Myrtle Edwards Park', u'Benaroya Hall']]",12 Jul 2015,"[u'Phoenix', u'Phoenix', u'Phoenix', u'Phoenix', u'Phoenix', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'Los Angeles', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', u'Seattle', u'Seattle', u'Seattle', u'Seattle']"
04 Sep 2016,,"[[u'Space Needle', u'Seattle Ferry', u'Seattle Waterfall Garden', u'The Museum Of Flight'], [u'Grand Canyon Of Yellowstone', u'Old Faithful', u'Mammoth Hot Springs'], [u'Heritage Park Historical Village', u'Prince\\s Island Park', u'The Military Museums', u'Fort Calgary Historic Park'], [u'Devonian Gardens', u'Aero Space Museum Of Calgary', u'Telus Spark'], [u'Saskatchewan Science Centre', u'Holy Rosary Cathedral'], [u'Manitoba Museum', u'Winnipeg Art Gallery', u'Royal Canadian Mint', u'St. Boniface Museum And Cathedral'], [u'Winnipeg Railway Museum', u'Kildonan Park', u'Leo Mol Sculpture Garden', u'Manitoba Planetarium And Science Gallery'], [u'Minneapolis Institute Of Arts', u'Minneapolis Sculpture Garden', u'Minneapolis Skyway System'], [u'Eloise Butler Wildflower Garden', u'The Salt Cave', u'Loring Park'], [u'Hiawatha Line'], [u'The Temple For Performing Arts', u'Iowa State Capitol'], [u'Iowa State Fair'], [u'Cloud Gate', u'Navy Pier', u'Millennium Park'], [u'Lake Michigan', u'The Art Institute Of Chicago', u'Museum Of Science And Industry'], [u'C N Tower', u'Royal Ontario Museum', u'Distillery District'], [u'Ontario Science Centre', u'Centreville Amusement Park', u'Toronto Eaton Centre'], [u'Centre Island', u'St. Michael\\s Cathedral', u'Casa Loma'], [u'Washington Monument', u'Lincoln Memorial', u'National Air And Space Museum', u'World War I I Memorial'], [u'Thomas Jefferson Memorial', u'Washington National Cathedral', u'International Spy Museum', u'Iwo Jima Memorial', u'United States Holocaust Memorial Museum'], [u'National Museum Of The American Indian', u'Newseum']]",23 Sep 2016,"[u'Seattle', u'Yellowstone National Park', u'Calgary', u'Calgary', u'Regina', u'Winnipeg', u'Winnipeg', u'Minneapolis', u'Minneapolis', u'Minneapolis', u'Des Moines', ' ', u'Chicago', u'Chicago', u'Toronto', u'Toronto', [u'Toronto', u'Bridgetown'], u'Washington D. C.', u'Washington D. C.', u'Washington D. C.']"
