trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
27 May 2015,,"[[u'Sydney Opera House', u'Sydney Tower'], [u'Museum Of Sydney', u'Sydney Harbour Bridge'], [u'The Rocks'], [u'Bondi Beach', u'Watsons Bay', u'Sydney The Gap'], [u'Blue Mountains', u'Fort Denison'], [u'Luna Park Sydney', u'Manly Ferry'], [u'Wildlife Habitat Port Douglas', u'Great Barrier Reef'], [u'Four Mile Beach', u'Cairns Museum'], [u'Kuranda Scenic Railway', u'St Marys By The Sea', u'Daintree Rainforest National Park'], [u'Sunday Market', u'Bally Hooley Steam Railway', u'Undara Volcanic National Park'], [u'Court House Museum', u'Tjapukai Aboriginal Cultural Park', u'Cairns Tropical Zoo'], [u'Opal Reef', u'The Reef Marina'], [u'Cairns Regional Gallery', u'Tank Arts Centre', u'The Esplanade'], [u'Ayers Rock', u'The Cultural Centre'], [u'Kata Tjuta', u'Sounds Of Silence Dinner']]",12 Jun 2015,"[u'Sydney', u'Sydney', u'Sydney', u'Sydney', u'Sydney', u'Sydney', [u'Port Douglas', u'Cairns'], [u'Port Douglas', u'Cairns'], [u'Port Douglas', u'Cairns'], [u'Port Douglas', u'Cairns'], [u'Port Douglas', u'Cairns'], u'Port Douglas', u'Cairns', u'Uluru', u'Uluru']"
02 Feb 2018,568862e769ab71a97f0000af,"[[u'Saint Sergius Church', u'The Pharaonic Village', u'Nile Dinner Cruise'], [u'Pyramids Of Giza', u'Step Pyramid Of Zoser', u'Cairo Tower', u'Hanging Church'], [u'Mosque Of Ibn Tulun', u'Sphinx', u'The Egyptian Museum'], [u'Nairobi National Park', u'Nairobi Education Centre - Animal Orphanage'], [u'National Archives', u'Uhuru Gardens Memorial Park', u'Giraffe Center'], [u'Railway Museum', u'Nairobi Gallery', u'Karen Blixen Museum'], [u'Dolphin Bay', u'Atlantis, The Palm'], [u'The Dubai Mall', u'Wild Wadi Water Park'], [u'Dubai Moving Image Museum', u'The Dubai Mall Aquarium'], [u'Agra Fort', u'Fatehpur Sikri', u'Itmad-ud-daulah'], [u'Mankameshwar Temple', u'Mehtab Bagh', u'Jama Masjid', u'Chini Ka Rauza'], [u'Taj Mahal', u'Tomb Of Akbar The Great', u'Sikandra'], [u'The Bird Park', u'Menara Kl Tower', u'Aquaria Klcc', u'National Palace- Istana Negara'], [u'Batu Caves', u'Orchid Park', u'Royal Selangor Visitor Centre', u'Kuala Lumpur Butterfly Park', u'Petronas Twin Towers'], [u'Perdana Botanical Gardens', u'Sunway Lagoon', u'China Town'], [u'Universal Studios Singapore', u'Memories At Old Ford Factory', u'S.e.a. Aquarium and Adventure Cove Waterpark'], [u'National Orchid Garden', u'Haw Par Villa', u'Vivocity'], [u'MacRitchie Reservoir'], [u'Perth Zoo', u'Kings Park And Botanic Garden', u'Army Museum Of Western Australia', u'Fremantle Esplanade Reserve'], [u'Swan River', u'The Bell Tower And The Swan Bells', u'Kings Square', u'Fremantle Fishing Harbor'], [u'Murray Street And Hay Street Malls', u'Cottesloe Beach', u'Rockpool Bar And Grill'], [u'Leven River Cruises', u'Home Hill', u'Don River Railway', u'Devonport Airport', u'Australian Axemans Hall Of Fame'], [u'Cradle Coast Tours', u'Penguin General Cemetery', u'Fudge n Good Coffee', u'World Of Marbles', u'Warrawee Forest Reserve'], [u'Wings Wildlife Park', u'The Tasmanian Arboretum', u'Reliquaire', u'Devonport Oval', u'Spirit Of Tasmania'], [u'Sydney Fish Market', u'Sydney Royal Botanic Gardens', u'The Rocks'], [u'Manly Scenic Walkway', u'Manly Ferry', u'Chinese Garden Of Friendship'], [u'Wildlife Sydney Zoo', u'Queen Victoria Building', u'Art Gallery Of New South Wales', u'Birkenhead Point Outlet Centre', u'Sydney Harbour Bridge'], [u'Meiji Jingu Shrine', u'Rainbow Bridge', u'Tsukiji Fish Market'], [u'Yasukuni Shrine', u'Shinjuku Gyoen National Garden', u'Tokyo Dome City'], [u'Sensoji Temple', u'Odaiba']]",03 Mar 2018,"[u'Cairo', u'Cairo', u'Cairo', u'Nairobi', u'Nairobi', u'Nairobi', u'Dubai', u'Dubai', u'Dubai', u'Agra', u'Agra', u'Agra', u'Kuala Lumpur', u'Kuala Lumpur', u'Kuala Lumpur', [u'Singapore', u'Sentosa'], u'Singapore', u'Singapore', [u'Perth', u'Fremantle'], [u'Perth', u'Fremantle'], u'Perth', [u'Ulverstone', u'Devonport', u'Latrobe'], [u'Ulverstone', u'Sheffield', u'Penguin', u'Latrobe'], [u'Eugenana', u'Gunns Plains', u'Devonport', u'Latrobe', u'East Devonport'], u'Sydney', u'Sydney', u'Sydney', u'Tokyo', u'Tokyo', u'Tokyo']"
17 Sep 2015,5588fb89fbc2e5f251000d7f,"[[u'Art Gallery Of New South Wales', u'Sydney Harbour Bridge'], [u'Saint Marys Cathedral', u'Sydney Opera House', u'Kings Cross'], [u'Blue Mountains', u'Discovery Museum'], [u'Manly Ferry', u'Museum Of Sydney', u'Vaucluse House'], [u'Gallery Of Modern Art', u'Queensland Performing Arts Centre', u'The Brisbane River Cruise'], [u'Lone Pine Koala Sanctuary', u'Maroochydore Beach', u'Swan Boat Hire', u'Roma Street Parkland'], [u'Moreton Bay', u'Queensland Museum', u'Maroochydore Sunshine Plaza'], [u'Cairns Regional Gallery', u'Tank Arts Centre', u'The Esplanade', u'Undara Volcanic National Park'], [u'Flagstaff Hill Lookout', u'Daintree Rainforest National Park', u'Cairns Tropical Zoo', u'Great Barrier Reef'], [u'Tjapukai Aboriginal Cultural Park', u'Wildlife Habitat Port Douglas'], [u'Larapinta Trail', u'Alice Springs Reptile Centre'], [u'Alice Springs Telegraph Station Historical Reserve', u'Central Australia Aviation Museum', u'Old Ghan Heritage Railway And Museum', u'Adelaide House'], [u'Anzac Hill', u'Road Transport Hall Of Fame', u'Alice Springs School Of The Air Visitor Centre', u'National Pioneer Womens Hall Of Fame', u'The Royal Flying Doctor Service'], [u'Flower Market', u'Avenue Of Stars', u'Jade Street', u'Ngong Ping Cable Car'], [u'Ten Thousand Buddhas Monastery', u'Mong Kok'], [u'Star Ferry', u'Sik Sik Yuen Wong Tai Sin Temple', u'Victoria Harbour', u'Causeway Bay', u'Temple St']]",02 Oct 2015,"[u'Sydney', u'Sydney', u'Sydney', u'Sydney', u'Brisbane', [u'Brisbane', u'Maroochydore'], [u'Brisbane', u'Maroochydore'], u'Cairns', [u'Port Douglas', u'Cairns'], [u'Port Douglas', u'Cairns'], u'Alice Springs', u'Alice Springs', u'Alice Springs', u'Hong Kong', u'Hong Kong', u'Hong Kong']"
05 Jul 2016,,"[[u'Jumeirah Mosque', u'Saeed Al Maktoum House', u'Chinawhite'], [u'Dubai Museum', u'Ras Al Khor Wildlife Sanctuary', u'Gold Souk'], [u'Sydney Opera House', u'Queen Victoria Building', u'Sydney Aquarium', u'Sydney Harbour Bridge'], [u'Manly Ferry', u'Taronga Zoo'], [u'Art Gallery Of New South Wales', u'Quay Restaurant', u'Bondi Beach'], [u'Blue Mountains'], [u'Darling Harbour', u'Kings Cross'], [u'Shark Island', u'Bronte Beach', u'Sydney Tower'], [u'Sydney International Regatta Centre', u'Sydney The Gap'], [u'Archibald Fountain', u'Watsons Bay', u'Moonlight Cinema'], [u'Scotland Island', u'The Rocks'], [u'Cronulla Beach Walk', u'Sydney Fish Market', u'Vaucluse House'], [u'Chinese Garden Of Friendship', u'Bare Island'], [u'The Convict Trail', u'The Sydney Morning Herald Growers Market'], [u'Discovery Museum', u'Hayden Orpheum Picture Palace', u'Museum Of Sydney'], [u'Olney State Forest'], [u'Saint Marys Cathedral', u'Port Jackson', u'Urban Jungle Adventure Park'], [u'Auckland Zoo', u'Kelly Tarltons Sea Life Aquarium'], [u'Rainbows End', u'Butterfly Creek'], [u'One Tree Hill', u'Gus Fisher Gallery', u'Auckland Art Gallery', u'Museum Of Transport And Technology'], [u'Auckland Domain', u'Rangitoto Island', u'Voyager New Zealand Maritime Museum'], [u'China Wall', u'The Summer Palace', u'Lama Temple'], [u'Ming Tombs', u'Jingdong Grand Canyon'], [u'Batu Caves', u'Petrosains Discovery Centre', u'Aquaria Klcc'], [u'Orchid Park', u'Sunway Lagoon', u'China Town'], [u'Perdana Botanical Gardens', u'KLCC-Bukit Bintang Walkway', u'Petronas Twin Towers', u'Islamic Arts Museum', u'Betel Leaf'], [u'Parc Monceau', u'Eiffel Tower', u'Towers Of Notre Dame Cathedral'], [u'Musee D Orsay', u'Shakespeare And Company Bookstore', u'Catacombs Of Paris'], [u'Sacre Coeur Montmartrel', u'Pierre Herme', u'Arc De Triomphe', u'Musee De L Orangerie'], [u'Jardin Du Luxembourg', u'Moulin Rouge', u'La Defense'], [u'Grand Palais', u'Rue Montorgueil', u'Musee Jacquemart-andre', u'Champs Elysees'], [u'Cathedral Of Our Lady', u'Deutsches Museum', u'Bmw Headquarters And Museum', u'Hofbrauhaus'], [u'Asam Church', u'Odeonsplatz', u'Saint Peters Church', u'Viktualienmarkt', u'Nymphenburg Palace'], [u'Englischer Garten', u'The Alte Pinakothek']]",07 Aug 2016,"[u'Dubai', u'Dubai', u'Sydney', u'Sydney', u'Sydney', u'Sydney', u'Sydney', u'Sydney', u'Sydney', u'Sydney', u'Sydney', u'Sydney', u'Sydney', [u'Sydney', u'Cessnock'], u'Sydney', u'Cessnock', u'Sydney', u'Auckland', u'Auckland', u'Auckland', u'Auckland', u'Beijing', u'Beijing', u'Kuala Lumpur', u'Kuala Lumpur', u'Kuala Lumpur', u'Paris', u'Paris', u'Paris', u'Paris', u'Paris', u'Munich', u'Munich', u'Munich']"
31 Oct 2017,,"[[u'Sydney Aquarium', u'Sydney Cricket Ground'], [u'Sydney Opera House', u'Sydney Tower'], [u'National Sports Museum', u'Melbourne Zoo', u'National Gallery Of Victoria', u'City Circle Tram', u'Bourke Street And Melbourne Central'], [u'Royal Botanic Gardens Melbourne', u'Block Arcade', u'Federation Square', u'Shrine Of Remembrance', u'Eureka Skydeck'], [u'Perth Zoo', u'The Perth Mint', u'Cottesloe Beach'], [u'The Bell Tower And The Swan Bells', u'Aquarium Of Western Australia', u'Kings Park And Botanic Garden', u'Rockpool Bar And Grill'], [u'Ayers Rock', u'The Cultural Centre'], [u'Kata Tjuta', u'Sounds Of Silence Dinner'], [u'Abell Point Marina', u'Mr. Bones', u'Airlie Beach Lagoon', u'Big 4 Adventure Whitsunday Resort'], [u'Airlie Beach Community Market', u'Whitehaven Beach And Hill Inlet'], [u'Waiheke Island', u'Voyager New Zealand Maritime Museum'], [u'One Tree Hill', u'Auckland Domain', u'Kelly Tarltons Sea Life Aquarium'], [u'Quake City', u'International Antarctic Centre', u'Cashel Street', u'Christchurch Casino'], [u'Port Hills', u'Canterbury Museum', u'Air Force Museum Of New Zealand'], [u'Glass Bottom Boat Whitianga Scenic Cruise', u'The Lost Spring'], [u'Dive Zone Whitianga', u'Bay Carving And Gallery Whitianga', u'Mercury Bay Art Escape Art Tour Coromandel Peninsula'], [u'Hobbiton Movie Set', u'Rainbow Springs Kiwi Wildlife Park'], [u'Waimangu Volcanic Valley', u'Wai-o-tapu Thermal Wonderland', u'Matariki Hangi And Maori Cultural Centre'], [u'The Kingston Flyer', u'The Remarkables', u'Kiwi Birdlife Park', u'Skyline Gondola', u'T.s.s Earnslaw'], [u'Milford Sound', u'Queenstown Gardens', u'Gibbston Valley Wines', u'Te Anau Glow Worm Caves']]",19 Nov 2017,"Sydney,Sydney,Melbourne,Melbourne,Perth,Perth,Uluru,Uluru,Airlie Beach,Airlie Beach,Auckland,Auckland,Christchurch,Christchurch,Whitianga,Whitianga,Rotorua,Rotorua,Queenstown,Queenstown"
18 Mar 2016,,"[[u'Fremantle Market', u'Fremantle Prison', u'Army Museum Of Western Australia', u'Kings Park And Botanic Garden'], [u'Perth Zoo', u'Fremantle Esplanade Reserve', u'Friends Restaurant'], [u'Swan River', u'Western Australian Maritime Museum', u'Rockpool Bar And Grill'], [u'The Perth Mint', u'Greenhouse', u'Cottesloe Beach'], [u'Shipwreck Galleries', u'London Court', u'Crown Perth', u'Kings Square'], [u'Swan Valley', u'Roundhouse', u'South Beach', u'Scarborough Beach'], [u'Fremantle Arts Center', u'Fremantle Fishing Harbor', u'Restaurant Amuse'], [u'Hamilton Island Marina', u'Abell Point Marina', u'Airlie Beach Lagoon'], [u'Wild Life Hamilton Island', u'Catseye Beach', u'Mr. Bones'], [u'One Tree Hill', u'Whitehaven Beach And Hill Inlet'], [u'Sydney Aquarium'], [u'Royal Botanic Gardens Melbourne', u'Geelong Botanical Gardens', u'Eastern Beach', u'National Wool Museum'], [u'Block Arcade', u'Spa Vitality', u'The Carousel', u'Steampacket Gardens', u'Bourke Street And Melbourne Central'], [u'National Sports Museum', u'The Mill Markets', u'City Circle Tram', u'Kryal Castle', u'The Rock Adventure Centre'], [u'Bellarine Rail Trail', u'Eureka Skydeck', u'Market Square Shopping Centre', u'Geelong Waterfront'], [u'Melbourne Zoo', u'Goldrush Mini Golf', u'Ballarat Wildlife Park', u'Ballarat Bird World', u'Museum Of Australian Democracy At Eureka']]",06 Apr 2016,"[[u'Fremantle', u'Perth'], [u'Perth', u'Fremantle'], [u'Perth', u'Fremantle'], u'Perth', [u'Fremantle', u'Perth'], [u'Perth', u'Fremantle'], [u'Fremantle', u'Perth'], [u'Airlie Beach', u'Hamilton Island'], [u'Airlie Beach', u'Hamilton Island'], [u'Airlie Beach', u'Hamilton Island'], u'Sydney', [u'Geelong', u'Melbourne'], [u'Geelong', u'Maroochydore', u'Melbourne'], [u'Ballarat', u'Geelong', u'Melbourne'], [u'Melbourne', u'Geelong'], [u'Ballarat', u'Melbourne']]"
06 Feb 2016,,"[[u'Sydney Opera House', u'Sydney Tower', u'Sydney Cricket Ground'], [u'Art Gallery Of New South Wales', u'Vaucluse House', u'Sydney Harbour Bridge'], [u'Capricorn Caves', u'Rockhampton Heritage Village Information Centre', u'Rockhampton Art Gallery', u'Rockhampton Zoo And Botanic Gardens', u'Kershaw Gardens'], [u'Tropic Of Capricorn Spire', u'Koorana Crocodile Farm', u'Archer Rail Park Museum', u'Mount Archer National Park'], [u'Kuranda Scenic Railway', u'The Esplanade', u'Cairns Tropical Zoo'], [u'Cairns Regional Gallery', u'Undara Volcanic National Park', u'Daintree Rainforest National Park'], [u'The Clog Barn', u'Surfing At Woolgoolga Beach', u'The Big Banana', u'Pet Porpoise Pool', u'Muttonbird Island'], [u'Yarrawarra Aboriginal Cultural Centre', u'Coffs Harbour Beach', u'Bunker Cartoon Gallery', u'Sealy Lookout', u'Coffs Harbour Butterfly House'], [u'Waiheke Island', u'Voyager New Zealand Maritime Museum'], [u'One Tree Hill', u'Auckland Domain', u'Kelly Tarltons Sea Life Aquarium'], [u'The Kingston Flyer', u'Kiwi Birdlife Park', u'The Remarkables', u'Gibbston Valley Wines', u'Queenstown Gardens'], [u'Whakarewarewa Thermal Village', u'Te Puia', u'Tamaki Maori Village'], [u'Colo-i-suva Forest Reserve', u'Orchid Island', u'Thurston Gardens', u'Albert Park', u'National Stadium'], [u'Shri Shiva Subramaniya Temple', u'Nadi Produce Market', u'Sabeto Hot Springs And Mud Pool', u'Denarau Island', u'Club Fiji Resort']]",19 Feb 2016,"Sydney,Sydney,Rockhampton,Rockhampton,Cairns,Cairns,Coffs Harbour,Coffs Harbour,Auckland,Auckland,Queenstown,Rotorua,Suva,Nadi"
20 Nov 2013,5200e1ede705455b06000001,"[[u'Darling Harbour', u'Sydney Fish Market', u'Sydney Aquarium', u'Chinese Garden Of Friendship', u'Sydney Tower', u'Manly Ferry'], [u'Sydney Royal Botanic Gardens', u'The Rocks', u'Sydney Opera House', u'Sydney Harbour Bridge', u'Bondi Beach']]",21 Nov 2013,"Sydney,Sydney"
06 Jul 2016,,"[[u'Acropolis', u'Temple Of Athena Nike', u'Odeon Of Herodes Atticus'], [u'Erechtheion', u'Acropolis Museum', u'Parthenon'], [u'St Peters Basilica', u'Sistine Chapel'], [u'Museum Of The Holy Souls', u'Santa Maria Sopra Minerva', u'Colosseum', u'Domus Aurea', u'Castle San Angelo'], [u'Sainte Chapelle', u'Sacre Coeur Montmartrel', u'Towers Of Notre Dame Cathedral', u'Grand Palais'], [u'Louvre Museum'], [u'Butterfly House', u'Belvedere Palace', u'Historic Centre Of Vienna'], [u'St Stephens Cathedral', u'Schonbrunn Palace', u'Palace Of Justice', u'Karntnerstrasse'], [u'Koelner Zoo', u'Rheinturm', u'Kolner Dom'], [u'Altes Rathaus', u'Old Town, Altstadt', u'Kolumba', u'Goethe Museum', u'Heinrich Heine Institut'], [u'Warsaw Old Town', u'Warsaw Uprising Museum', u'Lazienki Park'], [u'Palace Of Culture And Science', u'Copernicus Science Centre', u'Fryderyk Chopin Museum', u'Warsaw National Museum'], [u'Botanical Garden', u'Copenhagen Zoo', u'The Round Tower'], [u'Christiania', u'The National Museum'], [u'Madame Tussauds Museum', u'Buckingham Palace London', u'Piccadilly Circus'], [u'Westminster Abbey', u'The London Eye', u'Harrods'], [u'Dublin Castle', u'National Gallery Of Ireland', u'Henry Street'], [u'St Stephens Greens', u'General Post Office', u'Guinness Storehouse', u'Dublin Zoo', u'Temple Bar Company'], [u'Sydney Opera House', u'Sydney Tower', u'Sydney Cricket Ground'], [u'Vaucluse House', u'Tuggerah Lake', u'Sydney Harbour Bridge']]",25 Jul 2016,"[u'Athens', u'Athens', [u'Rome', u'Vatican City'], u'Rome', u'Paris', u'Paris', u'Vienna', u'Vienna', [u'Cologne', u'Dusseldorf'], [u'Cologne', u'Dusseldorf'], u'Warsaw', u'Warsaw', u'Copenhagen', u'Copenhagen', u'London', u'London', u'Dublin', u'Dublin', u'Sydney', [u'Sydney', u'Newcastle']]"
17 Oct 2015,,"[[u'Sydney Opera House', u'Sydney Tower', u'Sydney Cricket Ground'], [u'Art Gallery Of New South Wales', u'Vaucluse House', u'Sydney Harbour Bridge'], [u'Royal Botanic Gardens Melbourne', u'Bourke Street And Melbourne Central', u'Melbourne Cricket Ground', u'City Circle Tram', u'Shrine Of Remembrance'], [u'National Sports Museum', u'Melbourne Zoo', u'Eureka Skydeck', u'National Gallery Of Victoria', u'Block Arcade'], [u'Kuranda Scenic Railway', u'The Esplanade', u'Cairns Tropical Zoo'], [u'Sunday Market', u'Wildlife Habitat Port Douglas'], [u'Fremantle Market', u'The Perth Mint', u'Army Museum Of Western Australia', u'Rockpool Bar And Grill'], [u'Penguin Island', u'Swan River'], [u'Waiheke Island', u'Voyager New Zealand Maritime Museum'], [u'One Tree Hill', u'Auckland Domain', u'Kelly Tarltons Sea Life Aquarium'], [u'Kawarau River', u'The Remarkables', u'The Kingston Flyer'], [u'Skippers Canyon', u'T.s.s Earnslaw', u'Gibbston Valley Wines'], [u'Hagley Park', u'International Antarctic Centre', u'Cashel Street', u'Quake City'], [u'Port Hills', u'Canterbury Museum', u'Air Force Museum Of New Zealand'], [u'Otago Peninsula', u'The Royal Albatross Centre'], [u'Tunnel Beach', u'St. Clair Beach And Salt Water Pool', u'Larnach Castle And Gardens'], [u'Nelson And Monty Market', u'Gardens Of The World', u'Broadgreen Historic House', u'Christ Church Cathedral', u'Wharariki Beach'], [u'Founders Park', u'World Of Wearable Art And Classic Cars Museum', u'Harwoods Hole Walk', u'Kaiteriteri Beach', u'Abel Tasman National Park']]",03 Nov 2015,"[u'Sydney', u'Sydney', u'Melbourne', u'Melbourne', u'Cairns', u'Port Douglas', [u'Fremantle', u'Perth'], u'Perth', u'Auckland', u'Auckland', u'Queenstown', u'Queenstown', u'Christchurch', u'Christchurch', u'Dunedin', u'Dunedin', u'Nelson', u'Nelson']"
