trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
05 Jul 2017,552bfdd6e70545ed0e0001bb,"[[u'Orpheum Theatre', u'Museum Of Anthropology', u'Scenic Marine Route', u'Craigdarroch Castle', u'Gastown Vancouver'], [u'Lake Minnewanka', u'The Calgary Zoo'], [u'Calgary Stampede Park', u'Calgary Tower', u'Prince\\s Island Park'], [u'Fort Edmonton Park', u'West Edmonton Mall'], [u'Telus World Of Science - Edmonton', u'Francis Winspear Centre From Music', u'Alberta Legislature Building', u'World Waterpark'], [u'Manitoba Legislative Museum', u'Assiniboine Park', u'Dalnavert Museum'], [u'Manitoba Museum', u'St. Boniface Museum And Cathedral', u'The Forks National Historic Site'], [u'Dieppe Gardens', u'Caesars Windsor', u'From Our Hands To Yours', u'Adventure Bay Family Water Park', u'Walkerville Brewery'], [u'Peche Island', u'Jackson Park', u'Art Gallery Of Windsor', u'Willistead Manor', u'Guardian Building'], [u'Hockey Hall Of Fame', u'Distillery District', u'Centre Island'], [u'C N Tower', u'Art Gallery Of Ontario Or A G O', u'Journey Behind The Falls'], [u'Toronto Zoo', u'Kensington Market'], [u'Casino De Mont-tremblant', u'Aventures Parc Mont-Tremblant'], [u'Old Montreal', u'Chateau Ramezay Museum', u'Notre-dame Basilica'], [u'St Josephs Oratory Of Mount Royal', u'Musee Des Beaux-arts De Montreal', u'Place Des Arts'], [u'Basilique Cathedrale - Notre-dame-de-quebec', u'Place Royale', u'La Citadelle'], [u'Museum Of French America Or Musee De L\\ameriquefrancaise', u'Musee Du Fort', u'Cathedral Of The Holy Trinity'], [u'Musee De La Civilisation', u'Observatoire De La Capitale', u'Fortifications Of Qu\xe9bec National Historic Site'], [u'Halifax Public Gardens', u'Halifax Waterfront Boardwalk', u'Maritime Museum Of The Atlantic', u'H.M.C.S. Sackville', u'Canadian Museum Of Immigration At Pier 21'], [u'Halifax Harbor Ferry', u'Reflections Cabaret', u'Halifax Citadel National Historic Site Of Canada', u'Discovery Centre']]",24 Jul 2017,"[[u'Vancouver', u'Victoria'], [u'Calgary', u'Banff'], u'Calgary', u'Edmonton', u'Edmonton', u'Winnipeg', u'Winnipeg', u'Windsor', [u'Windsor', u'Detroit'], u'Toronto', [u'Toronto', u'Niagara Falls'], u'Toronto', u'Mont-tremblant', u'Montreal', u'Montreal', u'Quebec', u'Quebec', u'Quebec', u'Halifax', u'Halifax']"
01 Mar 2017,520dafaae705451f75000000,"[[u'Pune Airport', u'Boston Logan International Airport', u'Fenway Park', u'Freedom Trail', u'Public Botanical Garden'], [u'The Museum Of Fine Arts', u'Samuel Adams Brewery', u'The Haven', u'North End', u'Boston Tea Party Ships And Museum', u'The New England Holocaust Memorial', u'Beacon Hill', u'The Boston Pops'], [u'Boston City Center', u'New York City City Center', u'The High Line', u'Empire State Building', u'Staten Island Ferry', u'Brooklyn Bridge', u'Flushing Meadows Corona Park'], [u'Statue Of Liberty', u'The Metropolitan Museum Of Art', u'Bemelmans Bar', u'Times Square', u'Ellis Island', u'Radio City Music Hall'], [u'Fanaberie', u'Grand Central Terminal', u'New York', u'Washington', u'Washington Monument', u'Lincoln Memorial'], [u'White House', u'United States Capitol', u'Lincoln Memorial', u'National Air And Space Museum', u'Smithsonian Castle', u'Vietnam Veterans Memorial', u'Dulles International Airport', u'Orlando International Airport'], [u'Orlando International Airport', u'Orlando International Airport', u'Universal Orlando', u'SeaWorld', u'Walt Disney World', u'La Nouba - Cirque Du Soleil'], [u'Discovery Cove', u'Gatorland', u'Wet N Wild', u'Kennedy Space Center', u'IFLY Orlando', u'Lake Eola Park'], [u'Orlando City Center', u'Miami City Center', u'Bayside Marketplace', u'South Beach', u'Dolphin Mall'], [u'Everglades National Park', u'American Airlines Arena', u'Zoo Miami', u'Aventura Mall'], [u'Key West', u'Coral Castle', u'Fort Lauderdale-Hollywood International Airport', u'Toronto Airport'], [u'Toronto Airport', u'Toronto Airport', u'Toronto Eaton Centre', u'C N Tower', u'Casa Loma', u'Royal Ontario Museum'], [u'Centre Island', u'Hockey Hall Of Fame', u'Chinatown'], [u'Toronto Zoo', u'Art Gallery Of Ontario Or A G O'], [u'Toronto Airport', u'O|Hare International Airport', u'The Art Institute Of Chicago', u'Millennium Park', u'Cloud Gate'], [u'Willis Tower', u'Michigan Avenue', u'The Purple Pig', u'Navy Pier', u'360 Chicago Observation Deck', u'John Hancock Center']]",16 Mar 2017,"[[u'Pune', u'Boston'], u'Boston', u'New York City', u'New York City', [u'New York City', u'Washington D. C.'], [u'Dulles', u'Washington D. C.', u'Orlando'], u'Orlando', u'Orlando', u'Miami', u'Miami', [u'Fort Lauderdale', u'Miami'], u'Toronto', u'Toronto', u'Toronto', u'Chicago', u'Chicago']"
20 Dec 2013,520dafaae705451f75000000,"[[u'Centre Island', u'Centreville Amusement Park', u'Distillery District', u'C N Tower', u'Kensington Market'], [u'Art Gallery Of Ontario Or A G O', u'Hockey Hall Of Fame', u'St Lawrence Market', u'Casa Loma', u'Toronto Eaton Centre', u'Chinatown'], [u'Toronto Zoo', u'Ontario Science Centre', u'Royal Ontario Museum']]",22 Dec 2013,"Toronto,Toronto,Toronto"
16 Jul 2014,5304fd38e705454602000000,"[[u'Toronto Eaton Centre', u'Royal Ontario Museum', u'Casa Loma', u'C N Tower'], [u'Centre Island', u'Distillery District', u'Hockey Hall Of Fame', u'Chinatown'], [u'Toronto Zoo'], [u'Ontario Science Centre'], [u'Centreville Amusement Park', u'Kensington Market', u'St Lawrence Market'], [u'Toronto Islands', u'Canadas Wonderland', u'High Park'], [u'Martin Goodman Trail', u'Ontario Place', u'Queens Quay W', u'Yorkville'], [u'Black Creek Dr', u'Vaughan Mills Mall Stop # 4308', u'Vaughan Mills Park', u'Exhibition Place At Cne West Entrance (dufferin Gate)'], [u'Ontario Place', u'Yorkville', u'The Path - Roy Thomson', u'Massey Square', u'Bloor St W']]",24 Jul 2014,"[u'Toronto', u'Toronto', u'Toronto', u'Toronto', u'Toronto', [u'Toronto', u'Vaughan'], u'Toronto', [u'Toronto', u'Vaughan'], u'Toronto']"
25 Dec 2014,54785400e70545f83700005b,"[[u'Toronto Eaton Centre'], [u'C N Tower'], [u'Casa Loma'], [u'Royal Ontario Museum'], [u'Chinatown', u'Distillery District'], [u'Art Gallery Of Ontario Or A G O'], [u'Hockey Hall Of Fame'], [u'Toronto Zoo'], [u'Hockey Hall Of Fame', u'Ontario Science Centre'], [u'Centreville Amusement Park', u'St Lawrence Market'], [u'Niagara Falls', u'The Whirlpool Aero Car', u'Skylon Tower'], [u'Niagara Falls History Museum', u'Niagara Glen Nature Reserve'], [u'Queenston Heights Park', u'Rock Legends Wax Museum'], [u'Niagara Parks Butterfly Conservatory', u'White Water Walk', u'Ripleys Believe It Or Not Museum'], [u'Journey Behind The Falls', u'Table Rock', u'Bird Kingdom', u'Centre Island'], [u'St. Michael\\s Cathedral', u'Louis Tussauds Waxworks', u'Kensington Market']]",10 Jan 2015,"[u'Toronto', u'Toronto', u'Toronto', u'Toronto', u'Toronto', u'Toronto', u'Toronto', u'Toronto', u'Toronto', u'Toronto', u'Niagara Falls', u'Niagara Falls', u'Niagara Falls', u'Niagara Falls', [u'Toronto', u'Niagara Falls'], [u'Toronto', u'Bridgetown', u'Niagara Falls']]"
15 Jul 2014,5304fd38e705454602000000,"[[u'Toronto Eaton Centre', u'C N Tower'], [u'Casa Loma', u'Royal Ontario Museum'], [u'Centre Island', u'Distillery District'], [u'Hockey Hall Of Fame', u'Art Gallery Of Ontario Or A G O'], [u'Chinatown', u'Canadas Wonderland'], [u'Ontario Science Centre'], [u'Centreville Amusement Park'], [u'Exhibition Place At Cne West Entrance (dufferin Gate)', u'Queens Quay W'], [u'Yorkville', u'St Lawrence'], [u'Kensington Market', u'St Lawrence Market'], [u'Black Creek', u'Bayview Village Park'], [u'Nathan Phillips Square', u'Niagara Pkwy']]",27 Jul 2014,"[u'Toronto', u'Toronto', u'Toronto', u'Toronto', [u'Toronto', u'Vaughan'], u'Toronto', u'Toronto', u'Toronto', u'Toronto', u'Toronto', u'Toronto', u'Toronto']"
19 Apr 2014,520dafaae705451f75000000,"[[u'Toronto Eaton Centre', u'C N Tower'], [u'Royal Ontario Museum', u'Art Gallery Of Ontario Or A G O', u'Chinatown'], [u'Toronto Zoo'], [u'Ontario Science Centre'], [u'Centreville Amusement Park'], [u'Kensington Market', u'St Lawrence Market'], [u'Toronto Islands', u'Canadas Wonderland', u'High Park Ave'], [u'Niagara'], [u'Distillery District', u'Hockey Hall Of Fame'], [u'Canadas Wonderland', u'Rideau Ave']]",28 Apr 2014,"[u'Toronto', u'Toronto', u'Toronto', u'Toronto', u'Toronto', u'Toronto', [u'Toronto', u'Vaughan'], u'Toronto', u'Toronto', [u'Toronto', u'Vaughan']]"
12 Jun 2015,,"[[u'St. Patricks Cathedral', u'Rockefeller Center', u'Statue Of Liberty', u'Grand Central Terminal', u'Bareburger'], [u'National 9-11 Memorial Museum', u'New York Public Library', u'Union Square', u'Ground Zero'], [u'Ellis Island', u'Fanaberie', u'Bridge Gallery', u'The Metropolitan Museum Of Art'], [u'Bronx Zoo', u'American Museum Of Natural History', u'Battery Park'], [u'Hockey Hall Of Fame', u'Royal Ontario Museum', u'C N Tower'], [u'Toronto Eaton Centre', u'Art Gallery Of Ontario Or A G O'], [u'Chinatown', u'Distillery District', u'Niagara Falls'], [u'Toronto Zoo', u'Kensington Market'], [u'Santa Monica Beach', u'Viper Room', u'Santa Monica Mountains', u'The J Paul Getty Centre', u'Cleo', u'Central Park'], [u'Angel Stadium Of Anaheim', u'Griffith Park', u'The Grammy Museum', u'Hollywood Bowl'], [u'26 Mile Bike Path', u'Honda Centre', u'Bergamot Station', u'Tacos Punta Cabras Restaurant', u'Universal Studios', u'Venice Beach Boardwalk'], [u'Ethel M Chocolate Factory', u'Chapel Of The Flowers', u'Bellagio Gallery Of Fine Art', u'Hoover Dam'], [u'Red Rock Canyon National Conservation Area', u'Stratosphere Casino, Hotel And Tower'], [u'Lake Mead National Recreation Area', u'Fountains Of Bellagio'], [u'Coit Tower', u'Pier 39', u'Alcatraz Island', u'Eiffel Tower Experience', u'Marquee Nightclub And Dayclub'], [u'Ferry Building', u'Musee Mecanique', u'Fishermans Wharf'], [u'Japanese Tea Garden', u'San Francisco Cable Car Museum', u'Golden Gate Park']]",28 Jun 2015,"[[u'New York City', u'New York'], u'New York City', u'New York City', u'New York City', u'Toronto', u'Toronto', [u'Toronto', u'Niagara Falls'], u'Toronto', [u'Santa Monica', u'New York City', u'Los Angeles'], [u'Anaheim', u'Los Angeles'], [u'Santa Monica', u'Los Angeles', u'Anaheim'], u'Las Vegas', u'Las Vegas', u'Las Vegas', [u'San Francisco', u'Las Vegas'], u'San Francisco', u'San Francisco']"
09 Mar 2015,,"[[u'Memorial Museum Of Leningrad Blockade', u'Peter And Paul Fortress', u'St. Isaacs Cathedral', u'Church Of The Savior On Blood'], [u'Mission Beach', u'Old Point Loma Lighthouse And Cabrillo National Monument', u'Seaworld San Diego', u'Balboa Park'], [u'Pushkin Fine Arts Museum', u'Kremlin', u'Red Square', u'St Basils Cathedral'], [u'Meiji Jingu Shrine', u'Roppongi', u'Sensoji Temple', u'Tokyo National Museum', u'Sony Building'], [u'Royal Ontario Museum', u'C N Tower', u'Bird Kingdom'], [u'Three Monkeys', u'Old Montreal', u'Notre-dame Basilica'], [u'Butchart Gardens', u'Queen Elizabeth Park', u'Inner Harbour', u'Stanley Park'], [u'Rialto Bridge', u'Doges Palace', u'Scuola Grande Di San Rocco', u'Palazzo Grassi', u'Peggy Guggenheim Collection'], [u'Copacabana Beach', u'Cristo Redentor On Corcovado', u'Old Cathedral', u'Jardim Botanico', u'Confeitaria Colombo'], [u'Peak Tram', u'Ocean Park', u'Ngong Ping Cable Car']]",18 Mar 2015,"[u'Saint Petersburg', u'San Diego', u'Moscow', u'Tokyo', [u'Toronto', u'Niagara Falls'], u'Montreal', [u'Vancouver', u'Victoria'], u'Venice', u'Rio De Janeiro', u'Hong Kong']"
02 Jun 2015,,"[[u'Golden Gate Bridge', u'Fishermans Wharf', u'San Francisco Cable Car Museum'], [u'Lombard Street', u'Coit Tower', u'Mission District'], [u'Alcatraz Island', u'Lands End', u'Chinatown'], [u'Japanese Tea Garden', u'Ferry Building', u'Golden Gate Park'], [u'Cathedral Basilica Of St. Joseph', u'Muir Woods National Monument', u'Nob Hill'], [u'Toronto Eaton Centre', u'Journey Behind The Falls'], [u'Niagara Falls', u'Niagara Parks Butterfly Conservatory', u'Centre Island'], [u'Casa Loma', u'Chinatown'], [u'White Water Walk', u'Table Rock', u'Ripleys Believe It Or Not Museum', u'C N Tower'], [u'St. Michael\\s Cathedral', u'Louis Tussauds Waxworks', u'Tews Falls'], [u'Skylon Tower', u'Devil\\s Punchbowl Falls', u'Niagara Falls History Museum'], [u'Spencer Gorge Conservation Area Or Dundas', u'Albion Falls', u'Kensington Market', u'The Whirlpool Aero Car'], [u'Butchart Gardens', u'Stanley Park', u'Inner Harbour', u'Whistler Blackcombs Coca-Cola Tube Park'], [u'Peak To Peak Gondola', u'Whistler Blackcomb'], [u'Whistler Olympic Park', u'Capilano Suspension Bridge', u'Vancouver Lookout', u'Vancouver Aquarium', u'British Columbia Legislature Building'], [u'Nicklaus North Golf Course', u'Victoria Bug Zoo', u'Grouse Mountain', u'Royal British Columbia Museum'], [u'Victoria Butterfly Gardens', u'Science World', u'Granville Island', u'Abkhazi Garden', u'Squamish Lilwat Cultural Centre'], [u'Museum Of Anthropology', u'Peak To Creek', u'Spanish Banks', u'Whistler Farmers Market'], [u'Gastown Vancouver', u'Whistler Sliding Centre', u'Whistler Museum', u'Seawall In Vancouver', u'Fisherman\\s Wharf']]",20 Jun 2015,"[u'San Francisco', u'San Francisco', u'San Francisco', u'San Francisco', [u'San Jose', u'San Francisco'], [u'Toronto', u'Niagara Falls'], [u'Toronto', u'Niagara Falls'], u'Toronto', [u'Toronto', u'Niagara Falls'], [u'Hamilton', u'Bridgetown', u'Niagara Falls'], [u'Hamilton', u'Niagara Falls'], [u'Toronto', u'Hamilton', u'Niagara Falls'], [u'Vancouver', u'Victoria', u'Whistler'], u'Whistler', [u'Vancouver', u'Whistler', u'Victoria'], [u'Vancouver', u'Whistler', u'Victoria'], [u'Vancouver', u'Victoria', u'Whistler'], [u'Vancouver', u'Whistler'], [u'Vancouver', u'Whistler', u'Victoria']]"
