trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
25 May 2015,,"[[u'Woodland Park Zoo', u'Pike Place Market', u'Hiram M. Chittenden Locks', u'Seattle Public Library'], [u'Benaroya Hall', u'Sky View Observatory', u'Seattle Aquarium', u'Space Needle', u'Myrtle Edwards Park'], [u'Alki Beach And Alki Beach Park', u'Seattle Waterfall Garden', u'Bruce Lee Grave Site', u'Klondike Gold Rush National Historical Park', u'Seattle Great Wheel'], [u'Gas Works Park', u'The Gum Wall', u'Centre For Wooden Boats'], [u'Ye Olde Curiosity Shop', u'Pacific Place', u'Seattle Art Museum', u'The Seattle Waterfront Or Central Waterfront', u'Olympic Sculpture Park'], [u'Kubota Garden', u'Fremont Troll', u'Saint James Cathedral', u'Museum Of History And Industry', u'Chihuly Garden And Glass'], [u'Butchart Gardens', u'Queen Elizabeth Park', u'Inner Harbour', u'Stanley Park'], [u'Orpheum Theatre', u'Lower Johnson Street', u'Fisherman\\s Wharf', u'Vancouver Lookout', u'Capilano Suspension Bridge'], [u'Grouse Mountain', u'Beacon Hill Park', u'Fort Rodd Hill And Fisgard Lighthouse', u'Seawall In Vancouver', u'Royal British Columbia Museum'], [u'Government Street', u'Museum Of Anthropology', u'Granville Island', u'Bastion Square Public Market'], [u'Miniature World', u'British Columbia Legislature Building', u'Chinatown', u'Spanish Banks'], [u'British Colombia Forest Discovery Centre', u'Vancouver Aquarium', u'Gastown Vancouver', u'Robson Street', u'Jericho Beach']]",05 Jun 2015,"[u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'Seattle', [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria']]"
01 Jun 2016,,"[[u'Butchart Gardens', u'Stanley Park', u'Inner Harbour', u'Whistler Blackcombs Coca-Cola Tube Park'], [u'Peak To Peak Gondola', u'Whistler Blackcomb'], [u'Nicklaus North Golf Course', u'Capilano Suspension Bridge', u'Lost Lake', u'Vancouver Lookout'], [u'Beacon Hill Park', u'Grouse Mountain', u'Lower Johnson Street', u'Royal British Columbia Museum'], [u'Whistler Kids', u'Granville Island', u'Squamish Lilwat Cultural Centre'], [u'Chinatown', u'Museum Of Anthropology', u'Government Street', u'Spanish Banks'], [u'The Whistler Train Wreck', u'Fisherman\\s Wharf', u'Alexander Falls', u'Whistler Sliding Centre'], [u'Fitzsimmons Creek', u'British Columbia Legislature Building', u'Gastown Vancouver', u'River Of Golden Dreams Or Alta Creek'], [u'Miniature World', u'Whistler Olympic Park'], [u'Vancouver Aquarium', u'Craigdarroch Castle', u'Seawall In Vancouver', u'Whistler Mountain Bike Park'], [u'Queen Elizabeth Park', u'Victoria Bug Zoo', u'Jericho Beach', u'Whistler Library'], [u'Fort Rodd Hill And Fisgard Lighthouse', u'Brandywine Falls Provincial Park', u'Orpheum Theatre', u'Science World'], [u'Victoria Butterfly Gardens', u'Robson Street', u'Fairmont Chateau Whistler Golf Club'], [u'British Colombia Forest Discovery Centre', u'Abkhazi Garden'], [u'Peak To Creek', u'Rainbow Park'], [u'Emily Carr House', u'Bastion Square Public Market', u'Art Gallery Of Greater Victoria'], [u'Whistler Activity And Information Center', u'Whistler Farmers Market'], [u'Big Bad John\\s', u'Whistler Museum'], [u'Belfry Theatre']]",19 Jun 2016,"[[u'Vancouver', u'Victoria', u'Whistler'], u'Whistler', [u'Vancouver', u'Whistler'], [u'Vancouver', u'Victoria'], [u'Vancouver', u'Whistler'], [u'Vancouver', u'Victoria'], [u'Whistler', u'Victoria'], [u'Vancouver', u'Whistler', u'Victoria'], [u'Victoria', u'Whistler'], [u'Vancouver', u'Victoria', u'Whistler'], [u'Vancouver', u'Victoria', u'Whistler'], [u'Vancouver', u'Victoria', u'Whistler'], [u'Vancouver', u'Victoria', u'Whistler'], u'Victoria', u'Whistler', u'Victoria', u'Whistler', [u'Victoria', u'Whistler'], u'Victoria']"
02 Jun 2015,,"[[u'Santa Monica Beach', u'Pacific Park'], [u'Griffith Park', u'Cleo'], [u'26 Mile Bike Path', u'Palisades Park', u'The Grammy Museum', u'The Misfit Restaurant And Bar', u'The Griffith Observatory'], [u'Santa Monica Pier', u'T C L Chinese Theatre', u'Flightdeck Flight Simulation Centre', u'Tacos Punta Cabras Restaurant'], [u'Orpheum Theatre', u'Inner Harbour', u'Craigdarroch Castle', u'Grouse Mountain', u'Stanley Park'], [u'Capilano Suspension Bridge', u'Beacon Hill Park', u'Queen Elizabeth Park', u'Vancouver Lookout', u'Seawall In Vancouver'], [u'Gastown Vancouver', u'Fort Rodd Hill And Fisgard Lighthouse', u'Granville Island', u'Government Street', u'Museum Of Anthropology'], [u'Golden Gate Bridge', u'Haight Ashbury', u'San Francisco Cable Car Museum'], [u'Saint Marys Cathedral', u'Lombard Street', u'Coit Tower'], [u'Ferry Building', u'555 California Street', u'Alcatraz Island'], [u'City Hall', u'Golden Gate Park', u'Cathedral Basilica Of St. Joseph'], [u'California Palace Of The Legion Of Honor', u'Aquarium Of The Bay', u'Muir Woods National Monument'], [u'Shark Reef At Mandalay Bay', u'Fremont Street', u'Hoover Dam'], [u'Ricks Restorations', u'Vegas Indoor Skydiving', u'The Strip'], [u'Atomic Testing Museum', u'Stratosphere Casino, Hotel And Tower', u'The Neon Museum'], [u'Battlefield Vegas', u'Bellagio Gallery Of Fine Art', u'Mac King Comedy Magic Show', u'Fountains Of Bellagio']]",17 Jun 2015,"[u'Santa Monica', u'Los Angeles', [u'Santa Monica', u'Los Angeles'], [u'Los Angeles', u'Santa Monica', u'Anaheim'], [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria'], u'San Francisco', u'San Francisco', u'San Francisco', [u'San Jose', u'San Francisco'], u'San Francisco', u'Las Vegas', u'Las Vegas', u'Las Vegas', u'Las Vegas']"
17 Apr 2014,520dafaae705451f75000000,"[[u'Capilano Suspension Bridge', u'Grouse Mountain', u'Stanley Park', u'Vancouver Aquarium', u'Vancouver Lookout', u'Granville Island']]",17 Apr 2014,Vancouver
15 Mar 2016,,"[[u'Stanley Park', u'Queen Elizabeth Park', u'Vancouver Aquarium', u'Granville Island', u'Robson Street'], [u'Science World', u'Capilano Suspension Bridge', u'Vancouver Lookout', u'Orpheum Theatre', u'Spanish Banks'], [u'Grouse Mountain', u'Museum Of Anthropology', u'Jericho Beach', u'Gastown Vancouver'], [u'Seattle Ferry', u'The Seattle Waterfront Or Central Waterfront', u'Seattle Waterfall Garden', u'Pike Place Market', u'Sky View Observatory'], [u'Seattle Aquarium', u'Seattle Public Library', u'Pacific Science Center', u'Ye Olde Curiosity Shop', u'Myrtle Edwards Park'], [u'Saint James Cathedral', u'Seattle Art Museum', u'Chihuly Garden And Glass', u'Pacific Place', u'Argosy Cruises'], [u'Columbia River Gorge National Scenic Area', u'Portland Japanese Garden', u'International Rose Test Garden'], [u'Willamette Valley', u'Oneonta Gorge'], [u'Forest Park', u'Pearl District'], [u'Golden Gate Bridge', u'Alcatraz Island', u'San Francisco Cable Car Museum'], [u'Ferry Building', u'555 California Street', u'Baker Beach'], [u'Santa Monica Beach', u'The J Paul Getty Centre', u'Santa Monica Pier Aquarium', u'Cleo'], [u'26 Mile Bike Path', u'Bergamot Station', u'The Grammy Museum'], [u'Balboa Park', u'Uss Midway Museum', u'Gaslamp Quarter'], [u'Old Towns Fashion Valley Shopping Center', u'Maritime Museum Of San Diego', u'Legoland']]",29 Mar 2016,"[u'Vancouver', u'Vancouver', u'Vancouver', u'Seattle', u'Seattle', u'Seattle', u'Portland', u'Portland', u'Portland', u'San Francisco', u'San Francisco', [u'Santa Monica', u'Los Angeles'], [u'Santa Monica', u'Los Angeles'], u'San Diego', u'San Diego']"
17 Dec 2015,,"[[u'Science World'], [u'Vancouver Aquarium', u'Vancouver Lookout'], [u'Capilano Suspension Bridge', u'Victoria Butterfly Gardens', u'Gastown Vancouver', u'Shannon Falls Provincial Park'], [u'Whistler Mountain'], [u'Grouse Mountain'], [u'Butchart Gardens', u'Inner Harbour', u'Royal British Columbia Museum'], [u'Lower Johnson Street', u'British Columbia Legislature Building', u'Fisherman\\s Wharf', u'Art Gallery Of Greater Victoria'], [u'Beacon Hill Park', u'Miniature World'], [u'Belfry Theatre', u'Victoria Butterfly Gardens', u'Government Street', u'Abkhazi Garden'], [u'Big Bad John\\s', u'Scenic Marine Route', u'Chinatown'], [u'Brooklyn Museum', u'Bronx Zoo', u'Times Square'], [u'New York Transit Museum', u'Statue Of Liberty', u'American Museum Of Natural History'], [u'Central Park', u'Coney Island Cyclone'], [u'National Museum Of American Indian', u'Intrepid Sea, Air And Space Museum', u'Rockefeller Center'], [u'New York City Fire Museum', u'Dead Rabbit', u'Eataly'], [u'White House', u'United States Capitol', u'Washington National Cathedral', u'Washington Monument', u'Lincoln Memorial'], [u'Library Of Congress', u'Iwo Jima Memorial', u'International Spy Museum', u'National Zoological Park', u'National Gallery Of Art'], [u'Arlington National Cemetery', u'Thomas Jefferson Memorial', u'US Supreme Court Building', u'National Archives'], [u'Pentagon', u'Vietnam Veterans Memorial', u'George Washingtons Estate Mount Vernon', u'Smithsonian Castle'], [u'National Museum Of The American Indian', u'National Mall', u'John F. Kennedy Center']]",05 Jan 2016,"[u'Vancouver', u'Vancouver', [u'Vancouver', u'Brentwood Bay', u'Squamish'], u'Whistler', u'Vancouver', u'Victoria', u'Victoria', u'Victoria', u'Victoria', u'Victoria', u'New York City', u'New York City', u'New York City', u'New York City', u'New York City', u'Washington D. C.', u'Washington D. C.', u'Washington D. C.', u'Washington D. C.', u'Washington D. C.']"
15 Jan 2016,55c60d6e19a23c4422000431,"[[u'Ueno Park', u'Ghibli Museum', u'Harajuku'], [u'Sensoji Temple', u'Tsukiji Fish Market', u'Tokyo Imperial Palace', u'Edo- Tokyo Museum', u'Tokyo Dome City'], [u'Shinjuku Gyoen National Garden', u'Subway Museum', u'Tokyo National Museum', u'Hamarikyu Gardens', u'Tokyo Tower'], [u'Cairns Regional Gallery', u'Tank Arts Centre', u'The Esplanade', u'Undara Volcanic National Park'], [u'Australian Butterfly Sanctuary', u'Muddys Playground', u'Great Barrier Reef', u'Cairns Tropical Zoo'], [u'Skyrail Rainforest Cableway', u'Daintree Rainforest National Park'], [u'Darling Harbour'], [u'Skippers Canyon', u'Kiwi Birdlife Park', u'Skyline Gondola', u'The Remarkables', u'The Kingston Flyer'], [u'Milford Sound', u'T.s.s Earnslaw', u'Gibbston Valley Wines', u'Te Anau Glow Worm Caves'], [u'Quake City', u'International Antarctic Centre', u'Cashel Street', u'Christchurch Casino'], [u'Port Hills', u'Canterbury Museum', u'Air Force Museum Of New Zealand'], [u'Waiheke Island', u'Kelly Tarltons Sea Life Aquarium'], [u'Auckland Domain', u'Rangitoto Island', u'Auckland Art Gallery'], [u'Iolani Palace', u'Waikiki Beach'], [u'Hanaiakamalama', u'Hale Koa Luau', u'Kaimana Beach', u'Manoa Falls', u'Spitting Cave'], [u'U S S Arizona Memorial', u'Ala Moana Beach Park'], [u'Grouse Mountain', u'Queen Elizabeth Park', u'Capilano Suspension Bridge', u'Granville Island', u'Vancouver Aquarium'], [u'Stanley Park', u'Science World', u'Museum Of Anthropology', u'Orpheum Theatre', u'Jericho Beach']]",03 Feb 2016,"Tokyo,Tokyo,Tokyo,Cairns,Cairns,Cairns,Sydney,Queenstown,Queenstown,Christchurch,Christchurch,Auckland,Auckland,Honolulu,Honolulu,Honolulu,Vancouver,Vancouver"
06 Jan 2017,55385fce0c1d0a406e000311,"[[u'Niagara Falls', u'Toronto Eaton Centre', u'C N Tower', u'Louis Tussauds Waxworks'], [u'Hockey Hall Of Fame', u'Toronto Zoo', u'Ripleys Believe It Or Not Museum', u'Devil\\s Punchbowl Falls'], [u'Statue Of Liberty', u'Times Square', u'Empire State Building', u'Rockefeller Center', u'Central Park', u'Fifth Avenue', u'Chinatown'], [u'The Metropolitan Museum Of Art', u'Macys Herald Square', u'Brooklyn Bridge', u'New York Public Library', u'Chrysler Building', u'Broadway Street', u'Staten Island Ferry'], [u'Bronx Zoo', u'National 9-11 Memorial Museum', u'Coney Island Cyclone', u'Little Italy', u'Yankee Stadium'], [u'Los Angeles Zoo', u'Hollywood Walk Of Fame', u'Santa Monica Pier', u'Hollywood Sign', u'Sunset Boulevard'], [u'Universal Studios', u'Beverly Hills', u'Venice Beach Boardwalk'], [u'Newport Beach', u'Disneyland', u'Rodeo Drive'], [u'La Brea Tar Pits', u'Queen Mary', u'Beverly Center'], [u'Viper Room', u'T C L Chinese Theatre', u'The Last Bookstore', u'Universal City Walk', u'In-n-out Burger', u'Madame Tussauds Hollywood', u'Santa Monica Beach'], [u'Granville Island', u'Vancouver Lookout', u'Gastown Vancouver', u'Lost Lake', u'Stanley Park', u'Robson Street'], [u'Steveston', u'Bastion Square Public Market', u'Lower Johnson Street', u'Beacon Hill Park']]",18 Jan 2017,"[[u'Toronto', u'Niagara Falls'], [u'Toronto', u'Hamilton', u'Niagara Falls'], u'New York City', u'New York City', u'New York City', u'Los Angeles', u'Los Angeles', u'Los Angeles', u'Los Angeles', [u'Los Angeles', u'Santa Monica'], [u'Vancouver', u'Whistler'], [u'Victoria', u'Richmond']]"
25 Jul 2015,558d158bf9c2e5253c000200,"[[u'Stanley Park', u'Inner Harbour', u'Butchart Gardens'], [u'Peak To Peak Gondola', u'Whistler Blackcomb'], [u'Squamish Lilwat Cultural Centre', u'Capilano Suspension Bridge', u'Vancouver Aquarium', u'Vancouver Lookout', u'Whistler Museum'], [u'Peak To Creek', u'Grouse Mountain', u'Museum Of Anthropology', u'British Columbia Legislature Building'], [u'Nicklaus North Golf Course', u'Royal British Columbia Museum', u'Spanish Banks', u'Victoria Butterfly Gardens'], [u'Whistler Sliding Centre', u'Abkhazi Garden', u'Victoria Bug Zoo', u'Fisherman\\s Wharf'], [u'Science World', u'Whistler Olympic Park', u'Robson Street', u'Gastown Vancouver', u'Emily Carr House'], [u'Big Bad John\\s', u'Miniature World', u'Jericho Beach', u'Whistler Farmers Market'], [u'Signal Hill', u'Cape Spear Lighthouse'], [u'Pippy Park', u'George Street'], [u'East Coast Trail', u'The Rooms'], [u'Bowring Park', u'Johnson Geo Centre'], [u'Basilica Of St. John The Baptist', u'Quidi Vidi Lake'], [u'Memorial University Of Newfoundland Botanical Garden', u'Spirit Of Newfoundland'], [u'Terry Fox Memorial', u'Inn Of Olde Pub']]",08 Aug 2015,"[[u'Vancouver', u'Victoria'], u'Whistler', [u'Vancouver', u'Whistler'], [u'Vancouver', u'Whistler', u'Victoria'], [u'Vancouver', u'Whistler', u'Victoria'], [u'Whistler', u'Victoria'], [u'Vancouver', u'Whistler', u'Victoria'], [u'Vancouver', u'Victoria', u'Whistler'], u'St. Johns', u'St. Johns', u'St. Johns', u'St. Johns', u'St. Johns', u'St. Johns', u'St. Johns']"
29 Jun 2015,,"[[u'Lake Minnewanka', u'The Calgary Zoo'], [u'Calgary Stampede Park', u'Calgary Tower'], [u'Heritage Park Historical Village', u'Prince\\s Island Park'], [u'Stanley Park', u'Inner Harbour', u'Butchart Gardens', u'Queen Elizabeth Park'], [u'Orpheum Theatre', u'Lower Johnson Street', u'Royal British Columbia Museum', u'Vancouver Lookout', u'Vancouver Aquarium'], [u'Beacon Hill Park', u'Grouse Mountain', u'Fort Rodd Hill And Fisgard Lighthouse', u'Victoria Bug Zoo', u'Capilano Suspension Bridge'], [u'Government Street', u'Museum Of Anthropology', u'Granville Island', u'Bastion Square Public Market'], [u'Science World', u'British Columbia Legislature Building', u'Chinatown', u'Victoria Butterfly Gardens', u'Spanish Banks'], [u'Seattle Ferry', u'Pioneer Square', u'Seattle Aquarium', u'Benaroya Hall', u'Seattle Great Wheel'], [u'Washington Park Arboretum', u'Green Lake Park', u'Pike Place Market', u'Woodland Park Zoo'], [u'Seattle Waterfall Garden', u'Olympic Sculpture Park', u'Myrtle Edwards Park', u'Space Needle', u'Seattle Art Museum'], [u'Saint James Cathedral', u'The Seattle Waterfront Or Central Waterfront', u'Kerry Park', u'Chihuly Garden And Glass', u'The Museum Of Flight'], [u'Gas Works Park', u'The Gum Wall', u'Discovery Park', u'Wing Luke Museum', u'Key Arena']]",13 Jul 2015,"[[u'Calgary', u'Banff'], u'Calgary', u'Calgary', [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria'], [u'Vancouver', u'Victoria'], u'Seattle', u'Seattle', u'Seattle', u'Seattle', u'Seattle']"
