trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
24 Jan 2014,520dafaae705451f75000000,"[[u'Gondola Ride', u'St Marks Square', u'Saint Marks Basilica', u'Doges Palace', u'Museo Correr', u'Ponte Dei Sospiri', u'St Marks Campanile '], [u'Peggy Guggenheim Collection', u'Galleria Dell Accademia', u'Grand Canal', u'Scuola Grande Di San Rocco', u'Dorsoduro', u'Ponte Dell Accademia'], [u'Vienna Museum Of Natural History', u'Kunsthistorisches Museum', u'Kunsthalle Wien', u'Karntnerstrasse', u'Donauturm', u'Wiener Riesenrad']]",26 Jan 2014,"Venice,Venice,Vienna"
08 Mar 2014,5208a83ce705459a59000000,"[[u'Gondola Ride', u'St Marks Square', u'Saint Marks Basilica', u'Doges Palace', u'Museo Correr', u'Ponte Dei Sospiri', u'St Marks Campanile '], [u'Peggy Guggenheim Collection', u'Galleria Dell Accademia', u'Grand Canal', u'Scuola Grande Di San Rocco', u'Dorsoduro', u'Ponte Dell Accademia'], [u'Palazzo Vecchio', u'San Marco Convent Church And Museum', u'Basilica Di Santa Maria Del Fiore', u'Galleria Dellaccademia', u'Ponte Vecchio', u'Basilica Di San Lorenzo'], [u'Milan Cathedral Or The Duomo', u'Gallery Of Vittorio Emanuele II', u'Museum Of La Scala', u'Brera Picture Gallery', u'Parco Sempione'], [u'Basilica Of Santambrogio', u'Cimitero Monumentale', u'Sforza Castle', u'Civico Museo Archeologico', u'Santa Maria Delle Grazie']]",12 Mar 2014,"Venice,Venice,Florence,Milan,Milan"
22 Jun 2015,556ec45af9c2e59d7c000d34,"[[u'Sforza Castle', u'Milan Cathedral Or The Duomo'], [u'St Peters Basilica', u'Vatican Museums'], [u'San Marco Convent Church And Museum', u'Galleria Dellaccademia', u'Piazzale Michelangelo', u'Basilica Di Santa Maria Del Fiore'], [u'Doges Palace', u'Scuola Grande Di San Rocco', u'Grand Canal', u'Saint Marks Basilica', u'Peggy Guggenheim Collection'], [u'Lake Promenade', u'Lindenhof', u'St Peters Church', u'Bahnhofstrasse', u'Fraumunster'], [u'Sainte Chapelle', u'Towers Of Notre Dame Cathedral', u'Grand Palais', u'Montmartre', u'Palace Of Versailles']]",27 Jun 2015,"[u'Milan', u'Rome', u'Florence', u'Venice', u'Zurich', [u'Versailles', u'Paris']]"
05 Mar 2016,,"[[u'St Peters Basilica', u'Colosseum', u'Trevi Fountain'], [u'Sforza Castle', u'Milan Cathedral Or The Duomo'], [u'Central Market', u'Terrazza Mascagni', u'Guinigi Tower', u'Leaning Tower Of Pisa', u'Cathedral Of San Martino'], [u'Naples Pier', u'Fifth Avenue South'], [u'Doges Palace', u'Grand Canal', u'Scuola Grande Di San Rocco', u'Saint Marks Basilica', u'Peggy Guggenheim Collection'], [u'Bargello Museum And Palace', u'Boboli Garden', u'Piazzale Michelangelo', u'Uffizi Gallery'], [u'Pompeii', u'Chisea Di Santa Maria Assunta E Cripta Medeivale', u'Grotta Dello Smeraldo', u'Chiesa Di San Francesco', u'Mt Vesuvius'], [u'Catania Cathedral', u'Castella Ursino And Museuo Civico', u'Museo Storico Dello Sbarco In Sicilia 1943', u'Monastero Dei Benedettini', u'Catania Tango Festival'], [u'Basilica Di Sant Antonio Or Basilica Del Santo', u'Scrovegni Chapel Or Cappella Degli Scrovegni', u'Prato Della Valle', u'Museo Del Precinema', u'University Of Padua'], [u'Piazza Del Mercato Or Market Square', u'Siena Cathedral', u'Palazzo Publico And Museo Civico', u'Piazza Del Campo']]",14 Mar 2016,"[u'Rome', u'Milan', [u'Pisa', u'Livorno', u'Lucca'], u'Naples', u'Venice', u'Florence', [u'Naples', u'Positano', u'Sorrento'], u'Catania', u'Padua', u'Siena']"
24 May 2015,,"[[u'Sforza Castle', u'The Garden Of Villa Melzi Or I Giardini Di Villa Melzi', u'Academia Carrarra Di Bella Arti Di '], [u'Milan Cathedral Or The Duomo', u'Museo Del Cioccolato Alprose', u'Museum Of La Scala', u'Chiesa Di Santa Maria Degli Angeli'], [u'Bergamo Cathedral', u'Villa Del Balbianello', u'Museum Of Cultures', u'Cattedrale Di San Lorenzo'], [u'Galleria D\\arte Moderna Sant\\anna', u'Palazzo Dei Normanni', u'Palermo Cathedral', u'Palazzo Riso Or Museo D Arte Contemporanea Della Sicilia', u'Oratorio Del Rosario Di Santa Cita And Chiesa Di Santa Cita'], [u'Orto Botanico Di Palermo', u'Santa Maria Dell\\ammiraglio Or La Martorana', u'Catacombs Of The Capuchins Or Catacombe Dei Cappuccini', u'Palazzo Abatellis', u'Teatro Massimo'], [u'Doges Palace', u'Scuola Grande Di San Rocco', u'St Marks Square', u'Saint Marks Basilica', u'Peggy Guggenheim Collection'], [u'Galleria Dell Accademia', u'Grand Canal', u'Museo Correr'], [u'Ca D Oro', u'St Marks Campanile ', u'Bridge Of Sighs', u'Murano', u'Burano'], [u'Rialto Bridge', u'Venice Lido', u'Gondola Ride', u'Canareggio', u'Palazzo Grassi']]",01 Jun 2015,"[[u'Bellagio', u'Milan', u'Bergamo'], [u'Lugano', u'Milan'], [u'Lugano', u'Como', u'Bergamo'], u'Palermo', u'Palermo', u'Venice', u'Venice', u'Venice', u'Venice']"
13 Mar 2015,54fc3f06fbc2e54f38000091,"[[u'Duomo Cathedral Or Cathedral Of San Gennaro', u'Mt Vesuvius', u'Royal Palace Or Palazzo Reale', u'Catacombe Di San Gennaro', u'Centro Storico'], [u'Museo Bottega Della Tarsia Lignea', u'Certosa Di San Martino Or Museum And Monastery Of San Martino ', u'The National Archaeological Museum Of Naples', u'Sansevero Chapel Museum', u'Piazza Del Plebiscito'], [u'Bargello Museum And Palace', u'Mercato Nuovo', u'Piazza Della Repubblica'], [u'San Marco Convent Church And Museum', u'The Galleria Degli Uffizi', u'Giottos Campanile'], [u'Mercato Centrale', u'Museo Nazionale Di Palazzo Mansi', u'The Oltrarno'], [u'Doges Palace', u'Scuola Grande Di San Rocco', u'Peggy Guggenheim Collection', u'St Marks Campanile ', u'Ca D Oro'], [u'Torre Dell Orologio St Marks Clocktower', u'St Marks Square', u'Saint Marks Basilica', u'Venice Biennale Or Biennale Di Venezia']]",19 Mar 2015,"[[u'Naples', u'Sorrento'], [u'Naples', u'Sorrento'], u'Florence', u'Florence', [u'Florence', u'Lucca'], u'Venice', u'Venice']"
12 Jun 2014,50c8177d4086986560000000,"[[u'St Peters Basilica', u'Trevi Fountain', u'Spanish Steps', u'Pantheon', u'Colosseum'], [u'Sistine Chapel', u'San Lorenzo', u'Vatican Museums', u'Tiber Island', u'Piazza Navona'], [u'Doges Palace', u'Rialto Bridge', u'St Marks Square', u'Saint Marks Basilica', u'Grand Canal', u'Gondola Ride']]",14 Jun 2014,"[u'Rome', [u'Rome', u'Vatican City'], u'Venice']"
08 Mar 2014,52bfc7d1e705459136000000,"[[u'Gondola Ride', u'St Marks Square', u'Saint Marks Basilica', u'Doges Palace', u'Museo Correr', u'Ponte Dei Sospiri', u'St Marks Campanile '], [u'Peggy Guggenheim Collection', u'Galleria Dell Accademia', u'Grand Canal', u'Scuola Grande Di San Rocco', u'Dorsoduro', u'Ponte Dell Accademia'], [u'Palazzo Vecchio', u'San Marco Convent Church And Museum', u'Basilica Di Santa Maria Del Fiore', u'Galleria Dellaccademia', u'Ponte Vecchio', u'Basilica Di San Lorenzo'], [u'Milan Cathedral Or The Duomo', u'Gallery Of Vittorio Emanuele II', u'Museum Of La Scala', u'Brera Picture Gallery', u'Parco Sempione'], [u'Basilica Of Santambrogio', u'Cimitero Monumentale', u'Sforza Castle', u'Civico Museo Archeologico', u'Santa Maria Delle Grazie']]",12 Mar 2014,"Venice,Venice,Florence,Milan,Milan"
26 Jun 2015,,"[[u'Leaning Tower Of Pisa', u'Le Mura Di Lucca', u'The Knights Square', u'Galleria Uomo Arte Antiquariato'], [u'Cathedral Of San Martino', u'Piazza Del Duomo', u'Palazzo Blu', u'Palazzo Pfanner', u'Museo Degli Strumenti Per Il Calcolo'], [u'Piazza Navona', u'St Peters Basilica', u'Colosseum', u'Pantheon'], [u'Sistine Chapel', u'Castle San Angelo', u'Spanish Steps'], [u'Bargello Museum And Palace', u'Boboli Garden', u'Piazzale Michelangelo', u'Uffizi Gallery'], [u'Doges Palace', u'Scuola Grande Di San Rocco', u'Grand Canal', u'Saint Marks Basilica', u'Peggy Guggenheim Collection'], [u'Duomo Cathedral Or Cathedral Of San Gennaro', u'Royal Palace Or Palazzo Reale', u'Catacombe Di San Gennaro', u'Piazza Del Mercato'], [u'Sforza Castle', u'Milan Cathedral Or The Duomo'], [u'Egyptian Museum Of Turin', u'Basilica Di Superga', u'Piazza San Carlo', u'Mole Antonelliana']]",04 Jul 2015,"[[u'Pisa', u'Lucca'], [u'Pisa', u'Lucca'], u'Rome', [u'Rome', u'Vatican City'], u'Florence', u'Venice', u'Naples', u'Milan', u'Turin']"
12 Aug 2015,558cb40bf9c2e570120000e4,"[[u'St Peters Basilica', u'Colosseum', u'Vatican Museums', u'Leonardo Da Vinci International Airport'], [u'St Peters Basilica', u'Sistine Chapel', u'Trevi Fountain'], [u'Fish Market', u'Palazzo Contarini Del Bovolo', u'Venice Biennale Or Biennale Di Venezia', u'Museo Correr'], [u'Rialto Market', u'Doges Palace', u'Grand Canal', u'Scuola Grande Di San Rocco', u'Palazzo Grassi'], [u'Church Of San Giorgio Maggiore', u'St Marks Square', u'Ca D Oro', u'St Mary Of The Friars', u'Naval History Museum And Arsenale'], [u'Acropolis', u'Parthenon', u'Syntagma Square'], [u'Acropolis Museum', u'Odeon Of Herodes Atticus', u'Lykavittos Hill'], [u'Panathenaic Stadium', u'Benaki Museum', u'Filopappos Hill'], [u'Palace Of Knosos', u'Samaria Gorge'], [u'St George Of Selinari Monastery', u'Spinalonga'], [u'Historical Museum Of Crete', u'Aquaworld Aquarium', u'Heraklion Archaeological Museum']]",22 Aug 2015,"[[u'Rome', u'Fiumicino', u'Vatican City'], [u'Rome', u'Vatican City', u'Vatican City'], u'Venice', u'Venice', u'Venice', u'Athens', u'Athens', u'Athens', u'Crete', u'Crete', u'Crete']"
