trip_start_time,author_id,trip_path_detail,trip_end_time,trip_path_city
11 Jul 2015,520dafaae705451f75000000,"[[u'Schonbrunn Palace', u'Karlskirche', u'Zoom Kinder Museum', u'Prater']]",11 Jul 2015,Vienna
12 Oct 2015,520dafaae705451f75000000,"[[u'St Stephens Cathedral', u'Schonbrunn Palace', u'Wiener Riesenrad'], [u'Naschmarkt', u'Historic Centre Of Vienna', u'Kunsthistorisches Museum'], [u'Stadtpark', u'Karlskirche', u'Karntnerstrasse', u'Belvedere Palace'], [u'Leopold Museum', u'Hofburg Palace', u'Butterfly House', u'Ringstrasse'], [u'Lainzer Tiergarten', u'Secession', u'Donauturm'], [u'Palais Augarten', u'St Peters Church', u'Augarten', u'Zoom Kinder Museum'], [u'Tiergarten Schonbrunn', u'Prater', u'Technisches Museum Wien']]",18 Oct 2015,"Vienna,Vienna,Vienna,Vienna,Vienna,Vienna,Vienna"
12 Aug 2015,520dafaae705451f75000000,"[[u'Schonbrunn Palace', u'St Stephens Cathedral', u'Butterfly House', u'Donauturm'], [u'Lainzer Tiergarten', u'Secession', u'Zoom Kinder Museum'], [u'Karlskirche', u'Rathaus', u'Prater', u'Karntnerstrasse'], [u'Ringstrasse', u'Kunsthistorisches Museum', u'Schwedenplatz', u'Donauturm']]",15 Aug 2015,"Vienna,Vienna,Vienna,Vienna"
05 Nov 2016,520dafaae705451f75000000,"[[u'Schonbrunn Palace', u'Kunsthistorisches Museum', u'Karntnerstrasse', u'Tiergarten Schonbrunn', u'Therme Wien'], [u'Zoom Kinder Museum', u'Vienna State Opera', u'Wiener Riesenrad', u'Ankeruhr'], [u'Lainzer Tiergarten', u'Burgtheater', u'Donauturm', u'Historic Centre Of Vienna', u'Rathaus'], [u'Schwedenplatz', u'Prater', u'Stephansplatz', u'Hundertwasserhaus'], [u'Albertinaplatz', u'Secession', u'Ringstrasse', u'Augarten', u'St Stephens Cathedral']]",09 Nov 2016,"Vienna,Vienna,Vienna,Vienna,Vienna"
23 Aug 2016,520dafaae705451f75000000,"[[u'Hotel Marc Aurel', u'Vienna State Opera', u'Hundertwasserhaus', u'Stadtpark', u'Technisches Museum Wien', u'Capuchin Church And Crypt', u'Stephansplatz', u'Donauturm'], [u'Hotel Marc Aurel', u'Schonbrunn Palace', u'Naschmarkt', u'Burggarten', u'Sisi Museum', u'Vienna Museum Of Natural History', u'Wiener Riesenrad'], [u'Hotel Marc Aurel', u'Tiergarten Schonbrunn', u'Rathaus', u'Leopold Museum', u'Prater'], [u'Hotel Marc Aurel', u'Historic Centre Of Vienna', u'Belvedere Palace', u'Haus Der Musik', u'Albertinaplatz', u'Haas Haus', u'Ankeruhr'], [u'Hotel Marc Aurel', u'St Stephens Cathedral', u'Karntnerstrasse', u'Imperial Treasury Of Vienna', u'Burgtheater', u'Kunsthistorisches Museum', u'Sigmund Freud Museum', u'Therme Wien', u'Ringstrasse'], [u'Hotel Marc Aurel', u'Butterfly House', u'Karlskirche', u'Imperial Treasury Of Vienna', u'Donauturm']]",28 Aug 2016,"[[u'Brno', u'Vienna'], u'Vienna', u'Vienna', u'Vienna', u'Vienna', u'Vienna']"
24 Jan 2014,520dafaae705451f75000000,"[[u'Gondola Ride', u'St Marks Square', u'Saint Marks Basilica', u'Doges Palace', u'Museo Correr', u'Ponte Dei Sospiri', u'St Marks Campanile '], [u'Peggy Guggenheim Collection', u'Galleria Dell Accademia', u'Grand Canal', u'Scuola Grande Di San Rocco', u'Dorsoduro', u'Ponte Dell Accademia'], [u'Vienna Museum Of Natural History', u'Kunsthistorisches Museum', u'Kunsthalle Wien', u'Karntnerstrasse', u'Donauturm', u'Wiener Riesenrad']]",26 Jan 2014,"Venice,Venice,Vienna"
27 Dec 2013,520dafaae705451f75000000,"[[u'Schonbrunn Palace', u'Belvedere Palace', u'Rathaus', u'Secession', u'Albertinaplatz', u'Ringstrasse'], [u'Butterfly House', u'Zoom Kinder Museum', u'Kunsthistorisches Museum', u'Vienna Museum Of Natural History', u'Augarten', u'Wiener Riesenrad']]",28 Dec 2013,"Vienna,Vienna"
27 Jun 2015,,"[[u'Lykavittos Hill', u'Temple Of Athena Nike', u'Odeon Of Herodes Atticus', u'Acropolis', u'Erechtheion', u'Parthenon', u'Ancient Agora'], [u'Temple Of Hephaestus', u'National Archaeological Museum', u'Acropolis Museum', u'Syntagma Square', u'Monastriraki Flea Market', u'Plaka'], [u'Filopappos Hill', u'Temple Of Apollo', u'Library Of Hadrian', u'Roman Agora', u'Theatre Of Dionysus', u'Temple Of Olympian Zeus', u'Grand Mitropolis Cathedral'], [u'The White Tower', u'Church Of Hagia Sofia', u'The Archaeological Museum', u'Kapani Market'], [u'Museum Of Byzantine Culture', u'Hagios Dimitrios Church', u'Ano Poli'], [u'Vlatadon Monastery Or Vlatadon', u'Old Agora', u'Agia Katerini', u'Macedonian Museum Of Contemporary Art'], [u'Solar Beach', u'Istanbul Modern', u'Museum Of Innocence', u'Emirgan Park'], [u'Topkapi Palace', u'Hagia Sophia', u'Sultan Ahmed Mosque', u'Basilica Cistern', u'Istanbul Archaeological Museum'], [u'Byzantine Hippodrome', u'Taksim Square', u'Sanatkarlar Parki', u'Galatasaray Island'], [u'Buda Castle', u'Fishermans Bastion', u'Gellert Hill', u'St Stephens Basilica', u'Parliament House'], [u'Vaci Utca', u'Vorosmarty Square', u'Szechenyi Medicinal Bath'], [u'Historic Centre Of Vienna', u'Belvedere Palace', u'St Stephens Cathedral'], [u'Schonbrunn Palace', u'Kunsthistorisches Museum', u'Butterfly House'], [u'The Mucha Museum', u'Czech National Museum', u'Wenceslas Square', u'Old New Synagogue', u'Old Town Hall Tower And Astronomical Clock', u'The Dancing House'], [u'Charles Bridge', u'Lobkowicz Palace', u'Prague Castle', u'Golden Lane', u'Petrin Hill', u'Nerudova Street'], [u'Olympia Stadium', u'Museum Island', u'Holocaust Memorial', u'Brandenburg Gate', u'Reichstag'], [u'Zoological Garden', u'Tiergarten', u'Unter Den Linden', u'Europa-center (berlin)', u'Checkpoint Charlie', u'Topography Of Terror'], [u'Sachsenhausen', u'The Fernsehturm'], [u'Charlottenburg Palace', u'Potsdam Park Sanssouci'], [u'Pergamon Museum', u'Dahlem Museum', u'Gedachtniskirche', u'Museum Of Applied Art', u'Potsdamer Platz', u'East Side Gallery']]",16 Jul 2015,"[u'Athens', u'Athens', u'Athens', u'Thessaloniki', u'Thessaloniki', u'Thessaloniki', u'Istanbul', u'Istanbul', u'Istanbul', u'Budapest', u'Budapest', u'Vienna', u'Vienna', u'Prague', u'Prague', u'Berlin', u'Berlin', [u'Berlin', u'Oranienburg'], u'Berlin', u'Berlin']"
08 May 2015,,"[[u'Rijksmuseum', u'Albert Cuyp Market', u'Dam Square', u'Stedelijk Museum', u'De Wallen'], [u'Van Gogh Museum', u'Anne Frank House', u'Amsterdam Canals', u'Vondelpark'], [u'Oude Kerk', u'Amsterdam Historisch Museum', u'Jordaan', u'Magere Brug', u'Heineken Experience'], [u'Reichstag', u'Museum Island', u'The Fernsehturm', u'Brandenburg Gate'], [u'Potsdamer Platz', u'Grunewald'], [u'Charlottenburg Palace', u'Zoological Garden', u'Olympia Stadium', u'Gedachtniskirche'], [u'The Mucha Museum', u'National Theatre', u'Petrin Hill', u'St Vitus Cathedral', u'Lesser Town'], [u'Charles Bridge', u'Old Town Hall Tower And Astronomical Clock', u'Tyn Church', u'Jindrisska Tower', u'The Dancing House'], [u'Golden Lane', u'Lobkowicz Palace', u'Prague Castle', u'Old New Synagogue', u'Czech National Museum'], [u'Wawel Royal Castle', u'St Marys Basilica', u'Main Market Square', u'Cafe Philo'], [u'Cloth Hall', u'Krakow Old Town', u'Oskar Schindlers Factory', u'Jewish District'], [u'Parliament House', u'Chain Bridge', u'Buda Castle', u'Fishermans Bastion', u'Gellert Hill'], [u'Central Market Hall', u'Andrassy Avenue', u'Szechenyi Medicinal Bath', u'Heroes Square'], [u'City Park', u'Cave Church', u'Budapest Opera House Or State Opera House', u'Hungarian National Gallery', u'Vorosmarty Square'], [u'St Stephens Cathedral', u'Historic Centre Of Vienna'], [u'Schonbrunn Palace', u'Karlskirche', u'Butterfly House', u'Kunsthistorisches Museum', u'Albertina Museum And Gallery', u'Belvedere Palace'], [u'Haus Der Natur', u'Salzburg Cathedral', u'Untersberg', u'St Peters Abbey', u'Petersfriedhof', u'Nonnberg Convent', u'Fortress Hohensalzburg', u'Red Bull Hangar'], [u'Residenzgalerie', u'Mozarts Birthplace', u'Mozart Residence', u'Salzberg Marionette Theatre', u'Mirabelle Palace And Gardens', u'Salzburg Old Town'], [u'Deutsches Museum', u'Bmw Headquarters And Museum', u'Karlsplatz', u'Marienplatz', u'Saint Peters Church'], [u'Munich Residenz', u'The Neue Pinakothek', u'Nymphenburg Palace', u'Viktualienmarkt', u'Cathedral Of Our Lady']]",27 May 2015,"Amsterdam,Amsterdam,Amsterdam,Berlin,Berlin,Berlin,Prague,Prague,Prague,Krakow,Krakow,Budapest,Budapest,Budapest,Vienna,Vienna,Salzburg,Salzburg,Munich,Munich"
14 Jul 2016,559c31c8f9c2e5646b000ec4,"[[u'The Market Square', u'Helsinki Cathedral', u'The Railway Station', u'Hietaniemi', u'Linnanmaki Amusement Park'], [u'Suomenlinna', u'Esplanade Park', u'Olympic Stadium', u'Temppeliaukio Church Or Rock Church', u'Sea Life Helsinki'], [u'Vasa Museum', u'Nordic Museum', u'Dramaten', u'The Royal Armoury', u'S\xf6dermalm'], [u'Ostermalmshallen', u'Gamla Stan', u'Royal Palace', u'Stortorget', u'Bryggart\xe4ppan'], [u'The Viking Ship Museum', u'Holmenkollen Ski Museum and Ski Jump Tower', u'Mathallen Food Hall', u'Oslo Opera House', u'Ekebergparken Sculpture Park'], [u'National Gallery', u'Norwegian Museum Of Cultural History', u'The Royal Palace', u'Akershus Castle And Fortress'], [u'The Round Tower', u'The National Museum'], [u'Christiania', u'Copenhagen Zoo'], [u'Gedachtniskirche', u'Checkpoint Charlie', u'Topography Of Terror', u'Museum Island', u'Trebbiner Stra\xdfe 9'], [u'Pergamon Museum', u'Olympia Stadium', u'Mehringdamm 36', u'Friedrichstra\xdfe 50', u'Friedrichstra\xdfe 67'], [u'Warsaw Old Town', u'Warsaw Uprising Museum', u'Lazienki Park'], [u'Copernicus Science Centre', u'Palace Of Culture And Science', u'Fryderyk Chopin Museum', u'Warsaw National Museum'], [u'Auschwitz-birkenau State Museum', u'St Marys Basilica', u'Wawel Royal Castle', u'Krakow Old Town'], [u'Wieliczka Salt Mine', u'Plac Nowy', u'Main Market Square', u'Cloth Hall', u'Cafe Philo'], [u'Buda Castle', u'Fishermans Bastion'], [u'Gellert Hill', u'Museum Of Fine Arts', u'Szechenyi Medicinal Bath'], [u'Old New Synagogue', u'The Powder Tower', u'Charles Bridge', u'Clementine', u'Golden Lane'], [u'St Vitus Cathedral', u'Franz Kafka Museum', u'Celetna Street'], [u'Zoom Kinder Museum', u'Technisches Museum Wien'], [u'Schwedenplatz', u'Butterfly House', u'Sigmund Freud Museum']]",02 Aug 2016,"Helsinki,Helsinki,Stockholm,Stockholm,Oslo,Oslo,Copenhagen,Copenhagen,Berlin,Berlin,Warsaw,Warsaw,Krakow,Krakow,Budapest,Budapest,Prague,Prague,Vienna,Vienna"
